"","Move","Player_1_Final1","Player_1_Final2","Player_1_Final3","Player_2_Final1","Player_2_Final2","Player_2_Final3","Player_1_Initial1","Player_1_Initial2","Player_1_Initial3","Player_2_Initial1","Player_2_Initial2","Player_2_Initial3","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"1",1,10,1,1,3,1,1,1,1,1,1,1,1,1,2,6,1,2,0,6,2,1,1,9,2
"2",2,11,1,1,11,7,1,10,1,1,3,1,1,1,0,0,6,6,1,1,6,1,1,10,16
"3",3,18,1,1,11,8,1,11,1,1,11,7,1,6,1,0,1,0,0,6,1,1,2,17,17
"4",4,22,1,1,12,8,1,18,1,1,11,8,1,4,1,1,1,1,0,4,1,1,1,21,18
"5",5,1,1,1,12,8,10,22,1,1,12,8,1,1,0,0,4,4,6,1,4,1,3,0,27
"6",6,9,1,1,16,8,10,1,1,1,12,8,10,4,6,0,4,0,0,6,4,1,1,8,31
"7",7,14,1,1,20,8,10,9,1,1,16,8,10,4,2,5,4,2,0,5,4,1,1,13,35
"8",8,16,1,1,23,8,10,14,1,1,20,8,10,2,0,0,6,6,3,2,3,1,1,15,38
"9",9,33,5,1,7,1,6,16,1,1,23,8,10,6,6,0,6,0,0,6,6,1,1,36,11
"10",10,36,5,1,7,6,6,33,5,1,7,1,6,2,3,5,2,5,0,3,5,1,2,39,16
"11",11,38,5,1,7,10,6,36,5,1,7,6,6,2,0,0,4,3,2,2,4,1,2,41,20
"12",12,38,8,1,9,10,6,38,5,1,7,10,6,3,2,0,2,0,0,3,2,2,1,44,22
"13",13,38,16,1,9,13,6,38,8,1,9,10,6,3,3,6,3,3,0,6,3,2,2,52,25
"14",14,38,19,1,9,16,6,38,16,1,9,13,6,3,0,0,6,4,3,3,3,2,2,55,28
"15",15,38,28,1,9,20,6,38,19,1,9,16,6,6,4,0,4,0,0,6,4,2,2,64,32
"16",16,38,32,1,12,20,6,38,28,1,9,20,6,2,4,3,2,3,0,4,3,2,1,68,35
"17",17,38,34,1,12,20,8,38,32,1,12,20,6,2,0,0,2,5,1,2,2,2,3,70,37
"18",18,39,39,1,13,21,8,38,34,1,12,20,8,5,1,0,1,0,0,5,1,2,2,152,39
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",1,5,1,1,1,2,1,1,1,1,1,1,1,2,1,4,2,1,0,4,1,1,2,4,1
"21",2,7,1,1,1,6,1,5,1,1,1,2,1,2,0,0,1,1,4,2,4,1,2,6,5
"22",3,8,1,1,2,6,1,7,1,1,1,6,1,1,1,0,1,0,0,1,1,1,1,7,6
"23",4,13,1,1,2,6,3,8,1,1,2,6,1,2,1,5,2,1,0,5,2,1,3,12,8
"24",5,14,1,1,8,6,4,13,1,1,2,6,3,1,0,0,4,1,6,1,6,1,1,13,15
"25",6,18,1,1,8,6,5,14,1,1,8,6,4,4,1,0,1,0,0,4,1,1,3,17,16
"26",7,21,1,1,8,6,6,18,1,1,8,6,5,1,3,3,1,3,0,3,1,1,3,20,17
"27",8,24,1,1,8,6,7,21,1,1,8,6,6,3,0,0,5,6,1,3,1,1,3,23,18
"28",9,33,1,1,8,11,7,24,1,1,8,6,7,5,6,0,5,0,0,6,5,1,2,32,23
"29",10,38,1,1,13,11,7,33,1,1,8,11,7,5,4,5,4,5,0,5,5,1,1,37,28
"30",11,38,5,1,13,15,7,38,1,1,13,11,7,4,0,0,4,2,3,4,4,2,2,41,32
"31",12,38,8,1,13,15,9,38,5,1,13,15,7,2,3,0,2,0,0,3,2,2,3,44,34
"32",13,38,19,1,16,15,9,38,8,1,13,15,9,3,6,4,3,4,0,6,3,2,1,55,37
"33",14,38,23,1,16,18,9,38,19,1,16,15,9,4,0,0,3,4,6,4,3,2,2,59,40
"34",15,38,29,1,16,18,12,38,23,1,16,18,9,4,6,0,6,0,0,4,6,2,3,65,43
"35",16,39,40,1,16,18,16,38,29,1,16,18,12,6,1,4,6,4,0,1,4,1,3,115,47
"36",17,39,40,1,16,19,16,39,40,1,16,18,16,6,0,0,1,6,6,0,1,0,2,115,48
"37",18,39,40,1,16,19,16,39,40,1,16,19,16,6,6,0,NA,0,0,0,0,0,0,115,48
"38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",1,5,1,1,1,1,4,1,1,1,1,1,1,2,3,4,2,3,0,4,3,1,3,4,3
"40",2,7,1,1,1,3,4,5,1,1,1,1,4,2,0,0,4,2,4,2,2,1,2,6,5
"41",3,11,1,1,5,3,4,7,1,1,1,3,4,4,4,0,4,0,0,4,4,1,1,10,9
