"","Move","Player_1_Final1","Player_1_Final2","Player_1_Final3","Player_1_Final4","Player_2_Final1","Player_2_Final2","Player_2_Final3","Player_2_Final4","Player_1_Initial1","Player_1_Initial2","Player_1_Initial3","Player_1_Initial4","Player_2_Initial1","Player_2_Initial2","Player_2_Initial3","Player_2_Initial4","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"1",1,10,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,6,3,4,3,4,0,6,4,1,1,9,4
"2",2,13,1,1,1,5,1,1,4,10,1,1,1,5,1,1,1,3,0,0,3,1,1,3,3,1,4,12,7
"3",3,14,1,1,1,6,1,1,4,13,1,1,1,5,1,1,4,1,1,0,1,0,0,1,1,1,1,13,8
"4",4,1,1,1,1,8,2,7,1,14,1,1,1,6,1,1,4,2,6,2,2,2,0,6,2,1,1,0,14
"5",5,3,1,1,1,8,2,11,1,1,1,1,1,8,2,7,1,2,0,0,2,4,4,2,4,1,3,2,18
"6",6,7,1,1,1,8,4,11,1,3,1,1,1,8,2,11,1,2,4,0,2,0,0,4,2,1,2,6,20
"7",7,11,1,1,1,8,7,11,1,7,1,1,1,8,4,11,1,4,2,3,2,3,0,4,3,1,2,10,23
"8",8,13,1,1,1,8,10,11,7,11,1,1,1,8,7,11,1,2,0,0,6,1,4,2,6,1,4,12,32
"9",9,17,1,1,1,8,11,11,7,13,1,1,1,8,10,11,7,1,4,0,1,0,0,4,1,1,2,16,33
"10",10,22,1,1,1,8,16,11,7,17,1,1,1,8,11,11,7,5,2,5,2,5,0,5,5,1,2,21,38
"11",11,24,1,1,1,13,16,11,7,22,1,1,1,8,16,11,7,2,0,0,5,3,3,2,5,1,1,23,43
"12",12,27,1,1,1,13,19,11,7,24,1,1,1,13,16,11,7,3,3,0,3,0,0,3,3,1,2,26,46
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",1,12,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,6,6,1,6,1,0,6,6,1,2,11,9
"15",2,13,1,1,1,6,10,1,1,12,1,1,1,1,10,1,1,1,0,0,5,5,3,1,5,1,1,12,14
"16",3,18,1,1,1,6,13,1,1,13,1,1,1,6,10,1,1,5,3,0,3,0,0,5,3,1,2,17,17
"17",4,32,1,1,1,1,1,1,6,18,1,1,1,6,13,1,1,6,5,4,5,4,0,6,5,1,4,31,5
"18",5,36,1,1,1,1,1,1,8,32,1,1,1,1,1,1,6,4,0,0,2,5,3,4,2,1,4,35,7
"19",6,39,5,1,1,6,1,1,8,36,1,1,1,1,1,1,8,5,3,0,5,0,0,3,5,1,1,80,12
"20",7,39,19,1,1,7,1,1,8,39,5,1,1,6,1,1,8,1,6,3,1,3,0,6,1,2,1,94,13
"21",8,39,22,1,1,8,1,1,8,39,19,1,1,7,1,1,8,3,0,0,1,3,3,3,1,2,1,97,14
"22",9,39,25,1,1,11,1,1,8,39,22,1,1,8,1,1,8,3,3,0,3,0,0,3,3,2,1,100,17
"23",10,39,30,1,1,14,1,1,1,39,25,1,1,11,1,1,8,3,2,1,3,2,0,1,3,2,1,105,13
"24",11,39,37,1,1,6,1,1,1,39,30,1,1,14,1,1,1,2,0,0,5,4,1,2,5,2,1,112,5
"25",12,39,37,5,1,6,1,1,2,39,37,1,1,6,1,1,1,4,1,0,1,0,0,4,1,3,4,116,6
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",1,6,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,0,5,5,1,1,5,5
"28",2,11,1,1,1,6,1,4,1,6,1,1,1,6,1,1,1,5,0,0,3,2,1,5,3,1,3,10,8
"29",3,13,1,1,1,6,1,4,2,11,1,1,1,6,1,4,1,2,1,0,1,0,0,2,1,1,4,12,9
"30",4,17,1,1,1,9,1,4,2,13,1,1,1,6,1,4,2,3,4,2,3,2,0,4,3,1,1,16,12
"31",5,19,1,1,1,15,1,10,7,17,1,1,1,9,1,4,2,2,0,0,1,6,3,2,6,1,3,18,29
"32",6,22,1,1,1,15,2,10,7,19,1,1,1,15,1,10,7,1,3,0,1,0,0,3,1,1,2,21,30
"33",7,27,1,1,1,15,7,10,7,22,1,1,1,15,2,10,7,5,5,4,5,4,0,5,5,1,2,26,35
"34",8,1,1,1,1,25,13,10,7,27,1,1,1,15,7,10,7,4,0,0,4,6,6,4,6,1,2,0,51
"35",9,12,1,1,1,1,13,10,11,1,1,1,1,25,13,10,7,4,6,0,4,0,0,6,4,1,4,11,31
"36",10,17,1,1,1,1,13,13,11,12,1,1,1,1,13,10,11,4,3,5,4,3,0,5,3,1,3,16,34
"37",11,21,1,1,1,5,13,13,11,17,1,1,1,1,13,13,11,4,0,0,4,4,6,4,4,1,1,20,38
"38",12,1,1,1,1,5,17,15,11,21,1,1,1,5,13,13,11,4,6,0,4,0,0,6,4,1,2,0,44
"39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",1,8,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,6,1,1,1,1,0,6,1,1,4,7,1
"41",2,9,1,1,1,1,4,1,8,8,1,1,1,1,1,1,2,1,0,0,1,6,6,1,6,1,4,8,10
"42",3,16,1,1,1,1,5,1,8,9,1,1,1,1,4,1,8,1,6,0,1,0,0,6,1,1,2,15,11
"43",4,1,1,1,1,6,5,3,8,16,1,1,1,1,5,1,8,5,2,5,2,5,0,5,2,1,3,0,18
"44",5,6,1,1,1,6,10,3,8,1,1,1,1,6,5,3,8,5,0,0,2,5,3,5,5,1,2,5,23
"45",6,9,1,1,1,6,10,3,10,6,1,1,1,6,10,3,8,2,3,0,2,0,0,3,2,1,4,8,25
"46",7,14,1,1,1,8,10,3,10,9,1,1,1,6,10,3,10,5,2,1,2,1,0,5,2,1,1,13,27
"47",8,15,1,1,1,14,10,8,10,14,1,1,1,8,10,3,10,1,0,0,6,2,6,1,6,1,1,14,38
"48",9,27,1,1,1,14,10,10,10,15,1,1,1,14,10,8,10,2,6,0,2,0,0,6,2,1,3,26,40
"49",10,31,1,1,1,15,10,10,10,27,1,1,1,14,10,10,10,4,1,1,1,1,0,4,1,1,1,30,41
"50",11,32,1,1,1,15,10,13,10,31,1,1,1,15,10,10,10,1,0,0,6,3,2,1,3,1,3,31,44
"51",12,39,8,1,1,17,10,13,10,32,1,1,1,15,10,13,10,6,2,0,2,0,0,6,2,1,1,83,46
"52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",1,5,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,4,2,4,2,4,0,4,4,1,3,4,4
"54",2,7,1,1,1,5,1,5,1,5,1,1,1,1,1,5,1,2,0,0,1,1,4,2,4,1,1,6,8
"55",3,8,1,1,1,6,1,5,1,7,1,1,1,5,1,5,1,1,1,0,1,0,0,1,1,1,1,7,9
"56",4,16,1,1,1,9,1,5,1,8,1,1,1,6,1,5,1,4,3,6,4,3,0,6,3,1,1,15,12
"57",5,1,1,1,1,9,10,5,1,16,1,1,1,9,1,5,1,4,0,0,4,1,4,4,1,1,2,0,21
"58",6,5,1,1,1,13,10,5,1,1,1,1,1,9,10,5,1,4,4,0,4,0,0,4,4,1,1,4,25
"59",7,7,1,1,1,13,10,5,3,5,1,1,1,13,10,5,1,2,2,2,2,2,0,2,2,1,4,6,27
"60",8,9,1,1,1,13,10,5,8,7,1,1,1,13,10,5,3,2,0,0,2,4,5,2,5,1,4,8,32
"61",9,13,1,1,1,13,12,5,8,9,1,1,1,13,10,5,8,2,4,0,2,0,0,4,2,1,2,12,34
"62",10,16,1,1,1,13,12,8,8,13,1,1,1,13,12,5,8,3,3,3,3,3,0,3,3,1,3,15,37
"63",11,19,1,1,1,17,12,8,8,16,1,1,1,13,12,8,8,3,0,0,4,1,3,3,4,1,1,18,41
"64",12,22,1,1,1,17,13,8,8,19,1,1,1,17,12,8,8,1,3,0,1,0,0,3,1,1,2,21,42
"65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66",1,5,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,4,1,4,1,4,0,4,4,1,3,4,4
"67",2,6,1,1,1,7,1,9,1,5,1,1,1,1,1,5,1,1,0,0,6,2,4,1,6,1,1,5,14
"68",3,10,1,1,1,7,1,9,3,6,1,1,1,7,1,9,1,2,4,0,2,0,0,4,2,1,4,9,16
"69",4,15,1,1,1,7,1,12,3,10,1,1,1,7,1,9,3,5,3,1,3,1,0,5,3,1,3,14,19
"70",5,16,1,1,1,7,5,12,9,15,1,1,1,7,1,12,3,1,0,0,6,4,2,1,6,1,4,15,29
"71",6,20,1,1,1,7,5,14,9,16,1,1,1,7,5,12,9,4,2,0,2,0,0,4,2,1,3,19,31
"72",7,30,1,1,1,1,5,14,9,20,1,1,1,7,5,14,9,3,4,1,4,1,0,3,4,1,2,29,25
"73",8,31,1,1,1,7,5,14,12,30,1,1,1,1,5,14,9,1,0,0,5,6,2,1,6,1,1,30,34
"74",9,36,1,1,1,7,5,16,12,31,1,1,1,7,5,14,12,5,2,0,2,0,0,5,2,1,3,35,36
"75",10,36,6,1,1,7,5,17,12,36,1,1,1,7,5,16,12,5,1,1,1,1,0,5,1,2,3,40,37
"76",11,37,6,1,1,12,5,17,12,36,6,1,1,7,5,17,12,1,0,0,4,5,4,1,5,1,1,41,42
"77",12,37,10,1,1,12,5,21,12,37,6,1,1,12,5,17,12,4,4,0,4,0,0,4,4,2,3,45,46
"78",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79",1,5,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,4,1,1,1,1,0,4,1,1,4,4,1
"80",2,6,1,1,1,1,6,1,2,5,1,1,1,1,1,1,2,1,0,0,5,1,2,1,5,1,2,5,6
"81",3,8,1,1,1,1,6,1,3,6,1,1,1,1,6,1,2,1,2,0,1,0,0,2,1,1,4,7,7
"82",4,11,1,1,1,4,6,1,3,8,1,1,1,1,6,1,3,3,1,3,1,3,0,3,3,1,1,10,10
"83",5,12,1,1,1,4,6,6,3,11,1,1,1,4,6,1,3,1,0,0,1,5,3,1,5,1,3,11,15
"84",6,15,1,1,1,4,6,7,3,12,1,1,1,4,6,6,3,1,3,0,1,0,0,3,1,1,3,14,16
"85",7,20,1,1,1,4,6,11,3,15,1,1,1,4,6,7,3,4,5,2,4,2,0,5,4,1,3,19,20
"86",8,27,1,1,1,1,6,16,3,20,1,1,1,4,6,11,3,2,0,0,2,2,5,2,5,1,3,26,22
"87",9,29,1,1,1,1,8,16,3,27,1,1,1,1,6,16,3,2,2,0,2,0,0,2,2,1,2,28,24
"88",10,39,5,1,1,2,8,1,3,29,1,1,1,1,8,16,3,1,6,5,1,6,0,5,1,1,1,80,10
"89",11,39,16,1,1,12,8,1,3,39,5,1,1,2,8,1,3,6,0,0,6,3,3,6,6,2,1,91,20
"90",12,39,19,1,1,12,8,4,3,39,16,1,1,12,8,1,3,3,3,0,3,0,0,3,3,2,3,94,23
"91",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92",1,13,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,3,5,6,3,5,0,6,5,1,2,12,5
"93",2,16,1,1,1,1,9,1,1,13,1,1,1,1,6,1,1,3,0,0,2,3,3,3,3,1,2,15,8
"94",3,19,1,1,1,3,9,1,1,16,1,1,1,1,9,1,1,2,3,0,2,0,0,3,2,1,1,18,10
"95",4,1,1,1,1,6,9,2,1,19,1,1,1,3,9,1,1,5,2,5,5,5,0,2,5,1,1,0,14
"96",5,6,1,1,1,6,9,5,1,1,1,1,1,6,9,2,1,5,0,0,2,1,3,5,3,1,3,5,17
