"","Move","Player_1_Final1","Player_1_Final2","Player_1_Final3","Player_2_Final1","Player_2_Final2","Player_2_Final3","Player_1_Initial1","Player_1_Initial2","Player_1_Initial3","Player_2_Initial1","Player_2_Initial2","Player_2_Initial3","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"1",1,7,1,7,6,1,1,1,1,1,1,1,1,5,6,2,5,2,0,6,5,3,1,12,5
"2",2,7,3,7,13,1,1,7,1,7,6,1,1,2,0,0,6,5,6,2,6,2,1,14,12
"3",3,13,5,7,18,1,1,7,3,7,13,1,1,5,6,0,5,0,0,6,5,1,1,22,17
"4",4,15,5,7,27,1,1,13,5,7,18,1,1,2,2,6,2,6,0,2,6,1,1,24,26
"5",5,15,7,9,5,1,1,15,5,7,27,1,1,2,0,0,4,3,2,2,4,3,1,28,4
"6",6,15,7,12,7,1,1,15,7,9,5,1,1,3,2,0,2,0,0,3,2,3,1,31,6
"7",7,15,14,12,14,1,1,15,7,12,7,1,1,6,6,2,6,2,0,6,6,2,1,38,13
"8",8,17,14,12,26,1,1,15,14,12,14,1,1,2,0,0,1,1,6,2,6,1,1,40,25
"9",9,17,15,12,27,1,1,17,14,12,26,1,1,1,1,0,1,0,0,1,1,2,1,41,26
"10",10,17,15,17,30,1,1,17,15,12,27,1,1,5,3,1,3,1,0,5,3,3,1,46,29
"11",11,17,16,17,36,6,1,17,15,17,30,1,1,1,0,0,1,1,6,1,6,2,1,47,40
"12",12,17,17,17,37,6,1,17,16,17,36,6,1,1,1,0,1,0,0,1,1,2,1,48,41
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",1,7,7,5,15,1,1,1,1,1,1,1,1,6,1,6,1,6,0,6,6,1,1,16,14
"15",2,8,7,5,19,1,1,7,7,5,15,1,1,1,0,0,4,2,4,1,4,1,1,17,18
"16",3,8,7,9,21,1,1,8,7,5,19,1,1,2,4,0,2,0,0,4,2,3,1,21,20
"17",4,13,7,15,26,1,1,8,7,9,21,1,1,2,6,5,2,5,0,6,5,3,1,32,25
"18",5,15,7,15,37,1,1,13,7,15,26,1,1,2,0,0,6,5,2,2,6,1,1,34,36
"19",6,17,7,15,37,6,1,15,7,15,37,1,1,5,2,0,5,0,0,2,5,1,2,36,41
"20",7,17,10,15,38,12,1,17,7,15,37,6,1,1,3,6,1,6,0,3,6,2,2,39,48
"21",8,17,10,16,39,15,1,17,10,15,38,12,1,1,0,0,3,1,2,1,1,3,1,40,90
"22",9,20,10,16,39,17,1,17,10,16,39,15,1,3,2,0,2,0,0,3,2,1,2,43,92
"23",10,1,10,16,39,26,5,20,10,16,39,17,1,3,4,1,4,1,0,3,4,1,3,24,105
"24",11,2,10,16,39,31,5,1,10,16,39,26,5,1,0,0,4,5,4,1,5,1,2,25,110
"25",12,6,10,16,39,35,5,2,10,16,39,31,5,4,4,0,4,0,0,4,4,1,2,29,114
