"","Move","Player_1_Final1","Player_1_Final2","Player_2_Final1","Player_2_Final2","Player_1_Initial1","Player_1_Initial2","Player_2_Initial1","Player_2_Initial2","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"1",1,1,3,1,5,1,1,1,1,2,4,4,4,4,0,2,4,2,2,2,4
"2",2,1,7,10,5,1,3,1,5,4,0,0,6,1,1,4,6,2,1,6,13
"3",3,1,8,10,6,1,7,10,5,1,1,0,1,0,0,1,1,2,2,7,14
"4",4,1,12,10,10,1,8,10,6,4,4,2,4,2,0,4,4,2,2,11,18
"5",5,1,14,16,15,1,12,10,10,2,0,0,4,2,6,2,6,2,1,13,29
"6",6,1,18,16,17,1,14,16,15,4,2,0,2,0,0,4,2,2,2,17,31
"7",7,1,23,18,17,1,18,16,17,5,2,4,2,4,0,5,2,2,1,22,33
"8",8,1,27,18,20,1,23,18,17,4,0,0,4,2,3,4,3,2,2,26,36
"9",9,1,31,20,20,1,27,18,20,4,2,0,2,0,0,4,2,2,1,30,38
"10",10,1,34,21,20,1,31,20,20,1,2,3,1,2,0,3,1,2,1,33,39
"11",11,1,36,21,25,1,34,21,20,2,0,0,5,6,3,2,5,2,2,35,44
"12",12,4,48,24,1,1,36,21,25,6,3,0,3,0,0,6,3,2,1,97,23
"13",13,11,48,30,3,4,48,24,1,6,6,6,6,6,0,6,6,1,1,104,31
"14",14,19,48,35,3,11,48,30,3,6,0,0,5,1,2,6,5,1,1,112,36
"15",15,20,48,37,3,19,48,35,3,1,2,0,2,0,0,1,2,1,1,113,38
"16",16,26,48,42,1,20,48,37,3,5,5,3,5,3,0,5,5,1,1,119,41
"17",17,29,48,43,1,26,48,42,1,3,0,0,1,3,6,3,1,1,1,122,42
"18",18,32,48,43,1,29,48,43,1,3,6,0,6,0,0,3,0,1,0,125,42
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",1,1,5,1,9,1,1,1,1,4,2,6,2,6,0,4,6,2,2,4,8
"21",2,3,5,2,9,1,5,1,9,2,0,0,1,2,3,2,1,1,1,6,9
"22",3,6,5,2,11,3,5,2,9,2,3,0,2,0,0,3,2,1,2,9,11
"23",4,11,5,2,15,6,5,2,11,1,5,4,1,4,0,5,4,1,2,14,15
"24",5,12,1,2,28,11,5,2,15,1,0,0,3,6,2,1,6,1,2,11,28
"25",6,12,3,2,31,12,1,2,28,3,2,0,3,0,0,2,3,2,2,13,31
"26",7,12,11,2,10,12,3,2,31,3,6,6,3,6,0,6,6,2,2,21,10
"27",8,15,11,7,10,12,11,2,10,3,0,0,5,4,2,3,5,1,1,24,15
"28",9,19,11,9,10,15,11,7,10,4,2,0,2,0,0,4,2,1,1,28,17
"29",10,19,15,9,13,19,11,9,10,2,4,3,2,3,0,4,3,2,2,32,20
"30",11,19,17,9,14,19,15,9,13,2,0,0,3,3,1,2,1,2,2,34,21
"31",12,22,17,12,14,19,17,9,14,3,3,0,3,0,0,3,3,1,1,37,24
"32",13,22,21,19,14,22,17,12,14,4,6,6,6,6,0,4,6,2,1,41,31
"33",14,27,27,21,14,22,21,19,14,6,0,0,2,6,2,6,2,2,1,52,33
"34",15,33,31,23,14,27,27,21,14,6,2,0,2,0,0,6,2,1,1,62,35
"35",16,34,31,26,14,33,31,23,14,6,3,1,6,3,0,1,3,1,1,63,38
"36",17,1,31,27,26,34,31,26,14,6,0,0,1,6,1,6,6,1,2,30,51
"37",18,1,32,27,26,1,31,27,26,1,1,0,1,0,0,1,0,2,0,31,51
"38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",1,1,4,1,3,1,1,1,1,2,1,3,2,1,0,3,2,2,2,3,2
"40",2,1,5,5,3,1,4,1,3,1,0,0,4,6,4,1,4,2,1,4,6
"41",3,5,11,9,3,1,5,5,3,6,4,0,4,0,0,6,4,2,1,14,10
"42",4,5,15,9,6,5,11,9,3,4,3,4,3,4,0,4,3,2,2,18,13
"43",5,5,19,12,6,5,15,9,6,4,0,0,4,3,4,4,3,2,1,22,16
"44",6,5,23,12,10,5,19,12,6,4,4,0,4,0,0,4,4,2,2,26,20
"45",7,5,31,13,10,5,23,12,10,6,1,2,1,2,0,6,1,2,1,34,21
"46",8,7,31,15,10,5,31,13,10,2,0,0,4,2,1,2,2,1,1,36,23
"47",9,8,31,19,10,7,31,15,10,4,1,0,4,0,0,1,4,1,1,37,27
"48",10,13,31,36,10,8,31,19,10,2,5,6,2,6,0,5,6,1,1,42,44
"49",11,1,31,37,15,13,31,36,10,2,0,0,1,1,5,2,1,1,1,30,50
"50",12,1,36,37,16,1,31,37,15,1,5,0,1,0,0,5,1,2,2,35,51
"51",13,1,41,41,16,1,36,37,16,1,4,5,1,4,0,5,4,2,1,40,55
"52",14,1,1,43,20,1,41,41,16,1,0,0,6,2,4,1,4,2,2,0,61
"53",15,4,7,45,20,1,1,43,20,6,2,0,2,0,0,6,2,2,1,9,63
"54",16,9,7,47,20,4,7,45,20,5,2,5,2,5,0,5,2,1,1,14,65
"55",17,14,7,47,25,9,7,47,20,5,0,0,5,2,4,5,5,1,2,19,70
"56",18,14,11,47,25,14,7,47,25,2,4,0,2,0,0,4,0,2,0,23,70
"57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",1,6,1,1,5,1,1,1,1,4,5,2,4,2,0,5,4,1,2,5,4
