"","Move","Player_1_Final1","Player_1_Final2","Player_1_Final3","Player_2_Final1","Player_2_Final2","Player_2_Final3","Player_1_Initial1","Player_1_Initial2","Player_1_Initial3","Player_2_Initial1","Player_2_Initial2","Player_2_Initial3","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"1",1,1,1,5,4,1,1,1,1,1,1,1,1,1,3,4,1,3,0,4,3,3,1,4,3
"2",2,1,2,5,4,6,1,1,1,5,4,1,1,1,0,0,4,3,5,1,5,2,2,5,8
"3",3,4,2,5,8,6,1,1,2,5,4,6,1,4,3,0,4,0,0,3,4,1,1,8,12
"4",4,4,6,5,8,9,1,4,2,5,8,6,1,3,2,4,3,2,0,4,3,2,2,12,15
"5",5,6,6,5,18,9,1,4,6,5,8,9,1,2,0,0,6,2,2,2,6,1,1,14,25
"6",6,8,6,5,18,11,1,6,6,5,18,9,1,2,2,0,2,0,0,2,2,1,2,16,27
"7",7,8,10,5,19,11,1,8,6,5,18,11,1,1,4,4,1,4,0,4,1,2,1,20,28
"8",8,8,14,5,19,11,6,8,10,5,19,11,1,4,0,0,3,5,4,4,5,2,3,24,33
"9",9,8,17,5,19,11,10,8,14,5,19,11,6,3,4,0,4,0,0,3,4,2,3,27,37
"10",10,9,23,5,19,14,10,8,17,5,19,11,10,6,2,3,2,3,0,6,3,2,2,34,40
"11",11,9,25,5,19,19,10,9,23,5,19,14,10,2,0,0,4,5,4,2,5,2,2,36,45
"12",12,13,25,5,19,19,14,9,25,5,19,19,10,4,4,0,4,0,0,4,4,1,3,40,49
"13",13,13,27,5,19,19,19,13,25,5,19,19,14,2,5,1,5,1,0,2,5,2,3,42,54
"14",14,13,28,5,19,23,19,13,27,5,19,19,19,1,0,0,4,1,4,1,4,2,2,43,58
"15",15,13,32,5,20,23,19,13,28,5,19,23,19,1,4,0,1,0,0,4,1,2,1,47,59
"16",16,13,37,1,26,23,19,13,32,5,20,23,19,5,3,2,3,2,0,5,3,2,1,48,65
"17",17,18,39,1,37,23,19,13,37,1,26,23,19,2,0,0,6,4,1,2,1,2,1,93,76
"18",18,20,39,7,37,27,19,18,39,1,37,23,19,6,4,0,4,0,0,6,4,3,2,101,80
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",1,12,1,1,6,1,1,1,1,1,1,1,1,1,6,5,1,5,0,6,5,1,1,11,5
"21",2,12,1,2,6,12,1,12,1,1,6,1,1,1,0,0,4,4,6,1,6,3,2,12,16
"22",3,16,1,2,6,12,5,12,1,2,6,12,1,4,4,0,4,0,0,4,4,1,3,16,20
"23",4,21,1,2,6,14,11,16,1,2,6,12,5,6,4,5,6,4,0,5,6,1,3,21,28
"24",5,21,1,6,9,14,11,21,1,2,6,14,11,4,0,0,1,3,1,4,3,3,1,25,31
"25",6,21,1,7,9,15,11,21,1,6,9,14,11,1,1,0,1,0,0,1,1,3,2,26,32
"26",7,27,1,8,1,17,11,21,1,7,9,15,11,2,2,6,2,2,0,6,2,1,2,33,26
"27",8,34,1,8,6,17,1,27,1,8,1,17,11,2,0,0,5,4,4,2,5,1,1,40,21
"28",9,38,1,8,6,21,1,34,1,8,6,17,1,4,4,0,4,0,0,4,4,1,2,44,25
"29",10,38,6,8,15,1,1,38,1,8,6,21,1,2,5,4,5,4,0,2,4,2,1,49,14
"30",11,38,11,8,19,1,1,38,6,8,15,1,1,5,0,0,4,5,6,5,4,2,1,54,18
"31",12,38,21,8,24,1,1,38,11,8,19,1,1,5,6,0,5,0,0,6,5,2,1,64,23
"32",13,39,1,8,36,6,6,38,21,8,24,1,1,6,1,6,6,6,0,1,6,1,1,83,45
"33",14,39,2,14,39,14,6,39,1,8,36,6,6,6,0,0,5,6,5,6,6,3,2,90,94
"34",15,39,2,19,39,19,6,39,2,14,39,14,6,5,5,0,5,0,0,5,5,3,2,95,99
"35",16,39,2,21,39,19,13,39,2,19,39,19,6,2,6,2,6,2,0,2,6,3,3,97,106
"36",17,39,2,23,39,19,18,39,2,21,39,19,13,2,0,0,2,5,1,2,5,3,3,99,111
"37",18,39,2,25,39,19,19,39,2,23,39,19,18,2,1,0,1,0,0,2,1,3,3,101,112
"38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
