"","Move","Player_1_Final1","Player_1_Final2","Player_1_Final3","Player_1_Final4","Player_2_Final1","Player_2_Final2","Player_2_Final3","Player_2_Final4","Player_1_Initial1","Player_1_Initial2","Player_1_Initial3","Player_1_Initial4","Player_2_Initial1","Player_2_Initial2","Player_2_Initial3","Player_2_Initial4","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"1",1,1,1,1,5,3,1,1,1,1,1,1,1,1,1,1,1,4,1,2,1,2,0,4,2,4,1,4,2
"2",2,1,1,1,6,3,6,1,1,1,1,1,5,3,1,1,1,1,0,0,3,4,5,1,5,4,2,5,7
"3",3,1,1,4,6,7,6,1,1,1,1,1,6,3,6,1,1,3,4,0,4,0,0,3,4,3,1,8,11
"4",4,1,1,4,14,7,6,7,2,1,1,4,6,7,6,1,1,6,4,6,4,6,0,6,6,4,3,16,18
"5",5,1,5,4,14,16,6,7,8,1,1,4,14,7,6,7,2,4,0,0,6,6,2,4,6,2,4,20,33
"6",6,1,5,4,23,16,6,9,8,1,5,4,14,16,6,7,8,6,2,0,2,0,0,6,2,4,3,29,35
"7",7,1,5,9,23,16,6,14,8,1,5,4,23,16,6,9,8,5,2,5,2,5,0,5,5,3,3,34,40
"8",8,1,5,11,23,16,6,19,8,1,5,9,23,16,6,14,8,2,0,0,5,5,1,2,5,3,3,36,45
"9",9,6,5,11,23,16,6,19,9,1,5,11,23,16,6,19,8,5,1,0,1,0,0,5,1,1,4,41,46
"10",10,6,5,16,23,16,6,19,19,6,5,11,23,16,6,19,9,1,5,6,1,6,0,5,6,3,4,46,56
"11",11,7,5,16,23,20,18,19,19,6,5,16,23,16,6,19,19,1,0,0,6,1,4,1,6,1,2,47,72
"12",12,11,5,16,23,20,19,19,19,7,5,16,23,20,18,19,19,1,4,0,1,0,0,4,1,1,2,51,73
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",1,1,2,1,1,10,1,1,1,1,1,1,1,1,1,1,1,2,6,1,2,6,0,1,6,2,1,1,9
"15",2,1,4,1,1,10,8,1,1,1,2,1,1,10,1,1,1,2,0,0,6,5,2,2,6,2,2,3,16
"16",3,1,9,1,1,12,8,1,1,1,4,1,1,10,8,1,1,5,2,0,2,0,0,5,2,2,1,8,18
"17",4,1,14,1,1,12,8,7,3,1,9,1,1,12,8,1,1,5,4,6,4,6,0,5,6,2,3,13,26
"18",5,5,14,1,1,15,8,7,3,1,14,1,1,12,8,7,3,4,0,0,1,2,3,4,3,1,1,17,29
"19",6,5,14,1,3,15,9,7,3,5,14,1,1,15,8,7,3,1,2,0,1,0,0,2,1,4,2,19,30
"20",7,5,16,1,3,15,9,7,8,5,14,1,3,15,9,7,3,2,5,2,5,2,0,2,5,2,4,21,35
"21",8,5,16,3,3,15,17,7,8,5,16,1,3,15,9,7,8,2,0,0,2,6,2,2,6,3,2,23,43
"22",9,5,18,3,3,15,19,7,8,5,16,3,3,15,17,7,8,2,2,0,2,0,0,2,2,2,2,25,45
"23",10,5,22,3,3,15,19,9,8,5,18,3,3,15,19,7,8,4,2,1,2,1,0,4,2,2,3,29,47
"24",11,5,22,4,3,15,19,14,8,5,22,3,3,15,19,9,8,1,0,0,5,1,2,1,5,3,3,30,52
"25",12,7,22,4,3,15,19,14,9,5,22,4,3,15,19,14,8,1,2,0,1,0,0,2,1,1,4,32,53
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",1,1,1,1,6,5,1,1,1,1,1,1,1,1,1,1,1,4,5,3,4,3,0,5,4,4,1,5,4
"28",2,4,1,1,6,5,6,1,1,1,1,1,6,5,1,1,1,3,0,0,1,5,5,3,5,1,2,8,9
"29",3,4,6,1,6,6,6,1,1,4,1,1,6,5,6,1,1,1,5,0,1,0,0,5,1,2,1,13,10
"30",4,5,6,7,6,6,10,1,1,4,6,1,6,6,6,1,1,4,6,2,4,2,0,6,4,3,2,20,14
"31",5,5,8,7,6,11,10,1,1,5,6,7,6,6,10,1,1,2,0,0,2,5,5,2,5,2,1,22,19
"32",6,5,8,7,11,11,12,1,1,5,8,7,6,11,10,1,1,2,5,0,2,0,0,5,2,4,2,27,21
"33",7,11,8,7,12,16,12,1,1,5,8,7,11,11,12,1,1,6,2,5,2,5,0,6,5,1,1,34,26
"34",8,11,10,7,12,16,16,1,1,11,8,7,12,16,12,1,1,2,0,0,4,2,4,2,4,2,2,36,30
"35",9,15,10,7,12,16,16,3,1,11,10,7,12,16,16,1,1,2,4,0,2,0,0,4,2,1,3,40,32
"36",10,15,10,7,17,16,16,7,1,15,10,7,12,16,16,3,1,2,5,4,2,4,0,5,4,4,3,45,36
