"","Move","Player_1_Final1","Player_1_Final2","Player_1_Final3","Player_2_Final1","Player_2_Final2","Player_2_Final3","Player_1_Initial1","Player_1_Initial2","Player_1_Initial3","Player_2_Initial1","Player_2_Initial2","Player_2_Initial3","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"1",1,6,1,1,1,11,7,1,1,1,1,1,1,5,4,6,4,6,0,5,6,1,2,5,16
"2",2,10,1,1,1,11,9,6,1,1,1,11,7,4,0,0,5,4,2,4,2,1,3,9,18
"3",3,10,5,1,6,11,9,10,1,1,1,11,9,5,4,0,5,0,0,4,5,2,1,13,23
"4",4,14,5,1,10,11,9,10,5,1,6,11,9,4,4,1,4,1,0,4,4,1,1,17,27
"5",5,14,5,2,10,11,12,14,5,1,10,11,9,1,0,0,3,5,4,1,3,3,3,18,30
"6",6,19,5,2,10,15,12,14,5,2,10,11,12,5,4,0,4,0,0,5,4,1,2,23,34
"7",7,24,5,2,10,15,14,19,5,2,10,15,12,1,5,2,1,2,0,5,2,1,3,28,36
"8",8,24,6,1,10,16,20,24,5,2,10,15,14,1,0,0,6,6,1,1,6,2,3,28,43
"9",9,30,6,6,11,16,20,24,6,1,10,16,20,6,1,0,1,0,0,6,1,1,1,39,44
"10",10,1,6,6,12,17,20,30,6,6,11,16,20,1,5,5,1,5,0,5,1,1,2,10,46
"11",11,1,11,6,18,20,20,1,6,6,12,17,20,5,0,0,6,2,1,5,6,2,1,15,55
"12",12,1,11,6,18,20,20,1,11,6,18,20,20,2,1,0,NA,0,0,0,0,0,0,15,55
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",1,1,4,1,6,1,1,1,1,1,1,1,1,5,1,3,5,1,0,3,5,2,1,3,5
"15",2,2,4,1,9,1,1,1,4,1,6,1,1,1,0,0,3,1,2,1,3,1,1,4,8
"16",3,2,6,1,9,1,2,2,4,1,9,1,1,1,2,0,1,0,0,2,1,2,3,6,9
"17",4,2,9,1,9,4,2,2,6,1,9,1,2,3,3,3,3,3,0,3,3,2,2,9,12
"18",5,2,12,1,9,4,5,2,9,1,9,4,2,3,0,0,3,4,1,3,3,2,3,12,15
"19",6,6,12,1,9,5,5,2,12,1,9,4,5,4,1,0,1,0,0,4,1,1,2,16,16
"20",7,6,15,1,11,5,5,6,12,1,9,5,5,2,3,2,2,2,0,3,2,2,1,19,18
"21",8,6,15,3,13,5,11,6,15,1,11,5,5,2,0,0,6,3,1,2,6,3,3,21,26
"22",9,6,18,3,13,6,11,6,15,3,13,5,11,3,1,0,1,0,0,3,1,2,2,24,27
"23",10,6,23,3,17,12,11,6,18,3,13,6,11,1,5,6,1,6,0,5,6,2,2,29,37
"24",11,7,23,3,23,12,19,6,23,3,17,12,11,1,0,0,6,6,6,1,6,1,3,30,51
"25",12,7,23,3,23,12,19,7,23,3,23,12,19,6,6,0,NA,0,0,0,0,0,0,30,51
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",1,6,1,1,1,5,1,1,1,1,1,1,1,4,5,1,4,1,0,5,4,1,2,5,4
"28",2,7,1,1,1,5,10,6,1,1,1,5,1,1,0,0,4,5,6,1,6,1,3,6,13
"29",3,11,1,1,1,10,10,7,1,1,1,5,10,4,5,0,5,0,0,4,5,1,2,10,18
"30",4,11,1,3,1,11,10,11,1,1,1,10,10,1,2,2,1,2,0,2,1,3,2,12,19
"31",5,11,1,5,1,14,10,11,1,3,1,11,10,2,0,0,3,1,2,2,3,3,2,14,22
"32",6,13,1,5,1,15,10,11,1,5,1,14,10,1,2,0,1,0,0,2,1,1,2,16,23
"33",7,13,1,10,1,15,14,13,1,5,1,15,10,5,4,2,4,2,0,5,4,3,3,21,27
"34",8,13,1,12,4,15,14,13,1,10,1,15,14,2,0,0,4,3,1,2,3,3,1,23,30
"35",9,13,1,16,5,15,14,13,1,12,4,15,14,4,1,0,1,0,0,4,1,3,1,27,31
"36",10,16,1,16,7,15,14,13,1,16,5,15,14,3,2,1,2,1,0,3,2,1,1,30,33
"37",11,17,1,16,14,15,14,16,1,16,7,15,14,1,0,0,5,3,6,1,6,1,1,31,40
"38",12,17,1,16,14,15,14,17,1,16,14,15,14,5,3,0,NA,0,0,0,0,0,0,31,40
"39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",1,4,1,1,1,1,6,1,1,1,1,1,1,5,2,3,5,2,0,3,5,1,3,3,5
"41",2,6,1,1,6,1,6,4,1,1,1,1,6,2,0,0,4,5,1,2,5,1,1,5,10
"42",3,10,1,1,7,1,6,6,1,1,6,1,6,4,1,0,1,0,0,4,1,1,1,9,11
"43",4,10,5,1,7,5,6,10,1,1,7,1,6,1,4,4,1,4,0,4,4,2,2,13,15
"44",5,11,5,1,7,5,9,10,5,1,7,5,6,1,0,0,2,3,4,1,3,1,3,14,18
"45",6,15,5,1,7,7,9,11,5,1,7,5,9,2,4,0,2,0,0,4,2,1,2,18,20
"46",7,16,5,1,13,12,9,15,5,1,7,7,9,1,6,2,6,2,0,1,6,1,1,19,31
"47",8,18,5,1,13,12,18,16,5,1,13,12,9,2,0,0,6,3,1,2,6,1,3,21,40
"48",9,21,5,1,14,12,18,18,5,1,13,12,18,3,1,0,1,0,0,3,1,1,1,24,41
"49",10,23,5,1,15,12,18,21,5,1,14,12,18,4,1,2,4,1,0,2,1,1,1,26,42
"50",11,27,5,1,15,13,18,23,5,1,15,12,18,4,0,0,1,3,3,4,1,1,2,30,43
"51",12,27,5,1,15,13,18,27,5,1,15,13,18,3,3,0,NA,0,0,0,0,0,0,30,43
"52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",1,1,1,6,1,3,1,1,1,1,1,1,1,1,5,2,1,2,0,5,2,3,2,5,2
"54",2,1,1,7,1,6,1,1,1,6,1,3,1,1,0,0,1,3,4,1,3,3,2,6,5
"55",3,2,1,7,1,6,5,1,1,7,1,6,1,1,4,0,4,0,0,1,4,1,3,7,9
"56",4,2,3,7,11,6,5,2,1,7,1,6,5,5,2,6,5,6,0,2,6,2,1,9,19
"57",5,2,8,7,17,6,8,2,3,7,11,6,5,5,0,0,3,6,1,5,6,2,1,14,28
"58",6,2,11,7,17,6,9,2,8,7,17,6,8,3,1,0,1,0,0,3,1,2,3,17,29
"59",7,2,11,8,17,16,15,2,11,7,17,6,9,1,6,4,6,4,0,1,6,3,3,18,45
"60",8,2,11,12,17,22,18,2,11,8,17,16,15,4,0,0,6,1,4,4,6,3,2,22,54
"61",9,6,11,12,17,23,18,2,11,12,17,22,18,1,4,0,1,0,0,4,1,1,2,26,55
"62",10,8,11,12,21,23,18,6,11,12,17,23,18,2,4,3,4,3,0,2,4,1,1,28,59
"63",11,11,11,12,24,23,18,8,11,12,21,23,18,3,0,0,3,6,4,3,3,1,1,31,62
"64",12,11,11,12,24,23,18,11,11,12,24,23,18,6,4,0,NA,0,0,0,0,0,0,31,62
"65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66",1,6,1,1,1,5,1,1,1,1,1,1,1,3,5,4,3,4,0,5,4,1,2,5,4
"67",2,9,1,1,1,10,1,6,1,1,1,5,1,3,0,0,5,1,3,3,5,1,2,8,9
"68",3,10,1,1,4,10,1,9,1,1,1,10,1,1,3,0,3,0,0,1,3,1,1,9,12
