"","Move","Player_1_Final1","Player_1_Final2","Player_1_Final3","Player_1_Final4","Player_2_Final1","Player_2_Final2","Player_2_Final3","Player_2_Final4","Player_1_Initial1","Player_1_Initial2","Player_1_Initial3","Player_1_Initial4","Player_2_Initial1","Player_2_Initial2","Player_2_Initial3","Player_2_Initial4","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"1",1,1,1,1,4,1,1,1,6,1,1,1,1,1,1,1,1,3,3,5,3,5,0,3,5,4,4,3,5
"2",2,4,1,1,4,6,1,1,6,1,1,1,4,1,1,1,6,3,0,0,4,5,5,3,5,1,1,6,10
"3",3,9,1,1,4,10,1,1,6,4,1,1,4,6,1,1,6,4,5,0,4,0,0,5,4,1,1,11,14
"4",4,9,1,5,4,10,1,1,7,9,1,1,4,10,1,1,6,1,4,1,1,1,0,4,1,3,4,15,15
"5",5,9,1,6,4,10,1,1,12,9,1,5,4,10,1,1,7,1,0,0,5,4,2,1,5,3,4,16,20
"6",6,9,1,10,4,10,3,1,12,9,1,6,4,10,1,1,12,4,2,0,2,0,0,4,2,3,2,20,22
"7",7,9,1,14,4,15,9,1,12,9,1,10,4,10,3,1,12,4,6,2,6,2,0,4,6,3,2,24,33
"8",8,11,1,14,4,18,9,1,12,9,1,14,4,15,9,1,12,2,0,0,5,3,1,2,3,1,1,26,36
"9",9,16,1,14,4,19,9,1,12,11,1,14,4,18,9,1,12,5,1,0,1,0,0,5,1,1,1,31,37
"10",10,16,1,14,6,21,9,1,12,16,1,14,4,19,9,1,12,2,2,2,2,2,0,2,2,4,1,33,39
"11",11,16,3,16,6,1,9,1,15,16,1,14,6,21,9,1,12,2,0,0,2,2,3,2,3,2,4,37,22
"12",12,16,3,18,6,1,9,3,15,16,3,16,6,1,9,1,15,2,2,0,2,0,0,2,2,3,3,39,24
"13",13,16,6,18,12,5,9,3,15,16,3,18,6,1,9,3,15,6,4,6,4,6,0,6,4,4,1,48,28
"14",14,16,12,18,16,5,10,3,15,16,6,18,12,5,9,3,15,6,0,0,1,2,4,6,1,2,2,58,29
"15",15,20,12,18,16,7,10,3,15,16,12,18,16,5,10,3,15,2,4,0,2,0,0,4,2,1,1,62,31
"16",16,20,12,23,16,8,10,3,21,20,12,18,16,7,10,3,15,5,5,6,5,6,0,5,6,3,4,67,38
"17",17,25,12,1,16,8,13,5,21,20,12,23,16,8,10,3,21,5,0,0,2,1,4,5,2,1,3,50,43
"18",18,25,16,1,16,8,13,6,21,25,12,1,16,8,13,5,21,1,4,0,1,0,0,4,1,2,3,54,44
"19",19,25,22,7,21,8,17,6,21,25,16,1,16,8,13,6,21,6,4,5,4,5,0,6,4,3,2,71,48
"20",20,25,22,12,21,8,18,6,21,25,22,7,21,8,17,6,21,5,0,0,6,1,5,5,1,3,2,76,49
"21",21,25,22,17,21,14,28,6,21,25,22,12,21,8,18,6,21,6,5,0,6,0,0,5,6,3,1,81,65
"22",22,26,22,17,21,14,32,6,21,25,22,17,21,14,28,6,21,4,5,1,4,5,0,1,4,1,2,82,69
"23",23,1,22,22,21,14,36,8,21,26,22,17,21,14,32,6,21,5,0,0,2,3,6,5,2,3,3,62,75
"24",24,1,22,22,21,14,36,8,21,1,22,22,21,14,36,8,21,3,6,0,NA,0,0,0,0,0,0,62,75
"25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",1,6,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,4,3,5,4,3,0,5,4,1,1,5,4
"27",2,9,1,1,1,5,7,1,6,6,1,1,1,5,1,1,1,3,0,0,6,6,5,3,6,1,2,8,15
"28",3,15,5,1,1,5,7,1,11,9,1,1,1,5,7,1,6,6,5,0,5,0,0,6,5,1,4,18,20
"29",4,15,7,1,1,5,11,1,11,15,5,1,1,5,7,1,11,2,1,4,1,4,0,2,4,2,2,20,24
"30",5,15,7,2,1,5,14,1,11,15,7,1,1,5,11,1,11,1,0,0,3,3,5,1,3,3,2,21,27
"31",6,20,7,2,1,8,14,1,11,15,7,2,1,5,14,1,11,3,5,0,3,0,0,5,3,1,1,26,30
"32",7,20,7,3,1,11,14,1,11,20,7,2,1,8,14,1,11,1,3,2,3,2,0,1,3,3,1,27,33
"33",8,22,7,3,1,11,14,1,20,20,7,3,1,11,14,1,11,2,0,0,6,3,6,2,6,1,4,29,42
"34",9,29,7,5,1,4,14,1,20,22,7,3,1,11,14,1,20,3,6,0,3,0,0,6,3,1,1,38,35
"35",10,29,12,5,1,9,14,1,20,29,7,5,1,4,14,1,20,5,5,6,5,6,0,5,5,2,1,43,40
"36",11,38,12,1,1,9,16,1,23,29,12,5,1,9,14,1,20,6,0,0,3,1,5,6,3,1,4,48,45
"37",12,39,13,1,1,9,16,1,28,38,12,1,1,9,16,1,23,1,5,0,5,0,0,1,5,1,4,88,50
"38",13,39,18,7,1,9,16,4,28,39,13,1,1,9,16,1,28,6,3,3,3,3,0,6,3,3,3,99,53
"39",14,39,28,10,1,9,16,8,1,39,18,7,1,9,16,4,28,3,0,0,2,4,1,3,4,3,3,112,30
"40",15,39,30,10,1,10,16,8,1,39,28,10,1,9,16,8,1,2,1,0,1,0,0,2,1,2,1,114,31
"41",16,39,35,10,1,15,16,8,1,39,30,10,1,10,16,8,1,5,5,2,5,2,0,5,5,2,1,119,36
"42",17,39,37,10,1,24,16,8,1,39,35,10,1,15,16,8,1,2,0,0,6,4,6,2,6,2,1,121,45
