"","Move","Player_1_Final1","Player_1_Final2","Player_1_Final3","Player_2_Final1","Player_2_Final2","Player_2_Final3","Player_1_Initial1","Player_1_Initial2","Player_1_Initial3","Player_2_Initial1","Player_2_Initial2","Player_2_Initial3","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"1",1,5,1,1,1,3,1,1,1,1,1,1,1,2,4,1,2,1,0,4,2,1,2,4,2
"2",2,5,2,1,15,3,1,5,1,1,1,3,1,1,0,0,1,6,3,1,6,2,1,5,16
"3",3,8,2,1,16,3,1,5,2,1,15,3,1,1,3,0,1,0,0,3,1,1,1,8,17
"4",4,8,18,1,18,3,1,8,2,1,16,3,1,6,1,2,1,2,0,6,2,2,1,24,19
"5",5,8,18,2,18,7,1,8,18,1,18,3,1,1,0,0,3,4,4,1,4,3,2,25,23
"6",6,8,18,6,18,10,1,8,18,2,18,7,1,3,4,0,3,0,0,4,3,3,2,29,26
"7",7,17,18,6,21,10,1,8,18,6,18,10,1,1,3,6,1,3,0,6,3,1,1,38,29
"8",8,17,19,6,21,14,1,17,18,6,21,10,1,1,0,0,5,4,1,1,4,2,2,39,33
"9",9,22,19,6,22,14,1,17,19,6,21,14,1,5,1,0,1,0,0,5,1,1,1,44,34
"10",10,22,19,11,22,16,1,22,19,6,22,14,1,2,5,2,2,2,0,5,2,3,2,49,36
"11",11,22,19,13,22,16,6,22,19,11,22,16,1,2,0,0,6,5,5,2,5,3,3,51,41
"12",12,23,19,19,27,16,6,22,19,13,22,16,6,6,5,0,5,0,0,6,5,3,1,58,46
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",1,4,1,1,1,3,1,1,1,1,1,1,1,2,3,2,2,2,0,3,2,1,2,3,2
"15",2,4,3,1,1,8,1,4,1,1,1,3,1,2,0,0,3,5,2,2,5,2,2,5,7
"16",3,7,3,1,3,8,1,4,3,1,1,8,1,3,2,0,2,0,0,3,2,1,1,8,9
"17",4,7,7,1,3,8,3,7,3,1,3,8,1,2,4,1,2,1,0,4,2,2,3,12,11
"18",5,8,7,1,3,8,8,7,7,1,3,8,3,1,0,0,5,5,1,1,5,1,3,13,16
"19",6,8,12,1,3,8,9,8,7,1,3,8,8,5,1,0,1,0,0,5,1,2,3,18,17
"20",7,19,12,1,3,8,12,8,12,1,3,8,9,2,3,6,2,3,0,6,3,1,3,29,20
"21",8,19,14,1,3,8,16,19,12,1,3,8,12,2,0,0,6,4,3,2,4,2,3,31,24
"22",9,19,14,12,3,11,16,19,14,1,3,8,16,6,3,0,3,0,0,6,3,3,2,42,27
