"","Move","Player_1_Final1","Player_1_Final2","Player_1_Final3","Player_1_Final4","Player_2_Final1","Player_2_Final2","Player_2_Final3","Player_2_Final4","Player_1_Initial1","Player_1_Initial2","Player_1_Initial3","Player_1_Initial4","Player_2_Initial1","Player_2_Initial2","Player_2_Initial3","Player_2_Initial4","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"1",1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,3,3,1,3,0,3,3,1,2,3,3
"2",2,4,2,1,1,1,10,2,1,4,1,1,1,1,4,1,1,1,0,0,4,4,6,1,6,2,2,4,10
"3",3,8,2,1,1,1,10,2,5,4,2,1,1,1,10,2,1,4,4,0,4,0,0,4,4,1,4,8,14
"4",4,8,13,1,1,1,10,2,10,8,2,1,1,1,10,2,5,4,5,6,4,5,0,6,5,2,4,19,19
"5",5,12,13,1,1,1,16,6,10,8,13,1,1,1,10,2,10,4,0,0,6,4,4,4,6,1,2,23,29
"6",6,12,17,1,1,1,16,10,10,12,13,1,1,1,16,6,10,4,4,0,4,0,0,4,4,2,3,27,33
"7",7,15,17,1,1,4,16,10,10,12,17,1,1,1,16,10,10,3,3,3,3,3,0,3,3,1,1,30,36
"8",8,15,20,1,1,4,16,15,10,15,17,1,1,4,16,10,10,3,0,0,5,2,4,3,5,2,3,33,41
"9",9,19,20,1,1,4,18,15,10,15,20,1,1,4,16,15,10,2,4,0,2,0,0,4,2,1,2,37,43
"10",10,19,23,1,1,10,18,15,14,19,20,1,1,4,18,15,10,3,6,2,6,2,0,3,6,2,1,40,53
"11",11,19,23,3,1,14,18,15,14,19,23,1,1,10,18,15,14,2,0,0,4,6,2,2,4,3,1,42,57
"12",12,19,23,3,8,14,18,15,16,19,23,3,1,14,18,15,14,6,2,0,2,0,0,6,2,4,4,49,59
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",1,4,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,3,2,1,2,0,3,2,1,3,3,2
"15",2,4,2,1,1,6,1,3,1,4,1,1,1,1,1,3,1,1,0,0,5,1,5,1,5,2,1,4,7
"16",3,9,2,1,1,7,1,3,1,4,2,1,1,6,1,3,1,1,5,0,1,0,0,5,1,1,1,9,8
"17",4,9,13,1,1,14,1,9,1,9,2,1,1,7,1,3,1,6,1,6,1,6,0,6,6,2,3,20,21
"18",5,10,13,1,1,14,1,12,7,9,13,1,1,14,1,9,1,1,0,0,6,3,5,1,6,1,4,21,30
"19",6,10,18,1,1,14,4,12,7,10,13,1,1,14,1,12,7,3,5,0,3,0,0,5,3,2,2,26,33
"20",7,20,18,1,1,14,8,12,7,10,18,1,1,14,4,12,7,4,4,6,4,4,0,6,4,1,2,36,37
