"","Move","Player_1_Final1","Player_1_Final2","Player_1_Final3","Player_1_Final4","Player_2_Final1","Player_2_Final2","Player_2_Final3","Player_2_Final4","Player_1_Initial1","Player_1_Initial2","Player_1_Initial3","Player_1_Initial4","Player_2_Initial1","Player_2_Initial2","Player_2_Initial3","Player_2_Initial4","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"1",1,11,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,6,5,1,5,0,6,5,1,1,10,5
"2",2,12,1,1,1,6,1,1,6,11,1,1,1,6,1,1,1,1,0,0,1,5,1,1,5,1,4,11,10
"3",3,13,1,1,1,7,1,1,6,12,1,1,1,6,1,1,6,1,1,0,1,0,0,1,1,1,1,12,11
"4",4,34,1,1,1,1,1,1,4,13,1,1,1,7,1,1,6,3,1,6,3,1,0,6,3,1,4,33,3
"5",5,35,1,1,1,1,1,1,9,34,1,1,1,1,1,1,4,1,0,0,1,5,5,1,5,1,4,34,8
"6",6,40,1,1,1,1,2,1,9,35,1,1,1,1,1,1,9,1,5,0,1,0,0,5,1,1,2,39,9
"7",7,46,4,1,1,1,7,1,9,40,1,1,1,1,2,1,9,6,5,1,5,1,0,6,5,1,2,48,14
"8",8,47,4,1,1,6,7,1,9,46,4,1,1,1,7,1,9,1,0,0,5,2,2,1,5,1,1,49,19
"9",9,47,6,1,1,8,7,1,9,47,4,1,1,6,7,1,9,2,2,0,2,0,0,2,2,2,1,51,21
"10",10,47,17,1,1,16,7,1,9,47,6,1,1,8,7,1,9,6,6,5,6,5,0,6,6,2,1,62,29
"11",11,47,22,1,1,16,11,1,9,47,17,1,1,16,7,1,9,5,0,0,5,4,4,5,4,2,2,67,33
"12",12,47,27,1,1,20,11,1,9,47,22,1,1,16,11,1,9,5,4,0,4,0,0,5,4,2,1,72,37
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",1,4,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,3,3,1,3,1,0,3,3,1,4,3,3
"15",2,5,1,1,1,1,1,1,8,4,1,1,1,1,1,1,4,1,0,0,1,2,4,1,4,1,4,4,7
"16",3,7,1,1,1,1,2,1,8,5,1,1,1,1,1,1,8,1,2,0,1,0,0,2,1,1,2,6,8
"17",4,26,1,1,1,1,1,1,13,7,1,1,1,1,2,1,8,2,5,6,2,5,0,6,5,1,4,25,12
"18",5,28,1,1,1,4,1,1,13,26,1,1,1,1,1,1,13,2,0,0,3,6,3,2,3,1,1,27,15
"19",6,1,1,1,1,4,1,5,16,28,1,1,1,4,1,1,13,6,3,0,3,0,0,6,3,1,4,0,22
