"","Move","Player_1_Final1","Player_1_Final2","Player_1_Final3","Player_2_Final1","Player_2_Final2","Player_2_Final3","Player_1_Initial1","Player_1_Initial2","Player_1_Initial3","Player_2_Initial1","Player_2_Initial2","Player_2_Initial3","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"1",1,6,1,1,3,1,1,1,1,1,1,1,1,1,2,5,1,2,0,5,2,1,1,5,2
"2",2,7,1,1,7,1,1,6,1,1,3,1,1,1,0,0,4,4,3,1,4,1,1,6,6
"3",3,11,1,1,7,4,1,7,1,1,7,1,1,4,3,0,3,0,0,4,3,1,2,10,9
"4",4,16,1,1,7,7,1,11,1,1,7,4,1,3,5,3,3,3,0,5,3,1,2,15,12
"5",5,19,1,1,13,7,5,16,1,1,7,7,1,3,0,0,6,6,6,3,6,1,1,18,22
"6",6,28,1,1,19,3,5,19,1,1,13,7,5,6,6,0,6,0,0,6,6,1,1,27,24
"7",7,33,1,1,21,3,5,28,1,1,19,3,5,1,2,5,1,2,0,5,2,1,1,32,26
"8",8,34,1,1,21,3,9,33,1,1,21,3,5,1,0,0,4,4,6,1,4,1,3,33,30
"9",9,38,1,1,32,3,9,34,1,1,21,3,9,4,6,0,6,0,0,4,6,1,1,37,41
"10",10,38,12,1,36,3,9,38,1,1,32,3,9,4,6,3,4,3,0,6,4,2,1,48,45
"11",11,38,15,1,39,4,9,38,12,1,36,3,9,3,0,0,4,5,3,3,3,2,1,51,87
"12",12,38,20,1,39,8,9,38,15,1,39,4,9,4,5,0,4,0,0,5,4,2,2,56,91
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",1,4,1,1,1,1,3,1,1,1,1,1,1,3,2,2,2,2,0,3,2,1,3,3,2
"15",2,6,1,1,4,1,3,4,1,1,1,1,3,2,0,0,5,3,3,2,3,1,1,5,5
"16",3,11,1,1,4,1,6,6,1,1,4,1,3,5,3,0,3,0,0,5,3,1,3,10,8
"17",4,16,1,1,4,1,10,11,1,1,4,1,6,4,5,2,4,2,0,5,4,1,3,15,12
"18",5,18,1,1,5,1,10,16,1,1,4,1,10,2,0,0,1,1,2,2,1,1,1,17,13
