"","Move","Player_1_Final1","Player_1_Final2","Player_1_Final3","Player_2_Final1","Player_2_Final2","Player_2_Final3","Player_1_Initial1","Player_1_Initial2","Player_1_Initial3","Player_2_Initial1","Player_2_Initial2","Player_2_Initial3","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"1",1,7,1,5,3,1,1,1,1,1,1,1,1,6,1,2,1,2,0,6,2,1,1,10,2
"2",2,8,1,5,8,1,1,7,1,5,3,1,1,1,0,0,5,4,4,1,5,1,1,11,7
"3",3,8,1,9,12,1,1,8,1,5,8,1,1,4,4,0,4,0,0,4,4,3,1,15,11
"4",4,8,6,9,17,1,1,8,1,9,12,1,1,5,2,5,2,5,0,5,5,2,1,20,16
"5",5,8,8,9,19,1,1,8,6,9,17,1,1,2,0,0,1,2,2,2,2,2,1,22,18
"6",6,10,8,9,20,1,1,8,8,9,19,1,1,1,2,0,1,0,0,2,1,1,1,24,19
"7",7,14,8,9,23,1,1,10,8,9,20,1,1,4,1,3,1,3,0,4,3,1,1,28,22
"8",8,14,9,9,32,1,1,14,8,9,23,1,1,1,0,0,1,6,2,1,6,2,1,29,31
"9",9,16,10,9,3,1,1,14,9,9,32,1,1,1,2,0,2,0,0,1,2,2,1,32,2
"10",10,19,10,9,14,1,1,16,10,9,3,1,1,3,3,6,3,6,0,3,6,1,1,35,13
"11",11,19,13,9,21,1,1,19,10,9,14,1,1,3,0,0,5,4,6,3,6,2,1,38,20
"12",12,19,17,9,26,1,1,19,13,9,21,1,1,5,4,0,5,0,0,4,5,2,1,42,25
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",1,1,5,1,4,1,1,1,1,1,1,1,1,3,1,4,3,1,0,4,3,2,1,4,3
"15",2,1,6,1,11,1,1,1,5,1,4,1,1,1,0,0,3,6,2,1,6,2,1,5,10
"16",3,1,6,4,13,1,1,1,6,1,11,1,1,3,2,0,2,0,0,3,2,3,1,8,12
"17",4,5,6,4,18,1,1,1,6,4,13,1,1,3,5,4,3,5,0,4,5,1,1,12,17
"18",5,8,6,4,23,1,1,5,6,4,18,1,1,3,0,0,5,3,5,3,5,1,1,15,22
"19",6,11,1,4,31,1,1,8,6,4,23,1,1,3,5,0,5,0,0,3,5,1,1,13,30
"20",7,11,8,9,4,1,1,11,1,4,31,1,1,5,2,3,2,3,0,5,3,3,1,25,3
"21",8,13,8,9,8,1,1,11,8,9,4,1,1,2,0,0,2,4,2,2,4,1,1,27,7
"22",9,13,8,11,10,1,1,13,8,9,8,1,1,2,2,0,2,0,0,2,2,3,1,29,9
"23",10,19,11,11,14,1,1,13,8,11,10,1,1,1,6,4,1,4,0,6,4,1,1,38,13
"24",11,19,12,11,18,1,1,19,11,11,14,1,1,1,0,0,4,3,4,1,4,2,1,39,17
"25",12,19,12,15,21,1,1,19,12,11,18,1,1,3,4,0,3,0,0,4,3,3,1,43,20
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",1,1,1,3,4,1,1,1,1,1,1,1,1,2,1,3,1,3,0,2,3,3,1,2,3
"28",2,1,2,3,11,1,1,1,1,3,4,1,1,1,0,0,2,6,3,1,6,2,1,3,10
"29",3,4,2,3,13,1,1,1,2,3,11,1,1,2,3,0,2,0,0,3,2,1,1,6,12
"30",4,4,3,9,18,1,1,4,2,3,13,1,1,5,6,4,5,4,0,6,5,3,1,13,17
"31",5,8,3,9,22,1,1,4,3,9,18,1,1,4,0,0,4,4,1,4,4,1,1,17,21
"32",6,8,7,9,23,1,1,8,3,9,22,1,1,4,1,0,1,0,0,4,1,2,1,21,22
"33",7,8,7,20,28,1,1,8,7,9,23,1,1,3,6,5,3,5,0,6,5,3,1,32,27
"34",8,1,10,20,34,1,1,8,7,20,28,1,1,3,0,0,2,6,5,3,2,2,1,28,33
