"","Move","Player_1_Final1","Player_1_Final2","Player_1_Final3","Player_1_Final4","Player_2_Final1","Player_2_Final2","Player_2_Final3","Player_2_Final4","Player_1_Initial1","Player_1_Initial2","Player_1_Initial3","Player_1_Initial4","Player_2_Initial1","Player_2_Initial2","Player_2_Initial3","Player_2_Initial4","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"1",1,1,1,1,5,5,1,1,1,1,1,1,1,1,1,1,1,4,2,4,2,4,0,4,4,4,1,4,4
"2",2,1,1,1,7,13,1,1,1,1,1,1,5,5,1,1,1,2,0,0,6,1,1,2,6,4,1,6,12
"3",3,2,1,1,7,14,1,1,1,1,1,1,7,13,1,1,1,1,1,0,1,0,0,1,1,1,1,7,13
"4",4,5,1,1,7,17,1,1,1,2,1,1,7,14,1,1,1,3,3,1,3,1,0,3,3,1,1,10,16
"5",5,1,1,1,7,30,1,1,1,5,1,1,7,17,1,1,1,1,0,0,6,3,4,1,6,1,1,6,29
"6",6,1,1,5,7,33,1,1,1,1,1,1,7,30,1,1,1,3,4,0,3,0,0,4,3,3,1,10,32
"7",7,7,5,5,11,5,1,1,1,1,1,5,7,33,1,1,1,4,3,4,3,4,0,4,4,4,1,24,4
"8",8,7,8,5,11,12,1,1,1,7,5,5,11,5,1,1,1,3,0,0,6,5,3,3,6,2,1,27,11
"9",9,7,8,10,11,15,1,1,1,7,8,5,11,12,1,1,1,5,3,0,3,0,0,5,3,3,1,32,14
"10",10,12,8,10,11,19,1,1,1,7,8,10,11,15,1,1,1,5,4,2,4,2,0,5,4,1,1,37,18
"11",11,12,10,10,11,28,1,1,1,12,8,10,11,19,1,1,1,2,0,0,2,6,3,2,6,2,1,39,27
"12",12,12,10,10,13,31,1,1,1,12,10,10,11,28,1,1,1,2,3,0,3,0,0,2,3,4,1,41,30
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,3,2,3,2,3,0,3,3,4,1,3,3
"15",2,1,1,1,6,9,1,1,1,1,1,1,4,4,1,1,1,2,0,0,5,5,1,2,5,4,1,5,8
"16",3,6,1,1,6,10,1,1,1,1,1,1,6,9,1,1,1,5,1,0,1,0,0,5,1,1,1,10,9
"17",4,6,1,1,10,14,1,1,1,6,1,1,6,10,1,1,1,4,1,4,1,4,0,4,4,4,1,14,13
"18",5,6,2,1,10,19,1,1,1,6,1,1,10,14,1,1,1,1,0,0,5,3,1,1,5,2,1,15,18
"19",6,6,2,4,10,20,1,1,1,6,2,1,10,19,1,1,1,3,1,0,1,0,0,3,1,3,1,18,19
"20",7,15,2,10,10,23,1,1,1,6,2,4,10,20,1,1,1,2,3,6,2,3,0,6,3,3,1,33,22
"21",8,15,2,12,10,30,1,1,1,15,2,10,10,23,1,1,1,2,0,0,4,5,6,2,6,3,1,35,29
"22",9,15,6,12,10,35,1,1,1,15,2,12,10,30,1,1,1,4,5,0,5,0,0,4,5,2,1,39,34
"23",10,19,6,13,10,9,1,1,1,15,6,12,10,35,1,1,1,6,1,6,6,6,0,1,6,3,1,44,8
"24",11,24,12,13,10,19,1,1,1,19,6,13,10,9,1,1,1,6,0,0,5,6,2,6,6,2,1,55,18
"25",12,24,12,15,10,24,1,1,1,24,12,13,10,19,1,1,1,5,2,0,5,0,0,2,5,3,1,57,23
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",1,1,1,6,1,5,1,1,1,1,1,1,1,1,1,1,1,4,5,4,4,4,0,5,4,3,1,5,4
"28",2,1,1,6,5,15,1,1,1,1,1,6,1,5,1,1,1,4,0,0,1,6,4,4,6,4,1,9,14
"29",3,5,1,6,5,16,1,1,1,1,1,6,5,15,1,1,1,1,4,0,1,0,0,4,1,1,1,13,15
"30",4,5,3,6,5,18,1,1,1,5,1,6,5,16,1,1,1,1,2,2,1,2,0,2,2,2,1,15,17
"31",5,5,1,7,5,35,1,1,1,5,3,6,5,18,1,1,1,1,0,0,1,4,6,1,6,3,1,14,34
"32",6,5,1,7,9,36,1,1,1,5,1,7,5,35,1,1,1,1,4,0,1,0,0,4,1,4,1,18,35
"33",7,5,1,7,10,40,1,1,1,5,1,7,9,36,1,1,1,1,4,4,4,4,0,1,4,4,1,19,39
"34",8,9,1,7,10,47,1,1,1,5,1,7,10,40,1,1,1,4,0,0,1,6,1,4,6,1,1,23,46
"35",9,10,1,7,10,48,3,1,1,9,1,7,10,47,1,1,1,1,1,0,1,0,0,1,1,1,1,24,96
"36",10,11,1,7,10,48,6,1,1,10,1,7,10,48,3,1,1,1,1,3,1,3,0,1,3,1,2,25,99
"37",11,12,1,7,10,48,10,1,1,11,1,7,10,48,6,1,1,1,0,0,1,4,4,1,4,1,2,26,103
"38",12,12,1,7,11,48,14,1,1,12,1,7,10,48,10,1,1,1,4,0,4,0,0,1,4,4,2,27,107
"39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",1,1,1,3,1,4,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,3,0,2,3,3,1,2,3
"41",2,1,1,4,1,8,1,1,1,1,1,3,1,4,1,1,1,1,0,0,3,1,4,1,4,3,1,3,7
"42",3,1,1,4,4,9,1,1,1,1,1,4,1,8,1,1,1,3,1,0,1,0,0,3,1,4,1,6,8
"43",4,1,1,9,4,13,1,1,1,1,1,4,4,9,1,1,1,1,4,5,1,4,0,5,4,3,1,11,12
"44",5,2,1,9,4,21,1,1,1,1,1,9,4,13,1,1,1,1,0,0,3,2,6,1,6,1,1,12,20
"45",6,2,1,9,7,23,1,1,1,2,1,9,4,21,1,1,1,3,2,0,2,0,0,3,2,4,1,15,22
"46",7,1,6,9,7,26,1,1,1,2,1,9,7,23,1,1,1,1,4,5,1,4,0,5,1,2,1,19,25
"47",8,5,6,9,1,30,1,1,1,1,6,9,7,26,1,1,1,4,0,0,6,6,3,4,3,1,1,17,29
