"","Move","Player_1_Final1","Player_1_Final2","Player_2_Final1","Player_2_Final2","Player_1_Initial1","Player_1_Initial2","Player_2_Initial1","Player_2_Initial2","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"1",1,1,2,1,4,1,1,1,1,2,3,1,2,3,0,1,3,2,2,1,3
"2",2,1,4,1,7,1,2,1,4,2,0,0,3,4,3,2,3,2,2,3,6
"3",3,1,7,5,7,1,4,1,7,4,3,0,4,0,0,3,4,2,1,6,10
"4",4,1,9,5,12,1,7,5,7,5,2,3,5,3,0,2,5,2,2,8,15
"5",5,1,12,6,12,1,9,5,12,3,0,0,1,2,3,3,1,2,1,11,16
"6",6,1,15,6,14,1,12,6,12,2,3,0,2,0,0,3,2,2,2,14,18
"7",7,6,21,6,19,1,15,6,14,6,5,1,5,1,0,6,5,2,2,25,23
"8",8,7,21,17,19,6,21,6,19,1,0,0,6,6,5,1,6,1,1,26,34
"9",9,10,27,17,24,7,21,17,19,6,5,0,5,0,0,6,5,2,2,35,39
"10",10,11,33,22,24,10,27,17,24,6,5,2,5,2,0,6,5,2,1,42,44
"11",11,11,35,22,26,11,33,22,24,2,0,0,3,1,2,2,2,2,2,44,46
"12",12,11,38,22,27,11,35,22,26,3,1,0,1,0,0,3,1,2,2,47,47
"13",13,16,38,27,27,11,38,22,27,5,2,5,2,5,0,5,5,1,1,52,52
"14",14,18,38,31,33,16,38,27,27,2,0,0,3,6,5,2,6,1,2,54,62
"15",15,23,38,31,36,18,38,31,33,3,5,0,3,0,0,5,3,1,2,59,65
"16",16,25,38,31,38,23,38,31,36,2,5,2,5,2,0,2,2,1,2,61,67
"17",17,30,38,35,38,25,38,31,38,5,0,0,5,4,6,5,4,1,1,66,71
"18",18,35,38,44,38,30,38,35,38,5,6,0,6,0,0,5,6,1,1,71,80
"19",19,37,39,52,38,35,38,44,38,1,6,6,6,6,0,1,6,2,1,112,88
"20",20,45,39,56,38,37,39,52,38,6,0,0,4,5,5,6,4,1,1,120,92
"21",21,50,39,61,38,45,39,56,38,5,5,0,5,0,0,5,5,1,1,125,97
"22",22,60,39,66,38,50,39,61,38,6,5,4,5,4,0,6,5,1,1,135,102
"23",23,64,39,78,38,60,39,66,38,4,0,0,6,6,4,4,6,1,1,139,114
"24",24,64,39,78,38,64,39,78,38,6,4,0,NA,0,0,0,0,0,0,139,114
"25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
