"","Move","Player_1_Final1","Player_1_Final2","Player_1_Final3","Player_2_Final1","Player_2_Final2","Player_2_Final3","Player_1_Initial1","Player_1_Initial2","Player_1_Initial3","Player_2_Initial1","Player_2_Initial2","Player_2_Initial3","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"1",1,6,1,1,4,1,1,1,1,1,1,1,1,3,1,5,3,1,0,5,3,1,1,5,3
"2",2,6,2,1,4,17,1,6,1,1,4,1,1,1,0,0,6,5,1,1,6,2,2,6,19
"3",3,6,7,1,5,17,1,6,2,1,4,17,1,5,1,0,1,0,0,5,1,2,1,11,20
"4",4,6,7,5,5,21,1,6,7,1,5,17,1,1,4,4,1,4,0,4,4,3,2,15,24
"5",5,6,7,6,17,23,1,6,7,5,5,21,1,1,0,0,6,6,5,1,6,3,1,16,38
"6",6,6,7,11,23,23,6,6,7,6,17,23,1,6,5,0,6,0,0,5,6,3,1,21,49
"7",7,6,7,13,23,23,11,6,7,11,23,23,6,5,2,4,5,4,0,2,5,3,3,23,54
"8",8,6,11,13,23,23,16,6,7,13,23,23,11,4,0,0,1,3,5,4,5,2,3,27,59
"9",9,6,14,13,23,23,17,6,11,13,23,23,16,1,3,0,1,0,0,3,1,2,3,30,60
"10",10,6,14,17,23,27,23,6,14,13,23,23,17,4,3,6,3,6,0,4,6,3,3,34,70
"11",11,1,14,20,25,28,23,6,14,17,23,27,23,3,0,0,1,3,4,3,1,3,2,32,73
"12",12,4,14,20,25,32,23,1,14,20,25,28,23,3,4,0,4,0,0,3,4,1,2,35,77
"13",13,7,14,20,28,32,23,4,14,20,25,32,23,3,3,3,3,3,0,3,3,1,1,38,80
"14",14,21,14,20,28,10,23,7,14,20,28,32,23,3,0,0,1,6,2,3,6,1,2,52,58
"15",15,23,14,20,28,11,23,21,14,20,28,10,23,1,2,0,1,0,0,2,1,1,2,54,59
