"","Move","Player_1_Final1","Player_1_Final2","Player_1_Final3","Player_1_Final4","Player_2_Final1","Player_2_Final2","Player_2_Final3","Player_2_Final4","Player_1_Initial1","Player_1_Initial2","Player_1_Initial3","Player_1_Initial4","Player_2_Initial1","Player_2_Initial2","Player_2_Initial3","Player_2_Initial4","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"1",1,1,1,1,6,5,1,1,1,1,1,1,1,1,1,1,1,4,5,1,4,1,0,5,4,4,1,5,4
"2",2,1,1,2,6,5,6,1,1,1,1,1,6,5,1,1,1,1,0,0,2,5,5,1,5,3,2,6,9
"3",3,1,6,2,6,7,6,1,1,1,1,2,6,5,6,1,1,2,5,0,2,0,0,5,2,2,1,11,11
"4",4,2,6,2,12,7,10,1,1,1,6,2,6,7,6,1,1,3,4,6,3,4,0,6,4,4,2,18,15
"5",5,2,6,5,12,17,10,1,1,2,6,2,12,7,10,1,1,3,0,0,6,4,4,3,6,3,1,21,25
"6",6,6,6,5,12,17,14,1,1,2,6,5,12,17,10,1,1,4,4,0,4,0,0,4,4,1,2,25,29
"7",7,6,6,5,17,21,14,1,1,6,6,5,12,17,14,1,1,4,5,3,4,3,0,5,4,4,1,30,33
"8",8,6,9,5,17,21,18,1,1,6,6,5,17,21,14,1,1,3,0,0,4,2,3,3,4,2,2,33,37
"9",9,9,9,5,17,23,18,1,1,6,9,5,17,21,18,1,1,2,3,0,2,0,0,3,2,1,1,36,39
"10",10,9,15,9,17,23,27,1,1,9,9,5,17,23,18,1,1,5,6,6,5,6,0,6,6,2,2,46,48
"11",11,14,15,9,17,27,27,1,1,9,15,9,17,23,27,1,1,5,0,0,3,4,4,5,4,1,1,51,52
"12",12,17,15,9,17,27,27,1,5,14,15,9,17,27,27,1,1,3,4,0,4,0,0,3,4,1,4,54,56
"13",13,17,20,9,17,27,27,4,5,17,15,9,17,27,27,1,5,3,5,2,3,2,0,5,3,2,3,59,59
"14",14,17,20,9,19,27,27,4,10,17,20,9,17,27,27,4,5,2,0,0,2,5,4,2,5,4,4,61,64
