"","Move","Player_1_Final1","Player_1_Final2","Player_1_Final3","Player_2_Final1","Player_2_Final2","Player_2_Final3","Player_1_Initial1","Player_1_Initial2","Player_1_Initial3","Player_2_Initial1","Player_2_Initial2","Player_2_Initial3","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"1",1,1,1,3,1,1,4,1,1,1,1,1,1,3,2,3,3,3,0,2,3,3,3,2,3
"2",2,1,1,6,3,1,4,1,1,3,1,1,4,3,0,0,3,2,1,3,2,3,1,5,5
"3",3,2,1,6,6,1,4,1,1,6,3,1,4,3,1,0,3,0,0,1,3,1,1,6,8
"4",4,2,11,6,10,1,4,2,1,6,6,1,4,2,6,4,2,4,0,6,4,2,1,16,12
"5",5,2,13,6,10,5,4,2,11,6,10,1,4,2,0,0,3,4,1,2,4,2,2,18,16
"6",6,2,13,7,10,8,4,2,13,6,10,5,4,3,1,0,3,0,0,1,3,3,2,19,19
"7",7,2,16,7,10,13,4,2,13,7,10,8,4,1,5,3,1,5,0,3,5,2,2,22,24
"8",8,3,16,7,12,19,4,2,16,7,10,13,4,1,0,0,2,6,5,1,6,1,2,23,32
"9",9,3,16,9,17,19,4,3,16,7,12,19,4,2,5,0,5,0,0,2,5,3,1,25,37
"10",10,4,16,9,17,19,12,3,16,9,17,19,4,6,1,4,6,4,0,1,6,1,3,26,45
"11",11,4,20,9,17,19,17,4,16,9,17,19,12,4,0,0,4,5,5,4,5,2,3,30,50
"12",12,8,20,9,17,24,17,4,20,9,17,19,17,4,5,0,5,0,0,4,5,1,2,34,55
"13",13,14,20,15,17,28,17,8,20,9,17,24,17,6,2,4,2,4,0,6,4,3,2,46,59
"14",14,16,20,15,26,28,17,14,20,15,17,28,17,2,0,0,5,6,1,2,6,1,1,48,68
"15",15,21,20,15,26,29,17,16,20,15,26,28,17,5,1,0,1,0,0,5,1,1,2,53,69
"16",16,21,24,15,30,29,17,21,20,15,26,29,17,4,4,2,4,2,0,4,4,2,1,57,73
"17",17,23,24,15,32,29,17,21,24,15,30,29,17,2,0,0,2,1,2,2,2,1,1,59,75
"18",18,23,24,15,32,29,17,23,24,15,32,29,17,1,2,0,NA,0,0,0,0,0,0,59,75
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",1,1,1,6,1,3,1,1,1,1,1,1,1,5,2,2,2,2,0,5,2,3,2,5,2
"21",2,1,3,6,10,3,1,1,1,6,1,3,1,2,0,0,6,1,5,2,6,2,1,7,11
"22",3,1,8,6,10,3,2,1,3,6,10,3,1,1,5,0,1,0,0,5,1,2,3,12,12
"23",4,1,8,14,19,3,2,1,8,6,10,3,2,6,6,4,6,4,0,6,6,3,1,20,21
"24",5,1,8,18,19,4,2,1,8,14,19,3,2,4,0,0,5,3,1,4,1,3,2,24,22
