"","Move","Player_1_Final1","Player_1_Final2","Player_1_Final3","Player_1_Final4","Player_2_Final1","Player_2_Final2","Player_2_Final3","Player_2_Final4","Player_1_Initial1","Player_1_Initial2","Player_1_Initial3","Player_1_Initial4","Player_2_Initial1","Player_2_Initial2","Player_2_Initial3","Player_2_Initial4","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"1",1,7,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,4,1,6,4,1,0,6,1,1,3,8,1
"2",2,7,1,7,1,1,1,3,1,7,1,3,1,1,1,2,1,4,0,0,5,1,5,4,1,3,3,12,2
"3",3,7,1,7,6,6,1,3,1,7,1,7,1,1,1,3,1,5,5,0,5,0,0,5,5,4,1,17,7
"4",4,7,1,9,12,6,1,3,5,7,1,7,6,6,1,3,1,4,5,6,4,5,0,6,4,4,4,25,11
"5",5,7,6,9,12,6,4,3,5,7,1,9,12,6,1,3,5,5,0,0,3,3,4,5,3,2,2,30,14
"6",6,7,10,9,12,9,4,3,5,7,6,9,12,6,4,3,5,3,4,0,3,0,0,4,3,2,1,34,17
"7",7,7,10,9,16,9,4,6,5,7,10,9,12,9,4,3,5,5,4,3,5,3,0,4,3,4,3,38,20
"8",8,7,10,14,16,9,4,8,5,7,10,9,16,9,4,6,5,5,0,0,4,2,2,5,2,3,3,43,22
"9",9,9,10,14,16,13,4,8,5,7,10,14,16,9,4,8,5,4,2,0,4,0,0,2,4,1,1,45,26
"10",10,9,14,22,16,15,1,8,5,9,10,14,16,13,4,8,5,1,6,2,1,2,0,6,2,3,1,57,25
"11",11,10,14,22,16,15,1,12,5,9,14,22,16,15,1,8,5,1,0,0,4,2,3,1,4,1,3,58,29
"12",12,12,14,1,16,21,4,12,8,10,14,22,16,15,1,12,5,2,3,0,3,0,0,2,3,1,2,39,41
"13",13,12,19,1,16,27,4,13,8,12,14,1,16,21,4,12,8,5,6,5,6,5,0,5,6,2,1,44,48
"14",14,12,19,6,16,37,4,13,8,12,19,1,16,27,4,13,8,5,0,0,4,6,1,5,6,3,1,49,58
"15",15,12,19,10,16,37,4,14,8,12,19,6,16,37,4,13,8,4,1,0,1,0,0,4,1,3,3,53,59
