"","Move","Player_1_Final1","Player_1_Final2","Player_1_Final3","Player_1_Final4","Player_2_Final1","Player_2_Final2","Player_2_Final3","Player_2_Final4","Player_1_Initial1","Player_1_Initial2","Player_1_Initial3","Player_1_Initial4","Player_2_Initial1","Player_2_Initial2","Player_2_Initial3","Player_2_Initial4","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"1",1,10,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,3,6,1,3,0,6,3,1,1,9,3
"2",2,10,2,1,1,5,1,7,1,10,1,1,1,4,1,1,1,1,0,0,6,6,3,1,6,2,3,10,10
"3",3,21,2,1,1,5,4,7,1,10,2,1,1,5,1,7,1,6,3,0,3,0,0,6,3,1,2,21,13
"4",4,21,14,1,1,5,4,8,1,21,2,1,1,5,4,7,1,1,6,1,1,1,0,6,1,2,3,33,14
"5",5,22,14,1,1,5,4,10,1,21,14,1,1,5,4,8,1,1,0,0,1,2,1,1,2,1,3,34,16
"6",6,23,14,1,1,6,4,10,1,22,14,1,1,5,4,10,1,1,1,0,1,0,0,1,1,1,1,35,17
"7",7,23,14,11,1,6,4,15,1,23,14,1,1,6,4,10,1,6,5,2,5,2,0,6,5,3,3,45,22
"8",8,23,16,11,1,11,4,15,1,23,14,11,1,6,4,15,1,2,0,0,5,2,3,2,5,2,1,47,27
"9",9,23,16,14,1,11,4,17,1,23,16,11,1,11,4,15,1,2,3,0,2,0,0,3,2,3,3,50,29
"10",10,23,20,14,7,11,7,23,1,23,16,14,1,11,4,17,1,3,6,6,3,6,0,6,6,4,3,60,38
"11",11,23,23,14,1,11,7,32,1,23,20,14,7,11,7,23,1,3,0,0,4,6,3,3,6,2,3,57,47
"12",12,23,23,18,1,11,10,32,1,23,23,14,1,11,7,32,1,4,3,0,3,0,0,4,3,3,2,61,50
"13",13,23,23,21,1,11,10,34,1,23,23,18,1,11,10,32,1,1,2,3,1,2,0,3,2,3,3,64,52
"14",14,23,23,21,2,11,10,36,1,23,23,21,1,11,10,34,1,1,0,0,2,4,4,1,2,4,3,65,54
"15",15,23,23,21,6,11,10,36,5,23,23,21,2,11,10,36,1,4,4,0,4,0,0,4,4,4,4,69,58
"16",16,23,23,21,13,11,10,39,5,23,23,21,6,11,10,36,5,3,6,1,3,1,0,6,3,4,3,76,61
"17",17,23,23,22,13,11,10,44,5,23,23,21,13,11,10,39,5,1,0,0,4,4,5,1,5,3,3,77,66
"18",18,31,23,22,13,11,14,44,5,23,23,22,13,11,10,44,5,4,4,0,4,0,0,4,4,1,2,85,70
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",1,8,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,6,3,1,3,1,0,6,3,1,4,7,3
"21",2,8,2,1,1,1,1,1,7,8,1,1,1,1,1,1,4,1,0,0,2,3,5,1,3,2,4,8,6
"22",3,13,2,1,1,3,1,1,7,8,2,1,1,1,1,1,7,2,5,0,2,0,0,5,2,1,1,13,8
"23",4,13,14,1,1,3,9,1,7,13,2,1,1,3,1,1,7,4,6,6,4,6,0,6,6,2,2,25,16
"24",5,17,14,1,1,8,9,1,7,13,14,1,1,3,9,1,7,4,0,0,1,2,5,4,5,1,1,29,21
"25",6,17,16,1,1,9,9,1,7,17,14,1,1,8,9,1,7,1,2,0,1,0,0,2,1,2,1,31,22
"26",7,22,16,1,1,9,10,1,7,17,16,1,1,9,9,1,7,5,1,1,1,1,0,5,1,1,2,36,23
"27",8,23,16,1,1,11,10,1,7,22,16,1,1,9,10,1,7,1,0,0,2,2,3,1,2,1,1,37,25
"28",9,23,16,4,1,13,10,1,7,23,16,1,1,11,10,1,7,2,3,0,2,0,0,3,2,3,1,40,27
"29",10,23,22,4,6,24,16,1,7,23,16,4,1,13,10,1,7,6,1,6,1,6,0,6,6,2,2,51,44
"30",11,23,23,4,6,25,16,7,7,23,22,4,6,24,16,1,7,1,0,0,6,5,1,1,6,2,3,52,51
"31",12,23,23,9,6,25,16,8,7,23,23,4,6,25,16,7,7,5,1,0,1,0,0,5,1,3,3,57,52
"32",13,23,23,15,1,31,16,13,7,23,23,9,6,25,16,8,7,2,6,6,2,6,0,6,6,3,1,58,63
"33",14,23,23,17,1,35,16,13,7,23,23,15,1,31,16,13,7,2,0,0,4,1,3,2,4,3,1,60,67
"34",15,23,23,20,1,36,16,13,7,23,23,17,1,35,16,13,7,1,3,0,1,0,0,3,1,3,1,63,68
"35",16,23,23,22,1,36,16,13,11,23,23,20,1,36,16,13,7,4,2,1,4,1,0,2,4,3,4,65,72
"36",17,23,23,23,1,38,16,13,11,23,23,22,1,36,16,13,11,1,0,0,2,5,3,1,2,3,1,66,74
"37",18,23,23,23,6,38,16,16,11,23,23,23,1,38,16,13,11,5,3,0,3,0,0,5,3,4,3,71,77
"38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,3,0,3,3,1,1,3,3
"40",2,4,2,1,1,4,1,5,1,4,1,1,1,4,1,1,1,1,0,0,2,3,4,1,4,2,3,4,7
"41",3,7,2,1,1,4,1,7,1,4,2,1,1,4,1,5,1,2,3,0,2,0,0,3,2,1,3,7,9
"42",4,7,4,1,1,4,2,7,1,7,2,1,1,4,1,7,1,2,1,2,1,2,0,2,1,2,2,9,10
"43",5,9,4,1,1,4,2,7,5,7,4,1,1,4,2,7,1,2,0,0,2,4,1,2,4,1,4,11,14
"44",6,9,6,1,1,4,3,7,5,9,4,1,1,4,2,7,5,2,1,0,1,0,0,2,1,2,2,13,15
"45",7,14,6,1,1,4,3,7,7,9,6,1,1,4,3,7,5,5,2,2,2,2,0,5,2,1,4,18,17
"46",8,14,8,1,1,4,3,12,7,14,6,1,1,4,3,7,7,2,0,0,5,2,1,2,5,2,3,20,22
"47",9,16,8,1,1,4,4,12,7,14,8,1,1,4,3,12,7,2,1,0,1,0,0,2,1,1,2,22,23
"48",10,16,13,1,1,7,4,12,7,16,8,1,1,4,4,12,7,1,3,5,1,3,0,5,3,2,1,27,26
