"","Move","Player_1_Final1","Player_1_Final2","Player_1_Final3","Player_2_Final1","Player_2_Final2","Player_2_Final3","Player_1_Initial1","Player_1_Initial2","Player_1_Initial3","Player_2_Initial1","Player_2_Initial2","Player_2_Initial3","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"1",1,6,1,1,1,1,4,1,1,1,1,1,1,3,2,5,3,2,0,5,3,1,3,5,3
"2",2,6,3,1,14,1,4,6,1,1,1,1,4,2,0,0,2,1,6,2,6,2,1,7,16
"3",3,8,3,1,15,1,4,6,3,1,14,1,4,2,1,0,1,0,0,2,1,1,1,9,17
"4",4,8,7,1,15,1,8,8,3,1,15,1,4,4,4,2,4,2,0,4,4,2,3,13,21
"5",5,10,7,1,15,11,14,8,7,1,15,1,8,2,0,0,6,2,3,2,6,1,2,15,37
"6",6,10,10,1,15,11,16,10,7,1,15,11,14,2,3,0,2,0,0,3,2,2,3,18,39
"7",7,14,10,1,15,14,16,10,10,1,15,11,16,3,3,4,3,3,0,4,3,1,2,22,42
"8",8,14,13,1,15,14,19,14,10,1,15,14,16,3,0,0,3,2,4,3,3,2,3,25,45
"9",9,18,13,1,15,16,19,14,13,1,15,14,19,2,4,0,2,0,0,4,2,1,2,29,47
"10",10,18,22,1,15,19,19,18,13,1,15,16,19,6,1,3,1,3,0,6,3,2,2,38,50
"11",11,19,22,1,15,24,19,18,22,1,15,19,19,1,0,0,5,1,3,1,5,1,2,39,55
"12",12,19,22,4,15,24,20,19,22,1,15,24,19,1,3,0,1,0,0,3,1,3,3,42,56
"13",13,19,27,4,21,24,22,19,22,4,15,24,20,6,5,1,6,1,0,5,6,2,1,47,64
"14",14,19,27,5,21,24,27,19,27,4,21,24,22,1,0,0,5,1,5,1,5,3,3,48,69
"15",15,24,27,5,21,25,27,19,27,5,21,24,27,1,5,0,1,0,0,5,1,1,2,53,70
"16",16,24,27,10,23,25,27,24,27,5,21,25,27,2,4,5,2,4,0,5,2,3,1,58,72
"17",17,24,27,14,23,25,32,24,27,10,23,25,27,4,0,0,1,5,6,4,5,3,3,62,77
"18",18,24,27,24,23,25,33,24,27,14,23,25,32,1,6,0,1,0,0,6,1,3,3,72,78
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",1,6,1,1,4,1,1,1,1,1,1,1,1,5,1,3,1,3,0,5,3,1,1,5,3
"21",2,6,2,1,4,1,4,6,1,1,4,1,1,1,0,0,5,1,3,1,3,2,3,6,6
