p1,p2,win,size,tokens,moves
A,RP,41.94,11,4,18
RP,A,53.09,11,4,18
A,WN,68.08,11,4,18
WN,A,28.68,11,4,18
RP,WN,64.86,11,4,18
WN,RP,30.16,11,4,18
A,RP,46.7,9,4,18
RP,A,46.48,9,4,18
A,WN,65.89,9,4,18
WN,A,32.06,9,4,18
RP,WN,58.37,9,4,18
WN,RP,35.65,9,4,18
A,RP,57.32,11,3,18
RP,A,35.65,11,3,18
A,WN,68.3,11,3,18
WN,A,28.33,11,3,18
RP,WN,57.31,11,3,18
WN,RP,36.42,11,3,18
A,RP,55.44,9,3,18
RP,A,37.66,9,3,18
A,WN,66.1,9,3,18
WN,A,32.59,9,3,18
RP,WN,51.59,9,3,18
WN,RP,41.02,9,3,18
A,RP,64.42,11,2,18
RP,A,30.01,11,2,18
A,WN,60.72,11,2,18
WN,A,36.85,11,2,18
RP,WN,45.35,11,2,18
WN,RP,48.93,11,2,18
A,RP,59.48,9,2,18
RP,A,37.73,9,2,18
A,WN,57.83,9,2,18
WN,A,42.17,9,2,18
RP,WN,46.33,9,2,18
WN,RP,50.19,9,2,18
A,RP,47.51,11,4,24
RP,A,46.56,11,4,24
A,WN,69.38,11,4,24
WN,A,28.39,11,4,24
RP,WN,59.78,11,4,24
WN,RP,34.8,11,4,24
A,RP,54.84,9,4,24
RP,A,39.06,9,4,24
A,WN,67.64,9,4,24
WN,A,31.51,9,4,24
RP,WN,51.69,9,4,24
WN,RP,41.84,9,4,24
A,RP,58.64,11,3,24
RP,A,33.98,11,3,24
A,WN,67.6,11,3,24
WN,A,29.01,11,3,24
RP,WN,53.52,11,3,24
WN,RP,40.38,11,3,24
A,RP,58.51,9,3,24
RP,A,34.89,9,3,24
A,WN,62.08,9,3,24
WN,A,35.69,9,3,24
RP,WN,49.17,9,3,24
WN,RP,46.09,9,3,24
A,RP,62.19,11,2,24
RP,A,35.96,11,2,24
A,WN,59.01,11,2,24
WN,A,42.14,11,2,24
RP,WN,48.94,11,2,24
WN,RP,49.92,11,2,24
A,RP,58.21,9,2,24
RP,A,41.96,9,2,24
A,WN,57.78,9,2,24
WN,A,47.21,9,2,24
RP,WN,48.24,9,2,24
WN,RP,51.87,9,2,24
