"","Move","Player_1_Final1","Player_1_Final2","Player_1_Final3","Player_2_Final1","Player_2_Final2","Player_2_Final3","Player_1_Initial1","Player_1_Initial2","Player_1_Initial3","Player_2_Initial1","Player_2_Initial2","Player_2_Initial3","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"1",1,6,1,1,1,1,3,1,1,1,1,1,1,2,5,2,2,2,0,5,2,1,3,5,2
"2",2,8,1,1,10,1,3,6,1,1,1,1,3,2,0,0,6,5,5,2,6,1,1,7,11
"3",3,13,1,1,10,1,8,8,1,1,10,1,3,5,5,0,5,0,0,5,5,1,3,12,16
"4",4,23,1,1,10,1,10,13,1,1,10,1,8,6,3,2,3,2,0,6,2,1,3,22,18
"5",5,1,1,1,13,4,10,23,1,1,10,1,10,3,0,0,2,3,2,3,3,1,2,0,24
"6",6,3,1,1,15,4,10,1,1,1,13,4,10,2,2,0,2,0,0,2,2,1,1,2,26
"7",7,6,1,1,15,6,10,3,1,1,15,4,10,2,1,3,2,1,0,3,2,1,2,5,28
"8",8,7,1,1,18,12,10,6,1,1,15,6,10,1,0,0,4,5,6,1,6,1,2,6,37
"9",9,12,1,1,18,12,14,7,1,1,18,12,10,4,5,0,4,0,0,5,4,1,3,11,41
"10",10,20,1,1,18,15,14,12,1,1,18,12,14,3,6,1,3,1,0,6,3,1,2,19,44
"11",11,21,1,1,18,15,17,20,1,1,18,15,14,1,0,0,2,3,4,1,3,1,3,20,47
"12",12,25,1,1,18,15,19,21,1,1,18,15,17,2,4,0,2,0,0,4,2,1,3,24,49
"13",13,29,1,1,21,15,19,25,1,1,18,15,19,4,1,3,1,3,0,4,3,1,1,28,52
"14",14,30,1,1,21,18,19,29,1,1,21,15,19,1,0,0,3,3,3,1,3,1,2,29,55
"15",15,33,1,1,21,18,22,30,1,1,21,18,19,3,3,0,3,0,0,3,3,1,3,32,58
