"","Move","Player_1_Final1","Player_1_Final2","Player_1_Final3","Player_1_Final4","Player_2_Final1","Player_2_Final2","Player_2_Final3","Player_2_Final4","Player_1_Initial1","Player_1_Initial2","Player_1_Initial3","Player_1_Initial4","Player_2_Initial1","Player_2_Initial2","Player_2_Initial3","Player_2_Initial4","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"1",1,4,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,3,1,3,1,3,0,3,3,1,4,3,3
"2",2,5,1,1,1,7,1,5,4,4,1,1,1,1,1,1,4,1,0,0,1,4,6,1,6,1,1,4,13
"3",3,9,1,1,1,7,1,6,4,5,1,1,1,7,1,5,4,1,4,0,1,0,0,4,1,1,3,8,14
"4",4,19,1,1,1,11,1,6,4,9,1,1,1,7,1,6,4,6,1,4,1,4,0,6,4,1,1,18,18
"5",5,20,1,1,1,11,1,11,4,19,1,1,1,11,1,6,4,1,0,0,1,3,5,1,5,1,3,19,23
"6",6,23,1,1,1,11,1,11,5,20,1,1,1,11,1,11,4,1,3,0,1,0,0,3,1,1,4,22,24
"7",7,1,1,1,1,11,2,11,7,23,1,1,1,11,1,11,5,4,5,6,5,6,0,4,6,1,4,0,27
"8",8,6,1,1,1,11,4,11,13,1,1,1,1,11,2,11,7,5,0,0,6,2,1,5,6,1,4,5,35
"9",9,8,1,1,1,12,4,11,13,6,1,1,1,11,4,11,13,2,1,0,1,0,0,2,1,1,1,7,36
"10",10,13,1,1,1,12,4,15,13,8,1,1,1,12,4,11,13,5,2,4,2,4,0,5,4,1,3,12,40
"11",11,15,1,1,1,14,10,15,13,13,1,1,1,12,4,15,13,2,0,0,6,2,5,2,6,1,2,14,48
"12",12,20,1,1,1,14,12,15,13,15,1,1,1,14,10,15,13,2,5,0,2,0,0,5,2,1,2,19,50
"13",13,25,1,1,1,17,12,15,13,20,1,1,1,14,12,15,13,1,3,5,1,3,0,5,3,1,1,24,53
"14",14,26,1,1,1,17,17,15,13,25,1,1,1,17,12,15,13,1,0,0,6,5,5,1,5,1,2,25,58
"15",15,38,1,1,1,17,17,15,18,26,1,1,1,17,17,15,13,6,5,0,5,0,0,6,5,1,4,37,63
"16",16,45,1,1,1,17,17,19,1,38,1,1,1,17,17,15,18,4,4,2,4,4,0,2,4,1,3,44,50
"17",17,45,5,1,1,22,17,19,1,45,1,1,1,17,17,19,1,4,0,0,2,5,1,4,5,2,1,48,55
"18",18,47,5,1,1,22,18,19,1,45,5,1,1,22,17,19,1,2,1,0,1,0,0,2,1,1,2,50,56
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",1,6,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,5,3,3,3,3,0,5,3,1,1,5,3
"21",2,9,1,1,1,4,1,7,2,6,1,1,1,4,1,1,1,3,0,0,6,5,2,3,6,1,3,8,10
"22",3,14,1,1,1,4,1,9,2,9,1,1,1,4,1,7,2,5,2,0,2,0,0,5,2,1,3,13,12
"23",4,19,1,1,1,4,1,13,2,14,1,1,1,4,1,9,2,4,5,3,4,3,0,5,4,1,3,18,16
"24",5,22,1,1,1,8,1,13,2,19,1,1,1,4,1,13,2,3,0,0,3,3,4,3,4,1,1,21,20
"25",6,25,1,1,1,11,1,13,2,22,1,1,1,8,1,13,2,3,3,0,3,0,0,3,3,1,1,24,23
"26",7,30,1,1,1,11,1,14,2,25,1,1,1,11,1,13,2,1,5,1,1,1,0,5,1,1,3,29,24
"27",8,31,1,1,1,11,4,14,2,30,1,1,1,11,1,14,2,1,0,0,1,3,1,1,3,1,2,30,27
"28",9,32,1,1,1,11,4,14,3,31,1,1,1,11,4,14,2,1,1,0,1,0,0,1,1,1,4,31,28
"29",10,34,1,1,1,1,9,14,3,32,1,1,1,11,4,14,3,2,1,5,2,5,0,1,5,1,2,33,23
"30",11,41,1,1,1,1,9,1,7,34,1,1,1,1,9,14,3,2,0,0,4,1,2,2,4,1,4,40,14
"31",12,43,1,1,1,2,9,1,7,41,1,1,1,1,9,1,7,1,2,0,1,0,0,2,1,1,1,42,15
