"","Move","Player_1_Final1","Player_1_Final2","Player_1_Final3","Player_2_Final1","Player_2_Final2","Player_2_Final3","Player_1_Initial1","Player_1_Initial2","Player_1_Initial3","Player_2_Initial1","Player_2_Initial2","Player_2_Initial3","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"1",1,1,3,1,5,1,1,1,1,1,1,1,1,2,1,4,1,4,0,2,4,2,1,2,4
"2",2,1,3,2,21,1,1,1,3,1,5,1,1,1,0,0,1,5,6,1,6,3,1,3,20
"3",3,6,3,2,22,1,1,1,3,2,21,1,1,1,5,0,1,0,0,5,1,1,1,8,21
"4",4,11,3,2,23,1,1,6,3,2,22,1,1,5,1,1,1,1,0,5,1,1,1,13,22
"5",5,11,3,3,34,1,1,11,3,2,23,1,1,1,0,0,6,6,1,1,6,3,1,14,33
"6",6,12,6,3,10,1,1,11,3,3,34,1,1,6,1,0,6,0,0,1,6,1,1,18,9
"7",7,15,6,3,12,1,1,12,6,3,10,1,1,1,2,3,1,2,0,3,2,1,1,21,11
"8",8,15,6,4,17,1,1,15,6,3,12,1,1,1,0,0,3,2,5,1,5,3,1,22,16
"9",9,15,9,4,19,1,1,15,6,4,17,1,1,3,2,0,2,0,0,3,2,2,1,25,18
"10",10,15,9,8,22,1,1,15,9,4,19,1,1,1,3,4,1,3,0,4,3,3,1,29,21
"11",11,16,9,8,25,1,1,15,9,8,22,1,1,1,0,0,3,1,3,1,3,1,1,30,24
"12",12,16,9,11,26,1,1,16,9,8,25,1,1,1,3,0,1,0,0,3,1,3,1,33,25
"13",13,22,1,11,40,1,1,16,9,11,26,1,1,1,6,6,1,6,0,6,6,1,1,31,39
"14",14,23,1,11,42,1,1,22,1,11,40,1,1,1,0,0,2,1,1,1,2,1,1,32,41
"15",15,23,1,12,43,1,1,23,1,11,42,1,1,1,1,0,1,0,0,1,1,3,1,33,42
"16",16,23,3,12,49,1,1,23,1,12,43,1,1,2,6,1,6,1,0,2,6,2,1,35,48
"17",17,1,3,12,49,2,1,23,3,12,49,1,1,1,0,0,3,6,1,1,1,1,2,13,49
"18",18,7,5,12,49,2,1,1,3,12,49,2,1,3,6,0,3,0,0,6,0,1,0,21,49
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",1,1,1,5,10,1,1,1,1,1,1,1,1,4,4,6,4,6,0,4,6,3,1,4,9
"21",2,1,5,5,14,1,1,1,1,5,10,1,1,4,0,0,4,1,1,4,4,2,1,8,13
"22",3,1,5,6,15,1,1,1,5,5,14,1,1,1,1,0,1,0,0,1,1,3,1,9,14
"23",4,1,5,11,19,1,1,1,5,6,15,1,1,4,5,3,4,3,0,5,4,3,1,14,18
"24",5,1,1,14,28,1,1,1,5,11,19,1,1,3,0,0,5,3,6,3,6,3,1,13,27
"25",6,1,6,16,4,1,1,1,1,14,28,1,1,5,3,0,3,0,0,5,3,2,1,20,3
"26",7,7,6,19,8,1,1,1,6,16,4,1,1,6,4,2,4,2,0,6,4,1,1,29,7
"27",8,7,6,21,25,1,1,7,6,19,8,1,1,2,0,0,5,3,6,2,6,3,1,31,24
"28",9,7,9,21,30,1,1,7,6,21,25,1,1,5,3,0,5,0,0,3,5,2,1,34,29
"29",10,11,9,21,11,1,1,7,9,21,30,1,1,6,1,4,6,4,0,1,6,1,1,38,10
"30",11,15,9,21,21,1,1,11,9,21,11,1,1,4,0,0,3,6,4,4,6,1,1,42,20
"31",12,15,13,21,24,1,1,15,9,21,21,1,1,3,4,0,3,0,0,4,3,2,1,46,23
"32",13,15,17,21,29,1,1,15,13,21,24,1,1,3,4,5,3,5,0,4,5,2,1,50,28
"33",14,18,17,21,41,1,1,15,17,21,29,1,1,3,0,0,3,3,6,3,6,1,1,53,40
"34",15,21,17,21,44,1,1,18,17,21,41,1,1,3,3,0,3,0,0,3,3,1,1,56,43
"35",16,21,21,21,44,6,1,21,17,21,44,1,1,1,5,4,1,5,0,4,5,2,2,60,48
"36",17,21,22,21,46,12,1,21,21,21,44,6,1,1,0,0,1,3,6,1,6,2,2,61,56
"37",18,22,22,21,46,15,1,21,22,21,46,12,1,1,3,0,3,0,0,1,3,1,2,62,59
"38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",1,13,1,6,4,1,1,1,1,1,1,1,1,3,6,3,3,3,0,6,3,1,1,17,3
"40",2,13,4,6,11,1,1,13,1,6,4,1,1,3,0,0,6,5,4,3,6,2,1,20,10
"41",3,13,9,6,15,1,1,13,4,6,11,1,1,5,4,0,4,0,0,5,4,2,1,25,14
"42",4,13,9,17,20,1,1,13,9,6,15,1,1,5,1,6,5,1,0,6,5,3,1,36,19
"43",5,14,9,17,29,1,1,13,9,17,20,1,1,1,0,0,5,6,4,1,6,1,1,37,28
"44",6,14,9,22,33,1,1,14,9,17,29,1,1,5,4,0,4,0,0,5,4,3,1,42,32
"45",7,15,11,22,5,1,1,14,9,22,33,1,1,4,2,4,4,4,0,2,4,2,1,45,4
"46",8,19,11,22,13,1,1,15,11,22,5,1,1,4,0,0,3,6,6,4,6,1,1,49,12
"47",9,19,14,22,23,1,1,19,11,22,13,1,1,3,6,0,6,0,0,3,6,2,1,52,22
"48",10,19,15,22,28,1,1,19,14,22,23,1,1,1,1,5,1,5,0,1,5,2,1,53,27
"49",11,20,15,22,36,1,1,19,15,22,28,1,1,1,0,0,6,4,6,1,6,1,1,54,35
"50",12,23,21,22,40,1,1,20,15,22,36,1,1,4,6,0,4,0,0,6,4,2,1,63,39
"51",13,23,21,26,46,5,1,23,21,22,40,1,1,1,6,4,1,6,0,4,6,3,1,67,49
"52",14,23,21,32,48,18,1,23,21,26,46,5,1,1,0,0,2,1,3,1,2,3,1,73,111
"53",15,23,21,35,48,19,1,23,21,32,48,18,1,1,3,0,1,0,0,3,1,3,2,76,112
"54",16,23,23,47,48,12,1,23,21,35,48,19,1,6,6,1,6,1,0,6,6,3,2,90,105
"55",17,33,29,48,48,17,1,23,23,47,48,12,1,1,0,0,3,3,5,1,5,3,2,154,110
"56",18,33,32,48,48,20,1,33,29,48,48,17,1,3,3,0,3,0,0,3,3,2,2,157,113
"57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",1,1,2,1,6,1,1,1,1,1,1,1,1,1,1,5,1,5,0,1,5,2,1,1,5
"59",2,1,3,1,11,1,1,1,2,1,6,1,1,1,0,0,4,5,2,1,5,2,1,2,10
"60",3,5,3,1,13,1,1,1,3,1,11,1,1,4,2,0,2,0,0,4,2,1,1,6,12
"61",4,10,3,1,15,1,1,5,3,1,13,1,1,5,1,2,1,2,0,5,2,1,1,11,14
"62",5,10,4,1,17,1,1,10,3,1,15,1,1,1,0,0,1,2,1,1,2,2,1,12,16
"63",6,10,4,2,18,1,1,10,4,1,17,1,1,1,1,0,1,0,0,1,1,3,1,13,17
"64",7,10,4,6,21,1,1,10,4,2,18,1,1,3,1,4,3,1,0,4,3,3,1,17,20
"65",8,1,1,7,36,1,1,10,4,6,21,1,1,1,0,0,6,5,6,1,5,3,1,6,35
"66",9,1,3,13,46,1,1,1,1,7,36,1,1,6,6,0,6,0,0,6,6,3,1,14,45
"67",10,1,5,13,48,23,1,1,3,13,46,1,1,6,2,1,6,1,0,2,6,2,2,16,116
"68",11,1,5,13,48,25,1,1,5,13,48,23,1,1,0,0,1,4,5,1,1,1,2,16,118
"69",12,5,5,13,48,30,1,1,5,13,48,25,1,4,5,0,5,0,0,4,5,1,2,20,123
"70",13,10,5,1,48,39,1,5,5,13,48,30,1,5,5,4,5,4,0,5,5,1,2,13,132
"71",14,14,5,1,48,43,1,10,5,1,48,39,1,4,0,0,4,1,4,4,4,1,2,17,136
"72",15,15,5,1,48,47,1,14,5,1,48,43,1,1,4,0,4,0,0,1,4,1,2,18,140
"73",16,25,5,1,48,48,2,15,5,1,48,47,1,6,4,1,4,1,0,6,1,1,2,28,189
"74",17,29,5,1,48,48,10,25,5,1,48,48,2,4,0,0,3,6,2,4,6,1,3,32,197
"75",18,31,5,1,48,48,13,29,5,1,48,48,10,3,2,0,3,0,0,2,3,1,3,34,200
"76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77",1,1,1,3,5,1,1,1,1,1,1,1,1,4,2,3,4,3,0,2,4,3,1,2,4
"78",2,1,1,6,10,1,1,1,1,3,5,1,1,3,0,0,3,3,5,3,5,3,1,5,9
"79",3,1,1,9,13,1,1,1,1,6,10,1,1,3,3,0,3,0,0,3,3,3,1,8,12
"80",4,1,1,11,17,1,1,1,1,9,13,1,1,4,2,2,4,2,0,2,4,3,1,10,16
"81",5,3,1,11,24,1,1,1,1,11,17,1,1,2,0,0,3,3,6,2,6,1,1,12,23
"82",6,3,1,14,27,1,1,3,1,11,24,1,1,3,3,0,3,0,0,3,3,3,1,15,26
"83",7,3,9,14,2,1,1,3,1,14,27,1,1,1,4,1,1,1,0,4,1,2,1,23,1
"84",8,3,9,15,9,1,1,3,9,14,2,1,1,1,0,0,6,6,4,1,6,3,1,24,8
"85",9,7,15,15,13,1,1,3,9,15,9,1,1,6,4,0,4,0,0,6,4,2,1,34,12
"86",10,19,15,20,22,1,1,7,15,15,13,1,1,6,3,6,3,6,0,6,6,1,1,51,21
"87",11,19,18,20,31,1,1,19,15,20,22,1,1,3,0,0,6,6,5,3,6,2,1,54,30
"88",12,25,24,20,36,1,1,19,18,20,31,1,1,6,5,0,5,0,0,6,5,2,1,66,35
"89",13,29,24,20,39,1,1,25,24,20,36,1,1,3,2,4,3,2,0,4,3,1,1,70,38
"90",14,31,1,20,40,2,1,29,24,20,39,1,1,2,0,0,1,4,4,2,1,1,2,49,40
