"","Move","Player_1_Final1","Player_1_Final2","Player_1_Final3","Player_1_Final4","Player_2_Final1","Player_2_Final2","Player_2_Final3","Player_2_Final4","Player_1_Initial1","Player_1_Initial2","Player_1_Initial3","Player_1_Initial4","Player_2_Initial1","Player_2_Initial2","Player_2_Initial3","Player_2_Initial4","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"1",1,4,1,1,7,6,1,1,1,1,1,1,1,1,1,1,1,4,6,5,4,5,0,6,5,4,1,9,5
"2",2,4,1,1,11,10,1,1,1,4,1,1,7,6,1,1,1,4,0,0,4,4,2,4,4,4,1,13,9
"3",3,4,5,1,11,12,1,1,1,4,1,1,11,10,1,1,1,4,2,0,2,0,0,4,2,2,1,17,11
"4",4,6,5,1,11,14,1,1,1,4,5,1,11,12,1,1,1,2,2,1,2,1,0,2,2,1,1,19,13
"5",5,7,5,1,11,25,1,1,1,6,5,1,11,14,1,1,1,1,0,0,6,4,3,1,6,1,1,20,24
"6",6,7,9,1,11,28,1,1,1,7,5,1,11,25,1,1,1,4,3,0,3,0,0,4,3,2,1,24,27
"7",7,7,9,6,15,6,1,1,1,7,9,1,11,28,1,1,1,5,3,5,3,5,0,5,5,3,1,33,5
"8",8,10,9,6,15,14,1,1,1,7,9,6,15,6,1,1,1,3,0,0,2,6,6,3,6,1,1,36,13
"9",9,10,9,16,15,16,1,1,1,10,9,6,15,14,1,1,1,2,6,0,2,0,0,6,2,3,1,46,15
"10",10,10,9,19,15,20,1,1,1,10,9,16,15,16,1,1,1,1,3,4,1,4,0,3,4,3,1,49,19
"11",11,10,10,19,15,34,1,1,1,10,9,19,15,20,1,1,1,1,0,0,2,6,1,1,6,2,1,50,33
"12",12,15,10,19,15,2,1,1,1,10,10,19,15,34,1,1,1,2,1,0,1,0,0,2,1,1,1,55,1
"13",13,15,10,20,15,4,1,1,1,15,10,19,15,2,1,1,1,1,2,1,2,1,0,1,2,3,1,56,3
"14",14,16,10,20,15,9,1,1,1,15,10,20,15,4,1,1,1,1,0,0,1,5,3,1,5,1,1,57,8
"15",15,16,11,20,15,12,1,1,1,16,10,20,15,9,1,1,1,1,3,0,3,0,0,1,3,2,1,58,11
"16",16,20,11,20,15,16,1,1,1,16,11,20,15,12,1,1,1,4,4,3,4,3,0,4,4,1,1,62,15
"17",17,23,11,20,15,27,1,1,1,20,11,20,15,16,1,1,1,3,0,0,2,5,6,3,6,1,1,65,26
"18",18,28,11,20,15,29,1,1,1,23,11,20,15,27,1,1,1,2,5,0,2,0,0,5,2,1,1,70,28
