"","Move","Player_1_Final1","Player_1_Final2","Player_1_Final3","Player_2_Final1","Player_2_Final2","Player_2_Final3","Player_1_Initial1","Player_1_Initial2","Player_1_Initial3","Player_2_Initial1","Player_2_Initial2","Player_2_Initial3","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"1",1,1,6,7,2,1,1,1,1,1,1,1,1,6,1,6,1,6,0,6,1,3,1,11,1
"2",2,11,6,7,2,1,3,1,6,7,2,1,1,6,0,0,6,2,5,6,2,1,3,21,3
"3",3,16,6,7,2,7,6,11,6,7,2,1,3,6,5,0,6,0,0,5,6,1,2,26,12
"4",4,16,14,7,5,7,6,16,6,7,2,7,6,1,3,6,1,3,0,6,3,2,1,34,15
"5",5,17,14,7,9,7,6,16,14,7,5,7,6,1,0,0,1,2,4,1,4,1,1,35,19
"6",6,17,14,8,9,9,6,17,14,7,9,7,6,1,2,0,2,0,0,1,2,3,2,36,21
"7",7,17,20,13,9,9,9,17,14,8,9,9,6,4,6,3,4,3,0,6,3,2,3,47,24
"8",8,17,24,13,10,9,15,17,20,13,9,9,9,4,0,0,6,6,2,4,6,2,3,51,31
"9",9,22,24,19,10,11,15,17,24,13,10,9,15,6,2,0,2,0,0,6,2,3,2,62,33
"10",10,22,24,20,14,11,15,22,24,19,10,11,15,1,4,2,4,2,0,1,4,3,1,63,37
"11",11,24,24,20,14,11,20,22,24,20,14,11,15,2,0,0,6,5,4,2,5,1,3,65,42
"12",12,24,24,24,14,11,31,24,24,20,14,11,20,6,4,0,6,0,0,4,6,3,3,69,53
"13",13,24,36,24,1,14,31,24,24,24,14,11,31,6,3,4,3,4,0,6,3,2,2,81,43
"14",14,24,36,28,1,18,31,24,36,24,1,14,31,4,0,0,4,2,4,4,4,3,2,85,47
"15",15,24,36,30,5,18,31,24,36,28,1,18,31,2,4,0,4,0,0,2,4,3,1,87,51
"16",16,24,36,35,5,20,31,24,36,30,5,18,31,1,2,5,1,2,0,5,2,3,2,92,53
"17",17,24,36,36,10,20,31,24,36,35,5,20,31,1,0,0,5,5,4,1,5,3,1,93,58
"18",18,32,36,39,6,20,31,24,36,36,10,20,31,5,4,0,5,0,0,4,5,1,1,142,54
"19",19,42,39,39,7,20,31,32,36,39,6,20,31,6,1,1,1,1,0,6,1,1,1,193,55
"20",20,43,39,39,9,20,31,42,39,39,7,20,31,1,0,0,2,4,3,1,2,1,1,194,57
"21",21,47,39,39,12,20,31,43,39,39,9,20,31,4,3,0,3,0,0,4,3,1,1,198,60
"22",22,51,39,39,21,20,31,47,39,39,12,20,31,4,6,2,6,2,0,4,6,1,1,202,69
"23",23,53,39,39,32,20,31,51,39,39,21,20,31,2,0,0,6,4,4,2,6,1,1,204,80
"24",24,53,39,39,32,20,31,53,39,39,32,20,31,4,4,0,NA,0,0,0,0,0,0,204,80
"25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",1,1,1,5,12,7,1,1,1,1,1,1,1,5,4,6,5,6,0,4,6,3,2,4,17
"27",2,1,1,10,12,7,2,1,1,5,12,7,1,5,0,0,1,3,4,5,1,3,3,9,18
"28",3,1,4,10,12,11,2,1,1,10,12,7,2,3,4,0,4,0,0,3,4,2,2,12,22
"29",4,1,9,26,16,11,1,1,4,10,12,11,2,6,4,4,4,4,0,6,4,3,1,33,25
"30",5,1,9,30,19,11,1,1,9,26,16,11,1,4,0,0,3,2,3,4,3,3,1,37,28
"31",6,1,11,30,19,14,1,1,9,30,19,11,1,2,3,0,3,0,0,2,3,2,2,39,31
"32",7,1,23,1,24,17,1,1,11,30,19,14,1,2,6,3,2,3,0,6,3,2,2,22,39
"33",8,1,23,3,25,17,1,1,23,1,24,17,1,2,0,0,5,6,1,2,1,3,1,24,40
"34",9,1,32,3,25,22,1,1,23,3,25,17,1,5,6,0,5,0,0,6,5,2,2,33,45
"35",10,1,36,3,25,25,1,1,32,3,25,22,1,3,4,5,3,5,0,4,3,2,2,37,48
"36",11,6,36,3,26,25,1,1,36,3,25,25,1,5,0,0,1,5,2,5,1,1,1,42,49
"37",12,7,39,16,3,1,1,6,36,3,26,25,1,5,2,0,2,0,0,5,2,3,1,97,2
