"","Move","Player_1_Final1","Player_1_Final2","Player_1_Final3","Player_1_Final4","Player_2_Final1","Player_2_Final2","Player_2_Final3","Player_2_Final4","Player_1_Initial1","Player_1_Initial2","Player_1_Initial3","Player_1_Initial4","Player_2_Initial1","Player_2_Initial2","Player_2_Initial3","Player_2_Initial4","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"1",1,2,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,5,1,5,1,0,1,5,1,3,1,5
"2",2,2,2,1,1,1,1,6,4,2,1,1,1,1,1,6,1,1,0,0,3,5,2,1,3,2,4,2,8
"3",3,2,2,1,6,1,3,6,4,2,2,1,1,1,1,6,4,5,2,0,2,0,0,5,2,4,2,7,10
"4",4,6,2,1,6,1,3,6,9,2,2,1,6,1,3,6,4,4,2,5,2,5,0,4,5,1,4,11,15
"5",5,8,2,1,6,1,8,6,9,6,2,1,6,1,3,6,9,2,0,0,6,5,1,2,5,1,2,13,20
"6",6,11,2,1,12,2,8,6,9,8,2,1,6,1,8,6,9,6,1,0,1,0,0,6,1,4,1,22,21
"7",7,11,8,2,12,2,8,9,9,11,2,1,12,2,8,6,9,3,1,6,3,1,0,6,3,2,3,29,24
"8",8,12,8,2,12,6,8,9,9,11,8,2,12,2,8,9,9,1,0,0,5,2,4,1,4,1,1,30,28
"9",9,12,8,2,17,6,8,11,9,12,8,2,12,6,8,9,9,5,2,0,2,0,0,5,2,4,3,35,30
"10",10,12,13,2,17,6,8,12,9,12,8,2,17,6,8,11,9,5,1,1,1,1,0,5,1,2,3,40,31
"11",11,12,13,3,17,8,8,12,9,12,13,2,17,6,8,12,9,1,0,0,2,3,2,1,2,3,1,41,33
"12",12,14,13,3,17,11,8,12,9,12,13,3,17,8,8,12,9,3,2,0,3,0,0,2,3,1,1,43,36
"13",13,14,19,3,20,11,17,12,9,14,13,3,17,11,8,12,9,3,6,6,3,6,0,6,6,2,2,52,45
"14",14,14,22,3,20,11,17,15,9,14,19,3,20,11,17,12,9,3,0,0,3,3,1,3,3,2,3,55,48
"15",15,14,22,3,23,11,18,15,9,14,22,3,20,11,17,15,9,3,1,0,1,0,0,3,1,4,2,58,49
"16",16,1,1,3,27,11,18,15,11,14,22,3,23,11,18,15,9,1,1,6,1,1,0,6,1,1,4,28,51
"17",17,1,1,3,28,17,18,15,16,1,1,3,27,11,18,15,11,1,0,0,6,2,6,1,6,4,1,29,62
"18",18,1,1,6,39,17,18,15,3,1,1,3,28,17,18,15,16,2,6,0,2,0,0,6,2,4,4,81,49
"19",19,7,6,6,39,21,18,15,3,1,1,6,39,17,18,15,3,5,6,4,5,4,0,6,4,1,1,92,53
"20",20,7,11,6,39,26,18,15,3,7,6,6,39,21,18,15,3,5,0,0,5,6,2,5,5,2,1,97,58
"21",21,13,15,6,39,28,18,15,3,7,11,6,39,26,18,15,3,6,2,0,2,0,0,6,2,1,1,107,60
"22",22,25,24,6,39,31,18,15,1,13,15,6,39,28,18,15,3,3,3,6,3,3,0,6,3,1,1,128,61
"23",23,25,27,6,39,35,18,15,1,25,24,6,39,31,18,15,1,3,0,0,4,2,3,3,4,2,1,131,65
"24",24,25,29,6,39,35,18,15,1,25,27,6,39,35,18,15,1,2,3,0,3,0,0,2,0,2,0,133,65
"25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",1,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,2,0,2,1,3,4,2,1
"27",2,3,1,3,1,4,1,1,2,1,1,3,1,1,1,1,2,2,0,0,1,3,6,2,3,1,1,4,4
"28",3,3,7,3,5,4,2,1,2,3,1,3,1,4,1,1,2,1,6,0,1,0,0,6,1,2,2,14,5
"29",4,3,12,3,5,4,2,1,7,3,7,3,5,4,2,1,2,5,5,1,5,1,0,5,5,2,4,19,10
"30",5,3,13,3,5,4,2,1,10,3,12,3,5,4,2,1,7,1,0,0,3,6,2,1,3,2,4,20,13
"31",6,3,13,14,5,4,2,1,12,3,13,3,5,4,2,1,10,6,2,0,2,0,0,6,2,3,4,31,15
"32",7,9,13,14,8,4,2,1,13,3,13,14,5,4,2,1,12,1,4,6,1,4,0,6,1,1,4,40,16
"33",8,13,13,14,8,8,2,1,13,9,13,14,8,4,2,1,13,4,0,0,4,3,4,4,4,1,1,44,20
"34",9,13,13,14,12,8,5,1,13,13,13,14,8,8,2,1,13,3,4,0,3,0,0,4,3,4,2,48,23
"35",10,13,18,14,18,8,5,1,15,13,13,14,12,8,5,1,13,2,2,6,2,2,0,6,2,4,4,59,25
"36",11,15,18,14,18,13,5,1,15,13,18,14,18,8,5,1,15,2,0,0,4,1,5,2,5,1,1,61,30
"37",12,15,22,14,18,14,5,1,15,15,18,14,18,13,5,1,15,4,1,0,1,0,0,4,1,2,1,65,31
"38",13,15,22,14,20,14,5,1,20,15,22,14,18,14,5,1,15,5,6,2,5,6,0,2,5,4,4,67,36
"39",14,16,28,14,20,17,5,1,26,15,22,14,20,14,5,1,20,6,0,0,6,5,1,6,6,2,4,74,45
"40",15,16,33,14,1,17,7,2,26,16,28,14,20,17,5,1,26,5,1,0,1,0,0,5,1,2,3,60,48
"41",16,16,37,14,1,17,7,2,28,16,33,14,1,17,7,2,26,3,2,4,3,2,0,4,2,2,4,64,50
"42",17,1,37,1,1,17,7,5,35,16,37,14,1,17,7,2,28,3,0,0,6,6,5,3,6,3,4,36,60
"43",18,1,37,13,1,17,7,10,35,1,37,1,1,17,7,5,35,6,5,0,5,0,0,6,5,3,3,48,65
