"","Move","Player_1_Final1","Player_1_Final2","Player_1_Final3","Player_2_Final1","Player_2_Final2","Player_2_Final3","Player_1_Initial1","Player_1_Initial2","Player_1_Initial3","Player_2_Initial1","Player_2_Initial2","Player_2_Initial3","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"1",1,1,5,1,4,1,1,1,1,1,1,1,1,4,3,2,3,2,0,4,3,2,1,4,3
"2",2,1,7,1,4,6,1,1,5,1,4,1,1,2,0,0,4,5,2,2,5,2,2,6,8
"3",3,1,11,1,6,6,1,1,7,1,4,6,1,4,2,0,2,0,0,4,2,2,1,10,10
"4",4,1,11,11,6,10,1,1,11,1,6,6,1,4,6,4,4,4,0,6,4,3,2,20,14
"5",5,1,11,15,10,10,1,1,11,11,6,10,1,4,0,0,2,4,3,4,4,3,1,24,18
"6",6,4,11,15,10,12,1,1,11,15,10,10,1,2,3,0,2,0,0,3,2,1,2,27,20
"7",7,8,17,15,13,12,1,4,11,15,10,12,1,1,3,6,1,3,0,6,3,2,1,37,23
"8",8,9,17,15,13,16,1,8,17,15,13,12,1,1,0,0,4,2,4,1,4,1,2,38,27
"9",9,13,17,15,15,16,1,9,17,15,13,16,1,2,4,0,2,0,0,4,2,1,1,42,29
"10",10,13,17,18,15,20,1,13,17,15,15,16,1,3,4,3,4,3,0,3,4,3,2,45,33
"11",11,13,17,21,18,20,7,13,17,18,15,20,1,3,0,0,6,4,1,3,6,3,3,48,42
"12",12,13,17,25,18,21,7,13,17,21,18,20,7,4,1,0,1,0,0,4,1,3,2,52,43
"13",13,19,22,25,22,21,7,13,17,25,18,21,7,4,6,4,4,4,0,6,4,1,1,63,47
"14",14,19,26,25,27,21,7,19,22,25,22,21,7,4,0,0,5,6,1,4,5,2,1,67,52
"15",15,30,26,31,27,21,8,19,26,25,27,21,7,6,1,0,1,0,0,6,1,1,3,84,53
"16",16,30,31,31,27,21,13,30,26,31,27,21,8,5,5,5,5,5,0,5,5,2,3,89,58
"17",17,35,31,31,27,27,17,30,31,31,27,21,13,5,0,0,4,6,3,5,6,1,2,94,68
"18",18,35,31,34,27,27,21,35,31,31,27,27,17,4,3,0,4,0,0,3,4,3,3,97,72
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",1,1,5,1,4,1,1,1,1,1,1,1,1,2,3,4,2,3,0,4,3,2,1,4,3
"21",2,3,5,1,4,10,1,1,5,1,4,1,1,2,0,0,6,4,4,2,6,1,2,6,12
"22",3,3,9,1,8,10,1,3,5,1,4,10,1,4,4,0,4,0,0,4,4,2,1,10,16
"23",4,3,13,1,8,12,1,3,9,1,8,10,1,4,2,1,2,1,0,4,2,2,2,14,18
"24",5,3,14,1,13,12,1,3,13,1,8,12,1,1,0,0,5,3,1,1,5,2,1,15,23
"25",6,3,14,4,13,13,1,3,14,1,13,12,1,3,1,0,1,0,0,3,1,3,2,18,24
"26",7,3,14,9,16,13,1,3,14,4,13,13,1,1,5,3,1,3,0,5,3,3,1,23,27
"27",8,3,14,10,16,18,1,3,14,9,16,13,1,1,0,0,3,5,1,1,5,3,2,24,32
"28",9,3,15,10,19,18,1,3,14,10,16,18,1,3,1,0,3,0,0,1,3,2,1,25,35
"29",10,3,16,10,19,27,1,3,15,10,19,18,1,6,2,1,6,2,0,1,6,2,2,26,44
"30",11,3,18,10,23,27,1,3,16,10,19,27,1,2,0,0,2,4,1,2,4,2,1,28,48
"31",12,3,20,10,24,27,1,3,18,10,23,27,1,2,1,0,1,0,0,2,1,2,1,30,49
"32",13,3,20,15,24,27,5,3,20,10,24,27,1,4,5,1,4,1,0,5,4,3,3,35,53
"33",14,3,20,16,24,27,16,3,20,15,24,27,5,1,0,0,6,4,2,1,6,3,3,36,64
"34",15,3,22,16,24,27,20,3,20,16,24,27,16,4,2,0,4,0,0,2,4,2,3,38,68
"35",16,3,23,16,24,27,24,3,22,16,24,27,20,1,4,2,4,2,0,1,4,2,3,39,72
"36",17,3,23,18,28,27,24,3,23,16,24,27,24,2,0,0,2,1,4,2,4,3,1,41,76
"37",18,1,25,18,29,27,27,3,23,18,28,27,24,2,1,0,1,0,0,2,1,2,1,41,80
"38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",1,1,4,1,5,1,1,1,1,1,1,1,1,3,4,1,4,1,0,3,4,2,1,3,4
"40",2,2,4,1,5,6,1,1,4,1,5,1,1,1,0,0,3,3,5,1,5,1,2,4,9
"41",3,5,4,1,8,6,1,2,4,1,5,6,1,3,3,0,3,0,0,3,3,1,1,7,12
"42",4,8,4,1,8,14,1,5,4,1,8,6,1,2,6,3,2,6,0,3,6,1,2,10,20
"43",5,8,6,1,13,14,1,8,4,1,8,14,1,2,0,0,2,3,5,2,5,2,1,12,25
"44",6,11,6,1,13,16,1,8,6,1,13,14,1,2,3,0,2,0,0,3,2,1,2,15,27
"45",7,15,6,1,16,16,1,11,6,1,13,16,1,4,3,1,3,1,0,4,3,1,1,19,30
"46",8,16,6,1,16,20,1,15,6,1,16,16,1,1,0,0,4,2,3,1,4,1,2,20,34
"47",9,16,6,3,19,20,1,16,6,1,16,20,1,2,3,0,3,0,0,2,3,3,1,22,37
"48",10,22,6,6,19,20,6,16,6,3,19,20,1,5,6,3,5,3,0,6,5,1,3,31,42
"49",11,22,9,6,21,20,6,22,6,6,19,20,6,3,0,0,2,1,2,3,2,2,1,34,44
"50",12,22,9,8,21,21,6,22,9,6,21,20,6,1,2,0,1,0,0,2,1,3,2,36,45
"51",13,22,9,13,27,21,8,22,9,8,21,21,6,5,6,1,6,1,0,5,6,3,1,41,53
"52",14,23,9,13,27,24,8,22,9,13,27,21,8,1,0,0,3,1,1,1,3,1,2,42,56
"53",15,23,9,14,27,24,9,23,9,13,27,24,8,1,1,0,1,0,0,1,1,3,3,43,57
"54",16,23,14,14,27,27,9,23,9,14,27,24,9,5,3,3,3,3,0,5,3,2,2,48,60
"55",17,26,14,14,27,27,22,23,14,14,27,27,9,3,0,0,6,4,6,3,6,1,3,51,73
"56",18,26,25,14,27,27,26,26,14,14,27,27,22,4,6,0,4,0,0,6,4,2,3,62,77
"57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
