"","Move","Player_1_Final1","Player_1_Final2","Player_2_Final1","Player_2_Final2","Player_1_Initial1","Player_1_Initial2","Player_2_Initial1","Player_2_Initial2","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"1",1,1,2,1,4,1,1,1,1,3,1,5,3,5,0,1,3,2,2,1,3
"2",2,6,2,5,4,1,2,1,4,5,0,0,3,4,5,5,4,1,1,6,7
"3",3,11,2,5,7,6,2,5,4,3,5,0,3,0,0,5,3,1,2,11,10
"4",4,16,2,5,9,11,2,5,7,5,2,3,2,3,0,5,2,1,2,16,12
"5",5,16,5,5,18,16,2,5,9,3,0,0,2,6,5,3,6,2,2,19,21
"6",6,16,7,5,23,16,5,5,18,2,5,0,5,0,0,2,5,2,2,21,26
"7",7,18,1,5,30,16,7,5,23,2,4,2,4,2,0,2,2,1,2,17,33
"8",8,18,5,10,36,18,1,5,30,4,0,0,6,1,1,4,6,2,2,21,44
"9",9,19,5,11,36,18,5,10,36,1,1,0,1,0,0,1,1,1,1,22,45
"10",10,19,8,15,36,19,5,11,36,5,3,4,5,4,0,3,4,2,1,25,49
"11",11,19,13,17,36,19,8,15,36,5,0,0,2,4,2,5,2,2,1,30,51
"12",12,23,13,19,36,19,13,17,36,4,2,0,2,0,0,4,2,1,1,34,53
"13",13,25,1,42,39,23,13,19,36,6,2,4,6,4,0,2,6,1,1,24,117
"14",14,29,1,50,39,25,1,42,39,4,0,0,6,5,3,4,6,1,1,28,125
"15",15,34,1,53,39,29,1,50,39,5,3,0,3,0,0,5,3,1,1,33,128
"16",16,43,1,56,39,34,1,53,39,6,3,2,3,2,0,6,3,1,1,42,131
"17",17,45,1,58,39,43,1,56,39,2,0,0,2,4,6,2,2,1,1,44,133
"18",18,49,1,66,39,45,1,58,39,4,6,0,6,0,0,4,6,1,1,48,141
"19",19,56,1,69,39,49,1,66,39,6,3,2,3,2,0,6,3,1,1,55,144
"20",20,58,1,74,39,56,1,69,39,2,0,0,5,6,3,2,5,1,1,57,149
"21",21,66,1,77,39,58,1,74,39,6,3,0,3,0,0,6,3,1,1,65,152
"22",22,1,1,89,39,66,1,77,39,4,6,2,6,2,0,4,6,1,1,0,164
"23",23,3,1,91,39,1,1,89,39,2,0,0,2,6,3,2,2,1,1,2,166
"24",24,3,1,91,39,3,1,91,39,6,3,0,NA,0,0,0,0,0,0,2,166
"25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",1,1,5,1,5,1,1,1,1,4,4,4,4,4,0,4,4,2,2,4,4
"27",2,1,9,1,6,1,5,1,5,4,0,0,3,1,1,4,1,2,2,8,5
"28",3,1,10,1,9,1,9,1,6,3,1,0,3,0,0,1,3,2,2,9,8
"29",4,6,10,12,9,1,10,1,9,6,2,5,6,2,0,5,6,1,1,14,19
"30",5,8,10,12,11,6,10,12,9,2,0,0,3,2,6,2,2,1,2,16,21
"31",6,8,13,18,14,8,10,12,11,3,6,0,6,0,0,3,6,2,1,19,30
"32",7,8,16,18,17,8,13,18,14,3,3,3,3,3,0,3,3,2,2,22,33
"33",8,8,19,18,22,8,16,18,17,3,0,0,1,1,5,3,5,2,2,25,38
"34",9,8,20,18,23,8,19,18,22,1,1,0,1,0,0,1,1,2,2,26,39
"35",10,8,25,22,23,8,20,18,23,4,1,5,4,1,0,5,4,2,1,31,43
"36",11,9,25,22,24,8,25,22,23,1,0,0,1,1,1,1,1,1,2,32,44
"37",12,9,26,23,24,9,25,22,24,1,1,0,1,0,0,1,1,2,1,33,45
"38",13,9,28,23,26,9,26,23,24,2,3,2,3,2,0,2,2,2,2,35,47
"39",14,12,28,24,26,9,28,23,26,3,0,0,1,2,1,3,1,1,1,38,48
"40",15,14,28,25,26,12,28,24,26,2,1,0,1,0,0,2,1,1,1,40,49
"41",16,17,28,29,26,14,28,25,26,2,4,3,2,4,0,3,4,1,1,43,53
"42",17,19,28,29,30,17,28,29,26,2,0,0,4,3,3,2,4,1,2,45,57
"43",18,22,28,32,30,19,28,29,30,3,3,0,3,0,0,3,3,1,1,48,60
"44",19,22,33,37,30,22,28,32,30,5,5,5,5,5,0,5,5,2,1,53,65
"45",20,22,38,37,33,22,33,37,30,5,0,0,1,3,4,5,3,2,2,58,68
"46",21,26,39,37,37,22,38,37,33,1,4,0,4,0,0,1,4,2,2,101,72
"47",22,29,39,42,37,26,39,37,37,3,5,5,5,5,0,3,5,1,1,104,77
"48",23,34,39,47,37,29,39,42,37,5,0,0,5,2,6,5,5,1,1,109,82
"49",24,34,39,47,37,34,39,47,37,2,6,0,NA,0,0,0,0,0,0,109,82
"50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51",1,5,1,1,6,1,1,1,1,4,3,5,3,5,0,4,5,1,2,4,5
"52",2,8,1,5,12,5,1,1,6,3,0,0,3,1,6,3,6,1,2,7,15
"53",3,11,1,5,13,8,1,5,12,3,1,0,1,0,0,3,1,1,2,10,16
"54",4,11,1,6,20,11,1,5,13,1,6,1,6,1,0,1,6,2,2,10,24
"55",5,11,7,6,6,11,1,6,20,1,0,0,3,5,2,1,5,2,2,16,10
"56",6,11,9,6,9,11,7,6,6,3,2,0,3,0,0,2,3,2,2,18,13
"57",7,13,9,14,9,11,9,6,9,6,2,4,6,4,0,2,6,1,1,20,21
"58",8,13,13,14,14,13,9,14,9,4,0,0,2,1,5,4,5,2,2,24,26
"59",9,13,15,15,14,13,13,14,14,2,1,0,1,0,0,2,1,2,1,26,27
"60",10,13,18,15,16,13,15,15,14,1,2,3,1,2,0,3,2,2,2,29,29
"61",11,14,18,16,16,13,18,15,16,1,0,0,1,5,3,1,1,1,1,30,30
"62",12,14,23,19,16,14,18,16,16,5,3,0,3,0,0,5,3,2,1,35,33
"63",13,30,23,19,26,14,23,19,16,4,6,6,4,6,0,6,6,1,2,51,43
"64",14,30,27,19,29,30,23,19,26,4,0,0,4,3,4,4,3,2,2,55,46
"65",15,30,31,19,33,30,27,19,29,4,4,0,4,0,0,4,4,2,2,59,50
"66",16,41,37,24,39,30,31,19,33,2,6,6,2,6,0,6,6,2,2,76,99
"67",17,44,39,11,39,41,37,24,39,2,0,0,1,6,5,2,6,2,1,119,86
"68",18,45,39,16,39,44,39,11,39,1,5,0,5,0,0,1,5,1,1,120,91
"69",19,47,39,19,39,45,39,16,39,2,2,3,2,3,0,2,3,1,1,122,94
"70",20,49,39,28,39,47,39,19,39,2,0,0,6,4,2,2,6,1,1,124,103
"71",21,53,39,30,39,49,39,28,39,4,2,0,2,0,0,4,2,1,1,128,105
"72",22,57,39,35,39,53,39,30,39,4,2,5,2,5,0,4,5,1,1,132,110
"73",23,59,39,37,39,57,39,35,39,2,0,0,2,3,2,2,2,1,1,134,112
"74",24,59,39,37,39,59,39,37,39,3,2,0,NA,0,0,0,0,0,0,134,112
"75",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76",1,1,2,1,5,1,1,1,1,1,1,4,1,4,0,1,4,2,2,1,4
"77",2,2,2,2,11,1,2,1,5,1,0,0,6,4,5,1,6,1,2,2,11
"78",3,2,7,2,15,2,2,2,11,4,5,0,4,0,0,5,4,2,2,7,15
"79",4,5,7,2,17,2,7,2,15,2,3,3,2,3,0,3,2,1,2,10,17
"80",5,8,7,5,23,5,7,2,17,3,0,0,1,2,6,3,6,1,2,13,26
"81",6,8,8,5,25,8,7,5,23,1,2,0,2,0,0,1,2,2,2,14,28
"82",7,10,8,10,25,8,8,5,25,2,2,5,2,5,0,2,5,1,1,16,33
"83",8,12,8,22,25,10,8,10,25,2,0,0,6,6,6,2,6,1,1,18,45
"84",9,18,1,22,37,12,8,22,25,6,6,0,6,0,0,6,6,1,2,17,57
"85",10,18,6,34,37,18,1,22,37,6,5,1,6,1,0,5,6,2,1,22,69
"86",11,18,7,38,37,18,6,34,37,1,0,0,3,4,4,1,4,2,1,23,73
