"","Move","Player_1_Final1","Player_1_Final2","Player_1_Final3","Player_2_Final1","Player_2_Final2","Player_2_Final3","Player_1_Initial1","Player_1_Initial2","Player_1_Initial3","Player_2_Initial1","Player_2_Initial2","Player_2_Initial3","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"1",1,12,1,1,1,6,1,1,1,1,1,1,1,5,6,2,5,2,0,6,5,1,2,11,5
"2",2,12,3,1,1,12,6,12,1,1,1,6,1,2,0,0,6,3,3,2,6,2,2,13,16
"3",3,15,3,1,4,12,6,12,3,1,1,12,6,3,3,0,3,0,0,3,3,1,1,16,19
"4",4,15,5,1,4,14,6,15,3,1,4,12,6,1,2,2,1,2,0,2,2,2,2,18,21
"5",5,15,5,2,4,14,10,15,5,1,4,14,6,1,0,0,1,1,4,1,4,3,3,19,25
"6",6,15,5,3,5,14,10,15,5,2,4,14,10,1,1,0,1,0,0,1,1,3,1,20,26
"7",7,15,5,14,5,25,10,15,5,3,5,14,10,5,6,6,5,6,0,6,6,3,2,31,37
"8",8,15,5,19,5,30,10,15,5,14,5,25,10,5,0,0,1,1,5,5,5,3,2,36,42
"9",9,16,5,19,5,30,11,15,5,19,5,30,10,1,1,0,1,0,0,1,1,1,3,37,43
"10",10,19,5,19,5,37,11,16,5,19,5,30,11,3,3,6,3,6,0,3,6,1,2,40,50
"11",11,22,5,19,5,37,12,19,5,19,5,37,11,3,0,0,1,1,4,3,1,1,3,43,51
"12",12,26,5,19,1,37,16,22,5,19,5,37,12,1,4,0,4,0,0,1,4,1,3,47,51
"13",13,37,1,19,2,39,23,26,5,19,1,37,16,5,5,6,5,6,0,5,6,1,3,54,99
"14",14,37,6,19,12,39,23,37,1,19,2,39,23,5,0,0,6,3,3,5,6,2,1,59,109
"15",15,37,9,19,15,39,23,37,6,19,12,39,23,3,3,0,3,0,0,3,3,2,1,62,112
"16",16,38,9,19,24,39,29,37,9,19,15,39,23,5,1,6,5,6,0,1,6,1,1,63,127
"17",17,38,14,19,28,39,29,38,9,19,24,39,29,5,0,0,4,2,1,5,4,2,1,68,131
"18",18,39,19,19,28,39,31,38,14,19,28,39,29,2,1,0,2,0,0,1,2,1,3,112,133
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",1,16,1,1,1,1,6,1,1,1,1,1,1,6,3,5,3,5,0,6,5,1,3,15,5
"21",2,19,1,1,6,1,6,16,1,1,1,1,6,3,0,0,1,5,5,3,5,1,1,18,10
"22",3,19,1,6,6,1,7,19,1,1,6,1,6,1,5,0,1,0,0,5,1,3,3,23,11
"23",4,19,8,6,11,1,7,19,1,6,6,1,7,2,6,5,2,5,0,6,5,2,1,30,16
"24",5,19,8,8,11,2,7,19,8,6,11,1,7,2,0,0,1,3,4,2,1,3,2,32,17
"25",6,19,12,8,11,2,10,19,8,8,11,2,7,3,4,0,3,0,0,4,3,2,3,36,20
"26",7,19,12,13,15,2,10,19,12,8,11,2,10,4,1,5,4,1,0,5,4,3,1,41,24
"27",8,19,13,13,23,2,10,19,12,13,15,2,10,1,0,0,6,1,6,1,6,2,1,42,32
"28",9,19,19,16,23,2,11,19,13,13,23,2,10,1,6,0,1,0,0,6,1,2,3,51,33
"29",10,19,19,19,39,2,14,19,19,16,23,2,11,3,6,1,6,1,0,3,6,3,1,54,90
"30",11,20,19,19,39,8,16,19,19,19,39,2,14,1,0,0,6,6,1,1,6,1,2,55,98
"31",12,28,19,19,39,2,16,20,19,19,39,8,16,6,1,0,1,0,0,6,1,1,2,63,92
"32",13,40,19,20,39,7,1,28,19,19,39,2,16,2,5,6,2,5,0,6,5,1,2,76,82
"33",14,40,21,20,39,16,1,40,19,20,39,7,1,2,0,0,4,4,6,2,6,2,2,78,91
"34",15,40,21,24,39,20,1,40,21,20,39,16,1,4,4,0,4,0,0,4,4,3,2,82,95
"35",16,40,34,1,39,21,6,40,21,24,39,20,1,5,5,3,5,5,0,3,5,2,3,72,101
"36",17,40,39,4,39,21,11,40,34,1,39,21,6,5,0,0,2,5,3,5,5,2,3,118,106
"37",18,40,39,7,39,21,13,40,39,4,39,21,11,2,3,0,2,0,0,3,2,3,3,121,108
"38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",1,6,1,1,5,1,1,1,1,1,1,1,1,4,2,5,4,2,0,5,4,1,1,5,4
"40",2,6,3,1,5,1,2,6,1,1,5,1,1,2,0,0,2,3,1,2,1,2,3,7,5
"41",3,9,3,1,7,1,2,6,3,1,5,1,2,2,3,0,2,0,0,3,2,1,1,10,7
"42",4,9,11,1,12,1,2,9,3,1,7,1,2,5,6,2,5,2,0,6,5,2,1,18,12
"43",5,11,11,1,12,1,7,9,11,1,12,1,2,2,0,0,4,5,2,2,5,1,3,20,17
"44",6,11,15,1,14,1,7,11,11,1,12,1,7,4,2,0,2,0,0,4,2,2,1,24,19
"45",7,11,19,1,25,1,7,11,15,1,14,1,7,6,2,4,6,2,0,4,6,2,1,28,30
"46",8,1,19,3,29,3,7,11,19,1,25,1,7,2,0,0,4,4,1,2,4,3,1,20,36
"47",9,5,19,3,30,3,7,1,19,3,29,3,7,4,1,0,1,0,0,4,1,1,1,24,37
"48",10,10,19,3,30,4,7,5,19,3,30,3,7,5,1,1,1,1,0,5,1,1,2,29,38
"49",11,11,19,3,36,4,12,10,19,3,30,4,7,1,0,0,6,2,6,1,6,1,1,30,49
