"","Move","Player_1_Final1","Player_1_Final2","Player_1_Final3","Player_1_Final4","Player_2_Final1","Player_2_Final2","Player_2_Final3","Player_2_Final4","Player_1_Initial1","Player_1_Initial2","Player_1_Initial3","Player_1_Initial4","Player_2_Initial1","Player_2_Initial2","Player_2_Initial3","Player_2_Initial4","Player 1 Rolls available","Player 1 Rolls available","Player 1 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 2 Rolls available","Player 1 Roll Chosen","Player 2 Roll Chosen","Player 1 Token Chosen","Player 2 Token Chosen","Player1 Score","Player 2 Score"
"1",1,6,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,3,5,1,3,1,0,5,3,1,2,5,3
"2",2,6,2,1,1,6,4,1,1,6,1,1,1,1,4,1,1,1,0,0,5,2,1,1,5,2,1,6,8
"3",3,8,2,1,1,7,4,1,1,6,2,1,1,6,4,1,1,2,1,0,1,0,0,2,1,1,1,8,9
"4",4,8,17,1,1,7,6,1,1,8,2,1,1,7,4,1,1,2,1,6,2,1,0,6,2,2,2,23,11
"5",5,9,17,1,1,11,6,1,1,8,17,1,1,7,6,1,1,1,0,0,4,4,1,1,4,1,1,24,15
"6",6,9,17,1,5,12,6,1,1,9,17,1,1,11,6,1,1,4,1,0,1,0,0,4,1,4,1,28,16
"7",7,9,19,1,5,12,7,1,1,9,17,1,5,12,6,1,1,1,3,2,1,3,0,2,1,2,2,30,17
"8",8,9,19,1,8,12,7,5,1,9,19,1,5,12,7,1,1,3,0,0,5,4,6,3,4,4,3,33,21
"9",9,18,19,1,8,17,7,5,1,9,19,1,8,12,7,5,1,5,6,0,5,0,0,6,5,1,1,42,26
"10",10,18,19,4,8,17,9,5,1,18,19,1,8,17,7,5,1,3,2,3,2,3,0,3,2,3,2,45,28
"11",11,18,19,7,8,17,9,5,6,18,19,4,8,17,9,5,1,3,0,0,6,5,3,3,5,3,4,48,33
"12",12,19,19,7,14,17,9,8,6,18,19,7,8,17,9,5,6,6,3,0,3,0,0,6,3,4,3,55,36
"13",13,19,19,19,17,20,9,8,6,19,19,7,14,17,9,8,6,1,6,3,1,3,0,6,3,3,1,70,39
"14",14,19,19,19,18,23,9,8,6,19,19,19,17,20,9,8,6,1,0,0,2,3,3,1,3,4,1,71,42
"15",15,22,19,19,18,25,9,8,6,19,19,19,18,23,9,8,6,2,3,0,2,0,0,3,2,1,1,74,44
"16",16,1,1,19,18,29,3,8,9,22,19,19,18,25,9,8,6,4,5,3,4,3,0,5,3,1,4,35,45
"17",17,5,1,19,18,39,6,8,9,1,1,19,18,29,3,8,9,4,0,0,2,6,2,4,6,1,1,39,96
"18",18,5,1,23,18,39,8,8,9,5,1,19,18,39,6,8,9,2,2,0,2,0,0,2,2,3,2,43,98
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",1,5,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,4,1,4,1,4,0,4,1,1,1,4,1
"21",2,5,5,1,1,2,1,1,6,5,1,1,1,2,1,1,1,4,0,0,5,5,5,4,5,2,4,8,6
"22",3,10,5,1,1,2,1,1,11,5,5,1,1,2,1,1,6,5,5,0,5,0,0,5,5,1,4,13,11
"23",4,10,10,1,1,2,1,1,16,10,5,1,1,2,1,1,11,5,5,1,5,1,0,5,5,2,4,18,16
"24",5,10,10,2,1,2,6,1,16,10,10,1,1,2,1,1,16,1,0,0,5,3,4,1,5,3,2,19,21
"25",6,10,10,6,1,2,6,1,19,10,10,2,1,2,6,1,16,3,4,0,3,0,0,4,3,3,4,23,24
"26",7,15,10,6,1,2,10,1,19,10,10,6,1,2,6,1,19,1,4,5,1,4,0,5,4,1,2,28,28
"27",8,15,11,6,1,2,14,1,19,15,10,6,1,2,10,1,19,1,0,0,1,4,1,1,4,2,2,29,32
"28",9,15,11,6,2,2,14,2,19,15,11,6,1,2,14,1,19,1,1,0,1,0,0,1,1,4,3,30,33
"29",10,19,11,6,2,6,14,2,19,15,11,6,2,2,14,2,19,4,3,4,3,4,0,4,4,1,1,34,37
"30",11,19,11,6,5,6,14,7,19,19,11,6,2,6,14,2,19,3,0,0,3,5,1,3,5,4,3,37,42
"31",12,19,14,6,5,6,15,7,19,19,11,6,5,6,14,7,19,3,1,0,1,0,0,3,1,2,2,40,43
"32",13,19,19,6,5,8,15,7,19,19,14,6,5,6,15,7,19,5,2,2,2,2,0,5,2,2,1,45,45
"33",14,19,19,6,7,12,15,7,19,19,19,6,5,8,15,7,19,2,0,0,2,4,2,2,4,4,1,47,49
"34",15,19,19,8,7,12,15,7,21,19,19,6,7,12,15,7,19,2,2,0,2,0,0,2,2,3,4,49,51
"35",16,19,19,11,7,12,17,7,21,19,19,8,7,12,15,7,21,2,1,3,2,1,0,3,2,3,2,52,53
"36",17,19,19,11,8,15,17,7,21,19,19,11,7,12,17,7,21,1,0,0,1,3,2,1,3,4,1,53,56
"37",18,19,19,11,10,16,17,7,21,19,19,11,8,15,17,7,21,1,2,0,1,0,0,2,1,4,1,55,57
"38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",1,5,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,0,4,4,1,1,4,4
"40",2,5,5,1,1,5,4,1,1,5,1,1,1,5,1,1,1,4,0,0,3,4,2,4,3,2,2,8,7
"41",3,9,5,1,1,7,4,1,1,5,5,1,1,5,4,1,1,4,2,0,2,0,0,4,2,1,1,12,9
"42",4,9,19,1,1,7,8,1,1,9,5,1,1,7,4,1,1,6,4,4,4,4,0,6,4,2,2,26,13
"43",5,13,19,1,1,7,8,3,1,9,19,1,1,7,8,1,1,4,0,0,2,2,2,4,2,1,3,30,15
"44",6,13,19,1,3,7,10,3,1,13,19,1,1,7,8,3,1,2,2,0,2,0,0,2,2,4,2,32,17
"45",7,19,19,4,3,12,10,3,1,13,19,1,3,7,10,3,1,3,6,5,3,5,0,6,5,1,1,41,22
"46",8,19,19,4,6,16,10,3,1,19,19,4,3,12,10,3,1,3,0,0,6,4,3,3,4,4,1,44,26
"47",9,19,19,13,6,19,10,3,1,19,19,4,6,16,10,3,1,6,3,0,3,0,0,6,3,3,1,53,29
"48",10,19,19,19,8,21,10,3,1,19,19,13,6,19,10,3,1,2,2,6,2,2,0,6,2,3,1,61,31
"49",11,19,19,19,10,25,10,3,1,19,19,19,8,21,10,3,1,2,0,0,3,4,1,2,4,4,1,63,35
"50",12,19,19,19,13,25,10,3,2,19,19,19,10,25,10,3,1,3,1,0,1,0,0,3,1,4,4,66,36
"51",13,22,19,19,19,30,10,3,2,19,19,19,13,25,10,3,2,6,5,5,5,5,0,6,5,4,1,75,41
"52",14,22,1,19,19,31,10,6,2,22,19,19,19,30,10,3,2,5,0,0,4,3,3,5,3,2,3,57,45
"53",15,22,5,19,19,31,10,6,5,22,1,19,19,31,10,6,2,4,3,0,3,0,0,4,3,2,4,61,48
"54",16,1,9,19,19,35,1,10,5,22,5,19,19,31,10,6,5,6,4,5,4,5,0,6,4,1,3,44,47
"55",17,6,9,19,19,35,1,10,10,1,9,19,19,35,1,10,5,5,0,0,5,4,4,5,5,1,4,49,52
"56",18,6,13,19,19,35,5,10,10,6,9,19,19,35,1,10,10,4,4,0,4,0,0,4,4,2,2,53,56
"57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58",1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,2,1,2,1,0,2,2,1,3,2,2
"59",2,3,2,1,1,1,1,6,1,3,1,1,1,1,1,3,1,1,0,0,5,3,3,1,3,2,3,3,5
"60",3,8,2,1,1,1,1,9,1,3,2,1,1,1,1,6,1,5,3,0,3,0,0,5,3,1,3,8,8
"61",4,8,11,1,1,1,2,9,1,8,2,1,1,1,1,9,1,1,6,1,1,1,0,6,1,2,2,17,9
"62",5,9,11,1,1,1,2,13,1,8,11,1,1,1,2,9,1,1,0,0,4,1,2,1,4,1,3,18,13
"63",6,9,11,3,1,1,3,13,1,9,11,1,1,1,2,13,1,1,2,0,1,0,0,2,1,3,2,20,14
"64",7,9,11,3,5,1,3,16,1,9,11,3,1,1,3,13,1,1,3,4,1,3,0,4,3,4,3,24,17
"65",8,9,11,4,5,1,7,16,1,9,11,3,5,1,3,16,1,1,0,0,1,4,2,1,4,3,2,25,21
"66",9,9,11,6,5,2,7,16,1,9,11,4,5,1,7,16,1,1,2,0,1,0,0,2,1,3,1,27,22
"67",10,9,16,6,5,2,7,21,1,9,11,6,5,2,7,16,1,2,5,5,2,5,0,5,5,2,3,32,27
"68",11,9,16,8,5,2,17,21,7,9,16,6,5,2,7,21,1,2,0,0,1,6,5,2,6,3,2,34,43
"69",12,9,16,8,10,2,18,21,7,9,16,8,5,2,17,21,7,1,5,0,1,0,0,5,1,4,2,39,44
"70",13,9,16,13,10,6,18,21,7,9,16,8,10,2,18,21,7,2,4,5,2,4,0,5,4,3,1,44,48
"71",14,9,18,13,10,11,18,21,7,9,16,13,10,6,18,21,7,2,0,0,2,2,5,2,5,2,1,46,53
"72",15,11,18,13,10,13,18,21,7,9,18,13,10,11,18,21,7,2,2,0,2,0,0,2,2,1,1,48,55
"73",16,11,19,13,10,13,18,21,11,11,18,13,10,13,18,21,7,2,4,1,2,4,0,1,4,2,4,49,59
"74",17,13,19,13,10,24,18,21,11,11,19,13,10,13,18,21,11,2,0,0,6,2,3,2,6,1,1,51,70
"75",18,13,19,13,13,24,18,21,13,13,19,13,10,24,18,21,11,2,3,0,2,0,0,3,2,4,4,54,72
"76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77",1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,3,3,1,3,1,0,3,3,1,1,3,3
"78",2,4,2,1,1,4,4,1,1,4,1,1,1,4,1,1,1,1,0,0,1,3,5,1,3,2,2,4,6
