,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,60,0,1,3,0,2,1
1,60,0,1,4,1,1,1
2,60,0,1,6,1,1,1
3,60,0,1,3,0,1,2
4,60,0,1,6,2,0,1
5,60,0,1,4,0,3,0
6,60,0,1,3,1,1,1
7,60,0,1,10,1,1,1
8,60,0,1,5,0,1,2
9,60,0,1,5,0,3,0
10,60,0,1,10,0,3,0
11,60,0,1,5,0,2,1
12,60,0,1,4,0,2,1
13,60,0,1,6,2,1,0
14,60,0,1,5,1,2,0
15,60,0,1,2,0,2,1
16,60,0,1,5,0,2,1
17,60,0,1,4,1,1,1
18,60,0,1,6,0,0,3
19,60,0,1,3,1,1,1
20,60,0,1,6,0,1,2
21,60,0,1,2,0,1,2
22,60,0,1,4,1,2,0
23,60,0,1,6,0,2,1
24,60,0,1,6,1,1,1
25,60,0,1,8,0,0,3
26,60,0,1,2,1,2,0
27,60,0,1,3,1,1,1
28,60,0,1,4,1,2,0
29,60,0,1,5,1,2,0
30,53,0,1,4,0,1,2
31,60,0,1,12,1,1,1
32,45,0,1,2,0,1,2
33,60,0,1,6,0,3,0
34,60,0,1,3,1,0,2
35,60,0,1,5,0,3,0
36,60,0,1,3,0,0,3
37,60,0,1,4,0,2,1
38,60,0,1,6,0,3,0
39,60,0,1,3,0,2,1
40,60,0,1,9,0,2,1
41,60,0,1,12,0,1,2
42,60,0,1,3,0,2,1
43,60,0,1,3,0,1,2
44,60,0,1,5,2,0,1
45,60,0,1,6,0,1,2
46,60,0,1,7,2,1,0
47,60,0,1,6,0,2,1
48,60,0,1,6,0,1,2
49,60,0,1,4,0,2,1
50,60,0,1,8,0,2,1
51,60,0,1,5,0,2,1
52,60,0,1,7,0,0,3
53,60,0,1,3,1,1,1
54,60,0,1,3,1,0,2
55,60,0,1,3,0,0,3
56,60,0,1,6,0,1,2
57,60,0,1,4,1,1,1
58,60,0,1,10,0,1,2
59,60,0,1,4,2,0,1
60,60,0,1,6,0,1,2
61,60,0,1,6,0,0,3
62,60,0,1,6,0,1,2
63,60,0,1,2,1,1,1
64,60,0,1,8,1,0,2
65,60,0,1,5,2,1,0
