,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,60,0,1,13,1,1,1
1,60,0,1,9,1,1,1
2,60,0,1,5,1,1,1
3,60,0,1,7,1,0,2
4,60,0,1,4,0,1,2
5,60,0,1,5,0,0,3
6,60,0,1,12,2,0,1
7,60,0,1,3,0,1,2
8,60,0,1,4,0,2,1
9,60,0,1,5,1,0,2
10,60,0,1,11,2,0,1
11,60,0,1,8,0,2,1
12,60,0,1,7,2,1,0
13,60,0,1,7,0,2,1
14,60,0,1,6,0,2,1
15,60,0,1,7,1,0,2
16,60,0,1,6,2,0,1
17,60,0,1,5,0,0,3
18,60,0,1,4,2,0,1
19,60,0,1,3,0,2,1
20,60,0,1,7,0,0,3
21,60,0,1,7,0,3,0
22,60,0,1,4,0,2,1
23,60,0,1,8,2,1,0
24,60,0,1,10,1,0,2
25,60,0,1,8,0,1,2
26,60,0,1,13,0,0,3
27,60,0,1,6,0,0,3
28,60,0,1,3,0,3,0
29,60,0,1,11,0,1,2
30,60,0,1,7,0,1,2
31,60,0,1,9,2,0,1
32,60,0,1,6,1,0,2
33,60,0,1,2,2,1,0
34,60,0,1,2,1,0,2
35,53,0,1,2,0,1,2
36,60,0,1,10,1,1,1
37,60,0,1,5,0,1,2
38,60,0,1,5,1,1,1
39,60,0,1,6,1,1,1
40,60,0,1,4,0,3,0
41,60,0,1,5,0,2,1
42,60,0,1,7,1,1,1
43,60,0,1,9,1,0,2
44,60,0,1,7,1,1,1
45,60,0,1,6,1,1,1
46,60,0,1,2,0,2,1
47,60,0,1,6,0,2,1
48,60,0,1,3,1,1,1
49,60,0,1,6,0,2,1
50,60,0,1,5,1,2,0
51,60,0,1,3,0,2,1
52,60,60,1,25,0,0,0
53,60,0,1,5,0,1,2
54,60,0,1,9,0,3,0
55,60,0,1,7,0,0,3
56,60,0,1,4,1,0,2
57,60,0,1,11,2,1,0
58,60,0,1,3,0,2,1
59,60,0,1,4,0,1,2
60,60,0,1,5,1,2,0
61,60,0,1,6,0,2,1
62,60,0,1,11,1,2,0
63,60,0,1,5,0,1,2
64,60,0,1,5,0,2,1
65,60,0,1,4,0,2,1
66,60,0,1,12,1,1,1
67,60,0,1,8,0,2,1
68,60,0,1,8,2,0,1
69,60,0,1,10,2,0,1
70,60,0,1,5,1,0,2
71,60,0,1,6,0,1,2
72,60,0,1,10,1,0,2
73,60,0,1,8,2,1,0
74,60,0,1,8,2,0,1
75,60,0,1,3,0,1,2
76,60,0,1,1,1,1,1
77,23,0,1,4,0,1,2
78,60,0,1,5,1,0,2
79,60,0,1,5,1,0,2
80,60,0,1,3,1,1,1
81,60,0,1,3,0,1,2
82,60,0,1,4,2,0,1
83,60,0,1,7,0,2,1
84,60,0,1,5,0,1,2
85,60,0,1,4,0,0,3
86,60,0,1,3,1,2,0
87,60,0,1,6,0,1,2
88,60,0,1,4,1,2,0
89,60,0,1,8,0,1,2
90,60,0,1,6,1,1,1
91,60,0,1,6,0,1,2
92,60,0,1,22,1,1,1
93,60,0,1,9,2,0,1
94,60,0,1,7,0,1,2
95,60,0,1,5,0,0,3
96,60,0,1,9,0,2,1
97,60,0,1,5,0,2,1
98,60,0,1,4,0,1,2
99,60,0,1,3,1,0,2
100,60,0,1,10,1,1,1
101,60,0,1,6,0,0,3
102,60,0,1,3,1,0,2
103,60,0,1,9,0,1,2
104,60,0,1,7,1,0,2
105,60,0,1,1,0,2,1
106,60,0,1,6,0,3,0
107,60,0,1,2,0,2,1
108,60,0,1,7,0,1,2
109,60,0,1,5,0,0,3
110,60,0,1,6,0,1,2
111,60,0,1,2,0,2,1
112,60,0,1,9,0,1,2
113,60,0,1,6,1,0,2
114,60,0,1,5,2,1,0
115,57,0,1,8,0,1,2
116,60,0,1,5,0,2,1
117,60,0,1,7,1,0,2
118,60,0,1,3,1,2,0
119,60,0,1,4,1,0,2
120,60,0,1,8,1,0,2
121,60,0,1,6,1,0,2
122,60,0,1,5,0,1,2
123,60,0,1,4,0,1,2
124,60,0,1,10,0,0,3
125,60,0,1,4,0,2,1
126,60,0,1,1,0,2,1
127,60,0,1,5,1,2,0
128,60,0,1,6,1,1,1
129,60,0,1,6,1,1,1
130,60,0,1,8,0,0,3
131,60,0,1,4,0,1,2
132,60,0,1,7,0,2,1
133,60,0,1,4,0,2,1
134,60,0,1,10,1,1,1
135,60,0,1,2,1,1,1
136,60,0,1,4,1,1,1
137,60,0,1,4,0,1,2
138,60,0,1,4,0,1,2
139,60,0,1,6,1,2,0
140,60,0,1,7,1,2,0
141,60,0,1,3,0,1,2
142,48,0,1,2,1,0,2
143,60,0,1,3,1,1,1
144,60,0,1,4,1,1,1
145,60,0,1,8,2,0,1
146,60,0,1,6,0,1,2
147,60,0,1,3,0,2,1
148,60,0,1,7,1,1,1
149,60,0,1,11,0,1,2
150,60,0,1,9,0,1,2
151,60,0,1,4,0,1,2
152,60,0,1,4,0,3,0
153,60,0,1,5,1,2,0
154,32,0,1,3,0,2,1
155,60,0,1,10,0,2,1
156,60,0,1,7,0,1,2
157,60,0,1,4,1,1,1
158,60,0,1,1,0,2,1
159,60,0,1,12,1,1,1
160,60,0,1,7,3,0,0
161,60,0,1,5,1,0,2
162,60,0,1,3,1,0,2
163,60,0,1,3,0,2,1
164,60,0,1,7,0,1,2
165,60,0,1,8,1,2,0
166,60,0,1,3,1,1,1
167,60,0,1,7,0,2,1
168,60,0,1,6,0,0,3
169,60,0,1,4,1,2,0
170,60,0,1,3,2,0,1
171,60,0,1,10,1,1,1
172,60,0,1,4,1,1,1
173,60,0,1,8,0,1,2
174,60,0,1,6,0,0,3
175,60,0,1,10,1,0,2
176,60,0,1,2,1,2,0
177,60,0,1,6,0,1,2
178,60,0,1,7,0,2,1
179,60,0,1,5,0,1,2
180,60,0,1,7,2,1,0
181,60,0,1,10,1,1,1
182,60,0,1,10,2,1,0
183,60,0,1,5,0,1,2
184,60,0,1,5,1,1,1
185,60,0,1,6,0,1,2
186,60,0,1,5,1,1,1
187,60,0,1,6,0,1,2
188,60,0,1,6,2,1,0
189,60,0,1,7,1,1,1
190,60,0,1,6,1,1,1
191,60,0,1,14,2,1,0
192,60,0,1,1,1,1,1
193,60,0,1,3,0,3,0
194,60,0,1,5,0,2,1
195,60,0,1,8,1,2,0
196,60,0,1,10,0,1,2
197,60,0,1,3,0,0,3
198,60,0,1,12,1,1,1
199,60,0,1,10,2,0,1
200,60,0,1,4,0,0,3
201,60,0,1,3,1,1,1
202,60,0,1,4,0,1,2
203,60,0,1,5,0,2,1
204,60,0,1,4,1,1,1
205,60,0,1,4,0,2,1
206,60,0,1,6,0,2,1
207,60,0,1,8,1,1,1
208,60,0,1,7,2,0,1
209,60,0,1,9,1,0,2
210,60,0,1,4,0,2,1
211,59,0,1,3,0,1,2
212,60,0,1,3,0,0,3
213,60,0,1,5,1,0,2
214,60,0,1,10,0,1,2
215,60,0,1,4,1,2,0
216,60,0,1,7,1,1,1
217,60,0,1,7,1,1,1
218,60,0,1,3,1,1,1
219,56,0,1,3,1,2,0
220,60,0,1,6,1,2,0
221,60,0,1,10,0,0,3
222,60,0,1,6,0,0,3
223,60,0,1,2,0,2,1
224,60,0,1,6,0,1,2
225,60,0,1,5,1,2,0
226,60,0,1,5,1,1,1
227,60,0,1,9,1,0,2
228,60,0,1,5,1,0,2
229,60,0,1,5,0,2,1
230,60,0,1,6,0,1,2
231,60,0,1,3,0,1,2
232,60,0,1,4,1,1,1
233,60,0,1,4,0,0,3
234,46,0,1,1,1,1,1
235,60,0,1,4,0,1,2
236,60,0,1,9,0,1,2
237,60,0,1,3,0,0,3
238,60,0,1,3,0,0,3
239,60,0,1,7,1,0,2
240,60,0,1,9,3,0,0
241,60,0,1,2,0,1,2
242,60,0,1,9,0,2,1
243,60,0,1,9,1,0,2
244,60,0,1,3,2,1,0
245,60,0,1,7,1,0,2
246,60,0,1,8,1,2,0
247,60,0,1,5,1,1,1
248,60,0,1,13,0,2,1
249,60,0,1,5,1,0,2
250,60,0,1,8,1,1,1
251,60,0,1,5,0,1,2
252,60,0,1,6,0,0,3
253,60,0,1,4,1,1,1
254,60,0,1,5,1,1,1
255,60,0,1,4,0,0,3
256,60,0,1,6,1,0,2
257,60,0,1,5,1,2,0
258,60,0,1,6,0,1,2
259,60,0,1,9,0,1,2
260,60,0,1,4,1,0,2
261,51,0,1,3,0,1,2
262,60,0,1,14,2,0,1
263,60,0,1,5,0,2,1
264,60,0,1,5,0,1,2
265,35,0,1,2,1,0,2
266,60,0,1,5,0,1,2
267,60,0,1,10,1,1,1
268,60,0,1,5,0,1,2
269,60,0,1,10,0,1,2
270,60,0,1,7,0,2,1
271,60,0,1,11,1,0,2
272,60,0,1,8,1,2,0
273,60,0,1,3,0,0,3
274,47,0,1,3,0,1,2
275,60,0,1,14,2,0,1
276,60,0,1,4,0,1,2
277,60,0,1,7,1,1,1
278,60,0,1,5,1,1,1
279,60,0,1,9,0,2,1
280,60,0,1,5,2,1,0
281,60,0,1,5,0,1,2
282,60,0,1,7,2,0,1
283,60,0,1,8,0,1,2
284,60,0,1,7,1,1,1
285,60,0,1,5,0,1,2
286,60,0,1,8,0,0,3
287,60,0,1,7,1,0,2
288,60,0,1,6,0,1,2
289,60,0,1,5,1,0,2
290,60,0,1,11,1,0,2
291,60,0,1,11,0,0,3
292,60,0,1,6,1,1,1
293,60,0,1,3,0,1,2
294,60,0,1,4,0,2,1
295,60,0,1,8,2,0,1
296,60,0,1,6,0,2,1
297,60,0,1,4,0,2,1
298,60,0,1,3,0,2,1
299,60,0,1,1,1,1,1
300,50,0,1,3,0,0,3
301,60,0,1,1,0,3,0
302,60,0,1,9,0,1,2
303,60,0,1,7,1,1,1
304,60,0,1,8,1,0,2
305,60,0,1,5,1,2,0
306,60,0,1,8,0,2,1
307,60,0,1,3,1,2,0
308,60,0,1,7,2,1,0
309,60,0,1,8,0,1,2
310,60,0,1,5,0,1,2
311,60,0,1,13,1,0,2
312,60,0,1,3,1,1,1
313,60,0,1,9,1,0,2
314,60,0,1,3,1,0,2
315,60,0,1,7,1,1,1
316,60,0,1,8,0,0,3
317,60,0,1,6,0,1,2
318,40,0,1,3,0,1,2
319,60,0,1,7,1,1,1
320,60,0,1,3,1,1,1
321,60,0,1,4,0,3,0
322,60,0,1,4,0,1,2
323,60,0,1,8,1,1,1
324,60,0,1,5,1,0,2
325,60,0,1,7,1,1,1
326,60,0,1,11,0,0,3
327,49,0,1,4,1,2,0
328,60,0,1,7,2,1,0
329,60,0,1,4,0,1,2
330,60,0,1,5,1,0,2
331,60,0,1,4,1,0,2
332,60,0,1,3,0,1,2
333,60,0,1,6,1,1,1
334,60,0,1,6,0,2,1
335,60,0,1,4,0,2,1
336,60,0,1,5,0,1,2
337,60,0,1,16,1,1,1
338,60,0,1,5,0,1,2
339,60,0,1,8,0,0,3
340,60,0,1,8,0,2,1
341,60,0,1,4,0,0,3
342,60,0,1,3,1,2,0
343,60,0,1,7,1,0,2
344,60,0,1,4,0,0,3
345,60,0,1,4,0,1,2
346,60,0,1,3,0,1,2
347,60,0,1,6,0,0,3
348,60,0,1,2,0,1,2
349,60,0,1,4,0,2,1
350,60,0,1,5,1,0,2
351,60,0,1,5,0,2,1
352,60,0,1,9,0,2,1
353,60,0,1,12,1,0,2
354,60,0,1,4,0,1,2
355,60,0,1,10,0,0,3
356,60,0,1,5,0,0,3
357,60,0,1,3,1,1,1
358,60,0,1,13,1,1,1
359,60,0,1,4,0,2,1
360,60,0,1,7,0,2,1
361,60,0,1,5,0,1,2
362,60,0,1,5,1,1,1
363,60,0,1,6,1,2,0
364,60,0,1,4,0,0,3
365,60,0,1,3,1,1,1
366,60,0,1,7,2,0,1
367,60,0,1,7,0,2,1
368,60,0,1,3,0,1,2
369,60,0,1,9,1,1,1
370,60,0,1,10,1,1,1
371,60,0,1,7,1,0,2
372,51,0,1,3,1,0,2
373,60,0,1,6,2,0,1
374,60,0,1,6,0,1,2
375,60,0,1,3,0,0,3
376,60,0,1,9,0,0,3
377,60,0,1,8,0,0,3
378,60,0,1,4,0,1,2
379,60,0,1,5,2,1,0
380,60,0,1,8,0,2,1
381,60,0,1,5,1,1,1
382,60,0,1,3,0,2,1
383,60,0,1,3,0,2,1
384,60,0,1,5,1,1,1
385,60,0,1,7,1,2,0
386,60,0,1,6,1,1,1
387,60,0,1,5,1,1,1
388,60,0,1,7,0,2,1
389,52,0,1,5,2,0,1
390,60,0,1,4,2,1,0
391,60,0,1,10,1,1,1
392,60,0,1,6,1,0,2
393,60,0,1,6,1,1,1
394,60,0,1,9,0,2,1
395,60,0,1,6,1,1,1
396,60,0,1,4,1,0,2
397,60,0,1,6,1,1,1
398,46,0,1,3,1,1,1
399,60,0,1,8,0,2,1
400,60,0,1,5,1,1,1
401,60,0,1,5,0,3,0
402,60,0,1,5,0,1,2
403,60,0,1,4,2,0,1
404,60,0,1,8,1,0,2
405,60,0,1,9,1,1,1
406,60,0,1,3,0,2,1
407,48,0,1,3,1,1,1
408,60,0,1,6,1,1,1
409,60,0,1,6,0,1,2
410,60,0,1,7,0,0,3
411,60,0,1,7,2,0,1
412,60,0,1,7,0,0,3
413,60,0,1,7,0,1,2
414,60,0,1,3,1,1,1
415,60,0,1,3,0,0,3
416,60,0,1,2,0,0,3
417,60,0,1,8,0,1,2
418,60,0,1,5,0,1,2
419,60,0,1,3,0,1,2
420,60,0,1,7,0,1,2
421,60,0,1,10,1,1,1
422,60,0,1,6,0,2,1
423,60,0,1,5,2,1,0
424,53,0,1,6,1,1,1
425,60,0,1,5,0,2,1
426,56,0,1,4,2,1,0
427,56,0,1,3,0,3,0
428,60,0,1,15,1,1,1
429,60,0,1,6,0,0,3
430,60,0,1,5,1,1,1
431,60,0,1,6,0,0,3
432,60,0,1,4,1,1,1
433,60,0,1,5,0,1,2
434,60,0,1,9,0,2,1
435,60,0,1,3,1,2,0
436,60,0,1,5,0,2,1
437,60,0,1,3,1,2,0
438,60,0,1,3,0,2,1
439,60,0,1,7,1,0,2
440,60,0,1,2,0,1,2
441,60,0,1,5,0,3,0
442,60,0,1,10,1,1,1
443,60,0,1,9,1,0,2
444,60,0,1,6,1,0,2
445,60,0,1,6,0,2,1
446,60,0,1,3,0,1,2
447,60,0,1,4,0,1,2
448,60,0,1,5,1,2,0
449,60,0,1,9,0,2,1
450,60,0,1,5,1,1,1
451,60,0,1,4,1,1,1
452,60,0,1,9,0,1,2
453,60,0,1,5,0,2,1
454,60,0,1,4,0,0,3
455,60,0,1,7,1,1,1
456,60,0,1,7,2,1,0
457,60,0,1,4,0,2,1
458,60,0,1,3,1,0,2
459,60,0,1,6,0,0,3
460,60,0,1,3,0,0,3
461,60,0,1,7,0,0,3
462,60,0,1,7,2,1,0
463,60,0,1,3,0,0,3
464,60,0,1,6,0,2,1
465,60,0,1,11,1,1,1
466,60,0,1,6,0,2,1
467,60,0,1,7,1,0,2
468,60,0,1,8,1,1,1
469,60,0,1,7,1,0,2
470,60,0,1,10,2,0,1
471,60,0,1,7,0,1,2
472,60,0,1,7,2,1,0
473,60,0,1,6,1,1,1
474,60,0,1,5,0,1,2
475,49,0,1,4,2,1,0
476,60,0,1,9,0,1,2
477,60,0,1,6,1,1,1
478,60,0,1,8,0,2,1
479,60,0,1,6,0,2,1
480,60,0,1,6,0,2,1
481,60,0,1,5,0,2,1
482,60,0,1,6,0,1,2
483,60,0,1,1,0,2,1
484,60,0,1,5,0,1,2
485,60,0,1,8,0,0,3
486,60,0,1,5,1,0,2
487,60,0,1,12,1,0,2
488,60,0,1,7,1,1,1
489,40,0,1,1,0,1,2
490,60,0,1,3,0,1,2
491,60,0,1,11,0,0,3
492,60,0,1,5,0,0,3
493,60,0,1,7,1,1,1
494,60,0,1,4,0,1,2
495,60,0,1,6,2,1,0
496,60,0,1,2,0,1,2
497,60,0,1,6,1,1,1
498,60,0,1,3,1,1,1
499,60,0,1,7,1,0,2
500,60,0,1,3,0,0,3
501,60,0,1,4,1,1,1
502,60,0,1,6,0,1,2
503,60,0,1,7,1,1,1
504,60,0,1,8,1,0,2
505,60,0,1,7,0,0,3
506,60,0,1,1,2,1,0
507,60,0,1,6,1,2,0
508,60,0,1,9,0,1,2
509,60,0,1,7,1,1,1
510,60,0,1,9,1,1,1
511,60,0,1,10,1,0,2
512,60,0,1,5,2,1,0
513,60,0,1,7,1,0,2
514,60,0,1,5,1,1,1
515,60,0,1,6,1,1,1
516,60,0,1,8,0,1,2
517,60,0,1,5,1,1,1
518,60,0,1,5,2,0,1
519,60,0,1,3,1,0,2
520,60,0,1,9,0,1,2
521,60,0,1,6,0,0,3
522,60,0,1,4,0,2,1
523,60,0,1,6,1,0,2
524,60,0,1,11,0,0,3
525,60,0,1,5,0,0,3
526,60,0,1,7,0,1,2
527,60,0,1,6,1,1,1
528,60,0,1,9,0,0,3
529,60,0,1,12,1,1,1
530,60,0,1,7,0,1,2
531,60,0,1,4,0,1,2
532,51,0,1,3,1,2,0
533,60,0,1,4,0,2,1
534,60,0,1,2,0,0,3
535,60,0,1,3,0,2,1
536,60,0,1,8,0,2,1
537,60,0,1,8,2,1,0
538,60,0,1,6,0,1,2
539,60,0,1,10,1,1,1
540,60,0,1,6,0,2,1
541,60,0,1,5,0,3,0
542,60,0,1,3,0,1,2
543,60,0,1,4,0,2,1
544,60,0,1,8,0,1,2
545,60,0,1,4,1,1,1
546,60,0,1,10,0,1,2
547,49,0,1,2,1,2,0
548,60,0,1,2,1,1,1
549,60,0,1,3,1,1,1
550,60,0,1,4,0,1,2
551,60,0,1,5,1,0,2
552,60,0,1,6,1,2,0
553,60,0,1,10,2,0,1
