,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,60,60,0,25,0,0,0
1,60,29,1,25,0,0,1
2,60,0,1,11,1,2,0
3,60,40,1,25,0,0,1
4,60,60,1,25,0,0,0
5,60,19,1,25,2,0,0
6,60,45,1,25,1,0,0
7,60,21,1,25,0,1,1
8,60,0,1,10,0,1,2
9,60,36,1,25,0,2,0
10,60,25,1,25,0,1,1
11,60,60,1,25,0,0,0
12,60,60,1,25,0,0,0
13,60,5,1,25,0,2,1
14,60,60,0,25,0,0,1
15,60,19,1,25,1,0,1
16,60,49,1,25,0,1,0
17,60,37,1,25,0,1,0
18,60,17,1,25,0,1,1
19,60,18,1,25,0,1,1
20,60,10,1,25,0,0,3
21,60,32,1,25,0,1,1
22,60,37,1,25,0,0,2
23,60,40,1,25,0,1,0
24,60,0,1,13,0,1,2
25,60,49,1,25,0,1,0
26,60,14,1,25,0,0,2
27,60,38,1,25,0,0,1
28,60,0,1,17,1,2,0
29,60,54,1,25,0,0,1
30,60,19,1,25,0,0,2
31,60,57,1,25,0,0,0
32,60,25,1,25,0,2,0
33,60,37,1,25,1,0,0
34,60,38,1,25,0,1,0
35,60,60,1,25,0,0,0
36,60,25,1,25,0,2,0
37,60,60,1,25,0,0,0
38,60,31,1,25,0,1,1
39,60,43,1,25,0,1,0
40,60,24,1,25,0,1,1
41,60,38,1,25,0,1,0
42,60,55,1,25,0,0,1
43,59,35,1,25,0,0,1
44,60,24,1,25,0,0,2
45,60,60,1,25,0,0,0
46,60,29,1,25,1,0,1
47,60,16,1,25,0,2,0
48,60,3,1,25,0,1,2
49,60,60,1,25,0,0,0
50,60,33,1,25,0,1,1
51,60,26,1,25,0,2,0
52,60,56,1,25,0,1,0
53,60,14,1,25,1,1,0
54,60,31,1,25,0,1,0
55,60,60,0,25,0,0,0
56,60,60,0,25,0,0,0
57,60,14,1,25,1,1,0
58,60,0,1,25,1,1,1
59,60,32,1,25,0,1,0
60,60,14,1,25,0,1,1
61,60,60,0,25,0,0,0
62,60,42,1,25,0,1,0
63,60,48,1,25,0,0,1
64,60,42,1,25,1,0,0
65,60,19,1,25,0,2,0
66,60,30,1,25,1,1,0
67,60,22,1,25,0,0,2
68,60,20,1,25,0,0,2
69,60,60,0,25,1,0,0
70,60,60,0,25,0,0,0
71,60,22,1,25,0,1,1
72,60,0,1,12,0,2,1
73,60,20,1,25,0,1,1
74,60,37,1,25,0,1,0
75,60,11,1,25,0,2,0
76,60,56,1,25,0,1,0
77,60,60,1,25,0,0,0
78,60,26,1,25,1,0,0
79,60,33,1,25,0,1,1
80,60,24,1,25,0,0,2
81,60,33,1,25,0,2,0
82,60,44,1,25,0,0,1
83,60,41,1,25,0,1,0
84,60,29,1,25,0,2,0
85,60,45,1,25,0,0,1
86,60,27,1,25,0,1,1
87,60,32,1,25,0,1,1
88,60,45,1,25,0,0,1
89,60,20,1,25,0,1,1
90,60,39,1,25,0,1,0
91,60,27,1,25,0,1,1
92,60,19,1,25,0,0,2
93,60,9,1,25,0,2,1
94,60,21,1,25,0,2,0
95,60,20,1,25,0,2,0
96,60,43,1,25,0,0,1
97,60,36,1,25,0,1,1
98,60,16,1,25,1,0,1
99,60,39,1,25,0,1,0
100,60,0,1,2,0,1,2
101,60,0,1,16,0,2,1
102,60,43,1,25,0,0,1
103,60,60,0,25,0,0,0
104,60,39,1,25,0,0,1
105,60,43,1,25,0,1,0
106,60,56,1,25,0,1,0
107,60,29,1,25,0,2,0
108,60,44,1,25,0,1,0
109,59,27,1,25,0,2,0
110,60,0,1,20,1,0,2
111,60,0,1,3,0,1,2
112,60,13,1,25,0,2,0
113,60,41,1,25,0,1,0
114,60,16,1,25,0,1,1
115,60,26,1,25,0,0,2
116,60,35,1,25,0,1,0
117,60,0,1,13,0,3,0
118,60,47,1,25,1,0,0
119,60,0,1,3,0,0,3
120,60,60,1,25,0,0,0
121,60,49,1,25,0,1,0
122,60,37,1,25,0,0,1
123,60,13,1,25,0,1,1
124,60,42,1,25,0,0,1
125,60,27,1,25,0,1,1
126,60,18,1,25,1,1,0
127,60,29,1,25,0,2,0
128,60,17,1,25,0,1,1
129,60,45,1,25,0,1,0
130,60,56,1,25,0,0,1
131,60,55,1,25,0,0,1
132,60,15,1,25,0,0,2
133,60,55,1,25,0,0,1
134,60,24,1,25,0,1,1
135,60,28,1,25,1,1,0
