,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,0,60,0,5,1,2,0
1,14,0,1,5,1,0,2
2,0,25,0,8,1,1,1
3,19,0,1,4,2,1,0
4,0,28,0,4,0,1,2
5,38,0,1,3,1,1,1
6,47,0,1,4,1,0,2
7,0,25,0,3,0,3,0
8,0,34,0,10,2,1,0
9,0,38,0,1,0,2,1
10,0,27,0,5,1,1,1
11,44,0,1,2,1,1,1
12,0,7,0,4,1,0,2
13,0,9,0,5,1,0,2
14,5,0,1,7,0,1,2
15,41,0,1,5,0,0,3
16,24,0,1,11,2,0,1
17,0,17,0,5,1,2,0
18,0,15,0,3,1,2,0
19,22,0,1,8,0,0,3
20,0,22,0,10,0,1,2
21,0,11,0,8,1,1,1
22,0,21,0,5,2,0,1
23,0,60,0,2,0,2,1
24,17,0,1,6,2,1,0
25,0,40,0,7,2,1,0
26,22,0,1,4,2,0,1
27,40,0,1,4,0,1,2
28,22,0,1,4,2,1,0
29,44,0,1,2,0,2,1
30,0,28,0,2,1,1,1
31,2,0,1,4,1,2,0
32,0,32,0,3,1,1,1
33,9,0,1,5,1,1,1
34,0,51,0,1,1,1,1
35,0,60,0,5,0,2,1
36,25,0,1,10,0,1,2
37,12,0,1,11,0,1,2
38,2,0,1,3,0,1,2
39,24,0,1,7,1,1,1
40,36,0,1,5,0,0,3
41,0,23,0,9,1,1,1
42,0,44,0,4,2,1,0
43,60,0,1,1,2,1,0
44,0,12,0,5,1,1,1
45,5,0,1,5,1,0,2
46,0,21,0,8,1,1,1
47,0,60,0,3,2,1,0
48,0,43,0,5,0,2,1
49,23,0,1,6,3,0,0
50,0,24,0,0,2,1,0
51,0,39,0,1,1,1,1
52,0,26,0,6,0,2,1
53,16,0,1,8,1,1,1
54,0,10,0,9,1,1,1
55,8,0,1,9,1,2,0
56,18,0,1,3,1,1,1
57,0,60,0,1,0,2,1
58,0,24,0,4,1,2,0
59,7,0,1,5,0,3,0
60,0,60,0,0,0,2,1
61,0,26,0,6,0,2,1
62,0,56,0,2,1,2,0
63,0,22,0,4,1,1,1
64,20,0,1,4,0,0,3
65,44,0,1,7,0,1,2
66,12,0,1,7,1,0,2
67,58,0,1,7,1,1,1
68,0,33,0,0,1,1,1
69,15,0,1,5,0,1,2
70,17,0,1,4,0,1,2
71,8,0,1,6,1,1,1
72,0,39,0,0,1,0,2
73,2,0,1,2,2,1,0
74,0,18,0,8,0,0,3
75,0,22,0,4,1,1,1
76,0,10,0,4,1,0,2
77,0,47,0,2,2,0,1
78,0,14,0,1,1,2,0
79,0,42,0,2,1,0,2
80,34,0,1,3,0,0,3
81,0,10,0,9,0,1,2
82,0,12,0,7,1,1,1
83,0,60,0,0,1,0,2
84,13,0,1,10,1,1,1
