,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,26,0,1,1,2,1,0
1,14,0,1,6,0,0,3
2,20,0,1,4,0,2,1
3,0,43,0,5,0,2,1
4,17,0,1,3,0,0,3
5,0,9,0,2,2,0,1
6,0,3,0,6,2,0,1
7,0,60,0,0,1,1,1
8,22,0,1,5,1,0,2
9,0,60,0,0,2,1,0
10,0,0,1,4,0,1,2
11,0,60,0,1,0,2,1
12,0,40,0,3,0,1,2
13,0,24,0,4,0,2,1
14,0,42,0,6,1,2,0
15,0,36,0,3,0,1,2
16,0,41,0,3,0,1,2
17,0,17,0,3,0,1,2
18,0,16,0,0,0,1,2
19,19,0,1,3,1,1,1
20,60,0,1,2,0,1,2
21,19,0,1,6,0,0,3
22,0,8,0,15,0,1,2
23,0,7,0,7,0,2,1
24,16,0,1,3,0,2,1
25,0,42,0,2,0,1,2
26,0,31,0,2,0,0,3
27,36,0,1,3,1,2,0
28,0,24,0,3,2,1,0
29,21,0,1,5,0,3,0
30,11,0,1,11,1,0,2
31,52,0,1,4,1,1,1
32,60,0,1,3,2,0,1
33,0,3,0,5,0,1,2
34,0,50,0,3,0,2,1
35,17,0,1,7,0,0,3
36,0,60,0,1,0,2,1
37,0,51,0,3,0,2,1
38,34,0,1,6,1,0,2
39,0,56,0,1,1,1,1
40,0,15,0,10,0,3,0
41,0,39,0,4,0,3,0
42,0,17,0,2,2,0,1
43,0,60,0,0,1,0,2
44,0,10,0,5,2,0,1
45,41,0,1,5,0,1,2
46,20,0,1,8,1,2,0
47,11,0,1,4,1,2,0
48,0,45,0,2,0,1,2
49,0,12,0,4,2,0,1
50,27,0,1,6,1,2,0
51,0,25,0,4,0,0,3
52,23,0,1,4,1,1,1
53,21,0,1,7,1,2,0
54,0,60,0,3,0,2,1
55,0,56,0,1,0,1,2
56,37,0,1,2,2,1,0
57,0,52,0,2,1,1,1
58,0,22,0,9,1,1,1
59,0,45,0,0,0,1,2
60,0,15,0,5,0,1,2
61,0,28,0,2,2,1,0
62,2,0,1,8,2,0,1
63,24,0,1,3,1,2,0
64,14,0,1,7,2,1,0
65,0,36,0,2,0,1,2
66,0,50,0,1,0,2,1
67,13,0,1,6,1,1,1
68,7,0,1,4,0,0,3
69,0,14,0,3,1,1,1
70,0,27,0,2,1,2,0
71,0,52,0,1,1,1,1
72,4,0,1,3,0,0,3
73,0,23,0,2,1,0,2
74,0,29,0,8,1,1,1
75,12,0,1,4,2,1,0
76,0,34,0,6,0,1,2
77,29,0,1,8,0,1,2
78,39,0,1,2,0,2,1
79,0,6,0,11,0,1,2
80,0,13,0,3,0,0,3
81,22,0,1,2,1,1,1
82,17,0,1,5,1,1,1
83,38,0,1,1,1,1,1
84,47,0,1,2,0,1,2
85,13,0,1,7,1,0,2
86,22,0,1,4,0,2,1
87,11,0,1,4,2,0,1
88,0,2,0,12,0,2,1
89,60,0,1,2,1,2,0
90,0,22,0,6,1,1,1
91,0,34,0,4,1,2,0
92,17,0,1,4,1,0,2
93,0,53,0,4,0,1,2
94,48,0,1,3,0,2,1
95,0,54,0,5,0,2,1
96,0,20,0,2,2,0,1
97,60,0,1,3,1,2,0
98,0,4,0,3,0,1,2
99,21,0,1,4,0,1,2
100,0,55,0,5,3,0,0
101,18,0,1,5,1,2,0
102,16,0,1,6,0,0,3
103,0,17,0,0,0,1,2
104,0,60,0,5,3,0,0
105,4,0,1,3,0,1,2
106,26,0,1,7,1,0,2
107,0,60,0,4,1,1,1
108,51,0,1,10,0,0,3
109,50,0,1,4,1,1,1
110,0,7,0,8,0,1,2
111,60,0,1,4,0,3,0
112,0,9,0,8,1,1,1
113,0,5,0,6,0,0,3
114,34,0,1,4,1,2,0
115,35,0,1,2,0,2,1
116,12,0,1,6,2,0,1
117,0,17,0,4,0,2,1
118,0,18,0,4,1,1,1
119,0,32,0,2,0,0,3
120,0,33,0,5,0,2,1
121,0,38,0,3,1,1,1
122,0,22,0,6,0,3,0
123,0,46,0,2,0,1,2
124,25,0,1,6,0,1,2
125,31,0,1,12,1,1,1
126,0,17,0,6,0,1,2
127,0,17,0,3,1,0,2
128,33,0,1,4,1,1,1
129,0,22,0,0,2,1,0
130,45,0,1,4,2,1,0
131,23,0,1,4,3,0,0
132,0,17,0,3,1,2,0
133,51,0,1,3,1,0,2
134,0,21,0,3,1,1,1
135,0,36,0,2,2,0,1
136,31,0,1,6,0,0,3
137,0,20,0,3,0,2,1
138,0,39,0,1,0,2,1
139,0,60,0,3,1,0,2
140,0,26,0,3,2,1,0
141,0,60,0,0,0,1,2
142,11,0,1,5,2,1,0
143,0,17,0,7,1,2,0
144,19,0,1,3,0,0,3
145,0,58,0,5,0,1,2
146,0,2,0,5,1,1,1
147,12,0,1,4,2,1,0
148,0,5,0,6,1,2,0
149,0,60,0,2,0,1,2
150,16,0,1,4,2,1,0
151,40,0,1,3,0,1,2
152,0,6,0,7,1,1,1
153,0,3,0,2,1,2,0
154,0,46,0,4,0,0,3
155,0,44,0,4,1,1,1
156,21,0,1,4,1,2,0
157,16,0,1,7,2,1,0
158,20,0,1,3,1,0,2
159,0,6,0,1,1,2,0
160,7,0,1,9,1,1,1
161,0,8,0,1,0,3,0
162,14,0,1,4,0,1,2
163,0,40,0,2,1,0,2
164,0,19,0,5,0,2,1
165,25,0,1,5,0,0,3
166,15,0,1,7,0,2,1
167,19,0,1,5,0,2,1
168,0,14,0,1,1,2,0
169,7,0,1,5,1,1,1
170,0,51,0,6,0,1,2
171,10,0,1,9,1,1,1
172,0,32,0,4,1,1,1
173,0,48,0,5,0,0,3
174,24,0,1,5,0,2,1
175,0,2,0,8,1,2,0
176,13,0,1,4,0,1,2
177,0,29,0,2,0,1,2
178,2,0,1,7,1,2,0
179,28,0,1,4,0,0,3
180,0,38,0,2,1,1,1
181,0,3,0,5,0,1,2
182,0,39,0,1,1,1,1
183,22,0,1,6,0,1,2
184,0,30,0,4,1,2,0
185,0,20,0,3,1,2,0
186,0,39,0,1,2,0,1
187,23,0,1,2,0,1,2
188,0,23,0,5,0,1,2
189,0,14,0,4,1,1,1
190,0,60,0,3,1,1,1
191,13,0,1,7,0,1,2
192,10,0,1,6,1,0,2
193,0,60,0,1,0,2,1
194,0,17,0,7,1,1,1
195,16,0,1,7,0,2,1
196,14,0,1,6,0,1,2
197,21,0,1,10,1,0,2
198,0,17,0,4,0,1,2
