,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,47,0,1,2,1,2,0
1,49,0,1,7,0,2,1
2,0,56,0,2,1,1,1
3,0,40,0,1,1,0,2
4,39,0,1,3,1,1,1
5,0,37,0,2,2,1,0
6,0,13,0,7,2,1,0
7,0,54,0,3,1,1,1
8,0,22,0,3,1,1,1
9,0,60,0,0,0,1,2
10,0,2,0,7,0,1,2
11,0,2,0,6,1,1,1
12,9,0,1,7,2,0,1
13,0,4,0,5,2,0,1
14,0,22,0,10,0,2,1
15,13,0,1,8,2,0,1
16,0,27,0,5,0,1,2
17,0,4,0,7,1,1,1
18,0,60,0,4,1,2,0
19,0,37,0,4,0,0,3
20,0,28,0,4,2,1,0
21,21,0,1,5,0,0,3
22,17,0,1,9,1,0,2
23,0,3,0,3,2,1,0
24,0,2,0,8,1,0,2
25,0,36,0,8,0,1,2
26,0,26,0,5,2,1,0
27,0,25,0,2,0,0,3
28,50,0,1,1,1,1,1
29,0,3,0,12,0,1,2
30,0,8,0,6,0,0,3
31,12,0,1,6,0,0,3
32,0,19,0,7,0,0,3
33,0,19,0,5,1,1,1
34,0,20,0,6,3,0,0
35,0,23,0,6,2,1,0
36,0,19,0,4,1,1,1
37,5,0,1,15,0,0,3
38,0,20,0,5,1,1,1
39,0,22,0,3,1,0,2
40,0,6,0,11,1,1,1
41,52,0,1,5,1,0,2
42,34,0,1,7,2,0,1
43,19,0,1,4,1,0,2
44,31,0,1,7,2,1,0
45,13,0,1,11,1,1,1
46,0,12,0,7,1,1,1
47,0,60,0,5,2,1,0
48,0,2,0,15,2,1,0
49,0,12,0,4,1,1,1
50,0,2,0,7,2,1,0
51,0,20,0,2,1,1,1
52,0,13,0,5,1,1,1
53,0,3,0,4,1,1,1
54,60,0,1,6,0,2,1
55,18,0,1,8,0,0,3
56,0,34,0,2,1,2,0
57,0,17,0,2,1,1,1
58,0,12,0,7,2,0,1
59,40,0,1,9,0,0,3
60,22,0,1,3,3,0,0
61,9,0,1,5,2,1,0
62,0,7,0,9,1,0,2
63,0,32,0,0,1,1,1
64,18,0,1,8,1,1,1
65,0,3,0,7,1,1,1
66,0,9,0,16,0,3,0
67,20,0,1,8,1,1,1
68,8,0,1,6,1,0,2
69,0,20,0,5,0,0,3
70,0,12,0,4,1,1,1
71,0,9,0,4,2,0,1
72,0,19,0,4,1,0,2
73,6,0,1,6,1,1,1
74,0,12,0,8,1,1,1
75,0,16,0,6,1,0,2
76,15,0,1,15,0,0,3
77,0,2,0,10,1,2,0
78,0,5,0,6,2,0,1
79,0,16,0,4,2,1,0
80,0,11,0,8,0,1,2
81,24,0,1,4,1,1,1
82,0,10,0,11,0,1,2
83,0,31,0,3,2,0,1
84,0,2,0,6,0,1,2
85,48,0,1,4,2,1,0
86,0,2,0,5,2,0,1
87,0,44,0,4,0,2,1
88,50,0,1,5,1,2,0
89,0,44,0,5,0,2,1
90,0,20,0,2,1,0,2
91,0,10,0,9,2,0,1
92,9,0,1,8,0,0,3
93,0,44,0,9,1,1,1
94,0,10,0,11,2,1,0
95,0,16,0,5,0,1,2
96,18,0,1,10,1,0,2
97,0,25,0,6,1,1,1
98,0,35,0,4,1,1,1
99,0,11,0,9,2,0,1
100,0,2,0,9,1,1,1
101,0,38,0,2,1,0,2
102,27,0,1,6,0,1,2
103,9,0,1,7,1,0,2
104,0,17,0,2,2,1,0
105,15,0,1,6,1,1,1
106,0,6,0,2,1,0,2
107,0,12,0,4,0,1,2
108,16,0,1,7,1,0,2
109,25,0,1,10,0,0,3
110,0,2,0,9,1,1,1
111,28,0,1,3,0,1,2
112,0,2,0,9,0,1,2
113,0,8,0,7,1,1,0
114,0,40,0,3,0,1,2
115,0,18,0,4,1,2,0
116,0,10,0,2,0,0,3
117,14,0,1,6,2,0,1
118,0,20,0,6,1,2,0
119,0,4,0,3,2,0,1
120,22,0,1,10,0,0,3
121,0,51,0,0,1,0,2
122,17,0,1,6,1,0,2
123,26,0,1,4,1,1,1
124,0,2,0,6,0,0,3
125,0,9,0,4,0,1,2
126,0,9,0,9,1,1,1
127,23,0,1,4,0,1,2
128,13,0,1,8,1,1,0
129,0,2,0,12,1,1,1
130,0,18,0,7,0,1,2
131,0,9,0,8,1,2,0
132,0,30,0,7,1,1,1
133,0,13,0,4,0,0,3
134,0,30,0,2,1,1,1
135,0,35,0,3,0,1,2
136,0,2,0,9,2,1,0
137,18,0,1,4,0,2,1
138,0,7,0,5,0,0,3
139,48,0,1,5,1,0,2
140,4,0,1,11,1,1,1
141,35,0,1,5,1,0,2
142,0,60,0,4,1,1,1
143,22,0,1,8,1,1,1
144,0,46,0,2,0,1,2
145,0,26,0,3,0,1,2
146,0,3,0,3,0,0,3
147,16,0,1,12,0,0,3
148,0,16,0,6,0,1,2
149,0,7,0,9,1,1,1
150,0,48,0,2,1,0,2
151,23,0,1,9,1,1,1
152,23,0,1,8,1,0,2
153,0,3,0,5,3,0,0
154,0,8,0,7,1,1,1
155,21,0,1,8,1,1,0
156,0,16,0,3,1,0,2
157,0,44,0,3,2,1,0
158,17,0,1,5,0,1,2
159,0,3,0,11,3,0,0
160,0,21,0,7,0,2,1
161,8,0,1,12,1,1,1
162,15,2,1,25,1,0,2
163,0,2,0,4,0,0,3
164,9,0,1,4,1,0,2
165,3,0,1,3,0,1,2
166,0,3,0,6,2,1,0
167,32,0,1,5,1,0,2
168,0,2,0,6,2,1,0
169,0,3,0,6,0,1,2
170,13,0,1,13,1,0,2
171,0,3,0,6,1,0,2
172,0,10,0,6,0,0,3
173,0,3,0,3,2,1,0
174,0,4,0,5,0,0,3
175,0,21,0,3,1,1,1
176,2,0,1,8,2,0,1
177,0,6,0,5,1,1,1
178,16,0,1,7,2,0,1
179,0,3,0,4,1,0,2
180,0,2,0,6,0,1,2
181,0,19,0,7,0,1,2
182,45,0,1,7,0,1,2
183,19,0,1,7,0,1,2
184,0,5,0,12,1,1,1
185,0,17,0,4,1,0,2
186,0,60,0,1,2,0,1
187,0,14,0,4,1,1,1
188,0,6,0,6,1,1,1
189,0,41,0,5,0,1,2
190,0,3,0,12,1,2,0
191,0,2,0,8,2,1,0
192,0,2,0,7,1,0,2
193,40,0,1,4,3,0,0
194,0,49,0,1,1,1,1
195,49,0,1,4,2,0,1
196,0,9,0,5,1,1,1
197,19,0,1,7,0,0,3
198,0,26,0,4,0,3,0
199,8,0,1,6,1,0,2
200,2,0,1,5,2,1,0
201,0,5,0,5,2,1,0
202,7,0,1,8,2,0,1
203,0,2,0,6,2,1,0
204,0,10,0,6,1,0,2
205,15,0,1,11,1,0,2
206,0,10,0,4,0,2,1
207,6,0,1,12,1,0,2
208,0,2,0,3,0,1,2
209,0,40,0,0,1,2,0
210,19,0,1,11,1,0,2
211,0,60,0,1,1,1,1
212,0,19,0,4,1,2,0
213,0,13,0,8,1,1,1
214,45,0,1,3,1,0,2
215,0,35,0,8,1,0,2
216,10,0,1,6,0,1,2
217,7,0,1,8,1,0,2
218,49,0,1,4,1,1,1
219,0,2,0,12,2,0,1
220,35,0,1,2,1,1,1
221,0,14,0,4,1,0,2
222,0,20,0,2,0,0,3
223,0,36,0,7,0,0,3
224,19,0,1,10,1,0,2
225,0,5,0,2,2,1,0
226,14,0,1,5,1,1,1
227,13,0,1,10,0,0,3
228,0,4,0,4,0,1,2
229,0,30,0,4,3,0,0
230,33,0,1,10,0,0,3
231,29,0,1,2,1,1,1
232,0,10,0,9,2,0,1
233,0,46,0,3,1,0,2
234,0,35,0,2,1,2,0
235,0,60,0,4,0,1,2
236,0,6,0,5,1,0,2
237,48,0,1,4,0,1,2
238,10,0,1,4,1,1,1
239,17,0,1,10,0,0,3
240,0,39,0,3,2,0,1
241,0,23,0,7,1,0,2
242,0,28,0,5,0,0,3
243,14,0,1,8,0,2,1
244,0,23,0,6,1,2,0
245,11,0,1,5,2,1,0
246,0,15,0,5,0,0,3
247,0,40,0,3,0,1,2
248,0,4,0,5,0,1,2
249,0,60,0,0,2,1,0
250,20,0,1,7,0,2,1
251,0,41,0,1,2,1,0
252,0,3,0,5,2,0,1
253,0,11,0,6,0,2,1
254,0,14,0,2,0,0,3
255,22,0,1,6,1,1,1
256,0,32,0,2,1,1,1
257,0,10,0,10,1,1,1
258,0,56,0,1,1,2,0
259,0,60,0,2,1,1,1
260,41,0,1,4,0,2,1
261,2,0,1,8,1,1,1
262,2,0,1,7,0,0,3
263,0,34,0,7,0,1,2
264,0,4,0,7,1,0,2
265,0,29,0,6,1,1,1
266,0,60,0,8,1,0,2
267,0,19,0,3,2,0,1
268,42,0,1,3,1,0,2
269,0,60,0,3,1,2,0
270,0,31,0,3,1,1,1
271,0,24,0,6,1,1,1
272,0,2,0,10,1,1,1
273,0,21,0,3,0,0,3
274,0,12,0,5,1,2,0
275,19,0,1,5,2,0,1
276,39,0,1,1,0,0,3
277,0,14,0,7,0,1,2
278,0,7,0,3,1,0,2
279,24,0,1,7,1,1,1
280,29,0,1,5,1,0,2
281,35,0,1,4,0,1,2
282,0,5,0,7,0,0,3
283,0,2,0,9,1,1,1
284,0,2,0,7,1,2,0
285,57,0,1,7,2,0,1
286,0,2,0,8,1,0,2
287,60,0,1,2,2,0,1
288,10,0,1,12,1,0,2
289,0,4,0,9,1,2,0
290,0,7,0,6,0,0,3
291,41,0,1,1,1,1,1
292,0,2,0,10,0,0,3
293,14,0,1,5,2,0,1
294,0,13,0,7,2,1,0
295,42,0,1,5,1,0,2
296,7,0,1,6,1,0,2
297,24,0,1,2,1,2,0
298,18,0,1,5,1,0,2
299,23,0,1,3,1,1,1
300,0,36,0,4,1,0,2
301,37,0,1,5,2,0,1
302,23,0,1,12,0,0,3
303,0,14,0,3,0,0,3
304,0,2,0,6,1,0,2
305,0,2,0,13,1,2,0
306,0,15,0,5,1,1,1
307,0,6,0,4,0,1,2
308,0,54,0,2,0,1,2
309,0,2,0,6,3,0,0
310,0,21,0,3,1,2,0
311,32,0,1,5,1,1,1
312,0,12,0,3,2,0,1
313,9,0,1,6,0,1,2
314,20,0,1,9,1,0,2
315,0,8,0,6,0,0,3
316,21,0,1,9,0,1,2
317,35,0,1,4,0,1,2
318,0,60,0,3,0,2,1
319,0,2,0,8,3,0,0
320,0,12,0,3,0,2,1
321,52,0,1,4,0,1,2
322,0,10,0,13,1,1,1
323,0,27,0,2,2,0,1
324,0,60,0,2,1,2,0
325,47,0,1,5,1,1,1
326,0,2,0,8,2,0,1
327,22,0,1,7,2,1,0
328,0,17,0,5,1,0,2
329,0,2,0,11,0,2,1
330,0,5,0,6,1,0,2
331,10,0,1,7,1,1,1
332,41,0,1,6,0,0,3
333,0,21,0,2,1,0,2
334,0,16,0,4,0,1,2
335,49,0,1,5,0,2,1
336,0,21,0,5,1,1,1
337,0,14,0,4,1,0,2
338,26,0,1,2,1,1,1
339,0,5,0,5,1,1,1
340,0,2,0,10,1,1,1
341,40,0,1,3,2,0,1
342,0,24,0,3,0,0,3
343,0,2,0,11,0,2,1
344,0,15,0,3,1,1,1
345,36,0,1,8,2,0,1
346,0,12,0,4,0,0,3
347,23,0,1,7,1,0,2
348,0,38,0,4,2,0,1
349,22,0,1,2,0,0,3
350,0,19,0,5,0,0,3
351,0,10,0,8,2,0,1
352,0,4,0,7,1,1,1
353,0,23,0,4,1,0,2
354,10,0,1,7,2,0,1
355,0,10,0,11,3,0,0
356,25,0,1,7,2,0,1
357,0,11,0,5,0,2,1
358,0,28,0,3,2,1,0
359,0,23,0,11,1,1,1
360,32,0,1,5,0,1,2
361,0,10,0,4,1,0,2
362,0,16,0,1,2,0,1
363,0,3,0,6,2,0,1
364,18,0,1,2,0,0,3
365,0,27,0,2,0,0,3
366,0,25,0,6,0,3,0
367,0,12,0,3,0,1,2
368,0,49,0,5,3,0,0
369,0,60,0,0,0,0,3
370,44,0,1,11,1,1,1
371,0,5,0,14,1,1,1
372,0,17,0,7,0,2,1
373,3,0,1,8,2,0,1
374,17,0,1,11,1,0,2
375,0,5,0,4,3,0,0
376,0,37,0,4,1,0,2
377,23,0,1,11,0,2,1
378,0,19,0,3,1,0,2
379,0,3,0,7,1,1,1
380,17,0,1,6,0,1,2
381,10,0,1,8,2,1,0
382,17,0,1,13,0,0,3
383,0,15,0,4,0,0,3
384,0,45,0,4,1,2,0
385,18,0,1,12,0,1,2
386,20,0,1,9,0,2,1
387,0,14,0,7,2,1,0
388,0,4,0,7,0,1,2
389,25,0,1,7,2,0,1
390,24,0,1,6,2,1,0
391,25,0,1,7,1,0,2
392,50,0,1,6,0,1,2
393,0,38,0,3,1,1,1
394,0,56,0,7,0,1,2
395,0,6,0,9,1,0,2
396,0,31,0,4,1,1,1
397,0,3,0,6,1,0,2
398,19,0,1,10,1,0,2
399,22,0,1,7,1,1,1
400,0,8,0,9,1,1,1
401,0,13,0,6,2,0,1
402,0,60,0,3,0,2,1
403,0,8,0,8,1,1,1
404,0,30,0,3,1,0,2
405,15,0,1,6,0,0,3
406,0,5,0,6,0,1,2
407,0,21,0,2,2,0,1
408,12,0,1,7,1,0,2
409,0,40,0,2,2,1,0
410,0,16,0,11,1,0,2
411,34,0,1,13,2,0,1
412,8,0,1,6,1,0,2
413,45,0,1,7,2,1,0
414,0,20,0,2,1,0,2
415,24,0,1,3,2,1,0
416,8,0,1,4,1,1,1
417,53,0,1,3,1,0,2
418,13,0,1,5,3,0,0
419,15,0,1,4,1,0,2
420,34,0,1,8,2,0,1
421,0,2,0,10,1,2,0
422,33,0,1,11,0,2,1
423,0,4,0,15,1,1,1
424,0,2,0,6,0,0,3
425,40,0,1,5,1,2,0
426,46,0,1,8,0,1,2
427,18,0,1,7,1,1,1
428,0,12,0,6,0,1,2
429,0,19,0,2,1,1,1
430,0,26,0,5,2,0,1
431,0,14,0,7,0,0,3
432,0,2,0,9,1,2,0
433,0,2,0,10,2,1,0
434,0,56,0,2,0,2,1
435,0,3,0,5,0,2,1
436,0,37,0,3,1,1,1
437,39,0,1,2,0,1,2
438,17,0,1,4,1,1,1
439,0,9,0,6,1,0,2
440,0,2,0,8,0,1,2
441,10,0,1,14,2,0,1
442,0,10,0,6,0,0,3
443,60,0,1,2,0,1,2
444,0,3,0,6,2,1,0
445,0,2,0,4,1,1,1
446,0,3,0,4,1,1,1
447,0,17,0,2,2,1,0
448,18,0,1,5,1,1,1
449,11,0,1,8,2,0,1
450,0,3,0,4,1,0,2
451,0,2,0,6,1,1,1
452,0,14,0,7,2,0,1
453,0,33,0,5,2,1,0
454,0,32,0,3,1,0,2
455,29,0,1,5,2,1,0
456,0,11,0,3,0,1,2
457,10,0,1,10,2,1,0
458,0,2,0,7,2,1,0
459,0,22,0,4,2,0,1
460,0,28,0,6,1,1,1
461,0,23,0,2,0,1,2
462,5,0,1,3,1,1,1
463,0,3,0,8,1,0,2
464,0,19,0,3,2,1,0
465,15,0,1,6,1,0,2
466,52,0,1,4,1,0,2
467,0,13,0,6,2,0,1
468,0,3,0,7,1,0,2
469,0,52,0,1,0,2,1
470,58,0,1,3,2,1,0
471,0,2,0,2,0,1,2
472,0,19,0,5,1,0,2
473,0,41,0,5,0,3,0
474,8,0,1,7,0,0,3
475,0,13,0,5,0,1,2
476,20,0,1,3,1,1,1
477,0,26,0,4,1,1,1
478,0,7,0,5,0,1,2
479,0,18,0,7,0,1,2
480,34,0,1,6,2,0,1
481,29,0,1,5,0,0,3
482,0,35,0,4,0,0,3
483,8,0,1,6,0,0,3
484,0,12,0,6,1,1,1
485,0,12,0,9,1,1,1
486,0,16,0,1,2,0,1
487,0,60,0,1,0,1,2
488,0,3,0,4,1,0,2
489,0,3,0,11,1,1,1
490,0,12,0,6,1,1,1
491,25,0,1,7,0,0,3
492,0,40,0,2,0,1,2
493,19,0,1,4,1,1,1
494,2,0,1,6,0,1,2
495,0,16,0,6,1,2,0
496,18,0,1,3,0,1,2
497,32,0,1,3,1,0,2
498,44,0,1,4,0,1,2
499,0,18,0,1,1,2,0
500,0,24,0,2,3,0,0
501,0,5,0,6,0,1,2
502,0,2,0,7,2,0,1
503,0,2,0,9,0,1,2
504,17,0,1,12,0,0,3
505,0,12,0,6,0,1,2
506,0,4,0,8,1,2,0
507,0,10,0,4,1,1,1
508,0,4,0,6,0,1,2
509,0,24,0,7,3,0,0
510,0,16,0,2,1,1,1
511,0,29,0,1,1,0,2
512,7,0,1,5,0,1,2
513,30,0,1,3,0,0,3
514,0,3,0,5,2,0,1
515,0,33,0,2,2,1,0
516,10,0,1,7,1,0,2
517,0,7,0,6,1,1,1
518,4,0,1,7,0,0,3
519,0,50,0,1,1,1,1
520,0,2,0,5,2,0,1
521,0,4,0,2,2,1,0
522,0,17,0,6,2,1,0
523,0,19,0,5,0,1,2
524,0,12,0,3,0,0,3
525,29,0,1,6,1,1,1
526,21,0,1,5,1,1,1
527,14,0,1,9,0,1,2
528,55,0,1,8,2,1,0
529,0,2,0,4,1,0,2
530,0,53,0,3,1,1,1
531,31,0,1,4,2,1,0
532,0,14,0,8,1,0,2
533,0,23,0,7,0,2,1
534,0,47,0,3,2,1,0
535,16,0,1,11,1,0,2
536,44,0,1,3,0,1,2
537,50,0,1,8,1,0,2
538,35,0,1,4,1,2,0
539,0,18,0,6,0,0,3
540,0,3,0,9,0,2,1
541,0,2,0,5,1,1,1
542,0,9,0,3,0,1,2
543,0,13,0,5,1,1,1
544,7,0,1,9,0,0,3
545,12,0,1,11,0,1,2
546,19,0,1,3,0,0,3
547,41,0,1,6,1,0,2
548,0,39,0,4,0,2,1
549,0,3,0,8,1,0,2
550,0,19,0,5,0,2,1
551,0,39,0,2,0,0,3
552,11,0,1,5,2,1,0
553,0,52,0,2,2,1,0
554,23,0,1,14,0,0,3
555,0,15,0,2,2,0,1
556,15,0,1,7,1,0,2
557,0,18,0,4,2,1,0
558,0,2,0,1,2,1,0
559,0,4,0,7,2,0,1
560,0,10,0,3,2,0,1
561,0,12,0,4,0,0,3
562,0,16,0,11,1,0,2
563,0,15,0,5,1,1,1
564,22,0,1,2,0,1,2
565,0,16,0,3,2,0,1
566,20,0,1,3,0,1,2
567,32,0,1,2,2,0,1
568,27,0,1,7,2,1,0
569,55,0,1,6,2,0,1
570,0,3,0,9,1,0,2
571,0,39,0,2,1,0,2
572,0,4,0,5,3,0,0
573,7,0,1,10,2,1,0
574,0,6,0,7,1,2,0
575,0,18,0,4,1,1,1
576,7,0,1,9,1,1,1
577,13,0,1,5,1,1,1
578,14,0,1,7,1,0,2
579,0,19,0,6,0,2,1
580,26,0,1,3,0,0,3
581,49,0,1,6,1,2,0
582,0,2,0,6,1,1,1
583,31,0,1,5,1,1,1
584,46,0,1,4,2,1,0
585,0,49,0,2,1,0,2
586,0,7,0,4,1,1,1
587,0,31,0,3,2,1,0
588,0,2,0,4,1,1,1
589,31,0,1,8,0,1,2
590,42,0,1,6,0,0,3
591,24,0,1,8,0,0,3
592,9,0,1,9,0,1,2
593,0,27,0,2,0,0,3
594,0,42,0,3,1,0,2
595,18,0,1,7,1,0,2
596,6,0,1,5,1,0,2
597,0,34,0,2,1,0,2
598,20,0,1,10,1,0,2
599,0,20,0,4,0,1,2
600,0,9,0,10,2,0,1
601,0,33,0,3,2,0,1
602,0,44,0,6,1,2,0
603,22,0,1,2,1,0,2
604,0,50,0,3,0,0,3
605,0,2,0,7,0,2,1
606,19,0,1,7,1,0,2
607,16,0,1,8,0,0,3
608,0,18,0,3,2,1,0
609,0,14,0,4,1,0,2
610,0,44,0,1,1,1,1
611,0,4,0,7,1,0,2
612,0,44,0,2,0,2,1
613,0,14,0,6,1,0,2
614,31,0,1,7,0,1,2
615,0,14,0,10,1,1,1
616,34,0,1,8,0,2,1
617,0,41,0,5,1,0,2
618,0,31,0,4,0,1,2
619,19,0,1,7,1,0,2
620,0,3,0,9,1,0,2
621,43,0,1,3,0,0,3
622,20,0,1,4,1,0,2
623,0,44,0,2,1,1,1
624,30,0,1,7,3,0,0
625,0,44,0,3,0,2,1
626,22,0,1,8,1,0,2
627,0,22,0,5,1,0,2
628,42,0,1,7,1,1,1
629,24,0,1,9,3,0,0
630,22,0,1,4,2,0,1
631,0,36,0,5,1,0,2
632,9,0,1,10,1,1,1
633,8,0,1,8,1,0,2
634,0,18,0,6,0,1,2
635,15,0,1,8,0,0,3
636,0,35,0,5,1,1,1
637,0,47,0,1,1,2,0
638,18,0,1,5,0,0,3
639,23,0,1,9,1,1,1
640,3,0,1,6,2,0,1
641,0,22,0,5,0,1,2
642,0,3,0,8,0,1,2
643,0,33,0,3,1,0,2
644,0,8,0,5,3,0,0
645,0,60,0,3,0,2,1
646,0,2,0,9,1,1,1
647,0,3,0,4,1,0,2
648,0,2,0,8,1,1,1
649,0,12,0,4,2,1,0
650,0,5,0,3,1,1,1
651,3,0,1,5,1,1,1
652,18,0,1,6,1,1,1
653,0,3,0,6,2,0,1
654,48,0,1,5,1,1,1
655,24,0,1,5,0,1,2
656,14,0,1,9,1,0,2
657,0,6,0,11,1,1,1
658,0,14,0,7,1,1,1
659,7,0,1,8,1,1,1
660,23,0,1,6,1,1,1
661,22,0,1,4,3,0,0
662,10,0,1,6,2,0,1
663,0,31,0,5,1,1,1
664,0,60,0,1,2,1,0
665,28,0,1,5,0,2,1
666,25,0,1,3,2,0,1
667,18,0,1,6,0,0,3
668,13,0,1,7,2,0,1
669,0,10,0,9,2,0,1
670,0,3,0,11,1,1,1
671,25,0,1,4,1,1,1
672,0,3,0,9,1,2,0
673,0,7,0,9,0,2,1
