,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,0,60,0,4,1,1,1
1,0,60,0,7,1,2,0
2,0,60,0,4,1,1,1
3,0,60,0,1,1,0,2
4,0,60,0,4,0,3,0
5,0,47,0,1,1,2,0
6,0,60,0,11,0,1,2
7,0,60,0,6,1,2,0
8,0,60,0,2,1,1,1
9,0,60,0,0,0,1,2
10,0,60,0,5,0,1,2
11,0,60,0,11,1,0,2
12,0,60,0,4,0,1,2
13,0,60,0,7,0,1,2
14,0,60,0,10,2,1,0
15,0,60,0,12,1,1,1
16,0,60,0,5,0,1,2
17,0,60,0,8,1,2,0
18,0,60,0,3,1,2,0
19,0,60,0,10,0,0,3
20,0,60,0,9,1,2,0
21,0,60,0,6,1,2,0
22,0,60,0,3,1,1,1
23,0,60,0,3,1,2,0
24,0,60,0,3,0,1,2
25,0,60,0,9,0,0,3
26,0,60,0,10,1,1,1
27,0,60,0,1,0,0,3
28,0,60,0,9,1,2,0
29,0,60,0,10,0,1,2
30,0,60,0,8,0,0,3
31,0,60,0,2,1,1,1
32,0,60,0,6,0,1,2
33,0,60,0,5,1,1,1
34,0,60,0,5,2,1,0
35,0,60,0,3,2,1,0
36,0,60,0,1,0,2,1
37,0,60,0,4,1,2,0
38,0,60,0,6,1,1,1
39,0,60,0,7,0,1,2
40,0,60,0,4,1,1,1
41,0,60,0,4,0,1,2
42,0,60,0,4,1,1,1
43,0,60,0,8,1,0,2
44,0,60,0,12,0,2,1
45,0,60,0,6,1,2,0
46,0,60,0,5,0,1,2
47,0,60,0,5,2,1,0
48,0,60,0,5,1,2,0
49,0,60,0,11,0,2,1
50,0,60,0,3,1,2,0
51,0,50,0,1,1,1,1
52,0,60,0,5,0,1,2
53,0,60,0,2,0,2,1
54,0,60,0,6,0,1,2
55,0,60,0,6,1,1,1
56,0,60,0,3,1,2,0
57,0,60,0,2,1,1,1
58,0,60,0,6,1,1,1
59,0,60,0,10,0,2,1
60,0,60,0,3,1,0,2
61,0,60,0,5,0,1,2
62,0,60,0,6,2,0,1
63,0,32,0,0,1,1,1
64,0,60,0,4,0,1,2
65,0,60,0,9,1,2,0
66,0,60,0,11,0,1,2
