,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,60,0,1,5,1,2,0
1,0,32,0,3,0,2,1
2,60,0,1,7,0,0,3
3,38,0,1,2,2,1,0
4,0,9,0,4,2,1,0
5,0,25,0,1,0,1,2
6,0,60,0,1,0,0,3
7,0,46,0,1,1,1,1
8,0,21,0,4,0,2,1
9,45,0,1,2,1,1,1
10,9,0,1,4,0,1,2
11,0,30,0,4,1,0,2
12,22,0,1,7,0,0,3
13,0,30,0,4,2,0,1
14,0,52,0,2,1,1,1
15,0,22,0,3,0,2,1
16,0,33,0,5,0,2,1
17,24,0,1,8,1,2,0
18,57,0,1,2,1,2,0
19,9,0,1,4,0,2,1
20,46,0,1,1,1,1,1
21,25,0,1,6,1,1,1
22,2,0,1,8,0,1,2
23,17,0,1,3,1,1,1
24,0,27,0,7,1,2,0
25,0,45,0,1,0,2,1
26,0,42,0,2,1,1,1
27,0,43,0,1,1,1,1
28,0,60,0,1,0,1,2
29,0,49,0,2,0,2,1
30,0,25,0,6,0,1,2
31,0,24,0,2,1,1,1
32,0,60,0,1,1,1,1
33,0,23,0,1,0,0,3
34,0,24,0,2,0,1,2
35,0,9,0,2,2,0,1
36,28,0,1,2,1,2,0
37,24,0,1,3,1,1,1
38,10,0,1,5,1,1,1
39,0,38,0,2,1,1,1
40,21,0,1,2,0,1,2
41,0,22,0,0,1,2,0
42,0,25,0,2,0,2,1
43,0,2,0,5,0,2,1
44,18,0,1,7,2,1,0
45,31,0,1,6,0,2,1
46,0,60,0,5,1,1,1
47,0,10,0,2,0,1,2
48,0,19,0,5,0,0,3
49,0,10,0,5,2,1,0
50,0,58,0,2,0,2,1
51,0,46,0,4,0,1,2
52,0,3,0,6,2,1,0
53,0,60,0,1,0,2,1
54,0,8,0,8,1,2,0
55,0,21,0,3,0,0,3
56,0,35,0,1,2,1,0
57,30,0,1,4,1,1,1
58,0,35,0,5,0,0,3
59,31,0,1,1,0,1,2
60,0,40,0,2,1,1,1
61,0,22,0,5,2,1,0
62,0,53,0,1,0,1,2
63,0,3,0,6,0,0,3
64,0,10,0,5,0,2,1
65,0,39,0,1,1,1,1
66,57,0,1,3,0,3,0
67,26,0,1,2,1,1,1
68,16,0,1,1,1,0,2
69,19,0,1,6,0,2,1
70,60,0,1,4,0,0,3
71,24,0,1,5,0,1,2
72,24,0,1,2,0,1,2
73,40,0,1,5,1,2,0
74,0,26,0,2,1,2,0
75,0,53,0,0,0,3,0
76,0,8,0,5,0,1,2
77,0,14,0,1,1,2,0
78,0,22,0,5,1,1,1
79,10,0,1,2,0,2,1
80,23,0,1,5,0,1,2
81,0,5,0,4,1,1,1
82,10,0,1,4,0,3,0
83,30,0,1,4,0,2,1
84,0,51,0,0,1,0,2
85,21,0,1,4,1,1,1
86,0,29,0,1,0,2,1
87,21,0,1,8,1,1,1
88,0,32,0,2,0,3,0
89,0,40,0,3,0,1,2
90,11,0,1,4,0,3,0
91,19,0,1,9,2,1,0
92,14,0,1,3,0,2,1
93,0,17,0,4,0,2,1
94,0,37,0,1,0,3,0
95,0,19,0,1,0,1,2
96,0,20,0,5,1,1,1
97,37,0,1,3,0,1,2
98,0,24,0,4,0,1,2
99,0,16,0,5,1,0,2
100,23,0,1,4,0,1,2
101,0,6,0,2,0,2,1
102,0,60,0,1,0,2,1
103,2,0,1,3,1,0,2
104,4,0,1,4,1,1,1
105,0,7,0,6,1,0,2
106,23,0,1,9,2,0,1
107,0,16,0,2,1,1,1
108,19,0,1,4,1,2,0
109,11,0,1,5,1,0,2
110,32,0,1,2,0,2,1
111,0,10,0,5,0,1,2
112,40,0,1,6,0,2,1
113,23,0,1,10,0,1,2
114,0,20,0,2,0,3,0
115,0,17,0,4,1,1,1
116,10,0,1,3,1,0,2
117,0,16,0,5,0,2,1
118,16,0,1,4,0,0,3
119,2,0,1,7,1,2,0
120,22,0,1,5,1,1,1
121,10,0,1,4,1,0,2
122,24,0,1,7,1,1,1
123,0,54,0,1,1,2,0
124,19,0,1,9,1,2,0
125,0,6,0,6,0,2,1
126,0,12,0,1,2,1,0
127,10,0,1,6,0,0,3
128,0,24,0,2,1,2,0
129,10,0,1,5,1,1,1
130,17,0,1,7,0,3,0
131,0,51,0,2,1,1,1
