,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,36,0,1,7,1,1,1
1,0,30,0,1,0,2,1
2,16,0,1,9,0,1,2
3,46,0,1,5,2,1,0
4,0,12,0,3,1,1,1
5,0,4,0,3,0,1,2
6,0,60,0,1,0,0,3
7,0,37,0,1,1,1,1
8,0,8,0,4,0,2,1
9,45,0,1,2,1,1,1
10,0,2,0,4,0,3,0
11,0,17,0,3,2,1,0
12,60,0,1,4,1,0,2
13,0,15,0,3,1,1,1
14,0,43,0,3,1,1,1
15,8,0,1,4,1,0,2
16,0,47,0,3,0,2,1
17,24,0,1,8,1,1,1
18,55,0,1,3,1,2,0
19,9,0,1,5,0,1,2
20,46,0,1,1,1,1,1
21,0,56,0,4,0,2,1
22,22,0,1,8,0,0,3
23,13,0,1,5,1,2,0
24,0,29,0,5,2,1,0
25,0,45,0,1,0,2,1
26,0,42,0,2,1,1,1
27,0,35,0,1,1,1,1
28,0,57,0,1,0,1,2
29,0,46,0,2,0,2,1
30,0,11,0,3,0,1,2
31,0,24,0,2,1,1,1
32,0,60,0,1,1,1,1
33,0,4,0,2,0,0,3
34,0,19,0,2,0,1,2
35,0,15,0,2,2,0,1
36,0,2,0,3,2,0,1
37,0,17,0,3,2,1,0
38,0,48,0,2,0,0,3
39,0,13,0,4,0,1,2
40,10,0,1,6,1,2,0
41,0,22,0,0,1,2,0
42,0,7,0,2,0,3,0
43,3,0,1,5,0,2,1
44,0,37,0,2,1,1,1
45,0,28,0,7,1,1,1
46,0,60,0,4,2,0,1
47,0,3,0,3,0,1,2
48,0,30,0,4,1,2,0
49,0,11,0,6,2,1,0
50,0,43,0,1,0,2,1
51,0,15,0,5,0,1,2
52,0,2,0,5,2,1,0
53,0,60,0,1,0,2,1
54,0,9,0,3,2,1,0
55,0,14,0,2,0,0,3
56,0,27,0,1,2,1,0
57,27,0,1,4,2,1,0
58,0,5,0,6,0,0,3
59,27,0,1,3,0,1,2
60,0,40,0,2,1,1,1
61,29,0,1,5,1,2,0
62,0,20,0,2,0,1,2
63,10,0,1,6,1,0,2
64,0,49,0,4,1,1,1
65,0,33,0,1,1,1,1
66,35,0,1,3,0,2,1
67,26,0,1,2,1,1,1
68,16,0,1,1,1,0,2
69,36,0,1,5,0,2,1
70,60,0,1,3,1,0,2
71,0,3,0,5,2,1,0
72,0,2,0,5,1,1,1
73,40,0,1,5,1,1,1
74,0,11,0,3,1,1,1
75,0,53,0,0,0,3,0
76,16,0,1,8,0,2,1
77,0,11,0,1,2,1,0
78,0,22,0,4,2,1,0
79,0,5,0,3,0,0,3
80,38,0,1,6,0,1,2
81,8,0,1,4,1,1,1
82,10,0,1,8,0,0,3
83,20,0,1,5,0,2,1
84,0,51,0,0,1,0,2
85,24,0,1,3,1,1,1
86,0,24,0,1,0,2,1
87,0,11,0,6,0,2,1
88,0,27,0,2,0,3,0
89,0,37,0,3,0,1,2
90,11,0,1,6,1,2,0
91,20,0,1,6,1,1,1
92,0,18,0,2,0,2,1
93,0,22,0,4,1,1,1
94,0,37,0,2,0,3,0
95,0,12,0,5,0,1,2
96,0,2,0,4,1,1,1
97,37,0,1,2,0,0,3
98,0,15,0,4,1,0,2
99,2,0,1,8,0,1,2
100,23,0,1,4,0,1,2
101,16,0,1,5,0,2,1
102,0,60,0,1,0,2,1
103,0,2,0,5,1,2,0
104,0,8,0,6,0,1,2
105,0,2,0,8,1,1,1
106,0,8,0,6,1,1,1
107,0,13,0,2,1,1,1
108,16,0,1,5,1,2,0
109,31,0,1,5,1,2,0
110,0,2,0,11,0,1,2
111,0,21,0,5,0,1,2
112,0,15,0,5,2,1,0
113,27,0,1,10,0,2,1
114,0,13,0,3,0,3,0
115,25,0,1,3,0,2,1
116,10,0,1,3,1,0,2
117,0,2,0,4,0,2,1
118,6,0,1,5,1,0,2
119,10,0,1,5,1,2,0
120,0,2,0,3,1,1,1
121,10,0,1,4,1,0,2
122,0,13,0,7,0,0,3
123,0,47,0,1,1,2,0
124,35,0,1,6,0,3,0
125,0,5,0,7,0,2,1
126,0,6,0,1,2,1,0
127,0,12,0,5,1,0,2
128,0,19,0,2,1,2,0
129,0,20,0,5,0,2,1
130,0,9,0,7,0,0,3
131,0,43,0,2,1,1,1
132,0,9,0,5,1,1,1
133,33,0,1,3,0,2,1
134,29,0,1,1,0,2,1
135,23,0,1,6,2,0,1
136,33,0,1,3,0,0,3
137,39,0,1,2,0,2,1
138,0,22,0,3,1,0,2
139,0,2,0,7,0,0,3
140,0,48,0,5,0,1,2
141,0,6,0,2,0,1,2
142,31,0,1,3,0,0,3
143,17,0,1,4,0,0,3
144,0,8,0,6,0,1,2
145,24,0,1,6,1,1,1
146,26,0,1,4,0,1,2
147,0,4,0,5,1,0,2
148,10,0,1,2,0,1,2
149,0,9,0,4,0,1,2
150,0,2,0,6,0,0,3
151,0,38,0,0,0,2,1
152,0,9,0,9,0,2,1
153,0,7,0,1,1,1,1
154,11,0,1,3,0,2,1
155,0,14,0,4,2,1,0
156,0,12,0,8,1,0,2
157,0,3,0,5,0,2,1
158,0,13,0,2,1,0,2
159,0,11,0,3,1,0,2
160,0,60,0,1,0,1,2
161,14,0,1,11,1,0,2
162,0,5,0,4,0,0,3
163,0,17,0,5,0,1,2
164,0,40,0,2,0,1,2
165,3,0,1,3,0,1,2
166,0,60,0,0,0,2,1
167,0,35,0,1,1,1,1
168,0,19,0,2,0,1,2
169,27,0,1,2,1,1,1
170,8,0,1,3,0,0,3
171,17,0,1,4,0,0,3
172,0,3,0,7,2,0,1
173,0,37,0,3,0,2,1
174,0,47,0,0,2,0,1
175,53,0,1,2,0,0,3
176,0,60,0,0,0,1,2
177,9,0,1,2,0,0,3
178,60,0,1,4,2,1,0
179,0,44,0,2,1,2,0
180,0,13,0,6,0,1,2
181,20,0,1,6,1,0,2
182,0,26,0,6,1,1,1
183,0,31,0,4,0,1,2
184,0,33,0,3,2,0,1
185,0,15,0,1,0,1,2
186,0,8,0,4,1,0,2
187,0,13,0,3,1,0,2
188,16,0,1,6,0,0,3
189,0,16,0,2,1,1,1
190,0,10,0,5,0,1,2
191,19,0,1,5,0,1,2
192,9,0,1,5,1,1,1
193,0,54,0,2,0,1,2
194,21,0,1,1,0,2,1
195,0,17,0,1,0,1,2
196,0,4,0,6,0,2,1
197,0,60,0,3,0,0,3
198,0,22,0,4,0,0,3
199,0,48,0,1,0,1,2
200,10,0,1,4,0,0,3
201,5,0,1,1,2,0,1
202,0,60,0,0,1,1,1
203,0,42,0,3,0,2,1
204,9,0,1,4,0,2,1
205,0,20,0,2,0,1,2
206,0,2,0,4,1,1,1
207,23,0,1,7,1,2,0
208,0,10,0,3,1,0,2
209,0,33,0,3,0,2,1
210,19,0,1,3,1,1,1
211,47,0,1,3,1,2,0
212,33,0,1,2,2,1,0
213,17,0,1,3,0,1,2
214,30,0,1,3,0,3,0
215,15,0,1,4,2,0,1
216,0,13,0,6,1,1,1
217,43,0,1,3,1,0,2
218,0,10,0,11,1,1,1
219,33,0,1,5,0,2,1
220,0,18,0,2,0,0,3
221,60,0,1,6,0,0,3
222,10,0,1,4,1,1,1
223,0,10,0,7,1,1,1
224,10,0,1,5,1,2,0
225,0,2,0,7,1,1,1
226,0,60,0,0,0,0,3
227,60,0,1,1,1,1,1
228,26,0,1,2,0,1,2
229,0,7,0,1,0,1,2
230,0,60,0,3,1,2,0
231,7,0,1,5,1,1,1
232,31,0,1,4,1,1,1
233,0,5,0,4,0,1,2
234,0,30,0,0,1,2,0
235,8,0,1,6,1,1,1
236,21,0,1,5,0,1,2
237,0,60,0,3,0,2,1
238,3,0,1,5,0,1,2
239,48,0,1,2,1,1,1
240,0,2,0,5,1,1,1
241,17,0,1,3,1,1,1
242,0,9,0,5,1,2,0
243,49,0,1,3,0,1,2
244,0,38,0,3,1,1,1
245,16,0,1,3,1,1,1
246,0,15,0,4,1,2,0
247,0,7,0,5,1,2,0
248,21,0,1,7,1,2,0
249,17,0,1,2,2,1,0
250,32,0,1,2,0,2,1
251,31,0,1,5,1,1,1
252,0,26,0,3,0,1,2
253,60,0,1,2,1,1,1
254,28,0,1,4,1,1,1
255,0,12,0,3,0,2,1
256,0,2,0,6,0,2,1
257,12,0,1,5,1,1,1
258,0,60,0,0,1,1,1
259,0,60,0,0,0,0,3
260,27,0,1,4,2,1,0
261,0,41,0,3,0,2,1
262,47,0,1,1,0,1,2
263,0,23,0,2,0,0,3
264,0,13,0,5,1,1,1
265,24,0,1,1,1,0,2
266,0,13,0,4,0,2,1
267,0,9,0,4,0,2,1
268,0,13,0,6,0,2,1
269,0,2,0,8,0,2,1
270,2,0,1,3,1,1,1
271,4,0,1,6,0,0,3
272,0,60,0,1,0,2,1
273,0,32,0,4,1,1,1
274,22,0,1,5,0,2,1
275,28,0,1,4,1,1,1
276,56,0,1,7,1,1,1
277,13,0,1,8,0,1,2
278,2,0,1,6,0,1,2
279,0,2,0,3,0,0,3
280,43,0,1,4,0,1,2
281,0,2,0,4,1,0,2
282,17,0,1,5,3,0,0
283,0,21,0,1,1,2,0
284,30,0,1,6,1,1,1
285,0,37,0,3,0,3,0
286,21,0,1,5,0,3,0
287,0,8,0,2,0,3,0
288,0,30,0,6,0,1,2
289,0,7,0,4,0,2,1
290,0,8,0,4,0,1,2
291,0,15,0,6,1,0,2
292,0,52,0,0,0,1,2
293,0,13,0,6,1,1,1
294,0,22,0,1,1,1,1
295,0,2,0,6,0,2,1
296,10,0,1,4,0,1,2
297,3,0,1,4,0,0,3
298,17,0,1,9,0,2,1
299,23,0,1,4,0,1,2
300,0,17,0,2,0,2,1
301,0,7,0,9,1,2,0
302,38,0,1,2,2,1,0
303,0,2,0,3,1,0,2
304,0,17,0,3,0,2,1
305,0,37,0,3,1,1,1
306,0,49,0,0,0,0,3
307,2,0,1,3,0,3,0
308,0,3,0,5,0,0,3
309,10,0,1,3,1,0,2
310,26,0,1,7,1,0,2
311,32,0,1,4,0,1,2
312,0,40,0,0,1,2,0
313,0,15,0,2,1,2,0
314,14,0,1,2,1,1,1
315,24,0,1,2,0,2,1
316,31,0,1,4,0,1,2
317,0,48,0,1,0,1,2
318,0,24,0,4,0,1,2
319,0,60,0,4,0,2,1
320,0,9,0,8,2,0,1
321,0,2,0,5,1,1,1
322,0,3,0,4,0,2,1
323,0,60,0,3,1,0,2
324,60,0,1,4,0,2,1
325,0,6,0,3,0,1,2
326,60,0,1,4,0,1,2
327,46,0,1,1,0,0,3
328,0,4,0,8,1,0,2
329,0,14,0,6,1,1,1
330,0,9,0,1,1,0,2
331,29,0,1,3,1,0,2
332,0,20,0,3,0,0,3
333,0,60,0,1,0,2,1
334,0,38,0,2,1,0,2
335,50,0,1,1,0,2,1
336,0,60,0,0,1,1,1
337,0,6,0,7,1,1,1
338,10,0,1,4,0,0,3
339,0,39,0,1,0,1,2
340,0,51,0,2,0,0,3
341,0,10,0,7,1,2,0
342,0,13,0,4,0,1,2
343,0,2,0,3,1,0,2
344,29,0,1,1,0,0,3
345,51,0,1,4,0,2,1
346,0,31,0,2,0,0,3
347,52,0,1,4,1,1,1
348,0,3,0,4,2,0,1
349,0,2,0,5,1,1,1
350,7,0,1,7,0,2,1
351,0,21,0,3,2,1,0
352,0,10,0,5,0,1,2
353,0,32,0,5,1,0,2
354,16,0,1,9,1,0,2
355,0,2,0,4,0,2,1
356,0,17,0,3,0,0,3
357,29,0,1,1,0,2,1
358,0,11,0,7,0,1,2
359,0,45,0,0,1,2,0
360,17,0,1,10,0,0,3
361,0,5,0,5,2,1,0
362,9,0,1,5,0,0,3
363,0,2,0,3,0,2,1
364,2,0,1,7,0,0,3
365,13,0,1,5,1,1,1
366,11,0,1,3,1,0,2
367,0,36,0,4,1,1,1
368,0,15,0,8,1,2,0
369,0,10,0,5,2,0,1
370,13,0,1,5,1,0,2
371,38,0,1,5,0,2,1
372,22,0,1,6,1,1,1
373,0,24,0,3,1,1,1
374,8,0,1,3,0,1,2
375,5,0,1,6,0,1,2
376,0,22,0,5,0,2,1
377,0,60,0,0,0,2,1
378,0,3,0,6,1,1,1
379,0,3,0,5,1,0,2
380,0,2,0,7,1,1,1
381,0,57,0,4,0,2,1
382,0,7,0,7,2,0,1
383,10,0,1,5,3,0,0
384,0,21,0,3,2,0,1
385,8,0,1,5,0,3,0
386,16,0,1,7,1,0,2
387,0,50,0,0,0,1,2
388,0,43,0,3,1,2,0
389,2,0,1,8,1,1,1
390,0,11,0,2,1,2,0
391,0,19,0,2,1,2,0
392,0,21,0,4,0,1,2
393,29,0,1,4,0,0,3
394,12,0,1,6,2,0,1
395,21,0,1,6,1,0,2
396,15,0,1,4,0,0,3
397,0,28,0,7,0,3,0
398,43,0,1,3,1,0,2
399,0,12,0,4,1,1,1
400,27,0,1,4,1,2,0
401,0,57,0,4,1,1,1
402,0,58,0,3,0,2,1
403,0,4,0,7,1,2,0
404,0,28,0,1,0,1,2
405,0,10,0,5,0,1,2
406,0,5,0,6,0,2,1
407,10,0,1,4,1,1,1
408,10,0,1,5,1,0,2
409,35,0,1,8,3,0,0
410,41,0,1,5,2,1,0
411,0,15,0,1,1,1,1
412,0,41,0,2,0,1,2
413,0,15,0,2,0,1,2
414,44,0,1,6,1,1,1
415,0,18,0,3,1,1,1
416,0,23,0,2,1,1,1
417,18,0,1,3,1,1,1
418,0,21,0,3,1,1,1
419,17,0,1,7,1,2,0
420,0,33,0,3,0,1,2
421,25,0,1,2,1,1,1
422,33,0,1,4,1,0,2
423,42,0,1,1,0,1,2
424,0,44,0,2,0,1,2
425,0,53,0,1,1,1,1
426,4,0,1,6,0,1,2
427,0,30,0,1,1,0,2
428,10,0,1,7,1,2,0
429,0,9,0,7,0,1,2
430,0,28,0,1,0,0,3
431,0,28,0,2,0,0,3
432,0,23,0,0,0,0,3
433,26,0,1,5,1,2,0
434,0,37,0,3,1,1,1
435,0,2,0,5,2,1,0
436,0,4,0,6,0,1,2
437,0,21,0,1,0,2,1
438,13,0,1,8,1,1,1
439,46,0,1,8,2,0,1
440,0,2,0,8,0,1,2
441,0,2,0,5,1,1,1
442,39,0,1,3,0,0,3
443,0,41,0,2,1,1,1
444,0,18,0,1,1,1,1
445,19,0,1,4,0,1,2
446,10,0,1,3,0,2,1
447,12,0,1,7,3,0,0
448,0,5,0,6,1,1,1
449,0,13,0,4,1,1,1
450,19,0,1,5,1,0,2
451,0,41,0,3,2,1,0
452,23,0,1,4,0,1,2
453,0,60,0,0,0,1,2
454,0,15,0,3,1,2,0
455,0,11,0,6,1,0,2
456,0,6,0,6,2,0,1
457,10,0,1,4,1,1,1
458,16,0,1,6,1,1,1
459,0,48,0,1,0,1,2
460,0,33,0,3,0,0,3
461,51,0,1,3,1,0,2
462,22,0,1,5,1,1,1
463,0,57,0,1,0,0,3
464,38,0,1,3,0,1,2
465,0,20,0,2,0,3,0
466,0,15,0,5,0,1,2
467,0,29,0,2,0,3,0
468,0,22,0,1,0,1,2
469,0,3,0,7,1,2,0
470,0,15,0,5,1,1,1
471,22,0,1,6,0,1,2
472,29,0,1,5,1,1,1
473,43,0,1,3,0,2,1
474,0,25,0,4,0,1,2
475,0,2,0,1,0,0,3
476,22,0,1,6,1,0,2
477,33,0,1,4,0,1,2
478,22,0,1,3,1,1,1
479,25,0,1,10,2,0,1
480,0,26,0,2,1,1,1
481,16,0,1,3,0,2,1
482,0,3,0,7,0,0,3
483,0,37,0,2,1,1,1
484,12,0,1,8,0,2,1
485,0,44,0,2,2,1,0
486,17,0,1,5,0,0,3
487,0,13,0,5,0,1,2
488,56,0,1,4,1,0,2
489,0,44,0,3,1,2,0
490,0,7,0,5,2,1,0
491,36,0,1,9,1,0,2
492,0,2,0,1,1,2,0
493,0,18,0,2,0,1,2
494,45,0,1,5,0,0,3
495,0,56,0,2,1,0,2
496,0,5,0,3,0,0,3
497,60,0,1,4,0,2,1
498,0,10,0,6,2,1,0
499,36,0,1,4,1,2,0
500,22,0,1,2,0,3,0
501,0,2,0,3,3,0,0
502,20,0,1,3,0,0,3
503,53,0,1,4,1,1,1
504,12,0,1,5,1,1,1
505,0,22,0,4,0,1,2
506,0,2,0,6,1,0,2
507,47,0,1,2,0,1,2
508,0,4,0,3,0,2,1
509,0,17,0,2,0,2,1
510,10,0,1,2,0,1,2
511,0,55,0,1,0,3,0
512,0,2,0,3,1,0,2
513,0,4,0,5,2,1,0
514,0,2,0,3,1,2,0
515,0,20,0,2,0,2,1
516,0,50,0,1,1,0,2
517,0,14,0,4,1,0,2
518,0,6,0,6,2,1,0
519,0,31,0,4,0,1,2
520,0,16,0,2,0,1,2
521,12,0,1,9,0,0,3
522,29,0,1,3,0,3,0
523,0,17,0,3,1,1,1
524,38,0,1,4,0,0,3
525,0,2,0,3,0,1,2
526,8,0,1,2,0,0,3
527,0,46,0,1,2,1,0
528,5,0,1,4,0,2,1
529,10,0,1,2,0,2,1
530,0,7,0,5,0,2,1
531,43,0,1,3,1,1,1
532,0,39,0,4,0,1,2
533,0,20,0,2,1,0,2
534,8,0,1,7,1,2,0
535,0,29,0,5,0,0,3
536,0,33,0,3,0,0,3
537,17,0,1,6,0,1,2
538,26,0,1,2,0,1,2
539,0,60,0,1,0,2,1
540,0,7,0,8,0,2,1
541,0,3,0,3,1,0,2
542,0,12,0,6,1,1,1
543,50,0,1,3,2,0,1
544,0,2,0,5,0,1,2
545,0,12,0,0,1,1,1
546,0,26,0,0,0,0,3
547,0,16,0,5,0,2,1
548,39,0,1,6,0,1,2
549,0,11,0,2,1,1,1
550,0,26,0,2,0,0,3
551,0,3,0,7,1,1,1
552,47,0,1,2,1,1,1
553,0,4,0,3,1,2,0
554,2,0,1,6,1,1,1
555,24,0,1,7,2,1,0
556,26,0,1,4,2,1,0
557,0,22,0,1,0,1,2
558,0,16,0,4,0,1,2
559,9,0,1,8,0,1,2
560,0,25,0,4,1,2,0
561,0,27,0,1,0,1,2
562,20,0,1,3,0,1,2
563,0,2,0,6,2,0,1
564,10,0,1,8,2,1,0
565,0,5,0,3,1,1,1
