,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,0,42,0,7,1,2,0
1,0,51,0,5,0,2,1
2,0,23,0,7,1,2,0
3,0,43,0,7,0,1,2
4,0,60,0,6,1,1,1
5,0,60,0,2,2,1,0
6,0,51,0,3,0,1,2
7,0,33,0,6,0,2,1
8,0,51,0,4,0,1,2
9,0,22,0,4,0,1,2
10,0,42,0,1,1,2,0
11,0,10,0,6,0,0,3
12,0,39,0,5,0,2,1
13,0,31,0,3,0,1,2
14,0,15,0,3,0,2,1
15,0,60,0,0,0,2,1
16,0,40,0,6,0,0,3
17,0,60,0,6,1,2,0
18,0,23,0,7,0,2,1
19,0,38,0,2,0,1,2
20,0,53,0,8,1,1,1
21,0,52,0,3,2,1,0
22,0,10,0,4,1,0,2
23,0,2,0,2,0,0,3
24,0,21,0,1,1,1,1
25,0,49,0,6,1,1,1
26,0,28,0,0,1,1,1
27,0,48,0,2,2,1,0
28,0,45,0,7,0,1,2
29,0,49,0,2,0,3,0
30,0,53,0,5,0,1,2
31,0,50,0,4,0,2,1
32,0,58,0,2,1,1,1
33,0,49,0,13,0,2,1
34,0,60,0,3,0,0,3
35,0,36,0,10,0,2,1
36,0,50,0,3,0,1,2
37,0,38,0,8,2,0,1
38,0,39,0,2,0,2,1
39,0,60,0,2,1,1,1
40,0,16,0,3,2,1,0
41,0,48,0,2,0,0,3
42,0,42,0,4,0,1,2
43,0,39,0,0,0,3,0
44,0,52,0,1,0,2,1
45,0,60,0,4,0,1,2
46,0,29,0,3,0,2,1
47,0,33,0,3,2,1,0
48,0,23,0,5,0,0,3
49,0,14,0,3,0,2,1
50,0,50,0,1,0,1,2
51,0,48,0,1,0,0,3
52,0,35,0,1,0,1,2
53,0,18,0,1,0,0,3
54,4,0,1,2,0,0,3
55,0,40,0,3,0,2,1
56,0,27,0,10,0,0,3
57,0,60,0,1,0,1,2
58,0,22,0,2,1,1,1
59,0,40,0,2,1,1,1
60,0,60,0,2,0,1,2
61,0,48,0,2,1,2,0
62,0,49,0,6,0,1,2
63,0,37,0,8,0,1,2
64,0,60,0,5,1,1,1
65,0,26,0,2,1,1,1
66,0,60,0,4,0,2,1
67,0,58,0,6,0,1,2
68,0,9,0,4,2,1,0
69,0,23,0,6,2,1,0
70,0,31,0,7,2,1,0
71,0,48,0,1,0,2,1
72,0,41,0,1,0,0,3
73,0,43,0,6,0,1,2
74,0,49,0,3,1,0,2
75,0,19,0,1,0,1,2
76,0,39,0,5,0,2,1
77,0,27,0,7,1,0,2
78,0,41,0,3,1,2,0
79,0,49,0,4,0,0,3
80,0,60,0,5,0,1,2
81,0,60,0,7,0,1,2
82,0,53,0,2,1,1,1
83,0,35,0,6,0,0,3
84,0,60,0,3,0,2,1
85,0,21,0,3,1,2,0
86,0,48,0,3,1,1,1
87,0,27,0,6,0,1,2
88,0,57,0,7,0,3,0
89,0,60,0,8,0,2,1
90,0,14,0,1,1,1,1
91,0,60,0,4,0,2,1
92,0,60,0,4,0,2,1
93,0,52,0,2,1,1,1
94,0,53,0,5,0,2,1
95,0,18,0,2,1,0,2
96,0,50,0,1,0,0,3
97,0,14,0,6,2,1,0
98,0,27,0,0,0,2,1
99,0,57,0,0,1,1,1
100,0,41,0,1,0,2,1
101,0,60,0,4,0,2,1
102,0,23,0,7,0,3,0
103,0,32,0,8,0,1,2
104,0,45,0,8,0,0,3
105,0,60,0,2,0,1,2
106,0,60,0,1,0,2,1
107,0,44,0,6,1,1,1
108,0,27,0,0,0,1,2
109,0,60,0,4,0,1,2
110,0,25,0,5,0,2,1
111,0,26,0,9,2,1,0
112,0,39,0,4,1,1,1
113,0,40,0,5,2,0,1
114,0,15,0,3,1,2,0
115,0,40,0,5,0,1,2
116,0,41,0,1,1,2,0
117,0,60,0,7,0,2,1
118,0,39,0,1,0,1,2
119,0,33,0,11,1,1,1
120,0,49,0,2,0,1,2
121,0,19,0,15,2,1,0
122,0,25,0,9,0,3,0
123,0,27,0,6,2,1,0
124,0,60,0,2,1,2,0
125,0,35,0,8,0,1,2
126,0,46,0,6,0,0,3
127,0,34,0,4,1,2,0
128,0,10,0,1,0,1,2
129,0,31,0,1,0,2,1
130,0,56,0,0,1,0,2
131,0,45,0,5,1,1,1
132,0,33,0,2,1,1,1
133,0,60,0,3,0,2,1
134,0,39,0,3,0,1,2
135,0,48,0,8,0,2,1
136,0,51,0,8,0,2,1
137,0,58,0,1,0,1,2
138,0,30,0,5,0,2,1
139,0,60,0,4,1,0,2
140,0,57,0,8,0,1,2
141,0,37,0,3,0,3,0
142,0,29,0,6,1,1,1
143,0,30,0,2,1,1,1
144,0,44,0,9,0,2,1
145,0,60,0,1,1,1,1
146,0,12,0,3,1,1,1
147,0,46,0,11,0,1,2
148,0,20,0,5,1,2,0
149,0,60,0,5,1,1,1
150,0,26,0,5,1,2,0
151,0,58,0,6,0,2,1
152,0,60,0,5,0,1,2
153,0,36,0,6,0,1,2
154,0,59,0,5,0,3,0
155,0,40,0,8,0,1,2
156,0,47,0,4,0,0,3
157,0,59,0,8,1,2,0
158,0,60,0,4,1,0,2
159,0,18,0,5,0,1,2
160,0,55,0,1,0,0,3
161,0,53,0,5,1,2,0
162,0,37,0,0,1,0,2
163,0,60,0,3,1,0,2
164,0,49,0,4,0,1,2
165,0,15,0,2,1,2,0
166,0,40,0,2,0,1,2
167,0,23,0,1,0,2,1
168,0,24,0,4,0,1,2
169,0,48,0,5,0,0,3
170,0,25,0,6,0,1,2
171,0,49,0,3,1,0,2
172,0,44,0,2,0,1,2
173,0,43,0,4,1,1,1
174,0,42,0,9,2,0,1
175,0,7,0,9,0,1,2
176,0,40,0,2,0,3,0
177,0,60,0,8,1,2,0
178,27,0,1,3,0,3,0
179,0,29,0,3,0,1,2
180,0,35,0,2,1,2,0
181,0,28,0,4,0,2,1
182,0,40,0,6,2,0,1
183,0,41,0,6,0,1,2
184,0,54,0,6,0,2,1
185,0,20,0,6,1,1,1
186,0,60,0,1,1,2,0
187,0,60,0,8,0,1,2
188,0,46,0,5,0,1,2
189,0,43,0,3,0,1,2
190,0,60,0,7,1,1,1
191,0,60,0,3,0,0,3
192,0,50,0,5,0,3,0
193,0,27,0,2,1,1,1
194,0,33,0,3,0,1,2
195,0,40,0,3,1,2,0
196,0,53,0,5,0,2,1
197,0,32,0,5,1,1,1
198,0,60,0,4,1,1,1
199,0,19,0,6,0,1,2
200,0,60,0,1,1,2,0
201,0,28,0,5,1,2,0
202,0,51,0,3,0,2,1
203,0,60,0,0,1,1,1
204,0,55,0,5,0,0,3
205,0,10,0,1,1,2,0
206,0,56,0,3,0,1,2
207,0,23,0,9,0,0,3
208,0,33,0,7,1,0,2
209,0,43,0,2,0,3,0
210,0,50,0,4,0,1,2
211,0,35,0,8,1,2,0
212,0,60,0,4,0,1,2
213,0,40,0,5,1,0,2
214,0,29,0,6,0,0,3
215,0,56,0,5,1,1,1
216,0,37,0,9,0,1,2
217,0,51,0,4,1,1,1
218,0,17,0,4,0,1,2
219,0,50,0,6,1,2,0
220,0,26,0,3,1,1,1
221,0,38,0,1,2,1,0
222,0,26,0,7,1,2,0
223,0,53,0,4,1,1,1
224,0,51,0,2,0,1,2
225,0,10,0,4,0,2,1
226,0,54,0,4,1,0,2
227,0,46,0,3,1,1,1
228,0,16,0,3,2,1,0
229,0,52,0,9,1,0,2
230,0,44,0,8,0,2,1
231,0,28,0,4,1,1,1
232,0,60,0,1,1,1,1
233,0,54,0,1,0,2,1
234,0,60,0,6,1,2,0
235,0,52,0,4,0,0,3
236,0,42,0,2,0,2,1
237,0,29,0,3,1,1,1
238,0,57,0,2,0,2,1
239,0,50,0,3,0,2,1
240,0,27,0,6,1,1,1
241,0,46,0,2,1,2,0
242,0,16,0,7,2,0,1
243,0,57,0,3,2,0,1
244,0,60,0,7,1,2,0
245,0,50,0,3,0,1,2
246,0,30,0,3,1,1,1
247,0,29,0,2,0,0,3
248,0,11,0,6,0,1,2
249,0,15,0,11,1,2,0
250,0,27,0,1,0,2,1
251,0,32,0,3,0,1,2
252,0,60,0,8,0,2,1
253,0,60,0,2,0,1,2
254,0,44,0,8,1,0,2
255,0,19,0,6,0,1,2
256,0,53,0,3,0,1,2
257,0,23,0,5,0,1,2
258,0,60,0,7,1,1,1
259,0,60,0,1,1,1,1
260,0,39,0,6,0,2,1
261,0,3,0,6,0,3,0
262,0,20,0,2,1,1,1
263,0,60,0,1,0,2,1
264,0,60,0,6,1,0,2
265,0,47,0,4,1,0,2
266,0,43,0,7,0,1,2
267,0,47,0,2,0,2,1
268,0,60,0,5,1,0,2
269,0,54,0,2,0,2,1
270,0,24,0,2,1,1,1
271,0,48,0,6,1,1,1
272,0,56,0,7,0,3,0
273,0,39,0,7,0,2,1
274,0,23,0,8,1,1,1
275,0,31,0,6,1,1,1
276,0,53,0,8,0,1,2
277,0,47,0,6,1,0,2
278,0,46,0,7,0,2,1
279,0,10,0,6,1,0,2
280,0,38,0,3,1,1,1
281,0,32,0,9,1,1,1
282,0,60,0,2,1,1,1
283,0,33,0,7,1,2,0
284,0,26,0,2,0,1,2
285,0,21,0,5,0,1,2
286,0,24,0,2,0,2,1
287,0,40,0,1,0,1,2
