,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,0,60,0,6,0,1,2
1,0,60,0,4,0,1,2
2,0,41,0,2,0,1,2
3,0,60,0,9,0,1,2
4,0,60,0,5,1,0,2
5,0,60,0,4,0,0,3
6,0,60,0,6,0,2,1
7,0,60,0,2,0,2,1
8,0,60,0,2,1,0,2
9,0,60,0,2,0,3,0
10,0,60,0,5,0,3,0
11,0,60,0,1,1,1,1
12,0,60,0,2,0,0,3
13,0,60,0,4,0,1,2
14,0,60,0,8,0,3,0
15,0,60,0,5,0,1,2
16,0,60,0,6,1,1,1
17,0,47,0,2,0,1,2
18,0,26,0,1,0,0,3
19,0,60,0,1,1,1,1
20,0,20,0,1,0,1,2
21,0,60,0,1,0,3,0
22,0,49,0,2,0,2,1
23,0,60,0,4,1,1,1
24,0,60,0,2,0,0,3
25,0,60,0,7,0,1,2
26,0,60,0,1,1,1,1
27,0,60,0,8,0,1,2
28,0,60,0,5,0,2,1
29,0,60,0,13,1,1,1
30,0,60,0,7,0,0,3
31,0,60,0,4,0,3,0
32,0,60,0,3,1,2,0
33,0,60,0,5,0,3,0
34,0,60,0,1,0,2,1
35,0,60,0,10,1,0,2
36,0,60,0,3,0,3,0
37,0,60,0,12,0,1,2
38,0,60,0,3,0,1,2
39,0,60,0,4,1,1,1
40,0,60,0,10,0,0,3
41,0,60,0,3,1,1,1
42,0,60,0,4,2,0,1
43,0,60,0,0,1,1,1
44,0,60,0,3,1,0,2
45,0,60,0,4,0,0,3
46,0,60,0,4,0,2,1
47,0,43,0,1,1,1,1
48,0,60,0,2,0,2,1
49,0,60,0,4,1,1,1
50,0,60,0,2,0,2,1
51,0,60,0,2,1,1,1
52,0,60,0,10,0,0,3
53,0,60,0,3,0,2,1
54,0,60,0,3,0,3,0
55,0,60,0,2,0,2,1
56,0,60,0,7,0,1,2
57,0,60,0,2,0,1,2
58,0,60,0,4,1,0,2
59,0,46,0,2,1,1,1
60,0,60,0,5,1,1,1
61,0,60,0,6,0,0,3
62,0,60,0,4,0,2,1
63,0,60,0,3,1,1,1
64,0,60,0,8,1,2,0
65,0,60,0,3,0,0,3
66,0,60,0,7,0,2,1
67,0,56,0,7,0,2,1
68,0,60,0,2,0,0,3
69,0,60,0,5,0,2,1
70,0,60,0,2,1,1,1
71,0,60,0,4,0,0,3
72,0,60,0,4,0,2,1
73,0,60,0,7,0,1,2
74,0,60,0,2,1,1,1
75,0,60,0,8,1,1,1
76,0,60,0,2,0,1,2
77,0,60,0,4,0,2,1
78,0,60,0,3,2,1,0
79,0,60,0,3,0,2,1
80,0,60,0,7,0,2,1
81,0,17,0,0,0,1,2
82,0,60,0,6,1,0,2
83,0,48,0,2,0,1,2
84,0,60,0,13,1,1,1
85,0,60,0,3,1,2,0
