,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,0,19,0,2,1,2,0
1,50,0,1,10,0,0,3
2,13,0,1,1,0,2,1
3,0,7,0,5,1,1,1
4,0,30,0,5,1,0,2
5,3,0,1,7,1,2,0
6,0,60,0,0,0,1,2
7,0,10,0,10,1,1,1
8,0,8,0,4,1,1,1
9,31,0,1,3,0,1,2
10,24,0,1,8,1,1,1
11,0,51,0,2,1,1,1
12,0,52,0,1,1,1,1
13,0,40,0,3,1,2,0
14,0,13,0,5,1,1,1
15,0,29,0,3,1,1,1
16,16,0,1,6,2,1,0
17,15,0,1,4,1,1,1
18,60,0,1,3,0,2,1
19,17,0,1,4,1,2,0
20,0,20,0,2,1,1,1
21,0,52,0,4,0,1,2
22,0,29,0,5,1,1,1
23,27,0,1,9,2,0,1
24,13,0,1,6,1,0,2
25,0,8,0,8,1,2,0
26,0,38,0,0,0,1,2
27,0,19,0,13,1,1,1
28,10,0,1,8,0,0,3
29,13,0,1,6,1,2,0
30,0,46,0,4,0,3,0
31,0,7,0,4,1,1,1
32,0,20,0,7,1,1,1
33,0,23,0,3,1,1,1
34,31,0,1,6,1,1,1
35,0,10,0,1,0,1,2
36,0,16,0,6,1,1,1
37,0,25,0,3,0,2,1
38,60,0,1,3,0,1,2
39,0,41,0,0,1,2,0
40,10,0,1,7,1,0,2
41,0,14,0,4,0,0,3
42,17,0,1,6,1,1,1
43,0,20,0,5,3,0,0
44,11,0,1,11,0,1,2
45,0,60,0,0,1,0,2
46,0,22,0,1,1,1,1
47,34,0,1,5,2,0,1
48,0,53,0,4,2,0,1
49,0,38,0,3,2,1,0
50,22,0,1,9,0,3,0
51,17,0,1,5,1,0,2
52,2,0,1,9,0,2,1
53,0,40,0,4,2,1,0
54,0,2,0,6,2,1,0
55,0,19,0,5,3,0,0
56,0,32,0,6,0,3,0
57,0,41,0,2,1,1,1
58,11,0,1,6,0,1,2
59,0,23,0,5,1,1,1
60,11,0,1,4,0,1,2
61,0,10,0,8,1,1,1
62,0,7,0,4,0,0,3
63,18,0,1,4,0,1,2
64,0,32,0,3,0,1,2
65,0,36,0,3,1,1,1
66,14,0,1,4,2,0,1
67,25,0,1,8,1,0,2
68,53,0,1,5,2,1,0
69,4,0,1,4,1,1,1
70,0,7,0,4,2,0,1
71,0,26,0,3,0,1,2
72,0,39,0,0,1,0,2
73,0,17,0,2,1,0,2
74,0,25,0,8,0,0,3
75,0,8,0,3,2,0,1
76,0,10,0,4,1,0,2
77,0,47,0,2,2,0,1
78,0,37,0,1,1,2,0
79,0,52,0,2,1,0,2
80,10,0,1,4,0,0,3
81,0,60,0,8,0,1,2
82,25,0,1,7,2,0,1
83,0,60,0,0,1,0,2
84,0,24,0,9,0,1,2
85,22,0,1,4,1,2,0
86,0,13,0,10,1,0,2
87,28,0,1,8,1,0,2
88,4,0,1,5,1,2,0
89,35,0,1,2,1,0,2
90,0,10,0,8,0,1,2
91,0,23,0,12,2,0,1
92,0,32,0,3,1,0,2
93,0,12,0,3,2,1,0
94,46,0,1,4,0,1,2
95,0,16,0,7,0,1,2
96,15,0,1,7,0,2,1
97,30,0,1,7,0,1,2
98,18,0,1,8,0,1,2
99,0,44,0,3,1,2,0
100,0,31,0,5,1,1,1
101,0,51,0,6,1,2,0
102,60,0,1,3,0,2,1
103,5,0,1,7,0,1,2
104,0,16,0,10,0,1,2
105,0,13,0,7,2,1,0
106,0,16,0,7,1,2,0
107,5,0,1,5,2,1,0
108,0,42,0,4,1,0,2
109,11,0,1,4,1,1,1
110,0,4,0,7,1,0,2
111,0,47,0,8,0,2,1
112,10,0,1,5,0,1,2
113,20,0,1,4,1,1,1
114,0,28,0,6,1,0,2
115,11,0,1,6,1,0,2
116,42,0,1,1,1,1,1
117,6,0,1,4,0,3,0
118,0,20,0,2,1,0,2
119,0,8,0,4,0,1,2
120,2,0,1,5,1,0,2
121,0,13,0,5,1,0,2
122,3,0,1,9,1,2,0
123,0,60,0,1,0,1,2
124,26,0,1,4,1,1,1
125,0,55,0,4,1,1,1
126,27,0,1,5,0,2,1
127,0,42,0,2,0,1,2
128,10,0,1,1,0,1,2
129,9,0,1,3,0,1,2
130,41,0,1,6,1,0,2
131,16,0,1,7,2,0,1
132,0,60,0,4,1,2,0
133,0,29,0,3,1,0,2
134,0,59,0,1,0,2,1
135,4,0,1,8,0,0,3
136,0,8,0,8,1,1,1
137,41,0,1,3,1,1,1
138,10,0,1,4,1,0,2
139,2,0,1,7,0,1,2
140,0,60,0,4,1,1,1
141,26,0,1,7,0,1,2
142,26,0,1,2,1,0,2
143,0,55,0,0,0,2,1
144,0,24,0,2,0,2,1
145,0,60,0,5,0,1,2
146,0,44,0,2,0,1,2
147,0,38,0,8,0,1,2
148,0,55,0,1,1,2,0
149,0,20,0,3,2,1,0
150,7,0,1,6,1,2,0
151,60,0,1,6,1,2,0
152,0,50,0,1,0,3,0
153,0,30,0,4,0,2,1
154,0,23,0,5,0,0,3
155,50,0,1,3,1,1,1
156,0,18,0,7,1,1,1
157,36,0,1,5,1,2,0
158,0,34,0,1,0,0,3
159,51,0,1,5,1,0,2
160,59,0,1,3,1,2,0
161,0,44,0,1,1,0,2
162,0,17,0,7,1,0,2
163,0,17,0,5,1,1,1
164,0,46,0,3,0,2,1
165,0,26,0,8,0,0,3
166,0,22,0,7,2,1,0
167,30,0,1,2,1,0,2
168,20,0,1,10,1,1,1
169,42,0,1,2,1,2,0
170,21,0,1,6,0,1,2
171,0,56,0,6,1,1,1
172,0,32,0,4,0,1,2
173,0,7,0,5,1,1,1
174,49,0,1,5,0,1,2
175,22,0,1,4,0,1,2
176,0,31,0,4,1,1,1
177,0,2,0,3,1,1,1
178,0,18,0,1,1,0,2
179,0,60,0,7,1,1,1
180,0,60,0,1,0,1,2
181,19,0,1,7,2,0,1
182,0,12,0,5,2,0,1
183,0,60,0,1,1,2,0
184,0,24,0,4,1,1,1
185,9,0,1,3,0,1,2
186,0,14,0,9,1,0,2
187,27,0,1,4,1,2,0
188,21,0,1,5,0,2,1
189,17,0,1,9,1,2,0
190,0,47,0,4,1,2,0
191,0,46,0,2,1,1,1
192,0,46,0,7,1,1,1
193,0,20,0,9,2,1,0
194,0,8,0,3,0,1,2
195,0,27,0,0,1,2,0
196,0,26,0,9,2,1,0
197,0,6,0,3,1,1,1
198,0,14,0,8,0,1,2
199,20,0,1,3,1,2,0
200,0,28,0,8,0,0,3
201,0,12,0,10,0,1,2
202,22,0,1,7,0,1,2
203,60,0,1,1,1,1,1
204,20,0,1,4,1,2,0
205,0,17,0,4,1,1,1
206,0,26,0,7,2,1,0
207,0,54,0,3,0,1,2
208,0,21,0,3,1,1,1
209,46,0,1,8,0,1,2
210,0,60,0,3,0,1,2
