,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,31,0,1,5,0,0,3
1,0,2,0,8,1,0,2
2,20,0,1,3,0,0,3
3,6,0,1,4,0,0,3
4,0,15,0,5,2,0,1
5,0,60,0,0,1,1,1
6,21,0,1,5,1,0,2
7,0,60,0,0,2,1,0
8,0,25,0,0,0,1,2
9,0,52,0,9,0,1,2
10,0,40,0,3,0,1,2
11,0,34,0,3,1,2,0
12,0,60,0,2,0,0,3
13,0,36,0,3,0,1,2
14,0,36,0,4,0,2,1
15,2,0,1,9,1,1,1
16,0,16,0,0,0,1,2
17,26,0,1,3,0,1,2
18,60,0,1,2,0,1,2
19,10,0,1,5,0,0,3
20,54,0,1,4,1,2,0
21,58,0,1,6,0,2,1
22,19,0,1,3,1,1,1
23,0,50,0,3,0,1,2
24,3,0,1,8,1,0,2
25,14,0,1,2,0,2,1
26,44,0,1,2,1,0,2
27,2,0,1,7,0,0,3
28,43,0,1,6,3,0,0
29,60,0,1,4,1,1,1
30,60,0,1,3,2,0,1
31,0,3,0,5,0,1,2
32,0,17,0,4,1,0,2
33,0,7,0,6,1,1,1
34,0,60,0,1,0,1,2
35,0,24,0,3,0,1,2
36,26,0,1,8,0,1,2
37,0,56,0,1,1,1,1
38,0,48,0,4,0,2,1
39,0,39,0,4,0,3,0
40,21,0,1,4,0,2,1
41,0,60,0,0,1,0,2
42,9,0,1,6,0,0,3
43,32,0,1,6,0,1,2
44,0,4,0,8,0,0,3
45,9,0,1,4,1,2,0
46,0,45,0,3,0,1,2
47,19,0,1,6,0,1,2
48,14,0,1,6,1,2,0
49,17,0,1,4,1,1,1
50,0,31,0,2,0,2,1
51,45,0,1,4,0,1,2
52,0,60,0,3,0,2,1
53,0,56,0,1,0,1,2
54,60,0,1,1,2,1,0
55,0,52,0,2,1,1,1
56,0,8,0,10,0,1,2
57,0,45,0,0,0,1,2
58,0,22,0,5,0,1,2
59,0,28,0,2,1,1,1
60,7,0,1,8,2,0,1
61,0,10,0,4,1,2,0
62,22,0,1,5,1,0,2
63,0,36,0,2,0,1,2
64,0,50,0,2,1,0,2
65,0,21,0,8,0,0,3
66,34,0,1,3,0,2,1
67,0,14,0,3,1,1,1
68,9,0,1,4,1,1,1
69,0,52,0,1,1,1,1
70,3,0,1,3,0,0,3
71,0,23,0,2,1,0,2
72,0,33,0,3,0,1,2
73,17,0,1,3,1,1,1
74,0,7,0,5,0,2,1
75,11,0,1,5,0,0,3
76,45,0,1,2,0,2,1
77,0,10,0,6,1,0,2
78,0,13,0,3,0,0,3
79,17,0,1,6,0,1,2
80,44,0,1,4,1,1,1
81,19,0,1,5,1,1,1
82,29,0,1,3,0,1,2
83,3,0,1,6,1,1,1
84,3,0,1,11,1,1,1
85,10,0,1,4,2,0,1
86,12,0,1,5,1,2,0
87,60,0,1,2,1,2,0
88,0,27,0,8,0,1,2
89,0,2,0,4,1,1,1
90,0,10,0,4,1,0,2
91,0,53,0,4,0,0,3
92,26,0,1,3,0,1,2
93,0,25,0,6,0,1,2
94,0,11,0,2,2,0,1
95,60,0,1,3,1,2,0
96,23,0,1,3,0,2,1
97,19,0,1,4,0,1,2
98,0,55,0,4,3,0,0
99,0,35,0,2,2,1,0
100,15,0,1,6,0,0,3
101,0,17,0,0,0,1,2
102,38,0,1,9,0,1,2
103,23,0,1,2,0,1,2
104,27,0,1,7,2,0,1
105,0,60,0,3,1,2,0
106,41,0,1,5,0,1,2
107,55,0,1,4,1,0,2
108,0,60,0,2,1,1,1
109,60,0,1,4,0,3,0
110,0,27,0,5,0,1,2
111,12,0,1,5,1,0,2
112,19,0,1,4,1,2,0
113,38,0,1,2,1,2,0
114,10,0,1,4,2,0,1
115,0,17,0,5,0,2,1
116,9,0,1,5,1,0,2
117,0,32,0,2,1,0,2
118,0,18,0,6,0,0,3
119,0,38,0,3,1,1,1
120,0,35,0,3,0,1,2
121,0,46,0,2,0,1,2
122,0,3,0,5,1,1,1
123,2,0,1,12,2,0,1
124,15,0,1,5,1,1,1
125,0,3,0,5,0,0,3
126,10,0,1,7,2,0,1
127,0,22,0,0,2,1,0
128,49,0,1,11,1,1,1
129,19,0,1,3,2,0,1
130,16,0,1,3,1,0,2
131,60,0,1,4,1,0,2
132,0,21,0,3,1,1,1
133,0,46,0,2,2,0,1
134,56,0,1,3,1,0,2
135,0,2,0,3,0,1,2
136,0,39,0,1,0,2,1
137,0,10,0,6,1,0,2
138,0,18,0,3,2,1,0
139,0,60,0,0,0,1,2
140,17,0,1,6,1,0,2
141,43,0,1,6,0,3,0
142,26,0,1,3,0,0,3
143,0,58,0,5,0,1,2
144,18,0,1,6,0,0,3
145,16,0,1,3,2,0,1
146,0,5,0,6,2,1,0
147,0,60,0,2,0,1,2
148,36,0,1,4,2,1,0
149,52,0,1,3,0,1,2
150,0,36,0,7,1,0,2
151,0,3,0,2,1,2,0
152,0,39,0,6,0,2,1
153,0,5,0,7,1,0,2
154,0,14,0,5,0,1,2
155,38,0,1,5,0,1,2
156,54,0,1,3,0,1,2
157,0,6,0,1,1,2,0
158,0,29,0,3,0,1,2
159,0,10,0,1,0,3,0
160,0,22,0,2,0,1,2
161,0,22,0,2,1,0,2
162,3,0,1,7,0,1,2
163,21,0,1,5,0,0,3
164,31,0,1,4,0,2,1
165,10,0,1,3,0,2,1
166,0,5,0,1,1,2,0
167,5,0,1,5,1,1,1
168,0,22,0,4,0,0,3
169,20,0,1,5,0,1,2
170,8,0,1,7,1,1,1
171,0,48,0,5,0,0,3
172,18,0,1,6,1,1,1
173,0,8,0,8,0,1,2
174,7,0,1,6,0,1,2
175,0,29,0,2,0,1,2
176,3,0,1,7,1,2,0
177,0,29,0,3,0,1,2
178,0,38,0,2,1,1,1
179,4,0,1,9,1,0,2
180,0,39,0,1,1,1,1
181,0,10,0,3,2,0,1
182,0,20,0,5,1,1,1
183,0,41,0,2,1,2,0
184,0,51,0,1,1,1,1
185,10,0,1,2,0,1,2
186,0,11,0,5,1,1,1
187,0,16,0,6,1,0,2
188,0,60,0,3,1,1,1
189,8,0,1,7,0,1,2
190,4,0,1,6,1,0,2
191,0,60,0,1,0,1,2
192,15,0,1,4,0,1,2
193,13,0,1,7,0,2,1
194,5,0,1,6,0,0,3
195,9,0,1,3,0,2,1
196,0,12,0,5,0,1,2
197,14,0,1,2,2,0,1
198,0,4,0,7,2,1,0
199,0,4,0,8,0,1,2
200,0,46,0,2,0,0,3
201,0,4,0,4,0,0,3
