,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,0,8,0,4,2,1,0
1,41,0,1,12,0,1,2
2,0,56,0,2,1,1,1
3,0,37,0,3,2,0,1
4,39,0,1,3,1,1,1
5,0,43,0,1,2,0,1
6,17,0,1,10,1,0,2
7,15,0,1,7,0,0,3
8,0,22,0,3,1,1,1
9,0,60,0,0,0,1,2
10,0,17,0,5,0,1,2
11,0,33,0,6,1,0,2
12,0,2,0,6,1,1,1
13,32,0,1,7,1,0,2
14,50,0,1,10,1,1,1
15,13,0,1,5,1,1,1
16,0,46,0,6,0,1,2
17,0,17,0,8,1,1,1
18,0,60,0,1,0,2,1
19,0,35,0,4,0,0,3
20,0,14,0,8,2,0,1
21,21,0,1,5,0,0,3
22,0,4,0,7,1,1,1
23,0,3,0,3,2,1,0
24,0,2,0,8,1,0,2
25,0,23,0,8,0,1,2
26,0,30,0,5,1,1,1
27,0,21,0,4,0,0,3
28,20,0,1,5,1,0,2
29,0,17,0,6,0,0,3
30,56,0,1,3,0,1,2
31,0,12,0,6,1,0,2
32,0,16,0,8,0,1,2
33,0,7,0,9,2,1,0
34,0,4,0,8,2,0,1
35,0,43,0,3,2,1,0
36,0,46,0,2,0,0,3
37,5,0,1,10,0,0,3
38,0,23,0,5,1,0,2
39,0,2,0,11,0,0,3
40,2,0,1,10,1,0,2
41,6,0,1,6,1,0,2
42,14,0,1,8,0,1,2
43,34,0,1,2,1,0,2
44,28,0,1,8,2,1,0
45,0,20,0,7,1,1,1
46,9,0,1,7,2,0,1
47,0,60,0,5,2,1,0
48,9,0,1,10,1,0,2
49,0,5,0,4,0,1,2
50,0,2,0,5,2,1,0
51,0,3,0,2,1,1,1
52,21,0,1,6,0,1,2
53,0,3,0,5,0,1,2
54,25,0,1,5,1,0,2
55,0,33,0,3,0,1,2
56,0,14,0,4,2,0,1
57,0,15,0,2,1,1,1
58,0,3,0,7,2,0,1
59,17,0,1,8,1,0,2
60,14,0,1,6,2,0,1
61,21,0,1,3,1,1,1
62,0,22,0,5,0,0,3
63,0,32,0,0,1,1,1
64,0,2,0,7,0,0,3
65,0,16,0,6,0,1,2
66,0,6,0,15,1,1,1
67,2,0,1,7,2,0,1
68,0,9,0,6,0,0,3
69,0,20,0,5,0,0,3
70,0,13,0,3,1,1,1
71,0,18,0,5,2,0,1
72,0,15,0,4,2,0,1
73,5,0,1,6,1,1,1
74,0,10,0,9,1,1,1
75,5,0,1,11,2,1,0
76,0,2,0,16,1,2,0
77,0,15,0,5,0,1,2
78,0,2,0,13,1,0,2
79,0,40,0,3,1,2,0
80,0,60,0,3,0,2,1
81,23,0,1,6,1,0,2
82,0,16,0,6,2,1,0
83,0,3,0,9,2,0,1
84,0,13,0,5,0,1,2
85,23,0,1,4,1,2,0
86,0,2,0,6,2,0,1
87,0,49,0,3,0,2,1
88,47,0,1,4,1,1,1
89,47,0,1,6,0,1,2
90,0,20,0,2,1,0,2
91,0,49,0,4,1,0,2
92,0,13,0,7,0,0,3
93,0,44,0,9,1,0,2
94,0,13,0,6,1,1,1
95,0,60,0,4,0,1,2
96,0,11,0,7,1,1,1
97,2,0,1,15,3,0,0
98,35,0,1,5,1,1,1
99,0,3,0,7,1,1,1
100,0,2,0,9,1,0,2
101,0,38,0,2,1,0,2
102,22,0,1,7,1,0,2
103,21,0,1,5,1,0,2
104,0,40,0,2,2,1,0
105,0,4,0,5,1,1,1
106,0,3,0,2,1,0,2
107,0,13,0,7,1,0,2
108,0,14,0,8,0,0,3
109,17,0,1,10,0,1,2
110,0,33,0,7,0,2,1
111,0,2,0,3,1,0,2
112,0,44,0,2,2,1,0
113,0,33,0,5,2,1,0
114,0,33,0,3,0,2,1
115,0,3,0,3,1,1,1
116,0,46,0,2,0,0,3
117,0,8,0,7,3,0,0
118,0,6,0,7,1,1,1
119,0,2,0,7,2,0,1
120,37,0,1,9,1,1,1
121,0,51,0,0,1,0,2
122,0,10,0,6,1,0,2
123,21,0,1,6,1,1,1
124,25,0,1,5,2,1,0
125,0,2,0,9,1,0,2
126,0,8,0,8,1,1,1
127,0,3,0,3,1,1,1
128,16,0,1,8,2,0,1
129,0,7,0,6,1,0,2
130,0,25,0,7,0,1,2
131,0,44,0,5,1,1,1
132,0,30,0,6,0,1,2
133,14,0,1,4,1,0,2
134,0,28,0,2,1,1,1
135,0,29,0,4,0,1,2
136,0,4,0,8,2,1,0
137,12,0,1,7,0,2,1
138,0,7,0,5,0,0,3
139,54,0,1,5,1,0,2
140,15,0,1,6,0,0,3
141,19,0,1,6,1,0,2
142,0,60,0,4,1,1,1
143,0,7,0,7,2,0,1
144,0,41,0,3,1,0,2
145,3,0,1,8,1,1,1
146,0,13,0,2,1,1,1
147,5,0,1,12,0,0,3
148,0,18,0,7,0,0,3
149,42,0,1,7,0,1,2
150,0,16,0,3,1,0,2
151,0,4,0,12,2,0,1
152,0,2,0,6,1,2,0
153,10,0,1,6,2,0,1
154,60,0,1,4,1,1,1
155,0,2,0,14,0,1,2
156,0,13,0,3,2,0,1
157,0,51,0,2,2,1,0
158,19,0,1,6,2,0,1
159,29,0,1,3,0,0,3
160,0,13,0,7,0,2,1
161,2,0,1,12,1,1,1
162,3,0,1,9,1,0,2
163,35,0,1,5,0,1,2
164,0,4,0,5,0,0,3
165,0,37,0,2,2,1,0
166,0,8,0,4,1,0,2
167,35,0,1,5,2,0,1
168,60,0,1,3,1,0,2
169,0,60,0,2,1,0,2
170,0,12,0,7,2,1,0
171,3,0,1,12,1,0,2
172,9,0,1,12,1,0,2
173,0,5,0,6,0,0,3
174,54,0,1,7,0,0,3
175,0,37,0,5,0,0,3
176,32,0,1,8,1,2,0
177,25,0,1,6,1,1,1
178,0,31,0,3,2,0,1
179,0,5,0,5,2,0,1
180,0,2,0,7,0,1,2
181,0,11,0,9,1,0,2
182,40,0,1,4,0,0,3
183,27,0,1,6,0,1,2
184,0,2,0,11,2,1,0
185,0,42,0,4,0,1,2
186,0,60,0,1,2,0,1
187,0,4,0,9,1,1,1
188,0,6,0,6,1,1,1
189,0,28,0,4,0,0,3
190,0,3,0,12,0,2,1
191,0,4,0,6,2,1,0
192,0,14,0,5,1,0,2
193,41,0,1,3,3,0,0
194,0,49,0,1,1,1,1
195,28,0,1,5,1,0,2
