,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,47,0,1,2,1,2,0
1,33,0,1,4,0,1,2
2,0,60,0,2,1,1,1
3,0,38,0,4,2,0,1
4,34,0,1,3,1,1,1
5,0,43,0,1,2,0,1
6,2,0,1,11,2,0,1
7,0,22,0,4,0,2,1
8,10,0,1,5,1,1,1
9,0,60,0,0,0,1,2
10,10,0,1,5,0,1,2
11,0,27,0,11,1,0,2
12,7,0,1,7,2,1,0
13,3,0,1,4,2,0,1
14,14,0,1,12,2,1,0
15,35,0,1,4,0,2,1
16,0,34,0,6,0,0,3
17,0,26,0,10,2,1,0
18,0,59,0,4,1,1,1
19,0,37,0,5,0,1,2
20,0,30,0,6,1,0,2
21,2,0,1,6,0,0,3
22,0,20,0,8,1,1,1
23,0,3,0,4,2,1,0
24,0,16,0,9,1,0,2
25,0,18,0,8,1,1,1
26,2,0,1,6,3,0,0
27,0,23,0,9,0,0,3
28,34,0,1,3,1,1,1
29,0,40,0,7,1,1,1
30,51,0,1,3,0,1,2
31,10,0,1,7,0,0,3
32,2,0,1,8,0,1,2
33,0,46,0,5,1,1,1
34,0,4,0,4,2,0,1
35,15,0,1,4,2,0,1
36,0,18,0,3,1,0,2
37,0,15,0,9,1,1,1
38,0,56,0,6,1,0,2
39,2,0,1,9,1,0,2
40,0,21,0,10,1,2,0
41,26,0,1,6,1,2,0
42,0,19,0,10,1,0,2
43,35,0,1,2,1,1,1
44,0,19,0,11,1,0,2
45,0,6,0,9,1,1,1
46,14,0,1,7,2,1,0
47,10,0,1,9,0,2,1
48,0,51,0,9,0,1,2
49,0,10,0,7,0,1,2
50,0,24,0,4,2,1,0
51,0,13,0,6,0,1,2
52,0,46,0,5,0,1,2
53,0,3,0,8,1,1,1
54,37,0,1,5,2,0,1
55,0,41,0,3,0,1,2
56,2,0,1,6,0,1,2
57,0,22,0,2,1,1,1
58,0,34,0,4,1,0,2
59,31,0,1,4,0,1,2
60,10,0,1,7,3,0,0
61,15,0,1,5,2,1,0
62,0,60,0,6,1,0,2
63,0,32,0,0,1,1,1
64,2,0,1,7,1,1,1
65,8,0,1,10,0,1,2
66,0,30,0,5,0,1,2
67,0,7,0,6,0,0,3
68,0,12,0,5,0,0,3
69,0,46,0,7,1,2,0
70,23,0,1,3,0,2,1
71,0,23,0,2,2,1,0
72,0,44,0,4,1,1,1
73,0,12,0,6,2,0,1
74,0,16,0,12,1,1,1
75,0,38,0,8,0,1,2
76,0,43,0,5,1,1,1
77,0,25,0,6,0,2,1
78,0,12,0,6,2,0,1
79,11,0,1,6,1,1,1
80,0,45,0,3,1,1,1
81,2,0,1,10,2,0,1
82,2,0,1,5,2,0,1
83,2,0,1,10,2,1,0
84,0,12,0,7,0,0,3
85,5,0,1,7,1,1,1
86,14,0,1,5,1,1,1
87,0,24,0,5,0,2,1
88,15,0,1,5,0,2,1
89,42,0,1,4,0,1,2
90,0,17,0,3,0,0,3
91,40,0,1,6,1,1,1
92,15,0,1,4,1,0,2
93,0,60,0,6,3,0,0
94,0,34,0,3,1,1,1
95,0,23,0,5,0,0,3
96,2,0,1,12,1,0,2
97,4,0,1,10,1,0,2
98,0,46,0,5,1,0,2
99,0,60,0,5,0,1,2
