,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,3,0,1,2,2,1,0
1,0,8,0,6,2,0,1
2,14,0,1,3,0,1,2
3,0,43,0,4,0,0,3
4,9,0,1,5,0,1,2
5,2,0,1,4,0,0,3
6,5,0,1,6,1,1,1
7,0,60,0,0,1,1,1
8,2,0,1,9,1,1,1
9,0,60,0,0,2,1,0
10,0,25,0,0,0,0,3
11,0,60,0,1,0,1,2
12,0,33,0,8,0,1,2
13,0,38,0,3,1,2,0
14,0,10,0,2,1,1,1
15,0,35,0,3,0,1,2
16,2,0,1,6,2,0,1
17,14,0,1,3,0,2,1
18,0,12,0,1,1,0,2
19,16,0,1,7,0,1,2
20,60,0,1,2,0,1,2
21,15,0,1,5,0,0,3
22,51,0,1,5,1,2,0
23,9,0,1,6,0,2,1
24,12,0,1,4,1,1,1
25,0,42,0,2,0,1,2
26,0,31,0,2,0,0,3
27,10,0,1,2,0,2,1
28,44,0,1,2,1,0,2
29,14,0,1,6,0,3,0
30,13,0,1,8,1,1,1
31,53,0,1,3,1,1,1
32,60,0,1,3,2,0,1
33,0,3,0,3,0,0,3
34,0,15,0,7,0,1,2
35,0,18,0,4,1,1,1
36,0,59,0,2,0,2,1
37,0,23,0,3,0,0,3
38,0,21,0,9,1,1,1
39,0,56,0,1,1,1,1
40,17,0,1,4,1,1,1
41,0,18,0,4,1,2,0
42,0,17,0,2,1,0,2
43,0,60,0,0,1,1,1
44,0,15,0,6,2,1,0
45,41,0,1,5,0,1,2
46,3,0,1,7,2,0,1
47,6,0,1,4,1,2,0
48,3,0,1,4,0,2,1
49,9,0,1,8,1,0,2
50,38,0,1,2,2,1,0
51,0,39,0,4,0,0,3
52,12,0,1,5,1,1,1
53,37,0,1,4,0,1,2
54,0,59,0,3,0,2,1
55,0,56,0,2,0,0,3
56,60,0,1,1,2,1,0
57,0,52,0,2,1,1,1
58,9,0,1,11,1,1,1
59,0,45,0,0,0,1,2
60,0,14,0,8,1,1,1
61,0,4,0,8,1,0,2
62,2,0,1,8,2,0,1
63,5,0,1,4,1,2,0
64,7,0,1,5,1,0,2
65,0,22,0,3,2,0,1
66,0,50,0,1,0,2,1
67,0,26,0,4,1,0,2
68,15,0,1,3,0,1,2
69,0,15,0,2,2,0,1
70,4,0,1,3,1,2,0
71,0,52,0,1,1,1,1
72,3,0,1,3,0,0,3
73,0,23,0,5,0,0,3
74,0,33,0,3,0,1,2
75,16,0,1,8,1,2,0
76,0,40,0,5,0,2,1
77,11,0,1,7,1,1,1
78,38,0,1,2,0,2,1
79,0,19,0,7,1,0,2
80,5,0,1,4,1,1,1
81,0,10,0,5,3,0,0
82,0,8,0,6,0,1,2
83,38,0,1,1,1,1,1
84,47,0,1,2,0,1,2
85,14,0,1,4,1,1,1
86,15,0,1,3,1,0,2
87,10,0,1,4,2,0,1
88,0,25,0,7,1,2,0
89,60,0,1,2,1,2,0
90,0,22,0,7,1,0,2
91,0,14,0,4,1,2,0
92,0,24,0,2,2,0,1
93,0,26,0,5,0,1,2
94,18,0,1,7,0,2,1
95,0,25,0,7,0,2,1
96,13,0,1,4,0,3,0
97,60,0,1,3,1,2,0
98,0,12,0,3,0,0,3
99,15,0,1,4,0,1,2
100,0,12,0,11,0,0,3
101,21,0,1,5,1,1,1
102,8,0,1,6,0,1,2
103,0,17,0,0,0,1,2
104,0,60,0,6,1,0,2
105,3,0,1,7,1,0,2
106,8,0,1,9,1,0,2
107,0,60,0,4,1,2,0
108,0,19,0,8,2,1,0
109,60,0,1,3,1,0,2
110,0,47,0,2,1,2,0
111,60,0,1,4,0,2,1
112,0,9,0,7,0,1,2
113,0,8,0,6,0,0,3
114,9,0,1,6,0,1,2
115,30,0,1,2,0,2,1
116,2,0,1,4,3,0,0
117,0,17,0,4,0,2,1
118,0,3,0,4,1,1,1
119,0,32,0,2,0,0,3
120,0,8,0,5,0,1,2
121,0,39,0,3,1,1,1
122,0,27,0,6,0,1,2
123,0,46,0,2,0,1,2
124,13,0,1,6,1,1,1
125,2,0,1,10,1,1,1
126,2,0,1,6,1,1,1
127,0,3,0,6,0,1,2
128,29,0,1,4,1,1,1
129,0,20,0,1,1,2,0
130,15,0,1,4,1,1,1
131,6,0,1,4,2,1,0
132,3,0,1,5,1,0,2
133,0,11,0,7,1,0,2
134,3,0,1,5,0,1,2
135,5,0,1,7,1,0,2
136,0,20,0,5,2,0,1
137,0,20,0,3,0,2,1
138,0,39,0,1,0,3,0
139,0,31,0,7,0,1,2
140,0,51,0,3,1,1,1
141,0,60,0,0,0,1,2
142,10,0,1,5,2,0,1
143,24,0,1,7,1,2,0
144,10,0,1,4,1,0,2
145,0,34,0,8,0,2,1
146,13,0,1,5,0,0,3
147,9,0,1,5,2,1,0
148,2,0,1,6,0,1,2
149,0,22,0,4,1,1,1
150,29,0,1,4,1,2,0
151,33,0,1,4,0,1,2
152,0,27,0,9,2,1,0
153,0,3,0,4,0,1,2
154,0,60,0,4,1,0,2
155,4,0,1,9,1,0,2
156,0,24,0,4,1,1,1
157,2,0,1,9,1,1,1
158,46,0,1,3,1,0,2
159,0,6,0,1,1,2,0
160,3,0,1,6,0,1,2
161,0,8,0,1,0,3,0
162,7,0,1,4,0,0,3
163,2,0,1,3,1,1,1
164,17,0,1,3,0,1,2
165,11,0,1,4,0,1,2
166,0,8,0,6,0,1,2
167,36,0,1,3,0,2,1
168,0,5,0,1,1,1,1
169,0,23,0,4,0,1,2
170,0,53,0,6,0,0,3
171,0,24,0,3,0,2,1
172,0,20,0,6,2,0,1
173,0,38,0,6,1,0,2
174,2,0,1,9,1,2,0
175,0,4,0,6,1,2,0
176,0,2,0,5,0,1,2
177,2,0,1,5,0,2,1
178,0,13,0,5,0,0,3
179,28,0,1,5,0,1,2
180,0,38,0,2,1,1,1
181,0,4,0,6,0,0,3
182,0,36,0,2,2,1,0
183,14,0,1,4,0,2,1
184,0,10,0,6,1,2,0
185,0,28,0,2,1,2,0
186,0,9,0,3,1,1,0
187,9,0,1,3,0,1,2
188,3,0,1,8,3,0,0
189,0,33,0,6,1,0,2
190,0,58,0,3,1,1,1
191,0,8,0,8,1,1,1
192,4,0,1,7,0,1,2
193,0,60,0,1,0,1,2
194,33,0,1,3,0,0,3
195,0,28,0,4,1,1,1
196,12,0,1,5,0,0,3
197,2,0,1,4,1,1,1
198,0,17,0,7,2,0,1
199,3,0,1,2,2,0,1
200,11,0,1,7,0,0,3
201,12,0,1,4,1,0,2
202,0,46,0,2,0,1,2
203,29,0,1,3,1,1,1
204,6,0,1,7,1,0,2
205,7,0,1,5,0,1,2
206,43,0,1,6,1,2,0
207,0,16,0,2,1,0,2
208,0,25,0,2,1,0,2
209,20,0,1,2,1,1,1
210,12,0,1,3,0,0,3
211,8,0,1,4,1,0,2
212,0,30,0,4,1,0,2
213,13,0,1,4,1,1,1
214,0,30,0,12,1,1,1
215,24,0,1,4,1,1,1
216,2,0,1,5,0,2,1
217,0,60,0,1,1,1,1
218,58,0,1,2,2,0,1
219,0,3,0,6,1,0,2
220,60,0,1,3,2,0,1
221,0,29,0,3,1,1,1
222,0,51,0,0,0,1,2
223,0,54,0,5,1,0,2
224,9,0,1,6,0,0,3
225,47,0,1,4,1,0,2
226,12,0,1,7,1,1,1
227,0,32,0,2,1,0,2
228,17,0,1,9,0,2,1
229,24,0,1,1,0,0,3
230,0,7,0,4,0,2,1
231,0,60,0,1,1,1,1
232,0,20,0,2,0,1,2
233,14,0,1,6,0,0,3
234,60,0,1,2,0,2,1
235,2,0,1,5,2,0,1
236,0,10,0,5,0,1,2
237,57,0,1,1,1,2,0
238,13,0,1,7,0,1,2
239,17,0,1,6,0,3,0
240,11,0,1,5,1,2,0
241,4,0,1,6,0,3,0
242,15,0,1,11,1,0,2
243,14,0,1,4,2,1,0
244,60,0,1,1,0,2,1
245,55,0,1,1,0,1,2
246,10,0,1,3,0,1,2
247,0,21,0,5,1,0,2
248,0,20,0,7,1,0,2
249,0,15,0,3,0,1,2
250,0,30,0,3,1,0,2
251,32,0,1,4,1,0,2
252,2,0,1,4,1,1,1
253,4,0,1,3,1,2,0
254,0,8,0,6,0,2,1
255,3,0,1,3,0,1,2
256,25,0,1,5,0,1,2
257,2,0,1,5,1,1,1
258,0,34,0,5,0,3,0
259,15,0,1,5,2,1,0
260,36,0,1,3,1,2,0
261,2,0,1,5,0,2,1
262,56,0,1,3,1,1,1
263,46,0,1,4,2,0,1
264,10,0,1,4,1,2,0
265,0,19,0,4,0,0,3
266,0,30,0,2,0,2,1
267,0,13,0,6,1,1,1
268,2,0,1,4,0,0,3
269,0,24,0,3,1,1,1
270,12,0,1,2,0,1,2
271,47,0,1,3,0,0,3
272,0,10,0,6,0,2,1
273,2,0,1,8,1,1,1
274,0,30,0,4,1,1,1
275,21,0,1,3,1,2,0
276,6,0,1,4,1,1,1
277,0,32,0,2,2,0,1
278,10,0,1,3,0,3,0
279,0,10,0,2,1,1,1
280,0,12,0,7,1,1,1
281,10,0,1,3,1,2,0
282,2,0,1,3,0,2,1
283,0,12,0,7,0,2,1
284,0,27,0,4,0,0,3
285,0,13,0,6,1,1,1
286,0,45,0,6,1,0,2
287,0,47,0,0,1,2,0
288,2,0,1,6,1,0,2
289,2,0,1,8,1,0,2
290,0,60,0,4,1,2,0
291,0,25,0,1,0,1,2
292,3,0,1,4,1,1,1
293,30,0,1,3,2,1,0
294,0,23,0,5,2,1,0
295,55,0,1,8,1,0,2
296,0,3,0,3,0,1,2
297,0,26,0,4,0,1,2
298,0,22,0,3,0,1,2
299,0,3,0,6,1,1,1
300,0,22,0,9,1,0,2
301,0,23,0,4,2,1,0
302,0,51,0,4,0,0,3
303,17,0,1,5,1,0,2
304,2,0,1,6,1,2,0
305,0,17,0,5,1,2,0
306,38,0,1,4,0,1,2
307,20,0,1,4,2,0,1
308,0,17,0,4,0,0,3
309,2,0,1,5,2,1,0
310,2,0,1,4,1,0,2
311,0,24,0,1,0,1,2
312,12,0,1,5,0,3,0
313,22,0,1,4,1,2,0
314,25,0,1,4,0,1,2
315,0,43,0,7,1,0,2
316,0,12,0,5,1,0,2
317,4,0,1,9,1,1,1
318,5,0,1,5,1,1,1
319,3,0,1,5,1,0,2
320,0,43,0,3,1,1,1
321,12,0,1,3,1,0,2
322,6,0,1,5,1,2,0
323,12,0,1,6,0,2,1
324,0,60,0,0,0,2,1
325,0,8,0,7,0,0,3
326,0,60,0,1,1,1,1
327,0,12,0,1,0,3,0
328,0,45,0,5,0,1,2
329,0,22,0,7,1,1,1
330,7,0,1,2,2,1,0
331,0,28,0,2,1,1,1
332,11,0,1,5,0,0,3
333,0,11,0,7,0,0,3
334,22,0,1,3,2,1,0
335,0,15,0,4,0,1,2
336,0,26,0,5,2,0,1
337,0,20,0,10,0,0,3
338,14,0,1,2,2,1,0
339,2,0,1,5,1,1,1
340,0,28,0,2,1,2,0
341,0,32,0,4,0,1,2
342,0,22,0,3,1,1,1
343,0,37,0,6,0,1,2
344,0,14,0,8,0,0,3
345,37,0,1,3,0,0,3
346,0,26,0,1,0,1,2
347,0,10,0,6,0,2,1
348,7,0,1,5,0,1,2
349,4,0,1,8,0,1,2
350,3,0,1,3,1,0,2
351,0,14,0,9,1,1,1
352,43,0,1,1,0,1,2
353,0,9,0,6,1,1,1
354,0,60,0,1,1,2,0
355,35,0,1,2,2,1,0
356,10,0,1,7,0,0,3
357,22,0,1,4,1,2,0
358,27,0,1,4,1,1,1
359,2,0,1,7,0,0,3
360,0,8,0,4,0,0,3
361,10,0,1,7,1,1,1
362,0,7,0,3,2,0,1
363,24,0,1,8,0,1,2
364,26,0,1,4,0,1,2
365,29,0,1,1,1,2,0
366,0,21,0,3,1,2,0
367,0,54,0,1,0,3,0
368,2,0,1,9,2,0,1
369,0,10,0,4,1,2,0
370,17,0,1,4,0,1,2
371,0,33,0,7,0,1,2
372,0,30,0,4,2,1,0
373,2,0,1,7,0,1,2
374,14,0,1,3,1,1,1
375,11,0,1,9,1,1,1
376,6,0,1,4,2,1,0
377,3,0,1,3,1,0,2
378,40,0,1,2,1,1,1
379,0,40,0,2,0,2,1
380,8,0,1,7,1,0,2
381,40,0,1,2,1,1,1
382,0,24,0,5,0,1,2
383,0,23,0,10,1,0,2
384,44,0,1,2,0,2,1
385,0,2,0,5,1,1,1
386,16,0,1,7,0,2,1
387,0,22,0,9,2,0,1
388,14,0,1,3,0,1,2
389,60,0,1,2,0,3,0
390,4,0,1,7,0,1,2
391,0,21,0,2,1,0,2
392,5,0,1,4,0,1,2
393,51,0,1,2,0,3,0
394,0,32,0,8,0,1,2
395,0,10,0,6,0,1,2
396,2,0,1,6,0,1,2
397,0,19,0,0,0,2,1
398,0,31,0,8,0,1,2
399,26,0,1,3,2,1,0
400,13,0,1,9,1,2,0
401,0,6,0,4,0,1,2
402,0,15,0,9,0,0,3
403,0,20,0,8,0,1,2
404,9,0,1,1,2,0,1
405,0,18,0,4,1,0,2
406,15,0,1,7,0,0,3
407,2,0,1,4,0,2,1
408,0,60,0,1,0,2,1
409,0,15,0,4,1,1,1
410,12,0,1,5,1,0,2
411,39,0,1,3,1,2,0
412,40,0,1,3,1,1,1
413,0,18,0,7,1,1,1
414,2,0,1,3,1,1,1
415,0,21,0,5,1,1,1
416,0,60,0,1,0,1,2
417,0,10,0,5,0,2,1
418,3,0,1,9,0,2,1
419,0,23,0,5,0,2,1
420,0,11,0,4,0,0,3
421,0,13,0,5,1,1,1
422,53,0,1,5,2,1,0
423,60,0,1,3,2,0,1
424,20,0,1,2,0,2,1
425,0,46,0,3,1,2,0
426,0,13,0,3,1,2,0
427,3,0,1,5,2,1,0
428,12,0,1,9,1,1,1
429,0,12,0,7,0,2,1
430,0,26,0,8,2,0,1
431,0,28,0,2,1,1,1
432,2,0,1,8,1,0,2
433,12,0,1,7,3,0,0
434,22,0,1,2,0,3,0
435,19,0,1,2,0,1,2
436,0,27,0,6,0,2,1
437,32,0,1,3,0,2,1
438,32,0,1,3,0,1,2
439,0,60,0,2,1,1,1
440,0,43,0,2,1,0,2
441,0,54,0,3,0,1,2
442,0,22,0,4,1,0,2
443,55,0,1,2,1,2,0
444,2,0,1,9,0,1,2
445,27,0,1,4,1,2,0
446,49,0,1,1,1,1,1
447,49,0,1,1,2,1,0
448,0,60,0,3,1,1,1
449,0,60,0,2,1,0,2
450,0,50,0,1,0,2,1
451,8,0,1,5,1,2,0
452,0,3,0,4,0,0,3
453,2,0,1,7,1,1,1
454,11,0,1,8,0,2,1
455,29,0,1,7,1,0,2
456,0,19,0,2,2,0,1
457,0,3,0,4,2,0,1
458,0,23,0,5,0,2,1
459,0,58,0,3,0,1,2
460,18,0,1,1,0,3,0
461,0,15,0,2,0,0,3
462,0,13,0,6,1,1,1
463,0,3,0,3,2,1,0
464,2,0,1,4,1,1,1
465,2,0,1,5,3,0,0
466,11,0,1,4,0,1,2
467,23,0,1,3,0,1,2
468,0,38,0,5,1,1,1
469,28,0,1,6,1,0,2
470,60,0,1,6,0,1,2
471,0,44,0,1,0,2,1
472,2,0,1,5,1,0,2
473,49,0,1,6,1,2,0
474,16,0,1,2,0,1,2
475,0,35,0,6,0,1,2
476,14,0,1,5,0,2,1
477,0,47,0,5,1,2,0
478,12,0,1,5,2,0,1
479,38,0,1,3,1,2,0
480,28,0,1,7,1,2,0
481,0,14,0,5,1,0,2
482,0,6,0,5,1,0,2
483,15,0,1,5,0,2,1
484,13,0,1,7,0,0,3
485,23,0,1,4,0,2,1
486,19,0,1,3,1,1,1
487,0,24,0,3,1,2,0
488,22,0,1,3,0,0,3
489,2,0,1,8,0,1,2
490,0,33,0,6,2,0,1
491,2,0,1,5,1,1,1
492,0,50,0,2,2,1,0
493,3,0,1,5,1,0,2
494,5,0,1,4,0,2,1
495,0,43,0,0,2,1,0
496,10,0,1,5,0,2,1
497,38,0,1,1,1,1,1
498,13,0,1,3,1,2,0
499,19,0,1,1,0,2,1
500,0,55,0,1,0,0,3
501,0,60,0,2,1,1,1
502,12,0,1,6,0,2,1
503,0,20,0,2,0,2,1
504,23,0,1,5,0,2,1
505,0,42,0,0,1,2,0
506,7,0,1,5,0,0,3
507,60,0,1,3,0,1,2
508,0,48,0,3,0,1,2
509,2,0,1,8,2,0,1
510,0,3,0,5,2,0,1
511,11,0,1,5,0,1,2
512,0,25,0,8,0,1,2
513,14,0,1,5,2,1,0
514,3,0,1,4,1,1,1
515,0,56,0,1,1,2,0
516,0,55,0,1,1,1,1
517,22,0,1,2,0,1,2
518,2,0,1,3,1,1,1
519,0,24,0,4,0,2,1
520,11,0,1,8,2,1,0
521,0,19,0,2,1,1,1
522,0,25,0,4,1,1,1
523,0,37,0,4,1,0,2
524,2,0,1,5,0,1,2
525,10,0,1,4,0,2,1
526,3,0,1,6,2,1,0
527,0,10,0,3,0,2,1
528,0,19,0,4,0,1,2
529,0,26,0,5,1,1,1
530,2,0,1,6,1,0,2
531,19,0,1,3,0,0,3
532,11,0,1,9,2,0,1
533,0,2,0,7,1,1,1
534,0,33,0,3,0,0,3
535,0,18,0,6,2,1,0
536,2,0,1,7,2,1,0
537,0,10,0,2,0,0,3
538,0,36,0,5,0,1,2
539,0,29,0,4,0,1,2
540,0,44,0,4,1,0,2
541,0,46,0,1,1,1,1
542,0,24,0,3,0,1,2
543,27,0,1,6,2,1,0
544,16,0,1,4,2,1,0
545,33,0,1,3,1,1,1
546,20,0,1,4,0,2,1
547,22,0,1,2,0,2,1
548,0,8,0,7,0,0,3
549,0,55,0,3,0,1,2
550,0,14,0,4,0,2,1
551,0,16,0,4,0,0,3
552,3,0,1,7,0,0,3
553,0,55,0,1,1,0,2
554,0,18,0,2,1,0,2
555,15,0,1,5,0,1,2
556,0,6,0,2,0,1,2
557,0,26,0,7,1,0,2
558,0,8,0,3,1,2,0
559,3,0,1,5,1,2,0
560,7,0,1,6,1,1,0
561,0,7,0,7,2,0,1
562,3,0,1,3,2,1,0
563,13,0,1,5,1,2,0
564,42,0,1,3,1,1,1
565,0,16,0,1,0,1,2
566,6,0,1,5,0,1,2
567,2,0,1,6,1,1,1
568,33,0,1,2,1,0,2
569,23,0,1,3,1,2,0
570,16,0,1,5,0,2,1
571,0,21,0,4,0,0,3
572,36,0,1,6,0,0,3
573,2,0,1,8,0,1,2
574,0,24,0,7,0,2,1
575,2,0,1,6,1,1,1
576,12,0,1,5,1,1,1
577,0,57,0,2,2,0,1
578,0,30,0,3,1,2,0
579,8,0,1,6,1,1,1
580,35,0,1,3,0,1,2
581,19,0,1,4,0,0,3
582,10,0,1,4,1,2,0
583,0,43,0,3,2,0,1
584,26,0,1,5,2,1,0
585,39,0,1,2,1,0,2
586,0,49,0,5,0,1,2
587,0,30,0,5,2,0,1
588,0,45,0,5,0,1,2
589,27,0,1,1,2,1,0
590,0,10,0,5,0,2,1
591,0,19,0,1,0,0,3
592,0,23,0,3,1,0,2
593,0,59,0,1,0,2,1
594,0,13,0,3,1,1,1
595,27,0,1,5,0,1,2
596,16,0,1,4,0,1,2
597,7,0,1,10,1,0,2
598,10,0,1,4,0,1,2
599,0,26,0,4,0,1,2
600,0,44,0,4,1,1,1
601,7,0,1,7,0,1,2
602,0,55,0,2,0,1,2
603,0,23,0,6,1,2,0
604,0,60,0,6,3,0,0
605,0,27,0,6,2,0,1
606,60,0,1,6,2,1,0
607,0,26,0,5,0,0,3
608,0,22,0,7,1,1,1
609,0,49,0,3,1,2,0
610,0,19,0,5,1,1,1
611,9,0,1,9,0,2,1
612,0,24,0,4,2,1,0
613,9,0,1,4,0,0,3
614,34,0,1,7,1,0,2
615,29,0,1,3,1,1,1
616,9,0,1,2,2,1,0
617,46,0,1,1,0,2,1
618,11,0,1,3,1,2,0
619,19,0,1,7,1,1,1
620,13,0,1,4,1,2,0
621,0,44,0,4,0,1,2
622,37,0,1,2,1,1,1
623,0,51,0,3,1,1,1
624,6,0,1,5,0,2,1
625,5,0,1,4,0,1,2
626,21,0,1,2,0,0,3
627,59,0,1,5,0,0,3
628,0,27,0,4,1,1,1
629,0,42,0,0,2,0,1
630,20,0,1,1,0,2,1
631,7,0,1,7,0,2,1
632,19,0,1,6,0,1,2
633,21,0,1,2,3,0,0
634,30,0,1,3,0,1,2
635,0,34,0,5,0,1,2
636,2,0,1,5,1,0,2
637,0,60,0,2,1,1,1
638,2,0,1,5,1,0,2
639,20,0,1,1,1,1,1
640,0,4,0,11,1,0,2
