,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,0,32,0,3,0,1,2
1,5,0,1,11,0,0,3
2,29,0,1,2,1,1,1
3,2,0,1,5,1,0,2
4,0,25,0,1,0,1,2
5,0,60,0,1,0,0,3
6,0,21,0,3,1,1,1
7,13,0,1,6,1,1,1
8,23,0,1,2,1,1,1
9,2,0,1,4,0,0,3
10,0,29,0,3,1,1,1
11,11,0,1,5,0,0,3
12,0,30,0,4,2,0,1
13,0,51,0,3,1,0,2
14,0,22,0,2,0,2,1
15,0,60,0,2,1,2,0
16,0,15,0,8,1,0,2
17,57,0,1,2,1,2,0
18,13,0,1,5,0,2,1
19,38,0,1,1,1,1,1
20,5,0,1,9,1,1,1
21,15,0,1,7,0,0,3
22,0,16,0,3,1,1,1
23,3,0,1,9,2,0,1
24,0,39,0,2,0,3,0
25,0,24,0,4,1,0,2
26,0,30,0,3,1,1,1
27,0,60,0,1,0,1,2
28,0,49,0,2,0,2,1
29,0,2,0,6,0,1,2
30,0,34,0,4,0,2,1
31,0,60,0,1,1,1,1
32,0,30,0,1,0,0,3
33,0,23,0,1,0,1,2
34,0,9,0,2,2,0,1
35,4,0,1,3,2,1,0
36,12,0,1,4,0,1,2
37,5,0,1,4,1,1,1
38,0,38,0,3,1,1,1
39,12,0,1,2,0,2,1
40,0,22,0,0,1,2,0
41,0,16,0,3,0,2,1
42,2,0,1,4,2,0,1
43,0,41,0,3,0,1,2
44,0,24,0,7,1,1,1
45,0,57,0,3,3,0,0
46,0,16,0,5,2,0,1
47,0,36,0,5,1,2,0
48,30,0,1,7,1,2,0
49,0,42,0,2,0,2,1
50,0,47,0,7,0,1,2
51,4,0,1,8,0,1,2
52,0,30,0,4,0,2,1
53,7,0,1,5,2,1,0
54,2,0,1,6,2,1,0
55,0,27,0,1,2,1,0
56,37,0,1,3,2,1,0
57,0,22,0,7,0,0,3
58,24,0,1,1,0,1,2
59,0,41,0,2,1,1,1
60,16,0,1,5,2,1,0
61,0,53,0,1,0,2,1
62,2,0,1,5,1,0,2
63,0,19,0,5,1,2,0
64,0,18,0,3,1,1,1
65,3,0,1,6,1,1,1
66,13,0,1,2,1,2,0
67,16,0,1,1,1,0,2
68,0,4,0,4,1,1,1
69,10,0,1,10,0,0,3
70,2,0,1,6,1,0,2
71,20,0,1,2,0,1,2
72,60,0,1,3,1,1,1
73,0,23,0,3,1,1,1
74,0,53,0,0,0,3,0
75,10,0,1,7,0,1,2
76,0,9,0,2,1,2,0
77,16,0,1,4,1,0,2
78,22,0,1,2,0,2,1
79,5,0,1,9,0,1,2
80,7,0,1,7,1,0,2
81,0,2,0,7,0,2,1
82,3,0,1,5,0,2,1
83,0,51,0,0,1,0,2
84,2,0,1,4,2,1,0
85,0,10,0,3,0,2,1
86,9,0,1,9,0,1,2
87,0,40,0,1,0,2,1
88,0,24,0,4,0,0,3
89,4,0,1,5,0,3,0
90,0,13,0,10,1,2,0
91,9,0,1,3,0,1,2
92,15,0,1,4,0,2,1
93,0,37,0,2,0,3,0
94,0,20,0,1,0,1,2
95,8,0,1,5,1,1,1
96,47,0,1,3,0,1,2
97,0,46,0,3,0,2,1
98,0,11,0,6,1,0,2
99,2,0,1,6,0,0,3
100,0,19,0,5,0,1,2
101,0,60,0,2,1,1,1
102,0,18,0,1,1,2,0
103,0,4,0,4,1,0,2
104,7,0,1,8,1,0,2
105,2,0,1,9,1,1,1
106,0,16,0,2,0,2,1
107,16,0,1,3,1,2,0
108,0,16,0,4,1,1,1
109,2,0,1,4,1,2,0
110,0,25,0,5,0,2,1
111,19,0,1,5,0,1,2
112,13,0,1,8,0,1,2
113,0,17,0,3,0,1,2
114,0,3,0,5,0,0,3
115,18,0,1,5,0,1,2
116,0,19,0,4,0,2,1
117,16,0,1,5,0,0,3
118,2,0,1,7,1,2,0
119,22,0,1,2,0,2,1
120,0,24,0,3,0,0,3
121,35,0,1,5,1,1,1
122,0,27,0,3,1,1,1
123,4,0,1,6,0,0,3
124,0,6,0,7,1,2,0
125,0,12,0,1,2,1,0
126,0,29,0,5,1,0,2
127,0,24,0,2,1,2,0
128,0,20,0,5,1,0,2
129,10,0,1,8,0,3,0
130,0,28,0,4,1,1,1
131,0,13,0,7,0,2,1
132,0,13,0,6,1,0,2
133,29,0,1,1,0,2,1
134,25,0,1,3,0,0,3
135,10,0,1,3,0,1,2
136,40,0,1,2,0,2,1
137,11,0,1,3,0,1,2
138,0,13,0,4,0,0,3
139,0,41,0,5,0,1,2
140,0,6,0,5,0,2,1
141,35,0,1,3,1,1,1
142,2,0,1,4,0,0,3
143,2,0,1,7,2,1,0
144,0,8,0,13,1,1,1
145,12,0,1,3,1,0,2
146,6,0,1,4,0,0,3
147,19,0,1,2,0,1,2
148,11,0,1,4,2,0,1
149,0,11,0,10,0,0,3
150,0,38,0,0,0,2,1
151,3,0,1,6,0,2,1
152,3,0,1,2,1,1,1
153,0,2,0,4,1,2,0
154,2,0,1,6,1,0,2
155,0,17,0,6,0,1,2
156,0,19,0,2,0,0,3
157,5,0,1,4,1,2,0
158,8,0,1,4,0,3,0
159,0,50,0,2,0,0,3
160,4,0,1,8,1,0,2
161,4,0,1,3,1,2,0
162,2,0,1,5,0,1,2
163,0,25,0,3,0,1,2
164,2,0,1,9,1,0,2
165,0,60,0,0,0,2,1
166,0,27,0,1,1,1,1
167,0,23,0,2,0,1,2
168,48,0,1,1,0,2,1
169,20,0,1,2,0,1,2
170,2,0,1,5,0,2,1
171,3,0,1,6,1,1,1
172,0,10,0,5,0,2,1
173,0,47,0,0,2,0,1
174,53,0,1,1,0,1,2
175,0,60,0,0,0,1,2
176,21,0,1,2,0,0,3
177,48,0,1,3,2,1,0
178,0,19,0,5,0,1,2
179,0,35,0,9,1,0,2
180,0,12,0,9,2,0,1
181,0,10,0,5,1,1,1
182,4,0,1,11,0,0,3
183,0,15,0,3,2,1,0
184,0,23,0,1,0,1,2
185,2,0,1,6,2,0,1
186,0,10,0,3,1,1,1
187,26,0,1,4,0,2,1
188,0,6,0,4,1,1,1
189,0,13,0,5,1,2,0
190,0,41,0,2,1,0,2
191,0,5,0,6,0,0,3
192,0,33,0,5,0,1,2
193,20,0,1,1,0,3,0
194,0,17,0,1,0,1,2
195,0,28,0,5,0,3,0
196,0,47,0,3,0,1,2
197,3,0,1,10,0,2,1
198,0,49,0,1,0,1,2
199,21,0,1,2,0,0,3
200,0,8,0,4,0,2,1
201,0,60,0,0,1,1,1
202,0,9,0,7,2,1,0
203,38,0,1,2,0,2,1
204,0,19,0,4,0,2,1
205,8,0,1,9,0,2,1
206,21,0,1,3,0,3,0
207,3,0,1,6,2,0,1
208,0,16,0,4,1,2,0
209,27,0,1,2,1,1,1
210,36,0,1,2,1,1,1
211,10,0,1,7,1,1,1
212,7,0,1,4,1,2,0
213,26,0,1,2,1,2,0
214,0,6,0,3,2,0,1
215,13,0,1,7,2,1,0
216,42,0,1,2,1,0,2
217,19,0,1,9,0,2,1
218,58,0,1,2,1,1,1
219,4,0,1,3,0,2,1
220,15,0,1,7,1,1,1
221,0,10,0,3,1,1,1
222,2,0,1,7,2,0,1
223,0,12,0,5,0,1,2
224,32,0,1,5,0,2,1
225,0,60,0,0,0,0,3
226,60,0,1,1,1,1,1
227,29,0,1,1,0,2,1
228,15,0,1,2,2,0,1
229,0,60,0,3,1,2,0
230,8,0,1,5,1,0,2
231,4,0,1,7,1,2,0
232,0,10,0,3,0,0,3
233,0,30,0,0,1,2,0
234,17,0,1,4,1,1,1
235,38,0,1,2,1,1,1
236,0,45,0,5,0,0,3
237,4,0,1,4,1,2,0
238,33,0,1,4,1,1,1
239,0,2,0,6,0,0,3
240,3,0,1,2,1,2,0
241,28,0,1,4,1,1,1
242,27,0,1,7,0,1,2
243,0,17,0,4,1,1,1
244,20,0,1,2,0,2,1
245,32,0,1,4,0,2,1
246,0,13,0,6,1,1,1
247,0,11,0,4,1,2,0
248,30,0,1,2,1,1,1
249,2,0,1,3,0,1,2
250,10,0,1,5,0,1,2
251,0,8,0,3,0,0,3
252,60,0,1,2,1,1,1
253,5,0,1,3,1,2,0
254,0,3,0,5,0,1,2
255,21,0,1,7,0,2,1
256,0,26,0,5,1,0,2
257,0,60,0,1,0,1,2
258,0,60,0,0,0,1,2
259,0,2,0,7,1,1,1
260,2,0,1,4,1,1,1
261,39,0,1,1,0,1,2
262,2,0,1,5,0,0,3
263,8,0,1,6,0,1,2
264,4,0,1,1,1,0,2
265,0,6,0,6,0,2,1
266,0,11,0,3,1,0,2
267,12,0,1,4,1,0,2
268,18,0,1,7,0,1,2
269,0,18,0,3,1,2,0
270,8,0,1,6,2,0,1
271,0,60,0,1,0,2,1
272,9,0,1,8,1,0,2
273,0,3,0,5,1,0,2
274,3,0,1,4,0,1,2
275,17,0,1,6,1,1,1
276,16,0,1,9,0,0,3
277,0,38,0,2,1,2,0
278,20,0,1,3,0,0,3
279,0,4,0,7,2,0,1
280,0,21,0,10,0,0,3
281,3,0,1,6,2,1,0
282,0,24,0,1,1,2,0
