,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,3,0,1,3,2,1,0
1,15,0,1,8,0,2,1
2,9,0,1,5,0,2,1
3,0,19,0,4,0,0,3
4,0,12,0,4,0,1,2
5,0,12,0,6,3,0,0
6,17,0,1,4,1,1,1
7,0,60,0,0,1,1,1
8,2,0,1,7,1,0,2
9,0,60,0,0,2,1,0
10,0,25,0,0,0,0,3
11,0,60,0,1,0,1,2
12,0,17,0,4,0,0,3
13,0,10,0,5,0,2,1
14,0,6,0,3,1,1,1
15,0,28,0,3,0,1,2
16,0,10,0,5,0,1,2
17,14,0,1,3,0,2,1
18,0,12,0,1,1,0,2
19,3,0,1,8,1,0,2
20,46,0,1,3,0,1,2
21,15,0,1,5,0,0,3
22,39,0,1,6,1,2,0
23,6,0,1,6,0,3,0
24,15,0,1,4,1,2,0
25,0,38,0,3,0,2,1
26,0,2,0,4,0,0,3
27,10,0,1,2,0,2,1
28,44,0,1,2,1,0,2
29,11,0,1,5,0,1,2
30,15,0,1,8,2,0,1
31,53,0,1,4,1,1,1
32,60,0,1,4,2,1,0
33,21,0,1,3,1,1,1
34,0,9,0,5,0,1,2
35,8,0,1,5,0,0,3
36,0,60,0,2,0,2,1
37,0,17,0,3,0,0,3
38,41,0,1,7,0,0,3
39,0,56,0,1,1,1,1
40,0,45,0,2,0,2,1
41,0,31,0,5,0,2,1
42,0,13,0,5,1,0,2
43,0,60,0,0,1,1,1
44,15,0,1,5,1,0,2
45,41,0,1,7,0,0,3
46,3,0,1,7,2,0,1
47,0,2,0,5,1,0,2
48,15,0,1,5,2,1,0
49,2,0,1,7,1,0,2
50,13,0,1,4,1,1,1
51,0,13,0,5,0,0,3
52,12,0,1,5,1,1,1
53,22,0,1,5,0,2,1
54,0,38,0,4,1,1,1
55,0,56,0,2,0,0,3
56,60,0,1,1,2,1,0
57,0,17,0,3,1,1,1
58,0,3,0,10,0,0,3
59,0,45,0,0,0,1,2
60,11,0,1,6,1,1,1
61,13,0,1,8,0,1,2
62,0,7,0,10,1,1,1
63,5,0,1,5,1,2,0
64,9,0,1,5,2,0,1
65,0,48,0,1,1,1,1
66,0,46,0,2,1,1,1
67,0,42,0,8,0,0,3
68,2,0,1,5,1,0,2
69,0,14,0,3,1,1,1
70,0,14,0,3,0,3,0
71,0,40,0,1,2,0,1
72,0,4,0,3,0,1,2
73,0,14,0,5,0,0,3
74,0,22,0,4,0,1,2
75,8,0,1,9,1,1,1
76,0,17,0,7,0,0,3
77,0,5,0,5,0,0,3
78,17,0,1,3,0,2,1
79,15,0,1,11,1,2,0
80,0,32,0,3,0,0,3
81,13,0,1,5,1,1,1
82,0,4,0,7,0,1,2
83,38,0,1,1,1,1,1
84,47,0,1,2,0,1,2
85,10,0,1,6,1,0,2
86,5,0,1,7,0,0,3
87,14,0,1,4,0,1,2
88,2,0,1,6,1,1,1
89,60,0,1,2,1,2,0
90,0,10,0,8,0,2,1
91,0,12,0,4,0,2,1
92,0,16,0,3,1,1,1
93,0,17,0,8,2,0,1
94,33,0,1,5,0,0,3
95,0,49,0,5,0,2,1
96,2,0,1,5,1,2,0
97,60,0,1,4,1,1,1
98,0,7,0,3,0,0,3
99,14,0,1,4,0,2,1
100,0,3,0,11,2,0,1
101,0,9,0,6,1,1,1
102,6,0,1,6,0,0,3
103,0,17,0,0,0,1,2
104,4,0,1,8,1,1,1
105,11,0,1,3,0,0,3
106,10,0,1,9,1,0,2
107,0,31,0,6,2,1,0
108,0,4,0,8,1,1,1
109,16,0,1,5,1,0,2
110,0,43,0,3,1,2,0
111,23,0,1,7,0,2,1
112,0,3,0,7,1,1,1
113,12,0,1,8,0,2,1
114,9,0,1,5,1,2,0
115,30,0,1,2,0,3,0
116,5,0,1,4,3,0,0
117,0,35,0,2,0,2,1
118,0,3,0,4,1,1,1
119,0,23,0,3,0,0,3
120,0,2,0,5,0,0,3
121,0,13,0,4,1,1,1
122,0,21,0,4,0,2,1
123,0,24,0,3,1,2,0
124,0,9,0,6,1,2,0
125,2,0,1,12,0,1,2
126,2,0,1,9,1,0,2
127,0,3,0,6,1,1,1
128,0,5,0,7,1,1,1
129,0,20,0,1,1,2,0
130,12,0,1,10,0,1,2
131,0,13,0,5,1,1,1
132,3,0,1,5,1,0,2
133,23,0,1,7,1,1,0
134,0,3,0,4,1,1,1
135,0,35,0,3,2,0,1
136,0,12,0,6,2,1,0
137,0,24,0,2,0,2,1
138,0,35,0,2,0,3,0
139,8,0,1,9,3,0,0
140,0,38,0,2,1,2,0
141,0,60,0,0,0,1,2
142,15,0,1,4,1,0,2
143,24,0,1,8,0,2,1
144,2,0,1,4,0,1,2
145,0,6,0,8,0,2,1
146,4,0,1,5,0,0,3
147,0,9,0,5,0,1,2
148,0,2,0,6,2,0,1
149,0,59,0,2,0,1,2
150,9,0,1,9,1,0,2
151,37,0,1,3,0,1,2
152,0,14,0,5,2,0,1
153,0,2,0,2,0,2,1
154,0,39,0,4,0,0,3
155,0,2,0,5,1,0,2
156,0,4,0,5,1,2,0
157,2,0,1,7,1,0,2
158,38,0,1,5,1,0,2
159,3,0,1,2,1,0,2
160,10,0,1,6,0,0,3
161,2,0,1,2,1,2,0
162,0,2,0,3,0,1,2
163,0,12,0,2,1,0,2
164,6,0,1,3,0,1,2
165,18,0,1,5,0,1,2
166,5,0,1,7,0,2,1
167,19,0,1,3,0,0,3
168,14,0,1,2,0,1,2
169,0,30,0,2,0,1,2
170,0,9,0,9,0,0,3
171,0,17,0,3,0,2,1
172,0,15,0,5,1,1,1
173,0,41,0,6,1,0,2
174,9,0,1,6,1,2,0
175,2,0,1,6,3,0,0
176,0,6,0,3,0,1,2
177,0,14,0,3,0,0,3
178,0,41,0,2,0,0,3
179,20,0,1,6,0,1,2
180,0,37,0,2,1,1,1
181,2,0,1,6,2,1,0
182,0,29,0,2,1,0,2
183,12,0,1,7,1,1,1
184,0,13,0,8,0,2,1
185,0,3,0,4,0,2,1
186,0,32,0,1,2,0,1
187,19,0,1,2,0,1,2
188,0,4,0,9,0,2,1
189,38,0,1,4,0,1,2
190,0,17,0,5,1,1,1
191,0,8,0,7,1,1,1
192,0,38,0,3,1,1,1
193,0,60,0,1,0,1,2
194,15,0,1,3,0,1,2
195,0,23,0,4,1,1,1
196,2,0,1,5,0,0,3
197,4,0,1,3,1,1,1
198,0,31,0,6,0,1,2
199,3,0,1,3,2,0,1
200,0,11,0,6,1,0,2
201,0,4,0,4,0,2,1
202,0,43,0,3,0,0,3
203,29,0,1,3,1,1,1
204,15,0,1,6,1,1,1
205,0,18,0,5,1,1,1
206,28,0,1,6,1,1,1
207,2,0,1,7,1,2,0
208,0,20,0,2,1,0,2
209,20,0,1,2,1,1,1
210,0,41,0,3,1,1,1
211,4,0,1,3,0,0,3
212,5,0,1,7,1,0,2
213,7,0,1,5,2,0,1
214,8,0,1,7,1,0,2
215,4,0,1,5,1,0,2
216,15,0,1,5,0,1,2
217,0,60,0,2,1,1,1
218,10,0,1,6,3,0,0
219,0,9,0,4,0,0,3
220,60,0,1,3,2,0,1
221,0,23,0,2,1,1,1
222,0,51,0,0,0,1,2
223,2,0,1,7,1,0,2
224,0,25,0,6,0,1,2
225,47,0,1,4,1,0,2
226,12,0,1,6,2,0,1
227,0,28,0,2,0,0,3
228,17,0,1,9,0,2,1
229,18,0,1,2,0,0,3
230,0,3,0,3,0,1,2
231,0,60,0,1,1,1,1
232,0,37,0,1,0,1,2
233,14,0,1,6,0,0,3
234,21,0,1,4,0,2,1
235,0,9,0,3,0,1,2
236,8,0,1,6,2,1,0
237,57,0,1,1,1,2,0
238,13,0,1,7,0,0,3
239,39,0,1,3,0,2,1
240,8,0,1,4,1,1,1
241,0,49,0,2,0,1,2
242,0,12,0,4,1,1,1
243,9,0,1,5,2,0,1
244,60,0,1,2,0,2,1
245,55,0,1,1,0,1,2
246,10,0,1,3,0,1,2
247,0,18,0,5,0,1,2
248,35,0,1,5,0,1,2
249,0,10,0,2,0,1,2
250,0,44,0,1,0,1,2
251,21,0,1,4,1,0,2
252,2,0,1,5,0,0,3
253,27,0,1,2,1,2,0
254,0,17,0,4,0,0,3
255,0,4,0,4,0,1,2
256,0,3,0,6,0,1,2
257,0,8,0,4,1,0,2
258,0,14,0,6,0,3,0
259,22,0,1,6,1,1,1
260,34,0,1,6,1,2,0
261,0,21,0,3,2,1,0
262,14,0,1,6,2,0,1
263,16,0,1,6,1,0,2
264,0,5,0,3,0,1,2
265,0,5,0,6,0,0,3
266,0,10,0,5,0,1,2
267,0,5,0,7,1,2,0
268,26,0,1,4,0,0,3
269,0,9,0,4,1,0,2
270,12,0,1,2,0,1,2
271,12,0,1,8,0,0,3
272,0,2,0,4,1,0,2
273,0,9,0,4,0,2,1
274,20,0,1,3,2,0,1
275,21,0,1,3,1,0,2
276,3,0,1,5,1,0,2
277,0,12,0,3,1,0,2
278,15,0,1,2,0,3,0
279,2,0,1,3,0,1,2
280,0,2,0,8,2,0,1
281,8,0,1,4,0,2,0
282,10,0,1,3,0,2,1
283,0,12,0,6,2,0,1
284,0,19,0,3,0,0,3
285,0,27,0,6,1,1,1
286,0,3,0,8,1,0,2
287,0,47,0,0,1,2,0
288,0,37,0,2,1,0,2
289,2,0,1,8,1,0,2
290,0,2,0,5,0,2,1
291,0,14,0,2,0,1,2
292,0,29,0,2,1,2,0
293,10,0,1,4,2,0,1
294,8,0,1,5,1,1,1
295,0,2,0,10,2,0,1
296,0,3,0,3,0,1,2
297,0,8,0,6,1,1,1
298,0,7,0,6,0,1,2
299,0,4,0,4,0,1,2
300,10,0,1,8,1,0,2
301,0,22,0,4,1,2,0
302,0,10,0,5,1,0,2
303,14,0,1,7,2,0,1
304,0,2,0,6,1,1,1
305,0,2,0,6,1,1,1
306,19,0,1,6,0,0,3
307,18,0,1,4,1,2,0
308,0,24,0,4,0,0,3
309,0,2,0,7,1,2,0
310,0,3,0,3,1,0,2
311,0,4,0,5,1,2,0
312,15,0,1,4,0,2,1
313,31,0,1,5,1,2,0
314,25,0,1,4,0,1,2
315,2,0,1,10,2,0,1
316,0,7,0,5,1,0,2
317,0,2,0,7,2,1,0
318,0,30,0,3,0,0,3
319,3,0,1,5,1,0,2
320,0,34,0,4,1,0,2
321,12,0,1,3,1,0,2
322,38,0,1,5,1,2,0
323,43,0,1,3,0,2,1
324,0,60,0,0,0,2,1
325,0,2,0,7,0,0,3
326,0,40,0,2,1,1,1
327,0,2,0,1,0,2,0
328,0,29,0,5,0,1,2
329,2,0,1,9,2,0,1
330,7,0,1,2,2,1,0
331,2,0,1,7,0,0,3
332,0,8,0,5,1,0,2
333,0,2,0,7,0,0,3
334,18,0,1,3,2,1,0
335,6,0,1,5,1,1,1
336,0,15,0,4,2,0,1
337,0,5,0,9,0,0,3
338,0,2,0,4,0,1,2
339,0,3,0,7,1,0,2
340,0,13,0,5,1,1,1
341,0,17,0,4,0,0,3
342,0,14,0,4,1,1,1
343,7,0,1,9,1,1,1
344,0,4,0,9,0,1,2
345,37,0,1,3,0,0,3
346,0,27,0,1,0,1,2
347,0,4,0,6,0,1,2
348,7,0,1,5,1,2,0
349,0,16,0,6,1,0,2
350,11,0,1,4,0,1,2
351,0,4,0,9,0,1,2
352,20,0,1,2,0,2,1
353,9,0,1,6,1,1,1
354,0,60,0,1,1,2,0
355,35,0,1,2,2,1,0
356,8,0,1,5,0,0,3
357,22,0,1,4,1,2,0
358,32,0,1,4,1,1,1
359,0,2,0,6,2,1,0
360,0,10,0,4,0,1,2
361,0,13,0,8,1,1,1
362,0,6,0,2,1,0,2
363,10,0,1,7,0,0,3
364,0,5,0,3,2,1,0
365,29,0,1,1,1,2,0
366,0,5,0,5,0,1,2
367,0,42,0,2,1,1,1
368,17,0,1,6,1,0,2
369,7,0,1,4,2,0,1
370,0,14,0,4,1,2,0
371,0,34,0,4,1,0,2
372,0,21,0,4,0,2,0
373,9,0,1,6,0,0,3
374,0,18,0,2,0,2,1
375,25,0,1,6,0,1,2
376,24,0,1,5,2,1,0
377,9,0,1,3,1,0,2
378,0,10,0,6,1,0,2
379,0,48,0,2,0,2,1
380,11,0,1,6,1,1,1
381,30,0,1,2,1,0,2
382,0,9,0,5,0,1,2
383,17,0,1,7,1,1,1
384,39,0,1,4,0,0,3
385,0,16,0,2,0,1,2
386,60,0,1,6,1,1,1
387,0,2,0,10,1,1,1
388,0,17,0,4,1,1,1
389,49,0,1,3,0,2,1
390,0,8,0,4,0,1,2
391,2,0,1,4,2,1,0
392,0,3,0,4,0,0,3
393,51,0,1,2,0,3,0
394,0,34,0,5,0,1,2
395,0,9,0,6,0,1,2
396,0,2,0,7,1,1,1
397,0,19,0,0,0,2,1
398,0,6,0,9,0,1,2
399,26,0,1,3,2,1,0
400,2,0,1,12,2,0,1
401,2,0,1,5,0,1,2
402,0,26,0,6,0,1,2
403,0,4,0,7,0,0,3
404,9,0,1,1,2,0,1
405,16,0,1,3,0,0,3
406,0,19,0,6,0,0,3
407,2,0,1,3,0,2,1
408,0,56,0,1,0,2,1
409,0,17,0,5,0,1,2
410,14,0,1,6,1,2,0
411,0,3,0,5,2,0,1
412,14,0,1,5,1,1,1
413,12,0,1,6,0,2,1
414,2,0,1,5,1,1,1
415,0,11,0,6,2,0,1
416,0,46,0,2,0,1,2
417,0,2,0,4,1,1,1
418,0,35,0,8,0,2,1
419,0,18,0,5,1,1,1
420,0,9,0,4,0,1,2
421,2,0,1,4,2,0,1
422,50,0,1,6,2,1,0
423,17,0,1,5,1,0,2
424,20,0,1,2,0,3,0
425,0,17,0,4,1,1,1
426,12,0,1,5,0,2,1
427,0,20,0,5,2,0,1
428,0,15,0,5,1,1,1
429,11,0,1,6,1,1,1
430,0,6,0,7,0,1,2
431,0,13,0,3,1,1,1
432,0,21,0,8,2,0,1
433,5,0,1,10,2,0,1
434,21,0,1,2,0,3,0
435,0,4,0,9,1,0,2
436,0,6,0,7,0,2,1
437,32,0,1,3,1,1,1
438,32,0,1,3,0,1,2
