,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,38,60,0,25,1,0,0
1,45,60,0,25,0,0,1
2,45,60,0,25,0,0,1
3,47,60,0,25,0,0,1
4,60,60,0,25,0,0,1
5,39,60,0,25,0,1,0
6,60,60,1,25,0,0,1
7,24,60,0,25,0,2,0
8,43,60,0,25,0,0,1
9,46,60,0,25,0,1,0
10,44,60,0,25,0,0,1
11,60,60,1,25,0,0,0
12,46,60,0,25,0,1,0
13,44,60,0,25,1,0,0
14,51,60,0,25,1,0,0
15,21,60,0,25,0,0,2
16,21,60,0,25,0,1,1
17,42,60,0,25,0,0,1
18,42,60,0,25,0,0,1
19,60,60,0,25,0,0,0
20,26,60,0,25,0,1,1
21,51,60,0,25,0,0,1
22,25,60,0,25,0,1,1
23,36,60,0,25,0,1,1
24,0,60,0,21,0,2,1
25,60,60,0,25,0,0,0
26,43,60,0,25,0,1,0
27,35,60,0,25,0,1,0
28,38,60,0,25,0,1,0
29,22,60,0,25,0,1,1
30,39,60,0,25,0,0,1
31,28,60,0,25,0,2,0
32,54,60,0,25,0,0,0
33,0,60,0,25,1,1,1
34,38,60,0,25,0,1,0
35,60,60,0,25,0,0,0
36,37,60,0,25,0,0,1
37,60,60,1,25,0,0,0
38,41,60,0,25,1,0,0
39,60,60,1,25,0,0,0
40,48,60,0,25,0,1,0
41,28,60,0,25,0,0,2
42,60,60,0,25,0,0,0
43,36,60,0,25,0,1,0
44,42,60,0,25,0,0,1
45,60,60,0,25,0,0,0
46,50,60,0,25,1,0,0
47,34,60,0,25,0,0,1
48,28,60,0,25,0,2,0
49,28,60,0,25,0,0,2
50,60,60,1,25,0,0,0
51,22,60,0,25,0,2,0
52,35,60,0,25,0,1,1
53,46,60,0,25,0,0,1
54,0,60,0,11,1,2,0
55,28,60,0,25,0,2,0
56,49,60,0,25,0,0,1
57,22,60,0,25,0,0,2
58,60,60,0,25,0,0,0
59,35,60,0,25,1,1,0
60,32,60,0,25,1,0,1
61,60,60,0,25,0,0,0
62,60,60,1,25,0,0,0
63,33,60,0,25,1,0,1
64,24,52,0,25,0,1,1
65,25,60,0,25,0,0,2
66,43,60,0,25,0,0,1
67,52,60,0,25,0,0,0
68,60,60,0,25,0,0,0
69,49,60,0,25,0,0,1
70,21,60,0,25,0,0,2
71,44,60,0,25,0,1,0
72,60,60,0,25,0,0,0
73,0,60,0,12,2,1,0
74,36,60,0,25,0,1,0
75,30,60,0,25,0,1,1
76,20,60,0,25,0,1,1
77,60,60,1,25,0,0,0
78,60,60,0,25,0,0,0
79,30,60,0,25,0,1,0
80,49,60,0,25,1,0,0
81,53,60,0,25,1,0,0
82,60,60,0,25,0,0,0
83,26,60,0,25,0,1,1
84,57,60,0,25,0,0,0
85,40,60,0,25,0,1,0
86,44,60,0,25,0,0,1
87,35,60,0,25,0,1,0
88,53,60,0,25,0,1,0
89,60,60,0,25,0,0,0
90,30,60,0,25,0,1,1
91,60,60,1,25,0,0,1
92,27,60,0,25,0,2,0
93,13,60,0,25,1,1,0
94,60,60,0,25,0,0,0
95,45,60,0,25,0,0,1
96,19,60,0,25,0,1,1
97,37,60,0,25,0,1,0
98,21,60,0,25,0,1,0
99,55,60,0,25,0,0,1
100,36,60,0,25,0,1,0
101,17,60,0,25,0,1,1
102,52,60,0,25,0,0,1
103,45,60,0,25,1,0,0
104,60,60,0,25,0,0,0
105,30,60,0,25,0,0,2
106,60,60,1,25,0,0,0
107,60,60,0,25,0,0,0
108,28,60,0,25,0,2,0
109,60,60,0,25,0,0,0
