,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,48,0,1,2,2,1,0
1,52,0,1,3,0,1,2
2,52,0,1,9,0,1,2
3,31,0,1,5,0,0,3
4,60,0,1,10,2,1,0
5,40,0,1,6,2,1,0
6,43,0,1,5,0,1,2
7,60,0,1,6,2,0,1
8,56,0,1,1,0,2,1
9,60,0,1,4,0,1,2
10,60,0,1,12,2,1,0
11,48,0,1,4,0,2,1
12,56,0,1,4,1,1,1
13,60,0,1,11,0,1,2
14,60,0,1,5,1,0,2
15,48,0,1,5,1,1,1
16,48,0,1,6,2,1,0
17,58,0,1,14,1,1,1
18,46,0,1,4,1,1,1
19,41,0,1,8,1,0,2
20,28,0,1,17,1,1,1
21,47,0,1,12,1,2,0
22,48,0,1,3,0,1,2
23,58,0,1,9,0,1,2
24,58,0,1,10,1,2,0
25,36,0,1,6,2,1,0
26,36,0,1,18,0,2,1
27,59,0,1,10,0,1,2
28,60,0,1,11,0,3,0
29,25,0,1,11,2,1,0
30,60,0,1,9,1,2,0
31,60,0,1,8,2,0,1
32,18,0,1,3,0,1,2
33,45,0,1,7,1,2,0
34,45,0,1,10,1,1,1
35,54,0,1,8,1,1,1
36,60,0,1,10,0,0,3
37,60,0,1,7,1,1,1
38,60,0,1,10,1,1,1
39,60,0,1,8,0,1,2
40,60,0,1,9,0,0,3
41,60,0,1,9,1,1,1
42,60,0,1,8,0,1,2
43,31,0,1,11,2,0,1
44,60,0,1,6,2,1,0
45,60,0,1,4,1,0,2
46,24,0,1,6,1,2,0
47,60,0,1,12,0,2,1
48,48,0,1,8,0,2,1
49,47,0,1,9,1,1,1
50,47,0,1,2,1,0,2
51,21,0,1,5,2,0,1
52,31,0,1,22,1,1,1
53,51,0,1,3,0,0,3
54,38,0,1,8,1,1,1
55,58,0,1,18,2,1,0
56,60,0,1,8,0,2,1
57,32,0,1,9,1,1,1
58,50,0,1,11,1,1,1
59,60,0,1,8,2,1,0
60,44,0,1,6,0,1,2
61,45,0,1,8,1,1,1
62,28,0,1,11,1,1,1
63,55,0,1,7,2,1,0
64,50,0,1,7,2,1,0
65,53,0,1,6,0,2,1
66,60,0,1,3,0,1,2
67,60,0,1,11,1,2,0
68,46,0,1,13,0,1,2
69,48,0,1,9,1,0,2
70,60,0,1,4,1,1,1
71,28,0,1,6,1,1,1
72,60,0,1,8,1,0,2
73,47,0,1,5,0,0,3
74,58,0,1,3,0,1,2
75,60,0,1,7,0,1,2
76,42,0,1,3,0,1,2
77,15,0,1,5,0,1,2
78,29,0,1,10,0,2,1
79,60,0,1,16,1,2,0
80,48,0,1,10,1,1,1
81,47,0,1,9,1,0,2
82,60,0,1,5,2,1,0
83,58,0,1,5,1,1,1
84,60,0,1,13,0,1,2
85,53,0,1,11,1,2,0
86,42,0,1,8,2,1,0
87,21,0,1,4,1,1,1
88,45,0,1,3,1,2,0
89,60,0,1,10,2,1,0
90,40,0,1,13,0,0,3
91,20,0,1,6,0,0,3
92,60,0,1,3,0,1,2
93,46,0,1,4,1,1,1
94,25,0,1,10,1,2,0
95,60,0,1,7,0,2,1
96,49,0,1,5,0,0,3
97,23,0,1,11,1,1,1
