,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,45,0,1,3,0,0,3
1,25,0,1,11,2,0,1
2,60,0,1,7,0,2,1
3,34,0,1,8,0,1,2
4,60,0,1,5,2,0,1
5,20,0,1,7,2,1,0
6,60,0,1,5,0,1,2
7,54,0,1,5,0,1,2
8,50,0,1,6,2,1,0
9,41,0,1,2,0,1,2
10,25,0,1,10,1,1,1
11,60,0,1,5,1,1,1
12,30,0,1,10,2,1,0
13,60,0,1,10,0,2,1
14,50,0,1,4,1,1,1
15,54,0,1,5,0,2,1
16,60,0,1,3,0,1,2
17,60,0,1,9,0,1,2
18,58,0,1,11,0,0,3
19,60,0,1,9,3,0,0
20,43,0,1,6,0,1,2
21,34,0,1,9,1,1,1
22,60,0,1,10,1,2,0
23,54,0,1,6,0,0,3
24,48,0,1,6,1,1,1
25,60,0,1,2,1,1,1
26,26,0,1,2,0,2,1
27,27,0,1,8,0,2,1
28,60,0,1,7,0,1,2
29,26,0,1,11,2,1,0
30,39,0,1,12,0,1,2
31,30,0,1,3,1,1,1
32,43,0,1,7,1,1,1
33,48,0,1,8,0,0,3
34,52,0,1,4,0,1,2
35,31,0,1,5,1,1,1
36,60,0,1,8,1,2,0
37,58,0,1,2,0,2,1
38,25,0,1,5,2,0,1
39,56,0,1,11,0,1,2
40,32,0,1,6,2,0,1
41,60,0,1,8,0,1,2
42,60,0,1,10,1,1,0
43,32,0,1,6,1,2,0
44,32,0,1,8,1,1,1
45,43,0,1,4,1,0,2
46,39,0,1,6,0,0,3
47,22,0,1,5,1,1,1
48,45,0,1,10,1,1,1
49,44,0,1,5,1,0,2
50,53,0,1,8,1,0,2
51,55,0,1,6,2,0,1
52,60,0,1,3,1,0,2
53,40,0,1,5,1,1,1
54,55,0,1,7,0,1,2
55,50,0,1,13,0,1,2
56,0,14,0,3,1,0,2
57,51,0,1,3,1,1,1
58,46,0,1,4,0,0,3
59,57,0,1,8,1,0,2
60,56,0,1,6,0,1,2
61,41,0,1,4,0,1,2
62,44,0,1,6,2,1,0
