,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,6,0,1,2,1,2,0
1,56,0,1,8,1,0,2
2,51,0,1,6,0,2,1
3,60,0,1,9,1,2,0
4,17,0,1,16,1,0,2
5,51,0,1,10,0,1,2
6,14,0,1,12,0,0,3
7,29,0,1,5,0,1,2
8,39,0,1,8,2,1,0
9,39,0,1,3,1,0,2
10,41,0,1,8,0,0,3
11,60,0,1,6,0,0,3
12,34,0,1,5,1,1,1
13,18,0,1,5,0,2,1
14,60,0,1,5,1,2,0
15,48,0,1,9,1,2,0
16,37,0,1,13,1,1,1
17,48,0,1,4,1,0,2
18,51,0,1,4,0,2,1
19,60,0,1,2,0,1,2
20,44,0,1,6,0,0,3
21,60,0,1,7,1,0,2
22,45,0,1,8,1,0,2
23,46,0,1,6,0,1,2
24,60,0,1,8,0,1,2
25,33,0,1,3,1,2,0
26,52,0,1,4,0,1,2
27,49,0,1,2,1,1,1
28,49,0,1,9,0,0,3
29,60,0,1,3,0,1,2
30,43,0,1,5,1,1,1
31,50,0,1,2,0,1,2
32,60,0,1,4,1,1,1
33,60,0,1,5,0,1,2
34,46,0,1,3,0,0,3
35,46,0,1,4,0,2,1
36,26,0,1,8,1,1,1
37,47,0,1,10,0,3,0
38,16,0,1,7,1,0,2
39,60,0,1,7,1,2,0
40,37,0,1,11,1,1,1
41,60,0,1,5,1,1,1
42,52,0,1,4,0,2,1
43,46,0,1,6,1,0,2
44,33,0,1,7,3,0,0
45,60,0,1,3,1,1,1
46,60,0,1,8,1,1,1
47,26,0,1,3,0,2,1
48,60,0,1,5,0,1,2
49,49,0,1,14,1,0,2
50,60,0,1,4,2,1,0
51,40,0,1,5,1,1,1
52,55,0,1,9,0,1,2
53,60,0,1,11,1,2,0
54,60,0,1,6,0,3,0
55,58,0,1,5,0,2,1
56,33,0,1,1,0,1,2
57,60,0,1,2,0,3,0
58,39,0,1,6,1,1,1
59,46,0,1,8,2,0,1
60,30,0,1,6,2,0,1
61,40,0,1,7,1,0,2
62,45,0,1,7,0,2,1
63,23,0,1,6,1,1,1
64,60,0,1,5,0,1,2
65,48,0,1,5,1,2,0
66,60,0,1,2,0,1,2
67,60,0,1,7,1,0,2
68,58,0,1,10,0,0,3
69,54,0,1,6,1,1,1
70,54,0,1,8,1,1,1
71,44,0,1,6,1,0,2
72,60,0,1,3,1,2,0
73,60,0,1,11,1,0,2
74,21,0,1,10,1,1,1
75,43,0,1,4,1,2,0
76,60,0,1,15,1,1,1
77,31,0,1,3,1,1,1
78,60,0,1,4,1,1,1
79,60,0,1,3,0,0,3
80,51,0,1,10,0,1,2
81,53,0,1,3,0,0,3
82,45,0,1,3,1,1,1
83,45,0,1,4,0,2,1
84,40,0,1,6,0,2,1
85,20,0,1,11,2,0,1
86,27,0,1,6,2,1,0
87,60,0,1,6,0,0,3
88,60,0,1,10,0,0,3
89,40,0,1,8,0,2,1
90,60,0,1,8,1,1,1
91,30,0,1,7,1,2,0
92,60,0,1,10,1,1,1
93,52,0,1,7,1,0,2
94,60,0,1,8,0,3,0
95,34,0,1,5,2,1,0
96,43,0,1,6,1,0,2
97,9,0,1,5,0,1,2
98,60,0,1,2,1,2,0
99,25,0,1,12,1,1,1
100,52,0,1,5,2,1,0
101,39,0,1,16,1,1,1
102,60,0,1,5,1,2,0
103,58,0,1,10,1,1,1
104,27,0,1,8,0,1,2
105,27,0,1,3,0,1,2
106,60,0,1,4,1,1,1
107,27,0,1,11,0,0,3
108,27,0,1,8,1,0,2
109,52,0,1,10,2,0,1
110,24,0,1,8,1,1,1
111,60,0,1,2,0,0,3
112,42,0,1,2,1,2,0
113,25,0,1,3,1,2,0
114,18,0,1,7,1,2,0
115,60,0,1,8,0,3,0
116,60,0,1,22,1,0,2
117,4,0,1,8,0,2,1
118,49,0,1,4,1,1,1
119,43,0,1,13,2,0,1
120,52,0,1,7,0,0,3
121,13,0,1,2,1,1,1
122,27,0,1,5,0,1,2
123,60,0,1,9,0,2,1
124,53,0,1,8,0,0,3
125,40,0,1,4,2,1,0
126,60,0,1,4,1,1,1
127,60,0,1,8,2,1,0
128,26,0,1,3,1,0,2
129,55,0,1,8,1,1,1
130,19,0,1,8,1,1,1
131,37,0,1,4,2,1,0
132,41,0,1,2,0,1,2
133,24,0,1,8,1,0,2
134,60,0,1,4,1,1,1
135,53,0,1,4,1,1,1
136,42,0,1,8,1,0,2
137,41,0,1,8,1,1,1
138,31,0,1,9,0,1,2
139,60,0,1,7,0,0,3
140,30,0,1,3,2,1,0
141,60,0,1,11,1,1,1
142,25,0,1,10,1,1,1
143,55,0,1,9,1,1,1
144,60,0,1,2,0,1,2
145,52,0,1,7,1,1,1
146,10,0,1,9,2,0,1
147,24,0,1,6,0,0,3
148,0,23,0,4,0,2,1
149,28,0,1,3,1,1,1
150,60,0,1,2,1,1,1
151,52,0,1,5,1,1,1
152,60,0,1,10,0,1,2
153,60,0,1,2,1,1,1
154,43,0,1,5,1,2,0
155,53,0,1,4,0,0,3
156,40,0,1,18,0,2,1
157,27,0,1,6,0,0,3
158,42,0,1,5,0,0,3
159,48,0,1,5,1,1,1
160,15,0,1,7,1,1,1
161,24,0,1,10,0,0,3
162,58,0,1,9,0,1,2
163,44,0,1,3,0,1,2
164,35,0,1,3,0,0,3
165,51,0,1,6,1,1,1
166,58,0,1,8,0,2,1
167,60,0,1,10,0,0,3
168,60,0,1,9,1,0,2
169,45,0,1,6,1,2,0
170,48,0,1,4,0,2,1
171,51,0,1,9,0,2,1
172,60,0,1,6,2,0,1
173,43,0,1,4,1,2,0
174,0,45,0,1,1,2,0
175,54,0,1,11,1,1,1
176,53,0,1,11,2,1,0
177,60,0,1,6,0,0,3
178,60,0,1,10,0,1,2
179,57,0,1,3,0,2,1
180,60,0,1,8,1,1,1
181,17,0,1,2,0,0,3
182,29,0,1,10,1,1,1
183,51,0,1,16,1,1,1
184,60,0,1,6,2,1,0
185,19,0,1,11,1,0,2
186,60,0,1,15,0,0,3
187,36,0,1,3,1,0,2
188,53,0,1,7,0,0,3
189,41,0,1,10,1,1,1
190,51,0,1,6,0,1,2
191,60,0,1,9,2,0,1
192,53,0,1,6,1,2,0
193,26,0,1,7,2,1,0
194,48,0,1,4,1,1,1
195,32,0,1,6,1,1,1
196,60,0,1,2,0,2,1
197,34,0,1,6,1,0,2
198,60,0,1,5,0,3,0
199,29,0,1,6,0,1,2
200,51,0,1,8,0,2,1
201,53,0,1,1,2,0,1
202,60,0,1,12,1,1,1
203,49,0,1,7,0,2,1
204,60,0,1,4,1,0,2
205,56,0,1,4,0,2,1
206,60,0,1,3,1,1,1
207,46,0,1,4,0,1,2
208,28,0,1,6,1,2,0
209,8,0,1,7,0,2,1
210,51,0,1,5,0,3,0
211,60,0,1,9,0,0,3
212,60,0,1,16,0,1,2
213,60,0,1,4,1,1,1
214,60,0,1,3,0,2,1
215,60,0,1,4,1,1,1
216,25,0,1,8,2,0,1
217,58,0,1,6,1,1,1
218,48,0,1,1,0,2,1
219,41,0,1,4,0,1,2
220,56,0,1,1,1,1,1
221,60,0,1,6,2,0,1
222,51,0,1,11,1,0,2
223,21,0,1,4,2,1,0
224,38,0,1,8,1,1,0
225,24,0,1,7,0,1,2
226,60,0,1,5,2,1,0
227,34,0,1,11,0,2,1
228,44,0,1,5,1,0,2
229,60,0,1,5,0,0,3
230,46,0,1,5,1,0,2
231,49,0,1,1,1,1,1
232,43,0,1,2,0,1,2
233,44,0,1,1,1,1,1
234,32,0,1,6,1,1,1
235,47,0,1,6,1,1,1
236,25,0,1,3,1,1,1
237,27,0,1,10,1,1,1
238,60,0,1,7,0,0,3
239,60,0,1,3,1,2,0
240,31,0,1,6,2,0,1
241,53,0,1,9,0,1,2
242,41,0,1,6,1,1,1
243,53,0,1,4,1,0,2
244,26,0,1,4,0,2,1
245,60,0,1,2,2,1,0
246,23,0,1,2,1,2,0
247,60,0,1,5,0,1,2
248,41,0,1,5,0,1,2
249,26,0,1,6,0,1,2
250,39,0,1,6,0,1,2
251,43,0,1,4,0,3,0
252,55,0,1,7,2,0,1
