,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,25,55,0,25,0,2,0
1,33,57,0,25,0,2,0
2,28,59,0,25,1,1,0
3,29,53,0,25,0,0,2
4,55,31,1,25,0,0,2
5,60,10,1,25,0,2,0
6,60,30,1,25,0,2,0
7,60,33,1,25,0,0,2
8,52,58,0,25,0,0,1
9,52,39,1,25,0,0,1
10,28,28,1,25,0,0,2
11,55,60,0,25,0,0,1
12,23,60,0,25,1,1,0
13,60,25,1,25,0,1,1
14,36,38,0,25,1,0,0
15,49,45,1,25,0,0,1
16,60,16,1,25,0,1,1
17,60,8,1,25,0,1,1
18,46,36,1,25,0,0,2
19,22,52,0,25,0,0,2
20,52,29,1,25,1,0,1
21,60,50,1,25,0,0,1
22,25,59,0,25,0,1,1
23,29,37,0,25,0,1,1
24,33,46,0,25,0,0,1
25,26,60,0,25,0,0,2
26,52,0,1,17,0,1,2
27,60,40,1,25,0,0,1
28,28,53,0,25,2,0,0
29,18,60,0,25,1,0,1
30,56,0,1,17,1,2,0
31,53,27,1,25,0,1,1
32,43,45,0,25,0,1,0
33,27,13,1,25,0,1,1
34,60,60,0,25,0,0,0
35,31,53,0,25,0,1,1
36,52,30,1,25,1,1,0
37,43,60,0,25,0,1,0
38,60,29,1,25,0,1,1
39,20,26,0,25,0,2,0
40,60,38,1,25,0,0,1
41,21,46,0,25,0,1,1
42,60,51,1,25,0,0,1
43,59,24,1,25,0,2,0
44,60,14,1,25,0,1,1
45,47,32,1,25,1,0,0
46,28,39,0,25,0,1,0
47,40,44,0,25,0,0,1
48,56,33,1,25,0,0,1
49,58,53,1,25,0,0,1
50,60,47,1,25,0,1,0
51,0,32,0,15,0,1,2
52,48,48,1,25,0,0,1
53,58,60,0,25,0,0,1
54,47,32,1,25,0,0,1
55,42,28,1,25,0,1,1
56,18,15,1,25,1,1,0
57,44,60,0,25,0,0,1
58,17,60,0,25,0,1,1
59,44,52,0,25,0,1,0
60,46,45,1,25,0,0,1
61,32,60,0,25,0,1,0
62,34,57,0,25,0,2,0
63,22,47,0,25,0,1,1
64,24,29,0,25,0,0,2
65,49,22,1,25,1,1,0
66,60,46,1,25,0,1,0
67,47,45,1,25,0,0,1
68,26,24,1,25,0,1,1
69,50,60,0,25,0,0,1
70,60,60,1,25,0,0,0
71,30,18,1,25,0,1,1
72,32,42,0,25,0,1,1
73,48,18,1,25,1,1,0
74,25,60,0,25,1,1,0
75,60,29,1,25,0,1,1
76,10,40,0,25,1,2,0
77,38,48,0,25,0,1,0
78,48,60,0,25,0,0,1
79,21,31,0,25,0,1,1
80,56,22,1,25,1,0,1
81,49,58,0,25,0,1,0
82,60,0,1,24,0,2,1
83,60,35,1,25,0,0,1
84,47,33,1,25,0,1,1
85,26,52,0,25,0,1,1
86,58,60,0,25,0,0,0
87,60,60,0,25,0,0,0
88,50,59,0,25,0,1,0
89,52,27,1,25,0,0,2
90,37,44,0,25,0,0,2
91,60,22,1,25,0,2,0
92,60,10,1,25,1,2,0
93,60,60,0,25,0,0,0
94,60,42,1,25,0,1,0
95,20,46,0,25,0,0,2
96,60,60,0,25,0,0,0
97,60,21,1,25,0,1,1
98,60,46,1,25,0,0,1
99,36,47,0,25,0,0,1
100,41,29,1,25,1,1,0
101,25,45,0,25,0,0,2
102,49,25,1,25,1,1,0
103,41,60,0,25,0,1,0
104,56,43,1,25,0,0,1
105,18,48,0,25,1,1,0
106,52,42,1,25,0,0,1
107,40,30,1,25,0,1,0
108,24,51,0,25,0,0,2
109,44,50,0,25,0,0,1
110,52,47,1,25,0,0,1
111,55,22,1,25,0,1,1
112,60,29,1,25,1,1,0
113,29,26,1,25,0,0,2
114,57,39,1,25,0,1,0
115,49,50,0,25,1,0,0
116,36,60,0,25,0,1,0
117,39,39,1,25,0,0,1
118,34,60,0,25,0,0,1
119,36,60,0,25,1,1,0
120,25,34,0,25,0,2,0
121,33,37,0,25,0,0,2
122,41,49,0,25,0,1,0
123,60,41,1,25,0,1,0
124,24,41,0,25,0,0,2
125,58,33,1,25,0,2,0
126,30,60,0,25,0,1,0
127,34,45,0,25,1,0,0
128,12,41,0,25,0,2,0
129,60,37,1,25,0,0,1
130,60,26,1,25,1,1,0
131,23,26,0,25,1,1,0
132,48,60,0,25,0,0,1
133,53,29,1,25,0,1,1
134,7,60,0,25,0,1,1
135,60,26,1,25,0,0,2
136,23,60,0,25,0,0,2
137,54,50,1,25,0,0,1
138,53,28,1,25,0,1,0
