,,win % (p1),0 % (p1),0 % (p2),avg gain (p1),med gain (p1),med nrounds,low 95% nrounds,up 95% nrounds,% nrounds 25,# 0 (pseq),# 0 (iseq),# 0 (seq),# 0 (set)
Random,Random,0.5,0.035,0.031,0.046,0.0,25.0,9.0,25.0,0.936,0.571,0.134,0.071,0.237
Random,Defeat,0.946,0.057,0.0,23.643,22.0,25.0,8.0,25.0,0.944,0.61,0.129,0.054,0.214
Random,Minscore,0.011,0.01,0.989,-42.564,-46.0,6.0,2.0,14.0,0.001,0.458,0.342,0.132,0.163
Random,Mindist,0.009,0.009,0.991,-42.445,-45.0,6.0,2.0,14.0,0.002,0.486,0.2,0.074,0.227
Random,Mindistscore,0.009,0.009,0.991,-42.74,-46.0,6.0,2.0,14.0,0.0,0.463,0.275,0.104,0.197
Random,MindistOpp,0.009,0.009,0.991,-42.601,-46.0,6.0,2.0,13.0,0.0,0.472,0.227,0.079,0.206
Defeat,Random,0.053,0.001,0.055,-23.429,-22.0,25.0,10.0,25.0,0.946,0.58,0.116,0.045,0.262
Defeat,Defeat,0.497,0.001,0.001,-0.081,0.0,25.0,25.0,25.0,0.998,0.5,0.062,0.0,0.25
Defeat,Minscore,0.001,0.001,0.999,-58.898,-60.0,5.0,1.0,11.0,0.001,0.598,0.236,0.116,0.185
Defeat,Mindist,0.0,0.0,1.0,-58.71,-60.0,4.0,1.0,11.0,0.002,0.611,0.147,0.072,0.233
Defeat,Mindistscore,0.001,0.001,0.999,-58.718,-60.0,4.0,1.0,11.0,0.0,0.597,0.18,0.084,0.214
Defeat,MindistOpp,0.001,0.001,0.999,-58.712,-60.0,4.0,1.0,10.0,0.0,0.602,0.154,0.07,0.228
Minscore,Random,0.992,0.992,0.008,42.956,46.0,5.0,1.0,13.0,0.001,0.472,0.322,0.124,0.172
Minscore,Defeat,0.999,0.998,0.0,58.117,60.0,4.0,1.0,10.0,0.001,0.594,0.243,0.123,0.171
Minscore,Minscore,0.555,0.555,0.445,3.317,2.0,4.0,1.0,10.0,0.0,0.442,0.347,0.126,0.162
Minscore,Mindist,0.517,0.517,0.485,5.87,2.0,4.0,1.0,10.0,0.0,0.434,0.299,0.102,0.19
Minscore,Mindistscore,0.497,0.497,0.503,3.97,-2.0,4.0,1.0,10.0,0.0,0.432,0.317,0.111,0.173
Minscore,MindistOpp,0.483,0.483,0.517,4.308,-2.0,4.0,1.0,10.0,0.0,0.428,0.295,0.097,0.187
Mindist,Random,0.994,0.994,0.006,42.979,46.0,5.0,1.0,13.0,0.002,0.491,0.201,0.08,0.228
Mindist,Defeat,1.0,1.0,0.0,57.572,60.0,3.0,1.0,10.0,0.002,0.598,0.151,0.073,0.227
Mindist,Minscore,0.585,0.587,0.415,1.946,3.0,4.0,1.0,10.0,0.0,0.438,0.289,0.103,0.199
Mindist,Mindist,0.549,0.551,0.453,4.091,6.0,4.0,1.0,10.0,0.0,0.436,0.231,0.076,0.22
Mindist,Mindistscore,0.54,0.542,0.46,2.901,4.0,4.0,1.0,10.0,0.0,0.436,0.262,0.087,0.204
Mindist,MindistOpp,0.534,0.536,0.466,3.409,6.0,4.0,1.0,9.0,0.0,0.434,0.24,0.076,0.209
Mindistscore,Random,0.994,0.994,0.006,43.223,46.0,5.0,1.0,13.0,0.0,0.477,0.263,0.095,0.192
Mindistscore,Defeat,1.0,1.0,0.0,57.659,60.0,3.0,1.0,10.0,0.0,0.591,0.188,0.089,0.204
Mindistscore,Minscore,0.608,0.608,0.392,3.894,4.0,4.0,1.0,10.0,0.0,0.444,0.306,0.105,0.183
Mindistscore,Mindist,0.566,0.566,0.436,5.788,8.0,4.0,1.0,10.0,0.0,0.448,0.259,0.087,0.201
Mindistscore,Mindistscore,0.561,0.561,0.439,4.791,6.0,4.0,1.0,10.0,0.0,0.438,0.29,0.095,0.186
Mindistscore,MindistOpp,0.551,0.551,0.449,5.073,8.0,4.0,1.0,9.0,0.0,0.433,0.272,0.089,0.196
MindistOpp,Random,0.993,0.993,0.007,42.785,46.0,5.0,1.0,12.0,0.0,0.48,0.223,0.081,0.211
MindistOpp,Defeat,1.0,1.0,0.0,57.6,60.0,3.0,1.0,9.0,0.0,0.593,0.157,0.073,0.217
MindistOpp,Minscore,0.623,0.623,0.377,3.524,4.0,4.0,1.0,10.0,0.0,0.436,0.291,0.094,0.192
MindistOpp,Mindist,0.583,0.583,0.419,5.476,10.0,4.0,1.0,10.0,0.0,0.439,0.241,0.075,0.207
MindistOpp,Mindistscore,0.57,0.57,0.43,4.217,7.0,4.0,1.0,9.0,0.0,0.431,0.27,0.084,0.196
MindistOpp,MindistOpp,0.56,0.56,0.44,4.634,9.0,4.0,1.0,9.0,0.0,0.432,0.251,0.075,0.202
