,Random,Random,Random,Random,Random,Random,Defeat,Defeat,Defeat,Defeat,Defeat,Defeat,Minscore,Minscore,Minscore,Minscore,Minscore,Minscore,Mindist,Mindist,Mindist,Mindist,Mindist,Mindist,Mindistscore,Mindistscore,Mindistscore,Mindistscore,Mindistscore,Mindistscore,MindistOpp,MindistOpp,MindistOpp,MindistOpp,MindistOpp,MindistOpp
,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp,Random,Defeat,Minscore,Mindist,Mindistscore,MindistOpp
0,-15,38,-60,-21,-53,-29,0,0,-60,-60,-60,-60,26,60,-30,-34,32,-34,28,60,-55,17,-55,-28,36,60,-56,12,-30,-30,42,60,-36,30,32,-60
1,-49,26,-43,-28,-17,-58,-31,0,-32,-60,-60,-60,-18,60,30,30,-5,32,60,44,30,23,32,-31,36,53,30,25,-38,39,51,60,30,-60,-42,32
2,5,0,-60,-60,-27,-43,-60,0,-60,-60,-31,-60,49,57,-52,-31,-29,-23,40,60,-32,30,-28,-13,51,44,-41,60,9,-30,23,60,-16,-46,-38,-60
3,-32,21,60,-44,-48,-46,-20,0,-60,-60,-60,-60,60,44,-42,-42,-2,-29,53,53,-46,-50,-31,25,28,60,-46,43,25,-38,43,60,-46,12,9,-38
4,-52,16,-60,-60,-15,-49,0,0,-52,-60,-60,-46,60,60,-2,-2,25,-2,55,44,23,45,5,60,21,60,12,8,60,9,60,54,12,25,25,9
5,-35,49,-40,-17,-15,-16,-41,16,-60,-60,-60,-40,60,60,15,-6,60,25,44,60,21,16,25,46,38,50,4,-41,46,25,60,60,4,60,60,25
6,5,15,44,-46,-12,-35,-15,7,-60,-60,-60,-60,57,41,56,56,21,60,48,60,56,-55,60,-14,47,60,60,-2,21,60,51,60,60,43,46,60
7,41,19,-49,-56,-32,-38,-39,27,-60,-60,-60,-55,60,60,37,38,-13,21,44,50,22,2,46,-50,31,51,37,22,-41,46,33,60,37,8,21,46
8,26,16,-31,-60,-36,-47,-60,0,-60,-60,-51,-60,60,60,4,8,-23,14,60,60,-6,20,-14,-2,42,60,8,9,24,21,51,44,8,-45,-45,21
9,31,30,-19,-27,-29,-60,-24,9,-60,-60,-28,-60,52,50,-20,-20,-2,-23,32,46,-50,10,-50,-20,38,60,-4,21,20,-41,22,54,-45,7,24,-45
10,-3,26,-44,-41,-52,-14,-35,0,-60,-60,-60,-60,48,60,7,-2,29,-2,24,60,7,-20,-2,-19,46,59,2,49,2,16,42,60,2,22,20,-9
11,0,14,-25,-41,-42,-18,0,0,-60,-60,-60,-60,53,30,15,-11,-11,30,60,60,-15,32,-20,30,27,60,17,27,26,30,10,60,17,-22,-22,30
12,-26,44,-50,-32,-44,-44,0,0,-60,-60,-60,-60,48,60,-9,-13,30,-11,60,60,-19,-20,-19,52,49,60,-60,33,51,2,39,60,-60,21,30,-22
13,22,50,-16,-60,-41,-33,-55,0,-60,-60,-60,-60,60,60,29,39,51,30,47,60,29,18,30,22,44,60,10,33,22,26,31,60,15,49,51,30
14,60,60,-55,-50,-21,-44,0,0,-60,-60,-60,-60,38,59,27,49,22,52,36,60,16,20,51,33,24,60,43,-60,32,52,15,60,43,27,22,52
15,-8,60,-28,-24,-53,-50,-41,0,-60,-55,-60,-23,24,60,-2,27,60,22,49,35,22,19,22,32,60,60,-8,-9,18,22,60,60,-8,33,32,22
16,-10,43,-19,-60,-48,-24,-11,0,-60,-45,-60,-60,55,60,53,60,15,37,17,60,42,-57,58,-57,10,60,36,-46,-60,33,40,60,47,33,-24,33
17,-27,25,-60,-59,-48,-60,-23,0,-60,-60,-60,-60,43,60,-2,21,-57,-2,60,60,-22,-60,2,6,60,37,-5,-19,-9,18,60,60,-24,-55,-57,-24
18,-38,40,-60,-58,-45,-27,-43,26,-60,-60,-60,-60,50,60,6,-60,-13,-57,26,22,-37,14,-57,-38,24,60,-18,-12,-46,-60,23,56,-55,-9,-9,-57
19,16,60,-41,-22,-60,-28,-42,0,-60,-60,-60,-60,19,60,-4,4,-38,-13,60,60,2,27,10,-23,48,36,-4,-7,-19,-9,38,56,-9,-46,-46,-9
20,-35,35,-54,-22,-60,-49,-50,0,-60,-60,-60,-60,39,60,-38,-38,-5,-38,60,60,-38,-40,-38,-6,39,60,-46,36,23,-46,53,60,-46,-36,-23,-46
21,4,6,-60,-34,-60,-36,-28,0,-60,-60,-60,-60,57,60,30,-5,-15,-4,23,60,46,18,60,-9,46,60,56,49,-7,10,52,60,56,-23,-2,-25
22,51,25,-60,-49,-47,-40,-23,0,-60,-60,-60,-60,49,60,-12,-11,16,-15,60,60,-35,43,-6,23,28,60,-6,26,44,15,10,60,-22,-17,-17,-2
