,,win % (p1),0 % (p1),0 % (p2),20 % (p1),20 % (p2),avg gain (p1),med gain (p1),med nrounds,low 95% nrounds,up 95% nrounds,% nrounds 100,# 0 (iseq),# 0 (set)
Random,Random,0.404,0.001,0.001,0.328,0.225,-5.573,-20,1,1,5,0,0,0.214
Random,Defeat,0.002,0.002,0,0.325,0.002,-33.274,-40,2,1,10,0,0.042,0.167
Random,Minscore,0.319,0.001,0.05,0.34,0.325,-15.539,-20,1,1,7,0,0.095,0.21
Random,Mindist,0.076,0.001,0.082,0.332,0.083,-31.075,-40,2,1,8,0,0.067,0.183
Random,Mindistscore,0.079,0.001,0.085,0.33,0.086,-31.096,-40,2,1,8,0,0.082,0.195
Random,MindistOpp,0.077,0.001,0.091,0.334,0.085,-31.381,-40,2,1,8,0,0.065,0.201
Defeat,Random,0.997,0,0.003,0.002,0.328,33.085,40,2,1,10,0,0,0.143
Defeat,Defeat,0.511,0.001,0.001,0,0,-0.126,0,100,100,100,0.998,0.105,0.211
Defeat,Minscore,0.468,0,0.531,0.001,0.468,-32.636,-77,2,1,13,0.001,0.069,0.198
Defeat,Mindist,0.107,0,0.893,0,0.107,-68.5,-80,6,1,24,0.001,0.03,0.174
Defeat,Mindistscore,0.108,0,0.892,0,0.108,-68.418,-80,6,1,20,0,0.045,0.208
Defeat,MindistOpp,0.109,0,0.891,0,0.108,-68.335,-80,5,1,17,0,0.036,0.209
Minscore,Random,0.527,0.072,0.001,0.479,0.174,10.352,20,1,1,6,0,0.112,0.198
Minscore,Defeat,0.532,0.531,0,0.468,0.003,32.447,74,1,1,12,0.001,0.079,0.19
Minscore,Minscore,0.405,0.155,0.131,0.47,0.254,-3.176,-20,1,1,11,0,0.166,0.196
Minscore,Mindist,0.333,0.275,0.203,0.469,0.065,0.69,-20,1,1,12,0,0.136,0.175
Minscore,Mindistscore,0.314,0.256,0.221,0.469,0.065,-1.795,-20,1,1,12,0,0.15,0.167
Minscore,MindistOpp,0.299,0.24,0.237,0.468,0.065,-2.402,-20,1,1,12,0,0.139,0.176
Mindist,Random,0.893,0.121,0.001,0.116,0.292,31.057,40,2,1,8,0,0.066,0.186
Mindist,Defeat,0.889,0.889,0,0.111,0.001,67.56,80,5,1,24,0.001,0.037,0.172
Mindist,Minscore,0.65,0.239,0.241,0.118,0.415,1.214,20,1,1,12,0,0.123,0.178
Mindist,Mindist,0.521,0.426,0.37,0.118,0.104,3.017,8,4,1,14,0,0.094,0.17
Mindist,Mindistscore,0.5,0.404,0.391,0.118,0.104,-0.792,-1,5,1,14,0,0.106,0.169
Mindist,MindistOpp,0.477,0.382,0.414,0.118,0.104,-2.048,-8,4,1,13,0,0.103,0.17
Mindistscore,Random,0.894,0.122,0.001,0.114,0.297,31.12,40,2,1,7,0,0.069,0.203
Mindistscore,Defeat,0.891,0.891,0,0.109,0.001,67.818,80,5,1,19,0,0.049,0.199
Mindistscore,Minscore,0.672,0.261,0.218,0.117,0.415,4.246,20,1,1,12,0,0.126,0.185
Mindistscore,Mindist,0.555,0.46,0.336,0.116,0.103,8.167,13,5,1,14,0,0.112,0.173
Mindistscore,Mindistscore,0.529,0.433,0.361,0.116,0.104,3.986,5,5,1,14,0,0.114,0.171
Mindistscore,MindistOpp,0.503,0.408,0.387,0.118,0.104,2.815,2,4,1,13,0,0.106,0.179
MindistOpp,Random,0.89,0.135,0.001,0.119,0.295,31.324,40,2,1,7,0,0.066,0.205
MindistOpp,Defeat,0.89,0.89,0,0.11,0.001,67.694,80,4,1,16,0,0.037,0.201
MindistOpp,Minscore,0.687,0.276,0.204,0.118,0.415,4.844,20,1,1,11,0,0.115,0.187
MindistOpp,Mindist,0.585,0.489,0.306,0.118,0.103,9.789,16,4,1,13,0,0.099,0.177
MindistOpp,Mindistscore,0.55,0.454,0.34,0.118,0.105,5.091,8,4,1,13,0,0.102,0.178
MindistOpp,MindistOpp,0.531,0.436,0.359,0.119,0.105,4.217,9,4,1,12,0,0.098,0.178
