init.hand1,init.hand2,wcj,score1,score2,winner,numrounds,finish.hand1,finish.hand2,pure.seq.counts,impure.seq.counts,set.counts
1 47 11 33 36 46 52 28 4 26 29 13 35,28 51 19 9 32 43 21 31 8 37 39 24 19,32,77,0,1,3,52 26 13 1 28 29 4 31 33 46 47 11 36,51 39 40 19 9 8 32 37 24 19 28 31 52,1,2,1
27 10 33 50 7 28 26 22 38 28 13 11 47,9 32 36 21 2 46 34 14 41 49 14 27 24,26,0,80,0,7,27 28 26 38 10 13 11 33 7 20 46 45 0,9 32 36 21 2 46 34 14 41 49 14 27 24,1,2,1
44 21 43 34 45 33 37 30 35 12 42 4 41,5 0 32 7 50 0 3 16 13 13 11 20 48,9,0,20,0,10,44 43 45 42 41 34 33 31 32 30 35 4 6,50 49 51 48 5 7 0 0 13 13 1 15 3,2,1,0
14 49 21 28 32 49 2 19 32 33 43 5 0,48 27 1 18 16 25 44 0 8 13 40 26 47,42,9,0,1,11,32 33 34 42 0 2 19 32 6 45 39 14 28,26 27 38 16 0 1 44 18 5 40 41 52 43,1,2,1
26 32 9 22 16 40 27 16 45 5 0 17 19,42 35 7 14 2 52 20 5 4 13 31 43 14,21,60,0,1,13,26 0 0 40 27 27 16 16 17 30 5 32 45,2 4 5 3 52 42 43 34 13 14 30 31 32,2,2,0
52 26 37 28 26 43 1 19 29 10 20 38 39,17 7 22 43 40 9 1 5 48 32 51 41 5,25,0,16,0,15,26 28 27 52 1 2 29 16 3 42 43 38 45,5 7 6 8 51 40 41 43 13 1 40 15 15,1,2,1
14 44 21 15 23 6 38 10 21 34 20 6 47,2 45 18 41 50 2 43 5 51 10 46 19 7,12,10,0,1,16,14 15 13 21 23 38 20 24 21 34 47 29 42,18 19 17 51 2 4 38 40 41 43 45 46 44,2,2,0
24 16 14 32 36 19 3 21 40 25 48 47 52,13 21 44 12 35 50 33 8 45 5 6 37 34,13,0,3,0,19,24 25 23 14 16 17 15 48 47 49 52 40 42,44 45 43 13 8 5 6 9 35 33 34 32 40,3,1,0
2 35 47 5 7 51 13 8 23 19 20 33 5,18 8 39 36 32 22 3 12 0 7 31 30 15,46,0,6,0,17,20 19 21 7 33 5 14 1 27 2 41 15 28,32 31 30 22 23 25 24 7 3 42 39 0 0,1,1,2
10 29 22 11 39 1 15 23 20 45 12 43 5,40 9 20 21 41 47 3 40 11 46 19 33 51,16,0,5,0,21,10 11 12 29 45 43 52 20 46 22 23 16 25,20 21 19 18 3 32 33 35 40 27 1 0 40,1,2,1
6 46 29 1 28 35 15 46 4 5 18 47 42,17 3 38 25 22 47 49 3 12 28 14 27 27,9,0,16,0,21,6 4 5 46 35 47 49 48 0 1 29 42 16,27 28 29 7 8 6 22 17 4 14 27 3 3,1,2,1
50 9 27 0 44 52 13 37 2 42 21 10 44,17 35 9 40 34 47 8 45 39 26 12 4 18,23,0,36,0,6,44 42 43 52 44 42 10 0 2 50 37 24 36,17 18 19 45 47 46 39 26 40 27 4 35 9,1,2,1
23 11 6 22 43 20 39 5 24 0 31 27 35,0 4 36 9 18 3 35 47 10 30 52 13 50,34,56,0,1,4,23 22 24 39 0 27 2 43 5 31 6 19 20,9 10 11 36 35 47 33 4 30 52 0 13 21,1,1,2
52 26 9 47 50 4 19 50 40 44 43 14 46,25 20 7 24 33 13 19 8 42 12 31 30 45,25,6,0,1,27,43 44 45 52 2 4 40 14 27 1 26 39 26,24 23 22 25 19 17 20 7 33 20 12 13 39,1,1,2
24 22 15 45 25 26 34 11 48 31 6 35 40,16 5 27 16 14 51 28 38 13 8 44 15 46,7,12,0,1,22,34 35 36 24 22 23 30 31 33 26 40 27 15,14 13 15 25 46 27 28 38 36 37 39 13 0,2,1,1
49 18 7 11 38 45 36 13 2 33 40 15 1,51 3 6 23 21 22 42 30 43 35 48 22 18,39,16,0,1,16,1 2 0 13 15 17 18 52 7 33 40 43 31,23 21 22 26 6 8 26 28 30 43 42 41 40,2,2,0
37 22 36 52 10 23 33 40 38 44 37 3 26,43 11 25 8 39 42 13 7 30 30 51 51 0,14,2,0,1,19,37 36 38 35 52 22 23 20 33 32 40 30 26,43 42 44 7 8 14 5 39 13 0 41 42 43,2,1,1
23 8 2 48 38 50 26 22 40 7 20 44 6,37 42 36 5 20 41 43 42 38 14 9 31 18,2,0,2,0,8,48 50 49 47 23 2 22 20 8 7 6 9 15,42 41 43 37 36 38 5 31 44 18 20 28 0,2,1,0
52 3 36 1 38 19 43 34 6 36 9 23 26,8 31 5 44 12 4 4 33 43 29 51 35 40,27,0,50,0,20,42 43 44 52 1 3 40 19 6 14 36 38 14,5 4 3 33 35 40 29 4 43 31 44 7 8,1,2,1
14 51 8 43 34 28 29 33 50 45 37 12 41,49 0 52 20 23 30 41 16 9 49 45 37 19,4,80,0,1,10,14 51 8 43 34 28 29 33 50 45 37 12 41,20 19 18 49 50 48 52 23 49 30 41 15 17,2,0,2
44 1 14 52 9 40 51 1 21 41 10 35 42,25 46 15 49 4 37 8 20 32 50 6 3 29,26,7,0,1,18,9 10 8 41 42 52 44 45 40 1 14 1 28,49 50 51 4 6 13 3 46 20 33 29 39 3,1,1,2
36 51 17 3 27 34 1 46 48 39 9 50 31,29 30 23 37 27 25 11 7 40 41 8 51 2,17,0,21,0,16,48 50 49 36 17 34 51 40 39 1 0 2 12,29 27 28 30 23 25 7 8 6 40 41 2 37,3,1,0
0 23 26 27 24 25 15 13 1 3 21 14 32,49 42 8 38 52 18 33 45 46 11 7 12 30,21,0,6,0,9,23 24 25 21 15 16 18 0 26 13 1 14 27,42 43 41 8 11 12 6 52 45 7 46 33 30,1,1,2
41 33 40 25 2 18 1 0 26 10 36 8 6,7 51 3 28 19 42 1 40 16 34 6 23 37,33,13,0,1,12,2 1 0 33 10 8 40 41 52 26 13 41 29,3 4 2 7 16 18 19 1 40 14 28 30 52,1,2,1
5 30 48 18 12 0 2 45 44 19 27 37 29,3 47 22 50 52 27 4 1 23 31 36 14 40,21,80,0,1,4,5 30 48 18 12 0 2 45 44 19 27 37 29,1 3 2 47 3 4 27 14 40 52 31 32 29,1,2,1
41 40 7 20 7 5 4 21 12 34 5 21 8,2 47 15 9 13 29 16 23 0 12 1 42 8,34,60,0,1,4,21 34 21 8 40 41 4 30 5 5 7 20 7,2 0 1 47 13 15 29 16 42 9 12 8 11,1,2,1
45 30 40 47 41 20 49 5 26 51 18 17 35,27 36 46 8 15 52 43 39 6 40 4 24 0,37,57,0,1,18,40 41 42 43 26 0 30 17 5 18 45 20 47,39 40 51 52 4 6 24 50 43 46 27 1 24,1,2,1
20 38 5 49 4 23 4 28 12 34 30 17 46,18 38 14 34 25 7 19 13 8 41 21 13 19,30,26,0,1,30,4 4 30 17 52 39 0 39 1 28 15 15 42,14 25 13 16 18 52 43 40 41 3 1 2 0,2,2,0
