init.hand1,init.hand2,wcj,score1,score2,winner,numrounds,finish.hand1,finish.hand2,pure.seq.counts,impure.seq.counts,set.counts
16 12 39 45 9 15 44 50 11 30 18 28 46,50 14 28 33 41 31 21 4 4 47 35 31,41,0,80,0,3,16 12 39 45 9 15 44 11 18 28 46 51 15,50 14 28 33 41 31 21 4 4 47 35 31 50,1,3,0
9 42 50 52 8 2 21 18 1 17 20 39 38,0 0 48 44 41 52 39 16 22 47 42 45 40,14,0,2,0,4,9 52 8 21 18 1 17 20 39 16 11 0 26,41 39 42 40 51 44 52 47 45 48 22 1 0,1,2,1
39 19 47 21 42 6 40 43 34 34 3 2 8,32 22 49 11 42 20 31 33 40 21 50 35 7,27,0,2,0,4,47 21 42 6 40 43 34 3 2 8 5 7 14,32 31 33 35 34 49 40 50 22 20 21 19 39,1,2,1
52 34 38 2 37 31 21 39 25 7 25 24 5,42 4 15 8 23 49 32 34 8 47 27 14,41,0,80,0,4,52 34 38 2 37 31 21 25 24 5 2 23 41,42 4 15 8 23 49 32 34 8 47 14 10 21,1,1,2
10 6 8 32 18 12 28 42 45 33 7 43 26,0 46 43 46 45 11 23 30 48 36 31 21,47,0,45,0,5,10 6 8 28 42 45 7 43 26 9 52 32 8,30 31 32 46 45 48 21 0 43 18 11 36 25,1,2,1
9 52 38 28 7 32 22 49 39 14 13 23 37,17 46 47 6 51 1 10 1 6 25 43 33,31,0,80,0,5,52 38 22 14 13 23 37 9 7 10 52 36 21,17 46 47 6 1 10 1 6 25 43 33 28 32,2,2,0
51 21 4 35 10 8 23 32 3 15 19 30 51,21 27 41 33 48 48 0 11 17 31 35 1,43,0,80,0,6,21 4 10 8 23 32 19 30 14 15 9 6 24,21 41 33 48 48 11 17 31 35 1 51 51 35,1,2,1
37 48 39 36 15 10 29 51 32 43 4 46 33,17 23 23 27 47 44 0 10 11 45 21 11 9,48,0,18,0,6,37 48 39 36 29 51 43 4 35 16 3 41 38,10 11 9 52 0 2 44 45 47 46 27 17 33,1,1,2
31 2 35 4 0 43 34 34 21 22 8 6 40,46 40 25 6 46 31 41 33 3 1 16 52 48,7,80,0,1,5,31 2 35 4 43 34 34 22 8 20 48 21 32,15 16 17 46 1 3 46 33 25 40 41 52 43,1,3,0
5 24 8 21 4 11 44 9 25 17 47 7 19,45 32 35 33 50 20 52 34 0 38 39 37 23,0,51,0,1,3,5 24 8 4 11 44 9 47 7 19 13 45 21,32 33 34 35 52 38 37 0 15 17 39 23 10,1,2,1
37 42 0 34 41 23 39 8 27 44 30 47 9,28 10 45 10 20 8 18 36 50 16 11 7,15,0,80,0,4,42 0 34 41 23 39 8 44 47 22 21 26 13,28 10 45 10 20 8 18 36 50 16 11 7 37,1,1,2
49 48 7 14 15 7 22 20 30 18 4 50 8,40 35 0 19 11 5 51 52 34 3 49 36,45,0,9,0,4,49 48 7 14 15 7 20 50 10 32 33 8 52,35 34 36 19 51 49 5 52 18 0 26 26 40,1,2,1
46 39 34 31 12 35 20 40 6 29 2 7 9,14 48 29 2 40 23 27 51 35 19 14 6,46,0,80,0,2,46 39 34 31 12 35 20 40 29 2 7 36 0,14 48 29 2 40 23 27 51 35 19 14 6 9,1,3,0
22 43 24 20 10 45 32 13 17 25 39 2 19,0 32 33 46 21 8 30 23 42 26 52 43 16,33,0,80,0,5,22 43 24 20 45 32 13 17 25 19 23 52 33,46 0 2 42 16 30 43 32 6 21 8 10 50,1,1,2
21 36 46 25 47 48 33 6 37 22 32 34 28,23 17 20 28 11 13 14 14 9 35 12 16 34,18,0,64,0,5,21 36 46 47 48 33 37 32 34 34 8 52 35,13 14 25 26 14 28 16 16 17 20 23 11 9,3,0,1
31 10 24 38 8 13 37 1 7 49 50 52 19,41 25 3 27 50 32 30 37 22 14 35 11,30,0,76,0,11,10 24 38 8 37 1 7 50 52 36 2 11 17,30 29 31 27 41 3 29 46 25 50 37 22 34,1,2,1
9 42 17 23 43 36 30 35 3 26 19 37 38,9 51 44 42 34 14 1 7 34 15 5 25,38,0,42,0,5,9 42 17 43 36 30 35 3 37 38 16 8 10,9 7 8 51 34 25 14 1 15 42 5 34 23,2,0,2
49 48 0 22 48 10 14 36 19 41 43 13 50,50 24 36 40 18 33 25 25 30 46 7 43,28,0,80,0,13,49 48 22 48 10 14 36 41 13 50 51 52 25,50 24 36 40 18 25 30 46 7 43 27 42 20,2,0,2
38 3 48 33 37 18 50 44 24 16 47 42 45,36 26 27 11 21 49 29 3 21 28 1 48 44,24,0,23,0,3,38 3 48 37 18 50 44 24 16 47 42 45 36,26 27 29 28 11 49 48 1 3 2 44 18 33,1,1,2
22 1 5 13 17 0 43 29 38 26 40 7 6,33 42 21 45 2 43 22 19 36 0 34 39 39,29,0,43,0,5,22 5 13 0 43 29 26 6 3 25 44 7 45,2 0 1 42 36 34 39 39 43 30 19 7 9,2,1,1
