init.hand1,init.hand2,wcj,score1,score2,winner,numrounds,finish.hand1,finish.hand2,pure.seq.counts,impure.seq.counts,set.counts
27 47 25 4 35 37 30 22 45 9 29 49 48,2 14 5 52 11 10 9 2 28 44 50 24 3,43,3,0,1,3,47 49 48 4 25 14 35 22 9 30 42 29 27,2 5 52 11 10 9 2 28 50 24 3 37 17,1,1,2
39 38 35 5 45 25 12 18 44 37 4 27,8 52 21 47 29 21 46 31 17 12 17 11 34,14,80,0,1,4,39 38 35 5 45 25 18 44 37 4 27 7 17,8 52 47 29 21 46 31 12 11 34 14 33 10,1,1,2
42 37 46 40 7 8 29 7 2 13 27 32,13 24 14 4 36 18 25 19 46 3 19 39 12,0,80,0,1,4,42 37 46 40 7 8 29 7 2 13 32 8 36,13 24 4 18 25 46 3 19 39 47 23 5 49,2,2,0
17 52 26 12 35 16 23 16 5 41 43 32,22 20 34 41 6 4 42 42 45 43 52 51 36,31,80,0,1,6,52 5 26 28 17 43 32 35 23 51 36 11 46,22 20 41 6 4 42 42 45 43 52 44 21 44,2,2,0
37 36 5 49 16 7 50 4 1 46 14 27 45,15 44 15 26 34 38 43 17 23 28 13 12 44,13,80,0,1,6,46 44 1 27 15 16 4 5 7 37 36 49 48,15 26 38 43 17 28 13 12 44 18 19 51 45,2,0,2
34 48 22 43 10 38 14 23 45 13 47 18,49 16 3 19 28 7 20 29 26 35 28 43 17,4,2,0,1,7,48 47 49 43 34 35 23 10 49 18 44 31 13,3 19 28 20 29 26 28 43 17 1 31 2 27,2,2,0
36 39 39 11 51 8 46 41 17 20 21 44 45,10 33 31 5 49 24 10 41 0 23 19 34 3,1,61,0,1,8,46 44 45 47 39 41 29 17 19 6 20 7 36,33 31 5 49 24 10 23 34 21 44 35 52 1,1,1,2
20 7 36 35 31 37 19 19 22 13 44 0,18 34 47 1 37 50 14 9 33 39 44 30 6,15,49,0,1,10,36 35 37 38 13 0 13 4 43 44 19 19 6,34 47 1 50 33 44 2 18 49 3 31 41 32,2,1,1
50 22 0 13 21 26 32 1 40 7 8 29 2,24 5 51 52 23 23 7 40 3 8 14 29 21,41,9,0,1,5,1 2 4 3 15 29 32 28 0 13 26 40 43,24 5 51 52 23 7 40 8 21 47 21 22 15,1,2,1
22 46 48 16 49 28 23 43 2 7 12 16,6 49 3 40 5 26 15 51 45 19 21 28 39,4,11,0,1,12,22 23 21 48 43 51 49 44 46 45 0 2 16,6 3 40 5 26 28 39 51 45 29 4 19 17,2,1,1
28 11 36 3 29 20 46 41 35 34 27 43 12,42 24 1 11 7 1 27 34 12 19 5 22 35,9,44,0,1,8,28 29 27 35 28 31 29 41 3 43 20 34 37,24 1 11 7 1 27 12 5 22 35 14 0 9,1,1,2
18 43 11 40 43 34 11 32 27 39 3 45 48,26 30 49 22 12 0 6 40 36 25 7 24 3,38,4,0,1,13,43 45 44 52 30 32 29 40 27 14 1 39 39,49 22 12 0 6 25 7 24 25 36 5 26 51,1,1,2
26 47 35 38 14 29 34 50 33 21 52 15,37 2 40 6 47 34 11 35 22 5 15 44 30,46,12,0,1,14,35 34 33 29 30 28 25 38 33 39 14 40 15,37 2 6 47 34 35 5 15 41 21 8 52 36,1,1,2
19 39 2 40 10 51 11 29 50 31 13 49 36,23 5 5 0 33 46 7 32 17 43 1 16 29,28,0,15,0,7,39 40 51 21 23 22 10 49 36 2 29 16 52,5 0 33 7 32 17 43 1 29 4 52 31 3,2,0,2
2 52 50 42 42 17 7 52 50 44 27 27 25,41 8 4 43 24 48 20 28 37 31 11 39 40,23,3,0,1,10,5 7 6 52 0 2 52 44 18 49 27 28 27,41 4 24 37 11 39 40 29 3 16 2 42 42,2,0,2
7 41 51 28 45 29 29 33 12 32 1 12 30,46 50 33 45 28 2 43 39 35 47 48 17 9,13,59,0,1,4,28 29 30 27 1 41 29 17 5 45 32 7 33,46 33 45 28 2 39 35 47 48 9 34 31 15,1,1,2
20 27 33 1 10 30 35 51 28 13 43 4 34,25 42 23 10 41 5 15 23 4 17 26 37 14,45,0,18,0,14,26 27 38 52 20 22 33 35 34 36 13 39 19,42 10 5 15 23 4 17 14 29 41 43 3 49,2,1,1
23 42 40 39 49 1 34 4 12 13 29 36 10,33 16 19 51 50 6 5 38 43 52 18 35 24,8,68,0,1,7,34 34 13 40 1 42 29 43 5 31 23 49 12,33 16 19 51 6 5 38 52 18 4 17 35 25,2,1,1
7 50 5 3 38 12 35 17 45 12 28 7 20,34 33 47 42 1 24 21 24 46 32 45 32 35,38,41,0,1,19,38 12 12 40 1 40 14 15 41 15 3 4 17,34 33 47 42 21 46 45 32 39 20 22 41 25,3,1,0
20 34 17 5 27 41 35 2 29 45 25 34 33,50 3 49 52 13 38 23 32 19 3 45 52 7,22,24,0,1,5,34 35 33 36 48 2 5 3 27 41 29 17 43,50 49 52 23 32 19 45 52 7 46 25 20 51,1,1,2
19 46 40 48 32 34 43 26 38 52 27 29 3,43 10 24 30 33 8 6 3 42 50 47 37 16,2,21,0,1,13,40 51 39 26 38 52 28 25 24 0 29 43 32,43 10 30 8 3 42 50 47 16 48 4 52 49,1,1,2
4 46 37 45 22 40 31 49 38 41 43 28,25 2 5 1 15 9 21 14 44 14 13 47 20,3,71,0,1,9,22 20 21 40 41 2 4 31 45 46 37 49 38,25 5 15 21 14 13 47 8 34 2 6 28 3,1,1,2
20 14 51 28 0 24 20 50 2 12 45 44,11 17 42 41 33 41 22 14 1 3 39 9 8,27,78,0,1,4,14 0 13 28 2 4 17 44 45 20 51 24 50,11 42 41 41 14 1 39 9 8 42 7 10 12,2,2,0
20 8 34 51 33 6 3 34 11 24 50 45,44 16 4 5 30 0 39 3 15 7 10 0 9,24,0,35,0,5,33 34 32 11 44 45 5 24 6 8 50 26 38,16 4 5 30 3 15 7 10 0 9 17 1 12,1,3,0
15 5 42 5 48 17 2 2 34 35 40 36,28 8 49 1 10 52 20 24 14 23 13 18 8,35,52,0,1,15,48 9 26 0 40 14 15 28 2 42 45 32 20,49 10 52 20 24 14 13 18 21 52 48 23 19,1,2,1
42 51 6 14 24 20 37 41 3 30 34 36,11 44 4 47 44 42 10 15 2 33 50 39 49,43,32,0,1,7,34 36 33 35 42 41 30 44 14 41 3 51 24,11 4 47 44 42 10 15 2 50 49 43 28 48,2,1,1
52 50 15 28 16 39 7 32 47 48 19 12,10 19 38 28 40 30 39 22 45 6 11 23 40,31,80,0,1,10,52 50 15 39 7 48 19 12 37 23 45 4 40,10 19 28 30 6 11 45 32 21 22 31 29 23,2,1,1
3 46 47 6 31 44 19 50 43 12 34 26,26 45 33 6 30 38 29 11 43 14 7 35 39,49,0,10,0,17,43 44 45 36 34 35 32 3 5 10 2 23 0,26 45 33 6 38 29 7 19 30 46 35 31 27,1,3,0
22 29 8 12 34 32 14 27 40 51 13 9 11,10 15 9 25 39 10 50 18 18 31 2 20 23,36,76,0,1,5,14 13 25 27 40 17 43 32 22 8 12 34 51,10 15 9 10 18 18 31 2 20 23 17 11 19,2,0,2
47 41 32 19 32 27 25 5 30 42 12 24 0,16 4 2 33 45 22 51 52 36 41 13 35 34,42,80,0,1,11,12 25 42 24 22 27 41 30 5 32 38 22 20,16 4 2 33 45 52 35 34 47 48 6 8 7,2,2,0
50 46 7 35 44 6 3 50 37 40 40 24,42 45 29 32 25 21 13 16 36 3 20 49 11,2,46,0,1,5,35 37 36 6 7 8 40 40 29 44 46 33 11,42 45 29 32 25 21 13 16 3 20 52 14 28,1,1,2
3 22 28 23 24 45 21 47 12 14 10 23 14,11 38 6 1 34 9 38 26 4 35 8 51 42,17,8,0,1,12,22 23 24 45 47 30 48 3 42 16 13 14 14,11 38 6 9 38 26 4 51 25 10 5 8 52,1,2,1
46 12 13 7 48 20 52 23 10 28 16 49 47,41 26 16 19 29 11 5 43 34 39 6 8 42,31,2,0,1,5,46 48 47 20 52 22 23 10 49 5 34 36 13,41 26 29 5 43 39 6 8 42 7 30 28 0,3,0,1
34 2 41 3 31 18 17 38 46 19 38 41,25 27 32 15 13 8 18 6 44 6 12 14 30,17,69,0,1,13,18 17 39 2 41 41 2 3 29 5 31 48 23,25 32 15 13 8 18 6 44 6 14 30 45 31,1,1,2
5 11 14 41 32 43 20 9 34 42 21 5 23,13 6 45 36 25 37 19 51 52 30 41 22 39,8,23,0,1,6,41 43 42 11 34 12 21 20 22 14 30 5 5,13 6 45 25 51 52 41 39 19 1 2 0 47,1,2,1
8 12 19 37 2 24 22 20 35 44 49 49,17 38 1 46 7 4 33 13 22 9 6 23 42,7,80,0,1,5,8 12 19 2 24 22 20 35 44 49 49 1 42,17 46 7 4 33 22 9 6 23 43 46 42 44,1,2,1
38 25 38 29 44 26 35 6 34 39 37 48,7 39 22 0 25 31 29 32 2 23 41 17 52,47,0,9,0,22,26 27 28 29 6 7 5 32 45 6 34 31 5,39 22 0 29 2 41 52 1 23 14 31 30 32,2,0,2
38 13 6 26 38 35 12 40 32 36 11 32,45 28 41 27 28 23 42 5 18 10 46 18 30,43,51,0,1,9,6 7 5 26 38 27 13 40 32 32 38 35 12,45 41 27 28 23 42 10 46 30 52 48 29 36,1,2,1
41 47 36 9 34 25 23 15 31 19 0 9,27 31 50 43 1 33 50 20 12 38 29 29 16,40,80,0,1,8,41 47 36 9 34 23 15 19 0 50 10 20 33,27 31 1 50 12 38 29 49 43 45 30 25 52,1,2,1
15 30 41 12 9 37 42 34 27 43 11 30 27,16 52 29 22 38 16 50 3 10 14 33 9 21,47,43,0,1,4,41 42 43 12 9 34 27 27 15 28 30 30 50,16 52 29 38 16 3 10 14 9 21 37 13 11,1,2,1
37 16 25 36 11 34 38 19 52 18 14 27 10,15 25 32 44 11 13 48 49 10 26 20 52 37,40,0,80,0,0,37 36 38 16 19 52 18 11 14 10 34 27 21,15 25 32 44 11 13 48 49 10 26 20 52 37,1,2,1
12 42 34 0 31 49 35 39 37 7 13 10,19 32 45 23 51 43 46 44 18 7 6 47 29,15,80,0,1,5,12 42 34 0 31 49 35 7 13 10 10 23 23,19 32 45 51 43 46 44 6 47 52 49 39 2,1,2,1
13 28 7 38 23 30 18 4 46 31 20 12,20 34 13 33 42 21 5 38 22 16 36 18 17,40,80,0,1,5,13 28 7 38 23 30 18 4 31 20 12 5 37,20 34 13 33 21 22 16 36 18 17 26 40 35,3,0,1
4 2 0 45 40 20 44 26 38 41 34 34,18 12 45 33 6 29 44 47 30 4 9 20 19,31,68,0,1,8,44 45 43 0 40 2 41 4 20 38 34 34 36,18 45 6 29 44 30 4 20 19 2 21 19 32,1,2,1
36 1 31 20 7 14 35 43 41 14 18 27 30,33 46 11 45 30 29 29 40 13 0 1 39 15,21,3,0,1,14,27 29 28 41 43 52 31 18 44 20 7 33 14,46 45 30 29 40 13 0 1 39 27 21 52 47,1,1,2
39 45 14 10 50 37 23 44 23 9 21 47,0 42 7 15 34 9 33 52 16 49 46 50 5,2,80,0,1,10,44 47 46 43 39 0 14 30 32 6 33 50 38,42 7 15 34 9 52 16 49 50 35 10 33 51,2,1,1
35 6 38 34 8 24 51 16 10 27 46 48,45 41 26 8 49 42 36 7 43 17 9 6 50,40,80,0,1,4,35 6 38 8 24 51 16 10 46 48 40 45 50,41 8 49 42 36 7 43 17 9 6 30 4 27,2,0,2
25 51 52 45 14 1 17 50 22 4 30 23,3 16 12 10 35 16 11 21 19 25 46 3 2,29,80,0,1,2,25 51 52 45 14 1 17 50 22 4 23 36 46,3 16 12 10 35 16 11 21 19 46 3 9 44,1,2,1
42 2 6 51 52 32 22 35 2 39 32 47 0,39 0 24 46 4 35 12 4 31 6 52 25 13,26,80,0,1,4,52 39 0 2 42 6 32 32 46 51 22 35 9,39 0 24 46 35 4 6 52 25 13 47 9 5,1,2,1
23 39 18 41 5 51 24 27 36 34 50 43,19 21 39 25 1 4 44 10 45 14 9 51 33,43,7,0,1,18,0 1 2 43 39 41 30 27 1 29 3 39 15,19 21 25 4 44 10 45 9 51 38 20 7 17,1,2,1
31 34 7 48 18 0 8 9 51 6 20 11 47,31 14 26 23 42 15 19 4 29 29 33 41 50,30,2,0,1,10,7 8 9 0 1 2 18 4 31 6 45 19 26,31 14 23 42 15 4 29 29 36 30 3 16 28,1,1,2
49 30 44 28 2 19 37 50 8 46 9 36 38,40 25 13 22 4 41 4 1 47 43 42 42 28,38,62,0,1,10,30 32 31 28 2 15 2 16 4 44 19 37 50,40 25 22 41 4 43 42 42 9 38 51 40 6,1,2,1
47 18 37 5 35 4 3 34 16 32 24 26 27,0 28 17 29 52 14 24 25 5 11 34 12 46,48,37,0,1,8,5 4 3 47 49 18 19 22 26 27 14 41 25,0 28 17 29 52 14 24 11 12 37 1 35 16,1,2,1
0 26 4 38 12 33 45 43 8 38 46 16,25 2 31 28 17 35 36 39 19 51 9 14 18,36,65,0,1,10,45 43 46 44 26 2 16 4 33 20 12 8 38,31 28 17 35 36 39 19 51 9 18 30 10 29,2,1,1
30 33 28 19 30 45 38 4 49 25 8 16,17 27 39 10 16 48 19 18 46 34 13 4 43,20,80,0,1,5,30 33 28 19 30 45 38 4 49 25 8 43 10,17 27 39 16 19 18 46 13 4 43 52 26 28,1,1,2
22 19 44 15 25 7 16 39 9 32 44 41,27 36 38 48 37 50 27 40 14 45 17 2 17,47,80,0,1,6,22 19 15 25 7 39 9 32 44 41 22 27 45,36 38 48 37 50 27 40 14 17 15 16 34 49,3,0,1
51 9 3 34 36 44 21 5 31 21 38 49,30 33 26 29 9 27 51 36 15 45 28 37 12,2,80,0,1,7,51 9 3 34 36 44 21 5 31 21 38 49 3,30 26 29 27 51 36 15 28 37 12 0 39 28,1,1,2
34 23 10 9 25 0 0 29 8 42 20 2 7,12 41 18 47 47 24 26 51 33 6 27 44 13,16,0,80,0,7,8 7 6 23 25 24 29 2 41 10 9 42 12,47 26 33 6 27 44 34 46 24 37 11 40 46,2,1,1
7 35 29 32 7 14 48 22 42 50 0 16 6,1 17 15 38 18 30 51 13 45 4 12 28 17,9,0,80,0,3,6 7 8 35 48 7 29 42 16 1 0 2 22,1 17 15 38 18 30 51 45 4 12 28 17 47,2,1,1
13 30 27 13 8 48 21 45 43 10 37 40,32 38 23 14 19 34 46 28 48 39 52 28 44,33,80,0,1,6,45 43 44 13 40 19 48 21 10 37 23 23 19,32 38 14 19 46 48 52 28 15 13 50 27 45,1,2,1
13 1 20 24 15 51 25 34 35 6 7 3 42,30 29 48 18 15 4 13 2 10 11 40 47 35,47,80,0,1,9,34 13 1 40 3 42 6 20 24 51 25 35 10,30 29 15 4 13 2 47 31 45 43 46 21 3,2,2,0
12 27 6 41 36 2 40 32 47 43 6 2,49 43 7 47 1 52 17 33 28 40 35 32 20,46,80,0,1,1,12 27 6 41 36 2 40 32 47 43 6 2 24,49 43 7 47 1 52 17 33 40 35 32 20 48,1,1,2
38 29 12 21 7 37 34 28 19 50 32 5,49 33 16 39 0 18 4 51 45 35 39 30 7,0,59,0,1,5,29 28 27 38 37 52 41 19 32 7 12 21 34,49 33 16 39 0 18 4 51 35 39 30 15 50,1,2,1
11 50 39 20 17 36 26 2 24 0 3 39 30,9 15 28 52 1 8 23 38 42 26 32 46 2,10,17,0,1,10,2 3 4 36 17 18 0 52 12 39 26 42 45,9 15 28 52 1 8 23 2 41 49 14 27 26,1,1,2
5 9 19 25 49 41 44 39 45 26 37 8 44,20 40 32 5 43 12 15 7 34 33 46 18 14,32,26,0,1,8,44 45 43 9 19 8 39 26 26 41 2 16 5,20 40 32 43 15 7 33 46 14 34 42 16 35,2,1,1
48 43 25 39 0 9 18 45 5 9 30 16,22 26 42 52 34 32 35 45 49 28 6 35 3,33,66,0,1,22,39 0 40 14 16 42 3 43 30 18 5 31 6,22 26 42 52 45 28 35 9 44 32 7 19 27,1,1,2
