,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,78,20,0,1,0,0,0
1,62,20,0,1,1,0,0
2,80,20,0,1,0,0,0
3,69,20,0,1,0,0,0
4,80,0,1,5,1,1,2
5,57,20,0,1,1,0,0
6,55,20,0,1,1,0,0
7,80,0,1,4,1,2,1
8,80,0,1,4,1,2,1
9,80,0,1,4,1,1,2
10,80,0,1,5,1,3,0
11,80,0,1,12,1,3,0
12,80,20,0,1,0,0,0
13,45,0,1,1,1,2,1
14,80,20,0,1,0,0,0
15,80,20,0,1,0,0,0
16,80,0,1,3,1,1,2
17,80,20,0,1,0,0,0
18,80,0,1,11,1,1,2
19,80,0,1,4,1,3,0
20,42,0,1,1,1,2,1
21,52,20,0,1,1,0,0
22,80,20,0,1,0,0,0
23,80,0,1,6,1,2,1
24,76,20,0,1,0,0,0
25,80,20,0,1,0,0,0
26,80,20,0,1,0,0,0
27,80,0,1,6,2,0,2
28,65,20,0,1,1,0,0
29,55,20,0,1,1,0,0
30,80,0,1,3,1,1,2
31,80,20,0,1,0,0,0
32,80,0,1,9,1,1,2
33,80,0,1,4,2,0,2
34,68,20,0,1,1,0,0
35,75,20,0,1,1,0,0
36,47,20,0,1,1,0,0
37,80,0,1,9,1,2,1
38,80,0,1,7,1,1,2
39,80,20,0,1,0,0,0
40,80,20,0,1,0,0,0
41,36,20,0,1,2,0,0
42,80,0,1,8,1,2,1
43,80,0,1,9,1,2,1
44,80,20,0,1,0,0,0
45,80,0,1,3,1,2,1
46,80,0,1,10,1,2,1
47,80,0,1,9,1,1,2
48,80,0,1,3,1,2,1
49,80,0,1,7,1,1,2
50,80,0,1,18,1,2,1
51,53,20,0,1,1,0,0
52,80,0,1,15,1,1,2
53,80,20,0,1,0,0,0
54,80,20,0,1,0,0,0
55,80,20,0,1,0,0,0
56,80,0,1,7,1,1,2
57,80,0,1,8,1,1,2
58,80,0,1,5,1,3,0
59,80,0,1,3,2,1,1
60,80,0,1,6,1,2,1
61,80,0,1,7,1,1,2
62,80,0,1,12,2,1,1
63,80,0,1,4,3,1,0
64,80,0,1,4,1,3,0
65,44,20,0,1,1,1,0
66,80,0,1,5,2,2,0
67,80,0,1,6,3,1,0
68,74,20,0,1,1,0,0
69,80,0,1,9,1,1,2
70,53,20,0,1,1,1,0
71,80,20,0,1,0,0,0
72,80,0,1,9,2,1,0
73,80,0,1,3,1,1,2
74,80,0,1,10,2,0,2
75,72,20,0,1,1,0,0
76,67,20,0,1,0,0,0
77,79,20,0,1,1,0,0
78,80,20,0,1,0,0,0
79,80,0,1,5,1,2,1
80,80,0,1,9,1,1,2
81,80,0,1,5,2,1,1
82,80,0,1,5,1,1,2
83,60,0,1,3,1,2,1
84,80,0,1,7,2,1,1
85,80,0,1,5,2,2,0
86,80,20,0,1,0,0,0
87,80,0,1,12,3,0,1
88,62,20,0,1,1,0,0
89,80,0,1,2,1,2,1
90,80,0,1,6,1,1,2
91,80,0,1,9,1,2,1
92,80,20,0,1,0,0,0
93,80,0,1,5,1,2,1
94,80,20,0,1,0,0,0
95,80,0,1,7,1,1,2
96,80,20,0,1,0,0,0
97,79,20,0,1,0,0,0
98,80,0,1,5,1,1,2
99,80,20,0,1,0,0,0
100,80,0,1,7,1,3,0
101,74,20,0,1,0,0,0
102,80,0,1,5,1,1,2
103,80,0,1,11,2,0,2
104,80,0,1,7,2,1,1
105,13,20,0,1,2,1,0
106,73,20,0,1,0,0,0
107,80,0,1,2,1,1,2
108,80,20,0,1,0,0,0
109,80,0,1,8,1,2,1
110,80,20,0,1,0,0,0
111,80,20,0,1,0,0,0
112,80,20,0,1,0,0,0
113,80,20,0,1,0,0,0
114,80,20,0,1,0,0,0
115,80,0,1,7,1,1,2
116,76,0,1,3,1,2,1
117,75,20,0,1,1,0,0
118,80,0,1,5,2,2,0
119,80,0,1,14,1,1,2
120,80,0,1,7,1,1,2
121,80,20,0,1,0,0,0
122,80,20,0,1,0,0,0
123,80,0,1,5,1,3,0
124,76,0,1,2,1,2,1
125,80,20,0,1,0,0,0
126,80,0,1,4,1,1,2
127,71,20,0,1,1,0,0
128,80,0,1,5,1,1,2
129,80,0,1,9,1,3,0
130,80,0,1,9,1,1,2
131,24,20,0,1,1,1,0
132,80,0,1,7,1,1,2
133,80,20,0,1,0,0,0
134,80,0,1,10,1,2,1
135,80,0,1,10,1,2,1
136,80,0,1,3,1,2,1
137,80,20,0,1,0,0,0
138,80,20,0,1,0,0,0
139,80,0,1,6,1,1,2
140,80,20,0,1,0,0,0
141,40,20,0,1,1,1,0
142,80,0,1,20,2,2,0
143,80,0,1,10,2,1,1
144,80,0,1,7,1,1,2
145,80,0,1,7,1,1,2
146,78,20,0,1,0,0,0
147,41,20,0,1,1,1,0
148,80,20,0,1,0,0,0
149,65,20,0,1,1,0,0
150,80,0,1,4,2,1,1
151,80,20,0,1,0,0,0
152,65,20,0,1,1,0,0
153,78,20,0,1,1,0,0
154,80,0,1,11,2,0,2
155,75,20,0,1,1,0,0
156,63,20,0,1,1,0,0
157,80,20,0,1,0,0,0
158,80,0,1,8,2,1,1
159,74,0,1,7,1,3,0
160,80,0,1,4,2,2,0
161,80,0,1,2,2,2,0
162,32,20,0,1,2,0,1
