,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,42,20,0,1,1,1,0
1,0,21,0,4,2,0,2
2,0,58,0,5,1,1,2
3,0,80,0,1,1,2,1
4,29,0,1,4,1,1,2
5,0,29,0,7,1,2,1
6,50,20,0,1,1,0,0
7,79,0,1,2,1,1,2
8,0,46,0,4,2,1,1
9,33,0,1,5,1,2,1
10,29,0,1,4,3,0,1
11,58,0,1,9,1,3,0
12,0,30,0,7,3,1,0
13,0,7,0,1,3,0,1
14,0,14,0,7,1,2,1
15,5,0,1,11,1,2,1
16,0,21,0,5,2,2,0
17,20,80,1,1,0,0,0
18,0,72,0,3,1,1,2
19,80,0,1,3,2,2,0
20,12,0,1,1,2,1,1
21,0,7,0,13,1,1,2
22,20,80,1,1,0,0,0
23,69,0,1,8,1,1,2
24,0,80,0,4,1,2,1
25,0,44,0,14,3,1,0
26,20,80,1,1,0,0,0
27,80,0,1,8,1,1,2
28,14,0,1,4,2,1,1
29,0,24,0,7,2,0,2
30,0,20,0,6,2,0,2
31,37,0,1,9,1,2,1
32,69,0,1,5,1,1,2
33,37,0,1,8,1,1,2
34,77,0,1,9,1,2,1
35,49,0,1,4,2,1,1
36,0,31,0,8,1,1,2
37,20,79,1,1,0,0,0
38,80,0,1,5,1,1,2
39,0,80,0,4,1,1,2
40,80,20,0,1,0,0,0
41,14,20,0,1,2,1,0
42,0,63,0,3,1,2,1
43,0,48,0,4,1,1,2
44,80,20,0,1,0,0,0
45,58,0,1,4,2,1,1
46,0,20,0,5,1,1,2
47,20,69,1,1,1,0,0
48,76,0,1,7,1,1,2
49,0,7,0,18,1,2,1
50,25,0,1,3,1,1,2
51,0,2,0,17,3,0,1
52,72,0,1,11,1,1,2
53,13,0,1,9,1,1,2
54,0,3,0,8,1,2,1
55,80,0,1,5,2,2,0
56,10,0,1,8,1,3,0
57,0,46,0,7,1,2,1
58,0,10,0,3,3,0,1
59,0,16,0,8,2,1,0
60,0,69,0,6,1,1,2
61,80,0,1,4,1,2,1
62,0,4,0,12,2,0,2
63,80,0,1,3,4,0,0
64,0,59,0,4,2,1,1
65,14,20,0,1,1,1,1
66,21,0,1,4,2,1,1
67,0,53,0,7,2,1,1
68,20,0,1,2,2,1,1
69,31,0,1,11,1,1,2
70,15,20,0,1,1,2,0
71,0,80,0,4,1,1,2
72,0,35,0,7,1,1,2
73,68,0,1,7,1,1,2
74,45,0,1,7,2,0,2
75,80,0,1,6,2,1,1
76,0,38,0,7,1,2,1
77,0,10,0,9,3,0,1
78,0,42,0,2,2,0,2
79,80,0,1,3,1,2,1
80,0,45,0,9,1,1,2
81,80,0,1,5,1,1,2
82,15,0,1,7,3,1,0
83,7,0,1,7,3,0,1
84,0,17,0,4,2,0,2
85,80,20,0,1,0,0,0
86,0,80,0,14,1,1,2
87,37,0,1,7,2,0,2
88,0,80,0,3,1,2,1
89,0,13,0,4,1,1,2
90,41,0,1,3,1,2,1
91,65,0,1,7,2,0,2
92,76,0,1,10,1,1,2
93,0,22,0,2,1,1,2
94,20,80,1,1,0,0,0
95,20,75,1,1,0,0,0
96,0,12,0,8,2,1,1
97,0,54,0,8,1,2,1
98,10,0,1,15,2,1,1
99,0,2,0,11,2,0,2
100,19,0,1,4,1,1,2
101,0,22,0,7,2,1,1
102,65,0,1,5,2,0,2
103,80,0,1,8,1,1,2
104,30,0,1,5,2,1,1
105,0,56,0,1,2,2,0
106,69,20,0,1,0,0,0
107,20,8,1,1,1,2,0
108,0,43,0,5,2,2,0
109,76,0,1,8,2,2,0
110,20,80,1,1,0,0,0
111,20,80,1,1,0,0,0
112,12,0,1,8,3,0,1
113,20,80,1,1,0,0,0
114,69,20,0,1,1,0,0
115,0,67,0,3,1,2,1
116,58,0,1,1,1,2,1
117,23,0,1,9,1,1,2
118,0,46,0,2,3,1,0
119,0,12,0,5,2,1,1
120,0,64,0,12,2,1,1
121,16,0,1,10,1,1,2
122,74,20,0,1,1,0,0
123,0,30,0,2,3,0,1
124,26,0,1,10,2,1,1
125,18,0,1,6,2,1,1
126,36,0,1,5,1,3,0
127,0,80,0,8,2,1,1
128,35,0,1,3,2,2,0
129,0,18,0,7,1,1,2
130,80,0,1,8,1,1,2
131,0,62,0,4,1,1,2
132,80,0,1,5,1,2,1
133,20,80,1,1,0,0,0
134,20,76,1,1,0,0,0
135,0,44,0,2,2,1,1
136,0,11,0,6,1,2,1
137,80,0,1,9,1,2,1
138,80,0,1,15,1,2,1
139,80,0,1,5,1,2,1
140,79,0,1,5,1,2,1
141,0,80,0,2,2,1,1
142,13,0,1,19,1,1,2
143,9,0,1,11,1,2,1
144,34,20,0,1,1,2,0
145,0,17,0,3,1,2,1
146,68,20,0,1,0,0,0
147,14,0,1,8,1,1,2
148,0,59,0,3,1,1,2
149,0,80,0,6,1,2,1
150,51,0,1,1,1,2,1
151,0,80,0,2,1,1,2
152,20,0,1,8,1,1,2
153,20,80,1,1,0,0,0
154,0,64,0,8,1,1,2
155,17,20,0,1,1,1,1
156,53,0,1,8,2,2,0
157,76,20,0,1,0,0,0
158,0,15,0,8,1,3,0
159,0,63,0,4,1,3,0
160,0,33,0,4,1,3,0
161,21,0,1,2,1,3,0
162,0,80,0,2,3,1,0
163,0,16,0,4,2,0,2
164,71,20,0,1,1,0,0
165,0,78,0,4,2,1,1
166,20,56,1,1,0,0,0
167,0,53,0,9,2,1,1
168,0,34,0,5,2,0,2
169,80,20,0,1,0,0,0
170,5,0,1,7,1,2,1
171,0,21,0,3,1,2,1
172,0,53,0,3,2,1,1
173,0,30,0,4,1,2,1
174,11,0,1,6,1,1,2
175,14,0,1,14,2,1,1
176,0,18,0,7,1,1,2
177,44,0,1,10,1,1,2
178,52,0,1,9,1,2,1
179,55,20,0,1,0,0,0
180,20,79,1,1,0,0,0
181,80,20,0,1,0,0,0
182,20,67,1,1,1,0,0
183,8,0,1,4,1,2,1
184,0,10,0,13,1,1,2
185,20,80,1,1,0,0,0
186,0,70,0,4,1,2,1
187,0,56,0,9,1,3,0
188,80,0,1,7,2,1,1
189,9,0,1,3,1,1,2
190,0,16,0,12,2,1,1
191,20,80,1,1,0,0,0
192,0,46,0,2,1,2,1
193,12,0,1,5,2,1,1
194,80,20,0,1,0,0,0
195,80,0,1,3,1,2,1
196,0,59,0,5,1,2,1
197,2,0,1,9,2,1,1
198,33,20,0,1,1,1,0
199,20,71,1,1,1,0,0
200,20,63,1,1,1,0,0
201,0,80,0,2,1,2,1
202,55,0,1,12,2,0,2
203,61,0,1,9,2,1,1
204,2,0,1,6,2,2,0
205,0,8,0,3,1,1,2
206,0,24,0,9,1,2,1
207,0,74,0,2,2,1,1
208,24,0,1,3,1,1,2
209,57,0,1,5,1,1,2
210,0,80,0,4,1,2,1
211,80,20,0,1,0,0,0
212,0,7,0,8,1,1,2
213,0,69,0,5,2,1,1
214,0,20,0,3,1,1,2
215,0,80,0,1,2,1,1
216,0,66,0,2,1,2,0
217,59,0,1,21,1,2,1
218,0,80,0,1,1,1,2
219,0,16,0,8,1,1,2
