,sc1,sc2,winnerid,numrounds,pseqc,iseqc,setc
0,42,20,0,1,1,1,0
1,21,20,0,1,1,1,1
2,80,20,0,1,0,0,0
3,63,20,0,1,0,0,0
4,29,0,1,4,1,1,2
5,25,20,0,1,1,1,1
6,50,20,0,1,1,0,0
7,79,0,1,3,1,2,1
8,22,0,1,6,1,2,1
9,33,0,1,7,1,3,0
10,29,0,1,4,2,0,2
11,80,0,1,10,1,3,0
12,77,20,0,1,1,0,0
13,0,3,0,1,3,0,1
14,80,20,0,1,0,0,0
15,80,20,0,1,1,0,0
16,0,33,0,3,3,1,0
17,20,80,1,1,0,0,0
18,0,66,0,3,1,1,2
19,80,0,1,5,3,1,0
20,12,0,1,1,2,1,1
21,35,20,0,1,1,1,0
22,20,80,1,1,0,0,0
23,69,0,1,8,1,2,1
24,74,20,0,1,0,0,0
25,80,20,0,1,0,0,0
26,20,80,1,1,0,0,0
27,0,8,0,8,1,1,2
28,45,20,0,1,1,1,0
29,33,20,0,1,1,1,1
30,0,16,0,5,2,0,2
31,80,20,0,1,0,0,0
32,0,7,0,6,1,1,2
33,37,0,1,6,2,1,1
34,77,20,0,1,1,0,0
35,49,20,0,1,2,0,0
36,23,20,0,1,1,1,1
37,20,79,1,1,0,0,0
38,80,0,1,8,1,1,2
39,20,20,0,1,1,1,0
40,80,20,0,1,0,0,0
41,14,20,0,1,2,1,0
42,0,63,0,3,1,2,1
43,0,54,0,3,1,1,2
44,80,20,0,1,0,0,0
45,58,0,1,5,2,1,1
46,0,11,0,5,1,1,2
47,20,69,1,1,1,0,0
48,0,4,0,12,2,1,1
49,0,55,0,5,1,2,1
50,0,56,0,1,1,1,2
51,47,20,0,1,1,0,0
52,72,0,1,15,1,2,1
53,30,20,0,1,1,2,0
54,80,20,0,1,0,0,0
55,80,20,0,1,1,0,0
56,66,0,1,6,1,3,0
57,19,0,1,10,2,0,2
58,20,0,1,4,2,1,1
59,10,0,1,10,3,0,1
60,79,0,1,7,1,2,1
61,80,0,1,4,1,1,2
62,0,2,0,9,1,1,2
63,80,0,1,5,3,1,0
64,0,60,0,2,1,2,1
65,14,20,0,1,1,1,1
66,21,0,1,4,2,1,1
67,0,60,0,6,2,1,1
68,20,20,0,1,1,1,1
69,0,13,0,12,1,1,2
70,15,20,0,1,1,2,0
71,73,20,0,1,0,0,0
72,0,12,0,10,1,1,2
73,0,6,0,5,1,1,2
74,45,0,1,7,2,1,1
75,80,20,0,1,0,0,0
76,59,20,0,1,0,0,0
77,49,20,0,1,2,0,0
78,50,20,0,1,1,0,0
79,0,23,0,3,1,1,2
80,0,2,0,11,1,2,1
81,80,0,1,8,2,0,2
82,0,3,0,5,1,2,1
83,7,0,1,3,1,1,2
84,2,0,1,7,1,1,2
85,0,9,0,10,1,2,1
86,80,20,0,1,0,0,0
87,37,0,1,17,2,1,1
88,21,20,0,1,1,1,1
89,0,5,0,2,1,1,2
90,41,0,1,5,1,1,2
91,0,2,0,6,1,2,1
